1,2
nm21959193,nm2363815
nm21963301,nm0586923
nm0914258,nm21963247
nm1979539,nm21958320
nm21969140,nm1925640
nm21965599,nm0411500
nm0000661,nm21960966
nm5123171,nm21956885
nm21959580,nm0073072
nm21968886,nm0413843
nm9370619,nm21955846
nm21966121,nm0481075
nm21966236,nm1186148
nm0644943,nm21967074
nm1857123,nm21968299
nm21962797,nm6234907
nm2669881,nm21958224
nm0833385,nm21962898
nm3157695,nm21959385
nm21958694,nm4381109
nm21959607,nm3676785
nm21967649,nm0785000
nm0001257,nm21956872
nm0154142,nm21966952
nm21965824,nm7370870
nm1753311,nm21965945
nm0051931,nm21968421
nm21960066,nm9111139
nm0252222,nm21956112
nm21967750,nm4110608
nm21966803,nm0904153
nm1569073,nm21962186
nm21967639,nm21967636
nm0537571,nm21955747
nm21962420,nm21962419
nm21955208,nm0320880
nm21961322,nm0542950
nm21955555,nm0003255
nm21965210,nm5474724
nm21960923,nm21960924
nm10346395,nm21956152
nm21969622,nm0788144
nm21969159,nm7440261
nm21961275,nm2010746
nm0323123,nm21963922
nm21960668,nm1583777
nm21960114,nm0141885
nm21967806,nm2412789
nm21957051,nm2039344
nm21967635,nm0208112
nm1253181,nm21967261
nm21955924,nm0690120
nm0540115,nm21962572
nm0404093,nm21960069
nm21956465,nm21956463
nm6015724,nm21960931
nm1571576,nm21969632
nm0042820,nm21967646
nm5025293,nm21963204
nm7468750,nm21958208
nm21956705,nm0168215
nm21967586,nm0429868
nm21965696,nm7273533
nm3150204,nm21968706
nm21968112,nm1725970
nm21968148,nm21968144
nm21955227,nm0756752
nm21966019,nm5016551
nm0731195,nm21960296
nm0008127,nm21969783
nm3846085,nm21965870
nm21968492,nm0517942
nm21962549,nm1797660
nm0005724,nm21956745
nm21967425,nm0240338
nm21959682,nm0605923
nm21960834,nm5882314
nm21966736,nm2282693
nm6878947,nm21966233
nm21967406,nm0002935
nm0522686,nm21965895
nm21957663,nm2513694
nm21960877,nm1557652
nm0946916,nm21957316
nm21960726,nm0845867
nm21954987,nm0452831
nm5603209,nm21959450
nm8301054,nm21966916
nm21969782,nm7599083
nm21955435,nm0528764
nm21965564,nm21965561
nm21956153,nm10346396
nm4627372,nm21956888
nm0607454,nm21962141
nm0001014,nm21966639
nm21965026,nm0784086
nm21958908,nm21958901
nm21956109,nm3825386
nm21957012,nm0000993
nm21966190,nm2677223
nm21968958,nm0291216
nm21958105,nm7576174
nm21968489,nm1502218
nm21966385,nm4967028
nm1255798,nm21967781
nm21966948,nm0060610
nm21963346,nm0267130
nm21957120,nm2321445
nm3020351,nm21961907
nm1777138,nm21967676
nm21958745,nm21964168
nm1962328,nm21966012
nm3827979,nm21955377
nm9718254,nm21968417
nm5787652,nm21959528
nm21966628,nm10616716
nm21962305,nm5042825
nm3491007,nm21966444
nm0645636,nm21963011
nm0284678,nm21961130
