titleId,ordering,title,region,isOriginalTitle
tt12544519,9,Vingança Nua,BR,0
tt12540984,1,Back to OZ,US,0
tt12537455,10,Anthropos stis rages,GR,0
tt12538541,4,Vera,PL,0
tt12541101,2,Garda personală,RO,1
tt0285073,1,Eunice,US,0
tt12531453,1,Сердце мира,RU,0
tt12535593,3,La princesse de Clèves,FR,0
tt0059205,8,Frankenstein vs Baragon,XWW,0
tt3089896,1,Ali AlZibaq,EG,0
tt12545337,9,Recuerdos de la guerra,AR,1
tt12537037,8,I kravgi tou thanatou,GR,1
tt0043072,7,Tripolis,XWG,0
tt3142914,3,Ask aglatir,TR,0
tt1334247,2,Johnny Cash ja Folsom Prison,FI,0
tt12539505,6,Se 52 milia o tromos,GR,0
tt12543129,7,Supa Modo,IT,0
tt4213788,1,Kokhon Tomar Asbe Telephone,IN,0
tt0055719,4,300 Spartanere,NO,0
tt0071449,8,Monsieur Dupont,XWG,0
tt0271887,1,Zivi mrtvaci,YUCS,0
tt0055630,30,Yojimbo el mercenario,MX,0
tt2907394,3,Sameer Abu Alneel,SE,0
tt0457121,3,Соловей,RU,0
tt12538519,8,Frankenstein vs Baragon,XWW,0
tt12537166,4,Un Amore Per Due,IT,1
tt12532330,14,Deliciosa Mentira,BR,0
tt12533289,7,Tempo de Espera,BR,0
tt1863203,4,Работодатель,RU,0
tt0220626,1,Hölmölän kylän veijarit,FI,0
tt12537650,6,El diablo blanco,ES,0
tt12541706,10,El médico alemán,MX,0
tt12541101,3,Yojimbo Livvakten,SE,0
tt0247196,18,Πριν πέσει η νύχτα,GR,0
tt5078214,17,В легло с Виктория,BG,0
tt3314940,1,Roar,AU,0
tt0087190,9,No Topo do Mundo,BR,0
tt0055719,13,Der Löwe von Sparta,XWG,0
tt0247196,6,Antes que anochezca,PE,0
tt12545484,4,The Prodigals Mother,US,0
tt12538616,6,Kwelling,BE,1
tt0043677,7,Inside the Walls of Folsom Prison,US,0
tt0019035,10,Paixão Sem Freio,BR,0
tt2080042,1,Peter Punk,AR,0
tt6957448,1,Rampage 91,US,0
tt12534801,2,Les clichés de la haine,CM,0
tt0071449,3,The Common Man,US,0
tt12543922,1,Kiusaus,FI,0
tt12538381,2,Killing Jesus,XEU,1
tt12533220,8,Khodahafez Dokhtar Shirazi,IR,1
tt0158117,14,Scrisoarea,RO,0
