1,2
id-362053,rec-362053-dup-0
rec-245697-dup-0,rec-245697-dup-1
id-40073,rec-40073-dup-0
rec-269604-dup-0,rec-269604-dup-1
rec-2330772-dup-0,rec-2330772-dup-1
rec-592528-dup-0,id-592528
id-245697,rec-245697-dup-0
id-302846,rec-302846-dup-0
rec-51130-dup-0,rec-51130-dup-1
rec-1695-dup-1,rec-1695-dup-0
id-1211294,rec-1211294-dup-0
rec-112128-dup-0,id-112128
rec-1573388-dup-0,id-1573388
rec-934181-dup-0,id-934181
rec-613603-dup-0,id-613603
rec-416887-dup-0,id-416887
rec-379-dup-0,id-379
id-2779,rec-2779-dup-1
rec-7966-dup-1,rec-7966-dup-0
id-710630,rec-710630-dup-0
id-121009,rec-121009-dup-0
rec-1221059-dup-0,id-1221059
id-350834,rec-350834-dup-1
rec-359161-dup-0,id-359161
rec-137894-dup-0,id-137894
id-50680,rec-50680-dup-0
rec-269604-dup-0,id-269604
id-269353,rec-269353-dup-0
rec-38971-dup-0,rec-38971-dup-1
rec-904732-dup-0,id-904732
id-427503,rec-427503-dup-0
rec-40269-dup-0,id-40269
rec-50680-dup-0,rec-50680-dup-1
rec-2651960-dup-0,rec-2651960-dup-1
id-436282,rec-436282-dup-0
rec-120266-dup-1,rec-120266-dup-0
id-142742,rec-142742-dup-1
id-1106930,rec-1106930-dup-0
rec-297138-dup-1,id-297138
rec-1764396-dup-0,id-1764396
id-2651960,rec-2651960-dup-1
id-1815,rec-1815-dup-0
rec-786776-dup-0,id-786776
rec-120266-dup-1,id-120266
id-1337456,rec-1337456-dup-0
rec-52145-dup-0,id-52145
id-578662,rec-578662-dup-1
rec-1211294-dup-0,rec-1211294-dup-1
rec-318712-dup-0,rec-318712-dup-1
id-65586,rec-65586-dup-0
rec-538460-dup-1,id-538460
id-269604,rec-269604-dup-1
id-2779,rec-2779-dup-0
id-546136,rec-546136-dup-1
id-710630,rec-710630-dup-1
id-2009632,rec-2009632-dup-1
id-3690,rec-3690-dup-0
id-40269,rec-40269-dup-1
rec-938127-dup-0,id-938127
rec-383784-dup-0,id-383784
id-1201585,rec-1201585-dup-0
rec-687367-dup-0,id-687367
rec-334801-dup-0,id-334801
id-725688,rec-725688-dup-1
rec-35749-dup-1,id-35749
rec-142742-dup-0,rec-142742-dup-1
rec-872363-dup-0,id-872363
rec-383784-dup-0,rec-383784-dup-1
rec-1527797-dup-0,id-1527797
rec-151694-dup-0,rec-151694-dup-1
rec-165686-dup-1,id-165686
id-245697,rec-245697-dup-1
rec-279434-dup-0,id-279434
rec-622089-dup-1,rec-622089-dup-0
rec-2002784-dup-0,id-2002784
id-652385,rec-652385-dup-0
id-64025,rec-64025-dup-0
rec-93814-dup-0,id-93814
rec-51130-dup-0,id-51130
id-1106930,rec-1106930-dup-1
rec-5040-dup-0,id-5040
rec-302846-dup-1,id-302846
rec-12640-dup-0,id-12640
rec-1155328-dup-1,rec-1155328-dup-0
rec-44941-dup-0,rec-44941-dup-1
rec-1766-dup-0,rec-1766-dup-1
id-2819036,rec-2819036-dup-1
rec-2819036-dup-0,rec-2819036-dup-1
rec-23845-dup-1,id-23845
rec-1527797-dup-1,id-1527797
id-1670084,rec-1670084-dup-0
id-137894,rec-137894-dup-1
id-829731,rec-829731-dup-0
rec-221542-dup-0,id-221542
rec-5040-dup-0,rec-5040-dup-1
id-1092383,rec-1092383-dup-0
rec-50027-dup-1,rec-50027-dup-0
rec-23845-dup-1,rec-23845-dup-0
rec-498012-dup-1,id-498012
id-7966,rec-7966-dup-1
rec-98202-dup-0,id-98202
id-187428,rec-187428-dup-1
rec-1137639-dup-0,id-1137639
rec-622089-dup-1,id-622089
id-187428,rec-187428-dup-0
id-163583,rec-163583-dup-1
id-142742,rec-142742-dup-0
rec-1155328-dup-1,id-1155328
rec-2213078-dup-1,id-2213078
rec-122538-dup-0,id-122538
rec-24482-dup-0,id-24482
id-1343220,rec-1343220-dup-0
rec-302846-dup-1,rec-302846-dup-0
rec-24482-dup-1,id-24482
rec-2424748-dup-1,rec-2424748-dup-0
id-2647267,rec-2647267-dup-0
rec-90312-dup-0,id-90312
rec-2132260-dup-1,rec-2132260-dup-0
rec-383346-dup-0,id-383346
id-50027,rec-50027-dup-0
rec-122538-dup-1,id-122538
id-2210,rec-2210-dup-1
id-52145,rec-52145-dup-1
id-308861,rec-308861-dup-0
id-2132260,rec-2132260-dup-1
rec-383784-dup-1,id-383784
rec-683889-dup-0,id-683889
rec-45730-dup-0,id-45730
id-207665,rec-207665-dup-0
rec-129490-dup-0,rec-129490-dup-1
rec-2779-dup-1,rec-2779-dup-0
rec-253119-dup-0,id-253119
id-578662,rec-578662-dup-0
id-318712,rec-318712-dup-1
id-501909,rec-501909-dup-0
rec-30247-dup-0,id-30247
rec-498012-dup-0,id-498012
id-44941,rec-44941-dup-1
rec-2818317-dup-1,rec-2818317-dup-0
id-11826,rec-11826-dup-0
id-2818317,rec-2818317-dup-0
rec-46-dup-1,id-46
rec-2424748-dup-1,id-2424748
rec-1269532-dup-0,id-1269532
rec-51130-dup-1,id-51130
id-1643,rec-1643-dup-0
rec-440483-dup-0,rec-440483-dup-1
rec-552458-dup-0,rec-552458-dup-1
rec-248245-dup-1,id-248245
id-2819036,rec-2819036-dup-0
rec-546136-dup-1,rec-546136-dup-0
id-116557,rec-116557-dup-0
id-709749,rec-709749-dup-0
rec-52145-dup-0,rec-52145-dup-1
id-1766,rec-1766-dup-0
rec-22590-dup-0,id-22590
rec-163583-dup-1,rec-163583-dup-0
rec-461864-dup-0,rec-461864-dup-1
rec-11735-dup-1,id-11735
rec-93814-dup-0,rec-93814-dup-1
id-427503,rec-427503-dup-1
id-840183,rec-840183-dup-0
id-165686,rec-165686-dup-0
rec-658043-dup-1,rec-658043-dup-0
rec-653997-dup-0,id-653997
rec-2002784-dup-1,rec-2002784-dup-0
rec-658043-dup-0,id-658043
id-35542,rec-35542-dup-0
rec-2351885-dup-1,rec-2351885-dup-0
rec-464101-dup-0,id-464101
rec-725688-dup-1,rec-725688-dup-0
rec-1699-dup-1,id-1699
id-2651960,rec-2651960-dup-0
rec-2009632-dup-0,id-2009632
id-298885,rec-298885-dup-0
rec-350212-dup-1,rec-350212-dup-0
rec-391771-dup-1,rec-391771-dup-0
rec-281401-dup-0,id-281401
rec-248245-dup-0,rec-248245-dup-1
rec-1420849-dup-1,rec-1420849-dup-0
rec-33058-dup-0,id-33058
rec-1699-dup-1,rec-1699-dup-0
id-1047030,rec-1047030-dup-0
id-45730,rec-45730-dup-1
id-2132260,rec-2132260-dup-0
id-2351885,rec-2351885-dup-0
rec-1155382-dup-0,id-1155382
id-5621,rec-5621-dup-0
rec-2213078-dup-1,rec-2213078-dup-0
id-569628,rec-569628-dup-0
rec-538460-dup-0,id-538460
rec-687367-dup-1,id-687367
id-24074,rec-24074-dup-1
rec-24074-dup-0,rec-24074-dup-1
id-65586,rec-65586-dup-1
id-46743,rec-46743-dup-0
id-937285,rec-937285-dup-0
id-151694,rec-151694-dup-1
rec-350834-dup-0,id-350834
id-335114,rec-335114-dup-0
id-1014172,rec-1014172-dup-1
rec-710630-dup-1,rec-710630-dup-0
id-350212,rec-350212-dup-0
rec-160408-dup-0,id-160408
rec-3591-dup-0,id-3591
rec-427503-dup-1,rec-427503-dup-0
rec-1126159-dup-0,id-1126159
rec-12078-dup-0,id-12078
id-356,rec-356-dup-0
id-436282,rec-436282-dup-1
id-239056,rec-239056-dup-0
id-87098,rec-87098-dup-0
rec-279434-dup-0,rec-279434-dup-1
rec-242193-dup-0,id-242193
id-31839,rec-31839-dup-0
