1,2
rec-79841-dup-0,rec-79841-dup-1
id-887968,rec-887968-dup-0
id-740464,rec-740464-dup-0
rec-145491-dup-0,id-145491
id-1167953,rec-1167953-dup-1
rec-206514-dup-0,rec-206514-dup-1
rec-61915-dup-1,id-61915
rec-518958-dup-0,id-518958
rec-51130-dup-0,rec-51130-dup-1
id-442678,rec-442678-dup-0
rec-553198-dup-0,id-553198
id-205962,rec-205962-dup-1
rec-176025-dup-1,id-176025
id-51178,rec-51178-dup-0
rec-432508-dup-1,id-432508
id-12285,rec-12285-dup-0
rec-547537-dup-0,id-547537
rec-116489-dup-0,id-116489
rec-205962-dup-1,rec-205962-dup-0
id-12299,rec-12299-dup-1
rec-887968-dup-1,id-887968
rec-467004-dup-1,id-467004
id-553109,rec-553109-dup-1
rec-1941097-dup-0,id-1941097
id-427503,rec-427503-dup-0
rec-116489-dup-0,rec-116489-dup-1
rec-206514-dup-1,id-206514
id-33153,rec-33153-dup-0
rec-641525-dup-0,id-641525
id-154451,rec-154451-dup-0
rec-581584-dup-0,rec-581584-dup-1
id-642657,rec-642657-dup-0
rec-32723-dup-1,rec-32723-dup-0
rec-844377-dup-0,rec-844377-dup-1
rec-432637-dup-0,id-432637
rec-190172-dup-0,id-190172
id-39287,rec-39287-dup-1
rec-51178-dup-1,rec-51178-dup-0
rec-145273-dup-0,id-145273
rec-831118-dup-0,rec-831118-dup-1
rec-33778-dup-1,id-33778
rec-459670-dup-1,id-459670
id-12299,rec-12299-dup-0
rec-56408-dup-0,id-56408
rec-176025-dup-1,rec-176025-dup-0
rec-191481-dup-1,rec-191481-dup-0
id-3271,rec-3271-dup-0
id-452943,rec-452943-dup-0
rec-244-dup-1,id-244
id-176277,rec-176277-dup-1
id-745555,rec-745555-dup-0
rec-150982-dup-0,id-150982
rec-376087-dup-0,id-376087
rec-807298-dup-1,rec-807298-dup-0
rec-47164-dup-0,rec-47164-dup-1
id-33153,rec-33153-dup-1
rec-526788-dup-0,id-526788
rec-47031-dup-0,id-47031
rec-306639-dup-1,rec-306639-dup-0
