1,2
rec-227105-dup-0,id-227105
rec-928050-dup-0,id-928050
rec-1359991-dup-0,id-1359991
rec-2107312-dup-0,id-2107312
rec-159797-dup-0,id-159797
rec-1156313-dup-0,id-1156313
rec-436318-dup-0,id-436318
rec-177739-dup-0,id-177739
id-1088883,rec-1088883-dup-0
rec-3259186-dup-0,id-3259186
rec-3900410-dup-0,id-3900410
rec-859767-dup-0,id-859767
rec-3355654-dup-0,id-3355654
rec-603739-dup-0,id-603739
rec-1110878-dup-0,id-1110878
id-777379,rec-777379-dup-0
rec-1701977-dup-0,id-1701977
rec-1196756-dup-0,id-1196756
rec-1174902-dup-0,id-1174902
id-401013,rec-401013-dup-0
id-706566,rec-706566-dup-0
id-1371362,rec-1371362-dup-0
id-322992,rec-322992-dup-0
rec-800429-dup-0,id-800429
id-2113302,rec-2113302-dup-0
id-555443,rec-555443-dup-0
id-846924,rec-846924-dup-0
rec-849098-dup-0,id-849098
rec-155714-dup-0,id-155714
id-827925,rec-827925-dup-0
id-695030,rec-695030-dup-0
rec-185152-dup-0,id-185152
rec-466966-dup-0,id-466966
id-1257367,rec-1257367-dup-0
id-2248376,rec-2248376-dup-0
id-835658,rec-835658-dup-0
id-791725,rec-791725-dup-0
rec-1185885-dup-0,id-1185885
rec-904181-dup-0,id-904181
id-785402,rec-785402-dup-0
id-271330,rec-271330-dup-0
rec-423339-dup-0,id-423339
id-490115,rec-490115-dup-0
id-602579,rec-602579-dup-0
id-1278725,rec-1278725-dup-0
id-650320,rec-650320-dup-0
id-2249181,rec-2249181-dup-0
rec-1377095-dup-0,id-1377095
rec-246732-dup-0,id-246732
id-889865,rec-889865-dup-0
id-792104,rec-792104-dup-0
id-685717,rec-685717-dup-0
rec-582582-dup-0,id-582582
id-919386,rec-919386-dup-0
id-550123,rec-550123-dup-0
rec-1297065-dup-0,id-1297065
id-436822,rec-436822-dup-0
rec-1010354-dup-0,id-1010354
id-613401,rec-613401-dup-0
id-1059359,rec-1059359-dup-0
rec-180227-dup-0,id-180227
id-889783,rec-889783-dup-0
id-3256961,rec-3256961-dup-0
id-116876,rec-116876-dup-0
id-3435091,rec-3435091-dup-0
rec-292150-dup-0,id-292150
id-681114,rec-681114-dup-0
id-1311348,rec-1311348-dup-0
id-848059,rec-848059-dup-0
