1,2
rec-36113-dup-0,id-36113
rec-2003-dup-0,id-2003
id-13666,rec-13666-dup-0
rec-39107-dup-0,id-39107
rec-28509-dup-0,id-28509
rec-45569-dup-0,id-45569
rec-39794-dup-0,id-39794
id-11563,rec-11563-dup-0
id-35495,rec-35495-dup-0
id-45641,rec-45641-dup-0
id-16612,rec-16612-dup-0
rec-2483-dup-0,id-2483
rec-4962-dup-0,id-4962
id-17450,rec-17450-dup-0
id-35027,rec-35027-dup-0
id-29181,rec-29181-dup-0
id-6530,rec-6530-dup-0
id-33774,rec-33774-dup-0
id-53567,rec-53567-dup-0
id-36666,rec-36666-dup-0
id-22361,rec-22361-dup-0
id-43291,rec-43291-dup-0
id-5816,rec-5816-dup-0
id-18039,rec-18039-dup-0
rec-15207-dup-0,id-15207
rec-54172-dup-0,id-54172
rec-43189-dup-0,id-43189
id-38724,rec-38724-dup-0
rec-13553-dup-0,id-13553
id-51213,rec-51213-dup-0
id-18479,rec-18479-dup-0
id-25611,rec-25611-dup-0
rec-4952-dup-0,id-4952
id-21681,rec-21681-dup-0
id-14744,rec-14744-dup-0
rec-12730-dup-0,id-12730
rec-12453-dup-0,id-12453
id-24297,rec-24297-dup-0
rec-47052-dup-0,id-47052
rec-24338-dup-0,id-24338
id-51773,rec-51773-dup-0
rec-42354-dup-0,id-42354
id-16036,rec-16036-dup-0
rec-31941-dup-0,id-31941
id-35966,rec-35966-dup-0
id-1688,rec-1688-dup-0
rec-49896-dup-0,id-49896
rec-1633-dup-0,id-1633
id-16905,rec-16905-dup-0
