1,2
rec-975456-dup-1,rec-975456-dup-0
id-1095524,rec-1095524-dup-1
rec-807737-dup-0,rec-807737-dup-1
rec-2578969-dup-0,id-2578969
rec-883486-dup-1,rec-883486-dup-0
rec-395662-dup-1,id-395662
rec-603739-dup-0,id-603739
rec-747762-dup-0,id-747762
rec-392147-dup-1,id-392147
rec-219719-dup-1,id-219719
rec-807562-dup-0,rec-807562-dup-1
rec-1223918-dup-1,id-1223918
rec-711599-dup-0,id-711599
id-3456866,rec-3456866-dup-0
rec-502540-dup-1,id-502540
id-807737,rec-807737-dup-1
rec-807509-dup-0,id-807509
rec-1296492-dup-0,rec-1296492-dup-1
rec-1226534-dup-0,id-1226534
id-482449,rec-482449-dup-1
rec-3355804-dup-1,id-3355804
rec-738145-dup-0,id-738145
rec-9568-dup-1,id-9568
id-1175484,rec-1175484-dup-1
rec-1226534-dup-1,id-1226534
rec-904181-dup-0,id-904181
rec-87042-dup-1,rec-87042-dup-0
rec-2362547-dup-0,id-2362547
rec-895566-dup-1,rec-895566-dup-0
id-2364984,rec-2364984-dup-0
rec-2993592-dup-0,rec-2993592-dup-1
id-1095524,rec-1095524-dup-0
rec-3355804-dup-1,rec-3355804-dup-0
rec-1053835-dup-0,rec-1053835-dup-1
rec-807562-dup-0,id-807562
id-479056,rec-479056-dup-0
rec-1226534-dup-0,rec-1226534-dup-1
rec-354646-dup-0,id-354646
rec-2087616-dup-0,id-2087616
id-434124,rec-434124-dup-0
id-646413,rec-646413-dup-1
rec-167003-dup-0,id-167003
id-317183,rec-317183-dup-0
rec-1183521-dup-0,rec-1183521-dup-1
rec-3459940-dup-0,rec-3459940-dup-1
id-1919945,rec-1919945-dup-0
id-48342,rec-48342-dup-0
rec-620430-dup-0,id-620430
rec-546938-dup-0,id-546938
id-1222169,rec-1222169-dup-1
rec-9568-dup-1,rec-9568-dup-0
rec-395662-dup-0,rec-395662-dup-1
id-695573,rec-695573-dup-0
rec-368222-dup-0,rec-368222-dup-1
rec-1001954-dup-0,rec-1001954-dup-1
rec-1285561-dup-0,rec-1285561-dup-1
rec-1974041-dup-0,id-1974041
id-619144,rec-619144-dup-0
rec-2171412-dup-1,rec-2171412-dup-0
