release_group,name,artist_credit,type
id-319239,Chitty Chitty Bang Bang,id-840183,1
id-1240120,Мачете,id-1125717,1
rec-1010826-dup-0,TRIGUN Badlands Rumb1e,id-37444,1
id-1261215,In the Darkest Corners of Human Nature,id-1154208,1
id-802087,Sver,id-592738,1
id-52865,Tenebrae Vision,id-35217,1
id-832438,Portland 200,id-2076,1
id-1221903,20090928 SeneyStovall Chapel Athens GA USA,id-113460,1
id-932829,Top Hits USA T124,id-1,1
id-1244723,Mega Dance 1999 Volume 2,id-1,1
id-1077870,The Many Moods of,id-713238,1
id-1035871,Big Beat Electronica,id-1,11
id-1281583,Piraten ahoi,id-1189105,1
id-1380643,Trip Two Isle Of Mabrax,id-1318209,1
id-1245663,Shakin With the Devil,id-440483,1
id-388161,A Series of Unfortunate Events Book 11 The Grim Grotto,id-128737,11
id-885619,Im Original Glenn Miller Sound,id-223910,1
id-270192,Rude Boy,id-8751,1
id-1872922,NEW DANGANRONPA V3 OST WHITE,id-385963,1
id-2978415,Potłuczone Aureole,id-784927,1
rec-1000505-dup-0,Saxophone Cpncertos,rec-2424748-dup-1,1
id-1634118,30th Anniversary of Nexus Years Limited Collectors Box,id-1217205,1
id-900922,Chilled Rock,id-659338,11
id-1205934,Apeshit A Mixtape Tribute to The Gorillaz,id-1026249,1
id-980366,Woodpecker,id-735589,1
id-1806634,Heater,id-125931,1
id-294027,Porno Party,id-810578,1
rec-311064-dup-1,The Imspirational Sounds of,id-9460,1
rec-1291429-dup-1,Kaikki ikivihreär,id-30544,1
rec-1291429-dup-0,Kaikki lkivihreät,id-30544,1
rec-311064-dup-0,The Inspirationa| Sounds of,id-9460,1
id-563471,Spankys Greatest Hits,id-46743,1
id-660465,20060613 The Ambassador Dublin Ireland,id-10193,1
id-387156,Salsa Dance Class The Real Deal,id-1,1
id-745902,In Living Black and White,id-12151,1
id-760854,Livehaftig und krank,id-469503,
id-2900041,Jef Lee Johnson Primer,id-3591,1
id-1280363,Burning Down,id-189446,3
id-293876,太陽系亞種音,id-1169077,1
id-340324,Customs,id-180143,1
id-732653,20080614 Download Festival 2008 Donington Park UK,id-296923,1
id-330827,Nanoalbum,id-229912,1
id-74887,For the First Time,id-45713,1
id-127785,Günebakan  Dünyanın Kapıları,id-93850,1
id-810697,Oriental Art Music,id-454021,1
id-141714,Kansas City 1972,id-22492,1
id-249996,The Second,id-1699,1
id-1381064,A Blue Book,id-1318662,1
id-627697,Dellimpero delle tenebre,id-450416,1
id-901295,The Next Stage,id-808037,11
id-308864,The Classic Early Recordings,id-3755,1
id-1181299,Twerk,id-3222948,2
rec-659311-dup-0,East2West Crossjng Continents,id-1,1
id-295468,Start Breaking My Heart,id-3356053,1
id-2617363,19261940,id-8818,1
id-783668,Eu e o Samba,id-107434,1
id-683489,Ghost Days,id-117130,1
id-1145776,Cartolas Band 2003,id-958795,1
id-3074338,artificial outsider,id-1122289,1
id-152866,Donkey Kong Country 2 Diddys Kong Quest,id-179585,1
id-483411,Lemon Malarkey,id-336875,1
id-497419,6 Richtige,id-346601,1
id-729643,The Andy Williams Sound of Music,id-32737,1
id-684330,ScheißKapelle Live,id-1079157,1
id-207547,Hellboy Original Motion Picture Soundtrack,id-82973,1
id-191319,Life Blood,id-24287,1
id-1047256,Back to the 60´s,id-359569,1
id-742825,Songs About Feelings,id-545963,1
id-1193335,Dusty Rainbow From the Dark,id-242684,1
id-2556461,Month of Madness Vol 7,id-67117,1
id-938070,Blackbud,id-193186,1
id-894556,Piano and Orchestra 1,id-20886,11
id-874023,Edward H Mewn Bocs,id-283289,1
id-41797,Jody Davis,id-24575,
id-946231,News Promos Volume 3,id-1,11
id-269805,Tanzverbot Schill to Hell,id-992751,2
id-372610,Resident Evil Apocalypse,id-818983,1
rec-2495401-dup-0,Take Me D0wn,rec-40073-dup-0,2
rec-2495401-dup-1,Take Me D0wn,rec-40073-dup-1,2
id-658374,19940903 Folky nefolky Helfštýn Czech Republic,id-21949,1
id-171803,Godt Ord Igen,id-129722,1
id-776583,All Star Jazz,id-572546,1
id-103601,Cryptic Crunch,id-66400,1
id-1531092,Suddenly,id-1485649,1
id-486286,US Pop Life Volume 11 California Post Punk Looking for the Perfect Glass,id-1,1
id-1069716,Zeichen,id-59206,1
id-210012,Le Cimetière des éléphants,id-10558,1
id-345348,Live in London,id-33058,1
id-163105,Christmas With the Stars,id-1,1
id-673199,Radio Lupo solitario,id-1,1
id-1967455,Tigers of the Year,id-2122925,1
id-228309,Mehr Jazz sagten die Frauen,id-371288,1
id-167175,Mother Goose  More,id-44434,1
id-1299250,Doctor Who Covers,id-1214770,11
id-1113793,The Explorers Hold,id-891223,3
id-719460,ソウルの追求,id-527371,1
id-753241,Volume 4 19371940,id-31535,1
id-772078,Raw Yang,id-569628,1
rec-306284-dup-1,Bossa Noua Concert,id-38905,1
id-1085274,3 Original CDs,id-387,1
id-1254215,Nisi Dominus RV 608  Dixit Dominus RV 594  Stabat Mater RV 621,id-1168462,1
id-1022824,I Am the Wee Falorie Man Folk Songs of Ireland,id-770333,1
id-1051556,19691107 Jazztage Berlin Philharmonie Berlin Germany,id-888118,1
rec-428773-dup-0,UhOb,id-302165,1
id-2337148,Lifecycles EPs of HTSOB,id-2490429,1
id-140877,The Voice of Music Volume II,id-1,1
id-693286,PROBABLY THE BEST,id-40924,1
id-482474,Occupied,id-336253,1
id-946657,Droplet,id-1,11
id-1215297,Zon zee zand zomer met Nijntje,id-380054,1
rec-946170-dup-0,Circus Maxlmus,id-1,11
id-1242649,Cara,id-325434,1
id-599836,Mensa Dance Squad,id-103922,3
id-166972,Clubs Gs Suvs,id-127268,1
id-695163,4Voice,id-122166,3
rec-402626-dup-0,Gewoon Janmes,rec-120266-dup-0,1
id-210121,Opussy VI,id-122543,1
id-771917,Un ángel llora,id-569503,1
id-347649,Presenting Harry James,id-3356,1
id-942441,Brilliant The Global Dance Music Experience Volume 6,id-1,1
rec-1256625-dup-0,Best ofWeibnachten,id-400312,1
id-1049052,Turn It On,id-790727,1
id-673372,Offret om att älska,id-491605,1
id-901278,Pets and Vets,id-666809,11
id-213112,Lepaca Kliffoth,id-4825,1
id-578359,Een sinister schouwspel,id-234102,11
id-712861,Bijna Boven 9,id-1,1
id-858629,Metal Future,id-595981,1
id-800391,Deep House 1 The Sound of the UK Underground,id-1,1
id-198697,Filtered Through Friends,id-92289,1
id-2115442,Ljuva Nostalgi  The American Songbook,id-1,1
id-1175691,Driving You Insane,id-128208,1
id-860200,String Quartets op 55 No 1  No 2 Razor  No 3,id-1027698,1
id-1004742,Live in Nancy 1975 Vol2,id-8692,1
id-1036229,俺の妹がこんなに可愛いわけがない オリジナルサウンドトラック,id-360482,1
id-579518,Descargas at Villagegate Live,id-413655,1
id-79293,Westing by Musket and Sextant,id-25,1
id-1109473,20070604 Halle Tony Garnier Lyon France,id-187,1
rec-830246-dup-1,Abuso Sonoro  Dstestation,id-824889,3
id-191601,Too Fast for Love,id-36594,1
id-155183,Fantastic,id-2650,1
id-2048229,Schumann Edition,id-32513,1
id-2615809,Alive in America,id-2173,1
id-883949,Smashes▲Trashes,id-1373,1
id-1352145,1977‐03‐25 Music Hall Boston MA USA,id-1488075,1
id-1258846,Well Meet Again,id-1,1
id-2116866,Colours Of The Planet Earth,id-67588,3
id-86077,Live,id-34833,1
id-804670,Dance Dance,id-86461,1
rec-684083-dup-0,Dancefkoor 2008,id-1,1
id-3071328,Pleasures of Conformity,id-2398764,1
id-1158960,圓生百席 16,id-874603,1
id-261929,20010512 Pie Party III Pittsburgh PA USA,id-40780,1
id-1005342,Rock,id-1,11
id-535072,Mobile Suit Gundam SEED Destiny Suit CD Volume 10 Kira Yamato × Strike Freedom Gundam,id-1,1
id-2335322,Arka Noego,id-148712,11
id-1121546,Romero  Juliet,id-907581,2
id-276535,Midnight Prayer  Illusion,id-2147162,1
id-2893772,IndieRock Playlist April 2015,id-1,11
id-186559,Oasis of Love,id-63196,1
rec-895504-dup-1,Voicing the Clawsic Part 3,id-1,11
rec-895504-dup-0,Voicing the Ckassic Part 3,id-1,11
id-1169920,Tasaday Box 19812007,id-755083,11
id-2975486,Js Juke,id-3302023,1
id-1302673,Balearic Beauty,id-837985,1
id-732228,Weekend World,id-8309,1
rec-772078-dup-0,Raw Yamg,rec-569628-dup-0,1
id-830403,Distant Fields,id-94745,1
id-898785,Suddenly,id-33256,3
id-888772,Angels Landing,id-20848,2
id-125200,So What,id-1663,1
id-1001377,Glitched Witched  Zipped Volume 3,id-1,11
id-14751,Up,id-7834,1
id-1528881,Monique Kessous,id-576463,1
id-731226,El Rancho Spastiko,id-536958,3
id-450717,Las clásicas de la cumbia,id-1,1
id-2664431,ActionThriller 3  Film Trailer Music,id-2776081,1
id-1246449,Ashentide,id-1134179,3
id-1125444,Quechua Music,id-116044,1
id-494729,The Archive Collection ColosSaal Aschaffenburg Germany 16th February 2002,id-39892,1
id-1531399,Arriving on Stros Mkai,id-1484149,1
id-2269197,Rookies  King Vol 2,id-1,1
id-993373,On aime on aide,id-50680,2
id-565451,20010908 Flughafen Westerland Germany,id-10204,1
id-2495106,Madonna Tokyo 1987,id-89,1
id-866146,Mambo of the Times,id-381176,1
id-1005727,Techno,id-887906,11
id-215301,Rare Surf Volume 2 South Bay Bands,id-1,1
id-881761,Folksongs of the Louisiana Acadians,id-1,1
id-1053114,Its Swing Time,id-1,1
rec-2495033-dup-1,No Moor Bad Daya,id-2550641,1
rec-2495033-dup-0,No M0or Bad Days,id-2550641,1
id-134704,Faces Forms and Illusions,id-2236,1
id-1094084,Toppers In Concert 2006,id-54410,1
id-276841,A New Day Yesterday,id-89817,1
id-409297,Grieg Holberg Suite  Grieg 2 Elegiac Melodies  Tchaikovsky Serenade,id-1854005,1
rec-1036198-dup-0,The Syncbronicity Suite,id-1,1
id-764352,Frå Setervoll Til Dansargolv,id-563674,1
id-54969,K,id-3144,1
id-53295,Introducing Nitin Sawhney,id-15177,1
id-962787,Balls of Fury,id-11684,1
id-1062764,From Which No Light Escapes,id-546970,1
id-983547,Caron  Ecay  Lockwood,id-811672,1
id-1183346,Tangled Tales,id-1030463,11
id-1224740,Sterbegesänge,id-1001914,
id-484460,The Live Box 19651968,id-1135,1
id-2491695,Le roi bâtard,id-2818317,1
id-13365,and No One Else Wanted to Play,id-4991,1
id-91644,A Link in the Chain,id-4538,1
id-1094471,Fcking Hardcore 5,id-1,1
id-686780,Den Fynske Samurai,id-503520,3
id-860991,Endgame,id-1104,1
id-768316,Greensleeves Rhythm Album 17 HerbalistEnergy,id-1,1
id-1263088,Čágo belo šílenci 4,id-1,1
id-6566,Love at Psychedelic Velocity,id-61506,1
id-2612898,ポポロクロイス～月の掟の冒険～ オリジナル・サウンドトラック,id-491611,1
id-523678,Wide Open,id-141153,1
id-894033,Pianos Solo,id-1,11
id-683562,FUNFAIR,id-135422,1
id-1176636,Cello Concerto in B minor  Rondo  Silent Woods,id-1015560,1
id-435963,Sherri Jackson,id-125917,1
id-1271741,Between the Sheets,id-1170816,3
id-1151049,The Singles Collection 1978–1981,id-885277,1
id-1099853,On trace la route  Le Live,id-431651,1
id-812091,Another World,id-584529,1
id-471856,You Know All About Drags EP,id-326501,3
id-1141197,Våra älskade dansbandsfavoriter,id-1,
rec-578359-dup-0,Een sinister schouwspel,id-234102,11
id-205771,Living Eyes,id-991,1
id-310703,Kissing and Dancing,id-217953,1
id-38823,Dust,id-2394,1
id-1296530,Music for Great Films of the Silent Era,id-1213693,1
id-2120579,Pussy Lounge Part 3,id-1,1
id-614468,The Triple Platinum EP,id-54,3
id-1043931,Lounge Anthology The Cool Session,id-1,1
id-344238,Celtic Meditation Music,id-307,1
id-420832,Doxology,id-188064,1
id-1178072,Kontor Top of the Clubs Volume 55,id-1,1
id-1178669,Mathias Stubø,id-856840,1
id-817089,Wasted,id-152048,1
id-491738,Nisht azoy,id-145491,1
id-139602,Red Dragon,id-204,1
id-251026,Ruined in Repetition,id-178932,3
id-787487,Grobschnitt Live Osnabrück 1981 Part 1,id-14530,1
id-300062,Chemistry,id-37938,1
rec-355020-dup-0,19810315 Re5eda Country Club Reseda CA USA,id-197,1
id-300060,II The Final Option,id-4906,1
rec-1135056-dup-0,t0gether,id-529997,1
id-536008,Everything You Wish You Were,id-376292,1
id-1104067,Vaknållt in Di,id-872534,1
id-72376,PlugIn,id-44520,1
id-185319,Near Life Experience,id-112128,1
id-2894104,Quei Disperati Che Puzzano Di Sudore E Di Morte Original Soundtrack In Mono And Full Stereo,id-193117,1
id-341824,Hed Kandi Twisted Disco 0205,id-1,1
id-1017056,At Welding Bridge,id-36472,1
id-807974,Recycled Broadcasts EP,id-596961,3
id-489355,Collection,id-65586,1
id-1126659,Θα είμαι εδώ,id-930960,1
id-1122312,Odyssé,id-908693,1
id-593798,Messiah,id-1221965,1
id-499259,Organic Dance Didjeridu,id-121642,1
rec-611477-dup-0,Dance to the Radio Something I Leaened Today,id-1,1
id-1019075,Transmission,id-469590,1
rec-450717-dup-0,Las clásicas de la cuml>ia,id-1,1
rec-339867-dup-0,Hammerschmiclt ist raus,id-1122397,1
id-356544,High Society,id-233769,1
id-511338,6D,id-114202,1
id-1186248,Migajas de rock maravilla,id-1,1
id-61704,Benny Goodman,id-39293,
id-533536,Angel Baby,id-1,1
id-1256845,Into the Light,id-1148277,2
id-954083,More Sugar Minott,id-5882,1
id-507287,Night Spinner,id-868655,1
