1,2
rec-878755-dup-1,id-878755
rec-697446-dup-1,rec-697446-dup-0
id-557646,rec-557646-dup-0
rec-659311-dup-0,id-659311
rec-993373-dup-0,rec-993373-dup-1
rec-412673-dup-1,id-412673
rec-993731-dup-0,rec-993731-dup-1
rec-339914-dup-0,rec-339914-dup-1
id-450717,rec-450717-dup-0
rec-1072749-dup-1,id-1072749
rec-193582-dup-0,id-193582
rec-243284-dup-1,id-243284
rec-2615580-dup-0,rec-2615580-dup-1
id-2615580,rec-2615580-dup-1
rec-2490143-dup-0,id-2490143
rec-1473025-dup-1,rec-1473025-dup-0
rec-392023-dup-0,id-392023
rec-725831-dup-1,id-725831
id-1176636,rec-1176636-dup-0
rec-53791-dup-0,id-53791
rec-2684834-dup-0,id-2684834
rec-2900041-dup-0,rec-2900041-dup-1
rec-695163-dup-0,id-695163
id-648715,rec-648715-dup-0
rec-878755-dup-0,id-878755
id-1898778,rec-1898778-dup-0
rec-936636-dup-0,rec-936636-dup-1
rec-2495401-dup-0,rec-2495401-dup-1
id-104632,rec-104632-dup-1
rec-1246846-dup-1,id-1246846
rec-312282-dup-0,rec-312282-dup-1
id-339867,rec-339867-dup-0
id-1473025,rec-1473025-dup-0
rec-1305075-dup-0,id-1305075
rec-1030741-dup-0,id-1030741
rec-1900974-dup-0,id-1900974
rec-1410557-dup-0,id-1410557
id-1560649,rec-1560649-dup-0
rec-833505-dup-0,rec-833505-dup-1
rec-387156-dup-0,rec-387156-dup-1
rec-936636-dup-0,id-936636
id-203273,rec-203273-dup-0
id-893189,rec-893189-dup-0
rec-1140124-dup-0,id-1140124
rec-502616-dup-0,rec-502616-dup-1
id-361058,rec-361058-dup-0
id-518522,rec-518522-dup-0
id-78462,rec-78462-dup-0
rec-895504-dup-0,id-895504
id-869691,rec-869691-dup-0
id-915069,rec-915069-dup-0
id-939783,rec-939783-dup-0
rec-966015-dup-1,rec-966015-dup-0
id-2117334,rec-2117334-dup-0
rec-648715-dup-1,rec-648715-dup-0
rec-2217365-dup-1,rec-2217365-dup-0
id-2898624,rec-2898624-dup-1
rec-400832-dup-1,id-400832
rec-83001-dup-0,id-83001
rec-1076761-dup-0,id-1076761
id-1473025,rec-1473025-dup-1
id-557393,rec-557393-dup-0
rec-721415-dup-0,id-721415
id-258264,rec-258264-dup-0
id-993373,rec-993373-dup-1
id-1287806,rec-1287806-dup-0
rec-46623-dup-1,id-46623
rec-698512-dup-0,id-698512
rec-327848-dup-1,id-327848
id-893587,rec-893587-dup-0
rec-233515-dup-1,rec-233515-dup-0
id-312282,rec-312282-dup-0
id-277319,rec-277319-dup-0
id-1135056,rec-1135056-dup-0
id-74013,rec-74013-dup-0
id-783302,rec-783302-dup-0
id-557393,rec-557393-dup-1
rec-912382-dup-0,id-912382
rec-178498-dup-0,rec-178498-dup-1
id-1156161,rec-1156161-dup-0
rec-966015-dup-0,id-966015
id-236272,rec-236272-dup-0
id-2121691,rec-2121691-dup-0
rec-615117-dup-0,id-615117
rec-949427-dup-0,id-949427
id-378699,rec-378699-dup-0
rec-1178669-dup-1,rec-1178669-dup-0
rec-467246-dup-0,id-467246
rec-1117467-dup-0,id-1117467
rec-325592-dup-0,id-325592
rec-238927-dup-0,id-238927
rec-540365-dup-1,id-540365
id-830246,rec-830246-dup-0
id-2217365,rec-2217365-dup-1
rec-990992-dup-1,rec-990992-dup-0
rec-238317-dup-0,rec-238317-dup-1
rec-246764-dup-0,id-246764
rec-1900974-dup-1,id-1900974
id-27175,rec-27175-dup-0
rec-634552-dup-1,id-634552
id-1462495,rec-1462495-dup-0
rec-923786-dup-1,rec-923786-dup-0
rec-966015-dup-1,id-966015
rec-1291429-dup-0,rec-1291429-dup-1
rec-1812425-dup-1,id-1812425
rec-882901-dup-0,id-882901
id-339867,rec-339867-dup-1
rec-325592-dup-1,id-325592
id-507615,rec-507615-dup-0
rec-2495401-dup-1,id-2495401
id-758409,rec-758409-dup-0
rec-400832-dup-0,rec-400832-dup-1
rec-1810677-dup-0,id-1810677
id-1291429,rec-1291429-dup-1
rec-600161-dup-0,id-600161
id-1135132,rec-1135132-dup-0
rec-725831-dup-1,rec-725831-dup-0
id-1634118,rec-1634118-dup-0
rec-623035-dup-0,id-623035
id-292495,rec-292495-dup-0
id-339914,rec-339914-dup-1
rec-896671-dup-1,id-896671
rec-10716-dup-1,id-10716
id-387156,rec-387156-dup-0
id-958313,rec-958313-dup-0
rec-502616-dup-0,id-502616
rec-10716-dup-1,rec-10716-dup-0
rec-833426-dup-0,id-833426
rec-238317-dup-1,id-238317
rec-1072749-dup-0,id-1072749
rec-6807-dup-1,id-6807
rec-1036198-dup-0,id-1036198
rec-758409-dup-1,rec-758409-dup-0
rec-2495401-dup-0,id-2495401
rec-6807-dup-0,rec-6807-dup-1
id-112977,rec-112977-dup-0
rec-1020690-dup-0,id-1020690
rec-883949-dup-0,id-883949
rec-412673-dup-0,id-412673
