1,2
id-27605894,rec-27605894-dup-0
id-4130621,rec-4130621-dup-0
rec-30647850-dup-0,id-30647850
rec-13753013-dup-1,rec-13753013-dup-0
rec-3239836-dup-1,rec-3239836-dup-0
rec-31381714-dup-0,rec-31381714-dup-1
rec-32698078-dup-1,rec-32698078-dup-0
rec-14396940-dup-0,id-14396940
rec-8662883-dup-0,id-8662883
rec-107388-dup-0,id-107388
rec-5854110-dup-1,rec-5854110-dup-0
rec-27603888-dup-0,id-27603888
id-5854110,rec-5854110-dup-0
id-15114815,rec-15114815-dup-0
rec-34274710-dup-1,rec-34274710-dup-0
id-3118394,rec-3118394-dup-0
id-7499755,rec-7499755-dup-0
rec-32715280-dup-1,id-32715280
id-7252621,rec-7252621-dup-0
id-10712759,rec-10712759-dup-0
id-10240561,rec-10240561-dup-0
id-25381865,rec-25381865-dup-0
id-3041429,rec-3041429-dup-0
id-13521751,rec-13521751-dup-0
rec-11849865-dup-1,rec-11849865-dup-0
rec-32660894-dup-1,id-32660894
rec-7358643-dup-0,id-7358643
rec-1668913-dup-0,id-1668913
id-30680380,rec-30680380-dup-0
id-32698078,rec-32698078-dup-1
rec-4121742-dup-0,rec-4121742-dup-1
rec-4815536-dup-0,id-4815536
rec-1399503-dup-0,rec-1399503-dup-1
rec-737106-dup-1,rec-737106-dup-0
id-31381714,rec-31381714-dup-1
rec-5410718-dup-0,id-5410718
id-10122233,rec-10122233-dup-0
rec-1172559-dup-1,id-1172559
rec-17837666-dup-0,id-17837666
id-1060324,rec-1060324-dup-1
id-4130621,rec-4130621-dup-1
id-6791383,rec-6791383-dup-0
rec-9688737-dup-0,rec-9688737-dup-1
id-34263135,rec-34263135-dup-1
rec-15228933-dup-0,id-15228933
rec-34263135-dup-0,rec-34263135-dup-1
id-8227651,rec-8227651-dup-0
id-4187759,rec-4187759-dup-0
id-4038972,rec-4038972-dup-0
rec-5184180-dup-0,id-5184180
rec-1789084-dup-0,rec-1789084-dup-1
id-4114648,rec-4114648-dup-0
id-37681385,rec-37681385-dup-0
rec-4502516-dup-0,rec-4502516-dup-1
id-7892965,rec-7892965-dup-1
id-5367938,rec-5367938-dup-0
id-11849865,rec-11849865-dup-0
rec-9425182-dup-0,id-9425182
rec-2747600-dup-1,rec-2747600-dup-0
rec-5367938-dup-0,rec-5367938-dup-1
rec-7579522-dup-1,id-7579522
id-2987042,rec-2987042-dup-0
rec-2231833-dup-1,rec-2231833-dup-0
id-5318139,rec-5318139-dup-0
rec-10456165-dup-1,id-10456165
rec-4120808-dup-1,id-4120808
id-4502516,rec-4502516-dup-1
rec-11875653-dup-1,id-11875653
rec-1060324-dup-0,rec-1060324-dup-1
rec-25371211-dup-0,id-25371211
rec-7409243-dup-1,id-7409243
rec-3411987-dup-0,id-3411987
id-5800600,rec-5800600-dup-0
rec-23013815-dup-0,id-23013815
rec-7515972-dup-1,id-7515972
rec-15343170-dup-0,rec-15343170-dup-1
id-3560685,rec-3560685-dup-0
rec-13710197-dup-0,id-13710197
rec-7892965-dup-0,id-7892965
rec-3107942-dup-0,id-3107942
rec-13495912-dup-0,rec-13495912-dup-1
id-15059972,rec-15059972-dup-1
rec-8436442-dup-1,id-8436442
id-1408654,rec-1408654-dup-0
id-9375562,rec-9375562-dup-1
id-10803285,rec-10803285-dup-0
