1,2
rec-397-dup-0,id-397
id-52490,rec-52490-dup-0
rec-7953-dup-0,id-7953
rec-68706-dup-0,id-68706
id-7503,rec-7503-dup-0
rec-88326-dup-0,id-88326
rec-26627-dup-0,id-26627
id-67743,rec-67743-dup-0
rec-670-dup-0,id-670
id-5287,rec-5287-dup-0
rec-123-dup-0,id-123
rec-12766-dup-0,id-12766
rec-5303-dup-0,id-5303
id-194,rec-194-dup-0
rec-4000-dup-0,id-4000
rec-103-dup-0,id-103
rec-13235-dup-0,id-13235
id-60639,rec-60639-dup-0
id-23698,rec-23698-dup-0
rec-7734-dup-0,id-7734
id-2531,rec-2531-dup-0
id-82583,rec-82583-dup-0
id-10862,rec-10862-dup-0
rec-5147-dup-0,id-5147
id-12336,rec-12336-dup-0
rec-266-dup-0,id-266
id-7288,rec-7288-dup-0
rec-961-dup-0,id-961
id-95884,rec-95884-dup-0
rec-11117-dup-0,id-11117
rec-7705-dup-0,id-7705
rec-117401-dup-0,id-117401
rec-3831-dup-0,id-3831
rec-378-dup-0,id-378
id-73,rec-73-dup-0
id-2759,rec-2759-dup-0
id-5131,rec-5131-dup-0
id-118630,rec-118630-dup-0
id-1503,rec-1503-dup-0
rec-5184-dup-0,id-5184
rec-12988-dup-0,id-12988
id-326,rec-326-dup-0
rec-24-dup-0,id-24
rec-116890-dup-0,id-116890
id-292,rec-292-dup-0
id-29483,rec-29483-dup-0
id-116443,rec-116443-dup-0
id-8173,rec-8173-dup-0
id-116767,rec-116767-dup-0
id-117103,rec-117103-dup-0
id-67,rec-67-dup-0
id-69540,rec-69540-dup-0
rec-5236-dup-0,id-5236
rec-23037-dup-0,id-23037
rec-7307-dup-0,id-7307
rec-30-dup-0,id-30
id-633,rec-633-dup-0
rec-170-dup-0,id-170
rec-653-dup-0,id-653
id-5430,rec-5430-dup-0
id-213,rec-213-dup-0
id-5129,rec-5129-dup-0
id-2230,rec-2230-dup-0
id-7737,rec-7737-dup-0
rec-224-dup-0,id-224
id-5243,rec-5243-dup-0
id-9607,rec-9607-dup-0
id-7281,rec-7281-dup-0
rec-88313-dup-0,id-88313
rec-2159-dup-0,id-2159
id-8908,rec-8908-dup-0
id-99854,rec-99854-dup-0
rec-23264-dup-0,id-23264
rec-87946-dup-0,id-87946
rec-105-dup-0,id-105
id-115443,rec-115443-dup-0
rec-97166-dup-0,id-97166
rec-96-dup-0,id-96
rec-12030-dup-0,id-12030
id-116782,rec-116782-dup-0
id-5062,rec-5062-dup-0
rec-1008-dup-0,id-1008
rec-115540-dup-0,id-115540
rec-3957-dup-0,id-3957
id-7717,rec-7717-dup-0
rec-10195-dup-0,id-10195
rec-7948-dup-0,id-7948
rec-68696-dup-0,id-68696
rec-30670-dup-0,id-30670
rec-67445-dup-0,id-67445
rec-590-dup-0,id-590
id-13,rec-13-dup-0
rec-102118-dup-0,id-102118
rec-5197-dup-0,id-5197
id-98,rec-98-dup-0
id-39344,rec-39344-dup-0
rec-22162-dup-0,id-22162
id-105393,rec-105393-dup-0
rec-434-dup-0,id-434
id-5548,rec-5548-dup-0
rec-90855-dup-0,id-90855
id-5089,rec-5089-dup-0
id-72200,rec-72200-dup-0
id-40602,rec-40602-dup-0
id-5198,rec-5198-dup-0
id-5114,rec-5114-dup-0
id-282,rec-282-dup-0
id-1812,rec-1812-dup-0
id-7711,rec-7711-dup-0
id-12799,rec-12799-dup-0
id-221,rec-221-dup-0
id-1468,rec-1468-dup-0
id-7961,rec-7961-dup-0
id-9563,rec-9563-dup-0
id-88222,rec-88222-dup-0
id-22844,rec-22844-dup-0
id-5110,rec-5110-dup-0
rec-118880-dup-0,id-118880
rec-7800-dup-0,id-7800
rec-31088-dup-0,id-31088
id-3912,rec-3912-dup-0
id-22323,rec-22323-dup-0
rec-5057-dup-0,id-5057
id-115582,rec-115582-dup-0
id-23187,rec-23187-dup-0
id-70176,rec-70176-dup-0
id-176,rec-176-dup-0
rec-1793-dup-0,id-1793
id-7716,rec-7716-dup-0
id-7280,rec-7280-dup-0
id-7984,rec-7984-dup-0
rec-117-dup-0,id-117
rec-5098-dup-0,id-5098
rec-1872-dup-0,id-1872
rec-54-dup-0,id-54
id-12084,rec-12084-dup-0
rec-7278-dup-0,id-7278
id-79466,rec-79466-dup-0
rec-60-dup-0,id-60
rec-67754-dup-0,id-67754
rec-3926-dup-0,id-3926
rec-29612-dup-0,id-29612
id-7327,rec-7327-dup-0
rec-23707-dup-0,id-23707
rec-7707-dup-0,id-7707
id-8391,rec-8391-dup-0
id-52,rec-52-dup-0
rec-23734-dup-0,id-23734
id-23072,rec-23072-dup-0
