artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-164-dup-1,De La So8l,De La Spul,1987,,,,,,f,Group,,id-222,
rec-837651-dup-0,Love4Mon4y,LoveqMoney,,,,,,,f,Group,,id-189,
id-111402,One Night Stand,One Night Stand,,,,,,,f,Group,,id-21,Punk rock from Belgium
id-545449,Dash,Dash,,,,,,,f,Person,Male,id-194,Spanish MC
id-74665,The Flirts,Flirts The,1980,,,,,,f,Group,,id-222,USA pop group
id-878582,Mills Embargo,Mills Embargo,,,,,,,f,Group,,id-203,
id-1119184,Olivier Capparos,Capparos Olivier,,,,,,,f,Person,Male,id-73,
id-115967,Herman Dune,Herman Dune,1999,,,,,,f,Group,,id-73,
rec-905952-dup-0,Orquestra Mecliterrânea,Orquestrs Mediterrânea,,,,,,,f,,,,
id-427385,Distance,Distance,,,,,,,f,Person,Male,id-221,UK dubstep artist Greg Sanders
id-38012,菅野よう子,Kanno Yōko,1964,3,19,,,,f,Person,Female,id-107,Japanese composer arranger  musician
rec-309823-dup-0,Panther MIZONOKUCHI,Panther MIZONOKUCHI,,,,,,,f,,,id-107,
id-59533,Swizz Beatz,Swizz Beatz,1978,9,13,,,,f,Person,Male,id-222,US hip hop producer
id-931805,The Chaperals,Chaperals The,,,,,,,f,Group,,id-81,a cappella Vocal Group
id-491218,Carlas,Carlas,,,,,,,f,Group,,,
id-759653,Hummingbird,Hummingbird,,,,,,,f,,,,Ambient electronic
id-69635,Gene Krupa and His Orchestra,Krupa Gene and His Orchestra,,,,,,,t,Group,,id-222,
id-68908,David McAlmont,McAlmont David,1967,5,2,,,,f,Person,Male,id-221,
rec-605118-dup-0,Milan Horvat,Horvat Mioan,1919,7,28,2014,1,1,t,Person,Male,rec-53-dup-0,Croatian conduc5or 19192014
rec-299405-dup-1,Dean Collinjon,Collinzon Dean,,,,,,,f,,,,
id-189646,Clive Cussler,Cussler Clive,1931,7,15,2020,2,24,t,Person,Male,id-222,novelist
rec-35115-dup-0,Jay Farar,Farrar Jav,1966,12,26,,,,f,Person,Male,id-222,
id-249865,Pittsburgh Symphony Orchestra,Pittsburgh Symphony Orchestra,1895,,,,,,f,Orchestra,,id-222,
id-268451,Ars Nova,Ars Nova,,,,,,,f,Group,,,electronicaindieexperimental
rec-1751715-dup-0,André Grajsi et son orchestre,Grassi André et son orvhestre,,,,,,,f,Orchestra,,,
id-1602066,Gregor Popovic,Popovic Gregor,,,,,,,f,Person,,,
id-46935,Faraquet,Faraquet,1997,,,2001,,,t,Group,,id-222,
id-788950,Treefight for Sunlight,Treefight for Sunlight,2007,,,,,,f,Group,,id-57,
