1,2
id-251780,rec-251780-dup-1
rec-230921-dup-0,rec-230921-dup-1
id-14666,rec-14666-dup-0
rec-153419-dup-0,id-153419
rec-249987-dup-0,id-249987
rec-247263-dup-0,id-247263
id-113501,rec-113501-dup-0
rec-180560-dup-0,id-180560
rec-124371-dup-0,rec-124371-dup-1
rec-143694-dup-0,id-143694
rec-129773-dup-1,rec-129773-dup-0
id-131156,rec-131156-dup-0
rec-178708-dup-0,id-178708
rec-103728-dup-0,id-103728
id-236817,rec-236817-dup-1
rec-227093-dup-0,id-227093
rec-51309-dup-1,id-51309
id-14731,rec-14731-dup-0
rec-222540-dup-1,rec-222540-dup-0
rec-106564-dup-0,id-106564
rec-132187-dup-1,id-132187
id-75329,rec-75329-dup-0
id-66594,rec-66594-dup-1
rec-9193-dup-1,rec-9193-dup-0
rec-114175-dup-0,id-114175
id-76195,rec-76195-dup-0
id-133087,rec-133087-dup-1
rec-177314-dup-0,id-177314
rec-222837-dup-1,id-222837
rec-96041-dup-1,id-96041
id-134915,rec-134915-dup-0
id-211062,rec-211062-dup-1
rec-64209-dup-1,rec-64209-dup-0
rec-4266-dup-1,id-4266
rec-27670-dup-0,rec-27670-dup-1
rec-126552-dup-0,rec-126552-dup-1
rec-54658-dup-0,id-54658
id-168019,rec-168019-dup-0
rec-52445-dup-1,id-52445
rec-244096-dup-0,id-244096
id-168019,rec-168019-dup-1
id-14731,rec-14731-dup-1
id-182813,rec-182813-dup-0
rec-47661-dup-1,rec-47661-dup-0
rec-89101-dup-0,id-89101
id-165116,rec-165116-dup-1
id-64985,rec-64985-dup-1
rec-116195-dup-0,id-116195
rec-61530-dup-0,id-61530
rec-251780-dup-0,id-251780
rec-172270-dup-0,id-172270
rec-126552-dup-1,id-126552
id-186841,rec-186841-dup-0
id-211062,rec-211062-dup-0
rec-2159-dup-0,id-2159
rec-1075-dup-1,rec-1075-dup-0
rec-39227-dup-0,id-39227
rec-58343-dup-1,rec-58343-dup-0
rec-52445-dup-0,id-52445
rec-219825-dup-1,rec-219825-dup-0
rec-41590-dup-1,rec-41590-dup-0
rec-173413-dup-1,id-173413
rec-125441-dup-1,rec-125441-dup-0
id-144296,rec-144296-dup-0
id-203528,rec-203528-dup-1
rec-27670-dup-0,id-27670
id-202000,rec-202000-dup-0
rec-243653-dup-0,id-243653
id-145599,rec-145599-dup-0
rec-203655-dup-0,id-203655
rec-89101-dup-0,rec-89101-dup-1
rec-36153-dup-0,id-36153
id-43158,rec-43158-dup-0
id-199517,rec-199517-dup-0
rec-19028-dup-0,id-19028
id-67792,rec-67792-dup-0
id-199661,rec-199661-dup-0
rec-51309-dup-1,rec-51309-dup-0
id-78831,rec-78831-dup-0
rec-91817-dup-0,id-91817
rec-74097-dup-0,id-74097
id-61530,rec-61530-dup-1
rec-168895-dup-0,id-168895
rec-207229-dup-0,id-207229
rec-98718-dup-1,id-98718
id-136477,rec-136477-dup-0
rec-49334-dup-0,id-49334
rec-59994-dup-0,id-59994
rec-30132-dup-1,rec-30132-dup-0
id-164890,rec-164890-dup-0
rec-120574-dup-1,rec-120574-dup-0
rec-211857-dup-1,rec-211857-dup-0
rec-53935-dup-1,id-53935
id-200652,rec-200652-dup-0
id-145599,rec-145599-dup-1
id-206547,rec-206547-dup-0
rec-90453-dup-1,id-90453
rec-222540-dup-1,id-222540
id-58343,rec-58343-dup-1
rec-182385-dup-0,id-182385
id-133087,rec-133087-dup-0
id-153015,rec-153015-dup-1
id-239306,rec-239306-dup-0
id-41590,rec-41590-dup-0
id-9180,rec-9180-dup-0
rec-168019-dup-0,rec-168019-dup-1
rec-190452-dup-0,id-190452
rec-66594-dup-0,id-66594
rec-129773-dup-0,id-129773
id-39701,rec-39701-dup-0
rec-222837-dup-0,id-222837
rec-176936-dup-0,id-176936
rec-147216-dup-0,id-147216
id-24027,rec-24027-dup-1
id-38459,rec-38459-dup-0
rec-178571-dup-0,id-178571
rec-147216-dup-0,rec-147216-dup-1
rec-9193-dup-1,id-9193
rec-231656-dup-0,rec-231656-dup-1
rec-3681-dup-1,rec-3681-dup-0
rec-48697-dup-0,id-48697
rec-150590-dup-0,id-150590
id-178704,rec-178704-dup-0
rec-247365-dup-0,id-247365
rec-111977-dup-0,id-111977
rec-81393-dup-0,rec-81393-dup-1
rec-225340-dup-0,id-225340
rec-182385-dup-0,rec-182385-dup-1
rec-207229-dup-0,rec-207229-dup-1
id-132732,rec-132732-dup-0
rec-242881-dup-0,id-242881
rec-133087-dup-1,rec-133087-dup-0
id-182813,rec-182813-dup-1
rec-203528-dup-1,rec-203528-dup-0
rec-56041-dup-0,id-56041
id-202371,rec-202371-dup-0
rec-197145-dup-1,rec-197145-dup-0
rec-158250-dup-1,rec-158250-dup-0
rec-61530-dup-0,rec-61530-dup-1
rec-45031-dup-0,id-45031
rec-118974-dup-1,id-118974
rec-47661-dup-0,id-47661
id-239482,rec-239482-dup-0
rec-228493-dup-0,rec-228493-dup-1
id-141740,rec-141740-dup-1
rec-64209-dup-0,id-64209
rec-96984-dup-0,id-96984
rec-207459-dup-0,id-207459
rec-236817-dup-0,id-236817
id-246326,rec-246326-dup-0
rec-158250-dup-0,id-158250
id-100622,rec-100622-dup-1
rec-234354-dup-0,id-234354
rec-137345-dup-0,id-137345
rec-251780-dup-0,rec-251780-dup-1
rec-198082-dup-0,id-198082
rec-177130-dup-1,id-177130
rec-141740-dup-0,rec-141740-dup-1
rec-181954-dup-0,id-181954
id-2371,rec-2371-dup-0
id-163645,rec-163645-dup-0
rec-3681-dup-0,id-3681
rec-245600-dup-0,id-245600
rec-9249-dup-1,rec-9249-dup-0
rec-21248-dup-0,id-21248
rec-199334-dup-1,id-199334
rec-211857-dup-0,id-211857
rec-241796-dup-1,rec-241796-dup-0
rec-199334-dup-0,rec-199334-dup-1
rec-48697-dup-1,rec-48697-dup-0
id-203528,rec-203528-dup-0
rec-38459-dup-1,id-38459
id-241796,rec-241796-dup-1
id-81227,rec-81227-dup-0
rec-152130-dup-1,id-152130
id-89101,rec-89101-dup-1
id-120574,rec-120574-dup-1
rec-126459-dup-1,id-126459
rec-84994-dup-0,id-84994
rec-30132-dup-0,id-30132
rec-248420-dup-1,id-248420
id-242714,rec-242714-dup-0
id-20529,rec-20529-dup-0
rec-247365-dup-0,rec-247365-dup-1
rec-59471-dup-1,rec-59471-dup-0
rec-239276-dup-0,id-239276
rec-168881-dup-0,id-168881
rec-14731-dup-1,rec-14731-dup-0
id-100622,rec-100622-dup-0
rec-144369-dup-1,id-144369
rec-129773-dup-1,id-129773
rec-211062-dup-1,rec-211062-dup-0
rec-182813-dup-0,rec-182813-dup-1
rec-118974-dup-0,id-118974
rec-219825-dup-0,id-219825
rec-36153-dup-0,rec-36153-dup-1
rec-17652-dup-0,id-17652
rec-18232-dup-0,id-18232
id-173413,rec-173413-dup-0
rec-52445-dup-0,rec-52445-dup-1
rec-51309-dup-0,id-51309
id-45031,rec-45031-dup-1
rec-124371-dup-1,id-124371
id-81393,rec-81393-dup-1
id-125443,rec-125443-dup-0
rec-222837-dup-0,rec-222837-dup-1
rec-103349-dup-0,rec-103349-dup-1
id-122267,rec-122267-dup-0
rec-224848-dup-0,id-224848
rec-41590-dup-1,id-41590
rec-236817-dup-0,rec-236817-dup-1
rec-173413-dup-1,rec-173413-dup-0
id-66291,rec-66291-dup-0
id-69835,rec-69835-dup-0
rec-182913-dup-0,id-182913
rec-38459-dup-1,rec-38459-dup-0
rec-91971-dup-0,id-91971
rec-236030-dup-0,id-236030
id-59471,rec-59471-dup-1
rec-45031-dup-0,rec-45031-dup-1
id-148977,rec-148977-dup-0
id-231656,rec-231656-dup-1
id-20232,rec-20232-dup-0
id-53717,rec-53717-dup-0
rec-200652-dup-1,rec-200652-dup-0
rec-118352-dup-0,rec-118352-dup-1
rec-126552-dup-0,id-126552
rec-53935-dup-0,rec-53935-dup-1
rec-246163-dup-0,id-246163
rec-81227-dup-1,rec-81227-dup-0
rec-152130-dup-0,id-152130
rec-98718-dup-1,rec-98718-dup-0
id-81227,rec-81227-dup-1
rec-74132-dup-0,id-74132
rec-132187-dup-0,id-132187
id-59471,rec-59471-dup-0
rec-53935-dup-0,id-53935
rec-248420-dup-0,id-248420
rec-69257-dup-0,id-69257
id-230921,rec-230921-dup-0
id-38417,rec-38417-dup-0
rec-200652-dup-1,id-200652
rec-122800-dup-0,id-122800
rec-140331-dup-0,rec-140331-dup-1
rec-4266-dup-0,rec-4266-dup-1
rec-118352-dup-0,id-118352
rec-91848-dup-0,id-91848
rec-9249-dup-1,id-9249
rec-4266-dup-0,id-4266
rec-81393-dup-0,id-81393
rec-192636-dup-0,id-192636
rec-167915-dup-0,id-167915
rec-19812-dup-0,id-19812
id-222540,rec-222540-dup-0
rec-64209-dup-1,id-64209
rec-211857-dup-1,id-211857
rec-219825-dup-1,id-219825
rec-64985-dup-0,rec-64985-dup-1
rec-140331-dup-0,id-140331
id-241796,rec-241796-dup-0
rec-167366-dup-1,id-167366
rec-90453-dup-1,rec-90453-dup-0
id-141740,rec-141740-dup-0
rec-152130-dup-1,rec-152130-dup-0
id-82650,rec-82650-dup-1
rec-42190-dup-0,id-42190
rec-91971-dup-1,id-91971
rec-82650-dup-0,id-82650
rec-71226-dup-0,id-71226
rec-24027-dup-0,rec-24027-dup-1
id-165116,rec-165116-dup-0
rec-27670-dup-1,id-27670
id-30071,rec-30071-dup-0
id-1075,rec-1075-dup-0
rec-166860-dup-0,id-166860
id-183301,rec-183301-dup-1
rec-144369-dup-0,id-144369
rec-91971-dup-0,rec-91971-dup-1
rec-247365-dup-1,id-247365
rec-158250-dup-1,id-158250
rec-248420-dup-0,rec-248420-dup-1
rec-30132-dup-1,id-30132
id-227939,rec-227939-dup-0
id-246326,rec-246326-dup-1
rec-20232-dup-0,rec-20232-dup-1
rec-7080-dup-0,id-7080
rec-66594-dup-0,rec-66594-dup-1
rec-162579-dup-0,id-162579
id-183301,rec-183301-dup-0
id-126459,rec-126459-dup-0
id-20232,rec-20232-dup-1
id-127381,rec-127381-dup-0
id-202000,rec-202000-dup-1
id-147216,rec-147216-dup-1
rec-229596-dup-0,id-229596
rec-231656-dup-0,id-231656
rec-199334-dup-0,id-199334
rec-177130-dup-0,id-177130
id-196386,rec-196386-dup-0
rec-159231-dup-0,id-159231
rec-98718-dup-0,id-98718
id-197145,rec-197145-dup-0
id-18111,rec-18111-dup-0
rec-167366-dup-1,rec-167366-dup-0
id-112926,rec-112926-dup-0
rec-3492-dup-0,id-3492
rec-118352-dup-1,id-118352
rec-48697-dup-1,id-48697
id-230591,rec-230591-dup-0
id-103349,rec-103349-dup-0
rec-202000-dup-1,rec-202000-dup-0
rec-24027-dup-0,id-24027
id-9193,rec-9193-dup-0
rec-140331-dup-1,id-140331
id-235618,rec-235618-dup-0
id-9180,rec-9180-dup-1
id-108495,rec-108495-dup-0
rec-100622-dup-1,rec-100622-dup-0
rec-167366-dup-0,id-167366
rec-125441-dup-1,id-125441
id-197145,rec-197145-dup-1
id-171741,rec-171741-dup-0
id-139087,rec-139087-dup-0
id-67792,rec-67792-dup-1
rec-143664-dup-0,id-143664
id-74808,rec-74808-dup-0
rec-125441-dup-0,id-125441
id-19334,rec-19334-dup-0
rec-153015-dup-1,rec-153015-dup-0
id-58343,rec-58343-dup-0
rec-9180-dup-0,rec-9180-dup-1
rec-3681-dup-1,id-3681
id-64985,rec-64985-dup-0
rec-96041-dup-0,rec-96041-dup-1
rec-132187-dup-0,rec-132187-dup-1
rec-180820-dup-0,id-180820
id-9249,rec-9249-dup-0
rec-207229-dup-1,id-207229
id-74661,rec-74661-dup-0
rec-183301-dup-0,rec-183301-dup-1
id-186918,rec-186918-dup-0
id-1075,rec-1075-dup-1
rec-67792-dup-0,rec-67792-dup-1
rec-189312-dup-0,id-189312
rec-144369-dup-0,rec-144369-dup-1
id-119194,rec-119194-dup-0
rec-100253-dup-0,id-100253
id-103349,rec-103349-dup-1
rec-90453-dup-0,id-90453
