medium,release,position,format,track_count
rec-2106057-dup-0,rec-1967674-dup-0,4,43,106
id-1043948,id-1043662,2,1,16
id-612035,id-612035,1,12,28
id-1293043,id-1259527,1,1,20
id-1200099,id-1178483,1,1,11
id-748086,id-748086,1,12,283
id-52866,id-52866,1,1,12
id-1110419,id-1100638,1,1,12
id-436072,id-436072,1,,2
id-127097,id-127097,1,,13
id-786360,id-786360,1,1,8
id-988606,id-988606,1,1,13
id-232253,id-232253,1,1,13
rec-83378-dup-0,rec-83378-dup-0,1,1,38
id-839370,id-839370,1,,11
rec-97887-dup-0,id-97887,1,,14
id-3652375,id-3351312,1,1,5
id-1159158,id-1143354,2,1,16
id-1123454,id-1111881,1,1,13
id-1205268,id-1183027,3,12,15
id-409464,id-409464,1,8,4
id-423736,id-423736,1,1,17
id-183476,id-183476,1,1,20
id-465437,id-465437,1,1,4
id-960850,id-960850,1,,15
id-1239530,id-1213214,1,,24
id-1064526,id-351558,2,1,20
id-1310635,id-1274737,1,12,11
id-683762,id-683762,1,31,11
rec-339150-dup-0,id-339150,1,1,35
id-1146866,id-1132419,1,1,2
id-351428,id-351428,1,1,10
id-3088996,id-2841654,1,12,4
id-958109,id-958109,1,,11
id-1254568,id-1226534,1,1,10
id-3088992,id-2841650,1,12,134
id-864174,id-864174,1,,36
rec-1330512-dup-0,id-1292117,1,12,50
id-821139,id-821139,1,1,11
id-207402,id-207402,1,12,11
id-916677,id-916677,1,,20
id-604324,id-604324,1,1,12
rec-526085-dup-0,id-526085,1,1,11
id-875608,id-875608,1,,14
id-475983,id-475986,2,1,15
id-1850175,id-1745047,7,1,11
id-961616,id-961616,1,1,10
id-1122037,id-1110656,1,1,12
id-494123,id-494123,1,1,12
rec-419882-dup-0,rec-419882-dup-0,1,1,13
rec-1693902-dup-0,id-1610507,2,19,26
id-1178773,id-1160110,1,1,19
id-554424,id-554424,1,,9
id-891470,id-891470,1,,10
rec-2561277-dup-0,id-2364994,1,1,20
rec-802956-dup-0,rec-802956-dup-0,1,7,9
id-947594,id-947594,1,1,8
id-1330232,id-1291874,1,31,9
id-1250306,id-1222775,1,1,11
id-1241291,id-1214750,1,1,12
id-796032,id-796032,1,1,12
rec-907130-dup-0,id-907130,1,,13
id-997876,id-997876,1,,21
id-802956,id-802956,1,7,9
rec-400771-dup-0,id-400771,1,1,12
id-797182,id-797182,1,1,13
id-644048,id-644048,1,1,14
id-479675,id-479675,1,1,99
rec-1085042-dup-0,id-1079331,1,12,10
rec-1150065-dup-0,id-1135255,1,1,18
id-257533,id-257533,1,1,12
id-770247,id-770247,1,1,13
rec-9568-dup-0,id-9568,1,1,29
id-86859,id-86859,1,1,7
rec-265329-dup-0,id-265329,1,1,18
id-938276,id-938276,1,,13
id-1081171,id-1075852,1,1,19
rec-756118-dup-0,id-756118,1,12,16
id-851653,id-851653,1,,11
id-723097,id-723097,1,1,17
rec-43440-dup-0,id-43440,1,1,3
id-1286704,id-1253956,1,12,30
id-575314,id-575314,1,1,12
id-534648,id-534648,1,1,15
id-571323,id-571323,1,31,3
id-1306158,id-1270929,1,1,10
id-913751,id-913751,1,,14
id-638732,id-638732,1,1,16
id-869862,id-869862,1,1,15
id-1347045,id-1306600,1,1,16
id-420493,id-420493,1,1,18
id-143520,id-143520,1,,12
id-51070,id-51070,1,,30
id-1054043,id-1052186,1,1,4
id-772076,id-772076,1,1,25
rec-1040241-dup-0,id-1040241,1,,22
id-978797,id-978797,1,,19
id-341327,id-341327,1,1,12
id-549141,id-549141,1,7,8
id-20481,id-586122,2,1,18
id-1611486,id-1539154,1,12,11
id-648148,id-648148,1,1,15
id-875462,id-875462,1,,13
id-190578,id-190578,1,29,2
id-283311,id-283311,1,,8
id-3769449,id-3459470,1,29,2
id-121070,id-121070,1,,16
id-280511,id-280511,1,1,2
rec-1235466-dup-1,rec-1209616-dup-0,1,1,4
rec-395564-dup-0,rec-395564-dup-0,1,1,8
rec-939209-dup-0,id-939209,1,,15
id-17498,id-17498,1,1,3
id-985714,id-985714,1,,13
id-711067,id-711067,1,1,10
rec-688039-dup-0,id-688039,1,1,15
id-445429,id-445429,1,1,25
id-167003,id-167003,1,1,20
id-2694469,id-2486833,1,1,20
id-858629,id-858629,1,,19
id-736612,id-736612,1,31,12
id-376870,id-376872,2,1,25
id-620888,id-620888,1,12,48
id-1230767,id-1205205,1,1,20
id-1195274,id-1174203,1,1,13
id-659841,id-659841,1,1,21
id-9096,id-9096,1,1,22
rec-438085-dup-0,id-438085,1,1,15
id-1423268,id-1373589,1,1,9
id-177976,id-177976,1,1,11
id-2243710,id-2086101,1,12,12
id-3084225,id-2837214,1,12,19
id-556175,id-556175,1,,14
id-1057381,id-1055025,2,1,11
id-177978,id-177978,1,1,10
id-657190,id-657162,2,1,7
id-234,id-234,1,,17
id-1032097,id-1032086,2,1,19
rec-301632-dup-0,rec-301632-dup-1,1,1,11
id-595229,id-595229,1,1,13
id-434299,id-434299,1,1,4
id-3079309,id-2832716,3,33,4
id-168286,id-168286,1,,8
id-531365,id-531365,1,1,10
id-279985,id-279985,1,1,25
id-69819,id-69819,1,,28
rec-160595-dup-0,id-160595,1,,14
id-380716,id-380716,1,1,11
id-2694681,id-2487025,1,1,12
id-1206232,id-1183861,1,1,14
id-2248671,id-2090445,1,1,20
id-742583,id-742583,1,1,18
id-1138006,id-1124709,1,1,17
id-1121546,id-1110231,1,1,17
id-559104,id-559104,1,1,21
id-352699,id-352699,1,1,17
id-994064,id-994064,1,,17
id-1693778,id-1610402,1,12,18
id-695769,id-695769,1,12,75
id-2560649,id-2364449,1,1,19
id-578775,id-578775,1,29,2
rec-13343-dup-0,id-13343,1,1,9
id-2111231,id-1972146,1,1,12
id-785084,id-785084,1,1,12
id-1302920,id-1268171,2,31,14
id-380089,id-380089,1,1,7
id-951201,id-951201,1,,25
id-307861,id-307861,1,1,10
id-976159,id-976159,1,,12
id-1315919,id-1279355,1,1,14
id-322399,id-322399,1,12,11
rec-616029-dup-0,id-616029,1,1,20
rec-855451-dup-0,rec-855451-dup-0,1,1,12
id-1073929,id-1069543,1,26,17
id-494729,id-494729,1,1,12
id-749828,id-749828,1,12,287
id-1335572,id-1296492,1,34,4
rec-3087995-dup-0,id-2840748,1,12,6
id-711716,id-711716,1,1,16
id-3655642,id-3354375,1,1,18
id-937392,id-937392,1,33,11
id-1379870,id-1335313,1,8,4
id-997466,id-997466,1,1,18
id-862687,id-862687,1,1,20
rec-1287185-dup-0,id-1254407,1,1,12
id-2869535,id-2642573,1,12,1
id-753876,id-753876,1,7,6
id-2242356,id-2084889,1,,14
id-867630,id-867630,1,1,19
rec-3354237-dup-0,id-3081420,1,1,12
id-219726,id-219719,2,1,14
id-223014,id-223014,1,1,8
id-723686,id-723686,1,8,13
rec-2243697-dup-0,rec-2086088-dup-0,1,1,18
id-761277,id-761277,1,1,15
id-338625,id-338625,1,1,13
id-785402,id-785402,1,1,12
id-785400,id-785400,1,1,17
rec-1488838-dup-1,rec-1430636-dup-0,4,1,20
id-1213707,id-1190377,1,7,14
id-2798304,id-2578969,1,12,14
id-444885,id-444885,1,1,11
id-1597614,id-1527211,1,31,9
id-230887,id-230887,1,1,15
id-2621477,id-2419374,1,7,19
id-1490527,id-1432126,3,19,15
id-467794,id-446581,2,1,9
id-1235846,id-1209948,1,1,7
id-1486566,id-1428611,1,1,22
id-1090224,id-1083708,1,1,7
id-1326173,id-1288369,1,31,14
rec-687-dup-0,id-688,2,1,26
id-920667,id-920667,1,1,15
id-1112596,id-1102392,1,1,20
id-169060,id-169060,1,1,15
id-1377095,id-1332957,1,1,14
id-69936,id-69936,1,1,19
id-746738,id-746738,1,1,21
id-463410,id-463410,1,1,12
id-490115,id-490115,1,1,10
id-748563,id-748563,1,12,69
rec-56460-dup-0,id-56460,1,,16
id-883726,id-883726,1,,18
id-1485721,id-1427855,1,1,15
id-696510,id-696510,1,1,12
id-1287185,id-1254407,1,1,12
id-1035011,id-1035011,1,,10
rec-859767-dup-0,rec-859766-dup-0,9,1,26
id-829476,id-829476,1,1,18
rec-662531-dup-0,id-662531,1,31,8
id-3082877,id-2835974,1,12,39
rec-946073-dup-0,id-946073,1,1,99
rec-1159528-dup-0,id-1143689,1,1,12
id-2243816,id-2086194,1,12,4
id-569010,id-569005,2,1,29
id-736892,id-736892,1,1,6
id-407639,id-407639,1,31,11
id-1294573,id-1260812,1,12,12
id-720380,id-720380,1,7,12
id-697931,id-697931,1,29,5
rec-967075-dup-0,id-967075,1,,10
rec-977975-dup-1,rec-977975-dup-1,1,1,9
rec-61148-dup-0,id-61148,1,1,12
id-407147,id-407147,1,1,9
rec-424668-dup-0,id-424668,1,1,1
id-3650702,id-3349792,1,8,5
id-1092804,id-1085888,1,31,5
id-2697087,id-2489253,1,12,7
id-208510,id-208510,1,,11
rec-907741-dup-0,rec-907741-dup-0,1,1,19
id-983719,id-983719,1,,14
id-265132,id-265132,1,1,15
id-2562417,id-2366061,1,1,18
id-1323636,id-1286091,1,1,14
id-1068298,id-1064557,1,1,6
id-827334,id-827334,1,1,28
rec-1147216-dup-0,id-1132732,1,33,10
id-668922,id-668922,1,31,23
id-3651499,id-3350516,1,1,40
id-582892,id-582892,1,,10
id-3356062,id-3083096,1,12,1
id-1025785,id-1025785,1,,23
id-649629,id-649629,1,1,11
id-868186,id-868186,1,1,10
id-3655862,id-3354583,1,12,22
id-1017057,id-1017057,1,,21
id-1062586,id-1059563,1,1,14
rec-3655954-dup-0,id-3354673,1,12,31
id-598017,id-598017,1,1,10
id-2867909,id-2641126,1,1,23
id-41522,id-41522,1,1,12
id-844680,id-844680,1,12,14
id-2556782,id-2360911,1,1,17
rec-277858-dup-0,rec-277858-dup-0,1,7,13
rec-492872-dup-0,id-492872,1,1,24
id-3650630,id-3349724,1,12,1
rec-1069542-dup-0,id-1065616,1,1,16
id-602501,id-602501,1,1,13
id-787623,id-787623,1,1,11
id-357904,id-357904,1,1,5
id-1065200,id-1061881,1,1,48
id-1360857,id-1318660,1,12,40
rec-10309-dup-0,rec-10309-dup-1,1,,41
id-619280,id-619280,1,,18
rec-997298-dup-0,id-997298,1,,10
id-782295,id-782295,1,1,18
rec-340166-dup-0,id-340166,1,8,21
id-653270,id-653270,1,1,9
id-1695434,id-1611812,1,1,13
id-404475,id-404475,1,1,10
id-782051,id-782048,2,1,29
id-970341,id-970341,1,1,10
rec-732391-dup-0,id-732391,1,1,9
id-879370,id-879370,1,,35
id-472816,id-472816,1,1,15
id-3767096,id-3457251,1,31,16
id-668859,id-668859,1,1,22
id-917204,id-917204,1,1,13
id-427159,id-427159,1,1,16
rec-2617574-dup-1,rec-2415896-dup-1,1,1,11
rec-2617574-dup-0,rec-2415896-dup-0,1,1,11
id-663765,id-663765,1,1,6
id-988120,id-988120,1,1,11
id-2558989,id-2362940,1,8,5
rec-1155982-dup-0,rec-1140508-dup-0,1,12,4
rec-1252918-dup-0,id-1225043,1,31,10
id-1701977,id-1617349,1,31,6
