track,recording,medium,position,number,name,artist_credit,length,is_data_track
id-12441221,id-13601446,id-1178773,4,4,Silencio,id-47014,165000,f
id-3157571,id-3811252,id-937809,1,1,Carnival,id-239056,82093,f
rec-7295050-dup-1,id-8616568,id-998978,7,7,Ub ángel llora,id-569503,257000,f
id-15921017,id-13842502,id-1425452,3,3,Banished,id-1031252,188800,f
rec-24446611-dup-0,id-21975463,id-2247182,3,3,Bnng Em Out,rec-159154-dup-0,205547,f
rec-9157971-dup-0,id-10623912,id-663765,3,3,The Age of Specdacles,id-694310,257000,f
id-15114815,id-15087009,id-1349855,10,10,Farándula,id-1191347,122453,f
id-3194840,id-3855577,id-459631,3,3,It Should Be Easier Now,id-6083,138333,f
id-11220779,id-12790809,id-1085042,1,1,Intro,id-791589,24000,f
id-17837666,id-17186325,id-1611486,3,3,Leyendas de un desconocido,id-1404018,,f
rec-12108255-dup-0,id-13418623,id-1156355,7,7,Wir gehörn doch zuaammen,id-59092,205000,f
id-9872047,id-11385969,id-843171,8,8,Intermission,id-53139,54000,f
id-12181081,id-13461830,id-1161755,18,18,Its Up to You Lizzy,id-969266,160000,f
id-8597691,id-10025550,id-851413,10,10,El pequeño Brooklyn,id-553560,,f
rec-12186653-dup-0,id-13466204,id-1162400,11,11,Prejsure,id-733558,249000,f
rec-3292298-dup-1,id-3976219,rec-625425-dup-0,8,8,신사들의 절약정신 Goocl Afternoon,id-233769,67346,f
id-34305577,id-29136197,id-3262774,15,15,All Machines Are Quiet Andre Obin Remix,id-193545,197760,f
id-3344000,id-4041873,id-947553,1,1,Good Sign album version,id-1500372,183666,f
rec-6235988-dup-0,rec-7478465-dup-0,rec-393411-dup-0,3,3,Subt3rrestrial,id-470993,194000,f
id-10635752,id-12233210,id-840001,8,8,Thelonious Monk introduction,id-97546,21000,f
id-7332310,id-8656967,id-463870,8,8,Majesty,id-2601,463986,f
rec-37705576-dup-0,id-31576731,id-3654436,13,13,Do víka nekopa5,id-241126,132000,f
id-7252621,id-8571665,id-453689,4,4,Hundred Feet So Inagawa remix,id-566481,355000,f
rec-10935390-dup-0,id-12550304,rec-1057555-dup-0,1,1,2b 209,id-734410,102000,f
rec-10935390-dup-1,id-12550304,rec-1057555-dup-0,1,1,2p 200,id-734410,102000,f
rec-11300784-dup-0,id-12860708,id-1093287,3,3,The Gaheat Indoors,id-873152,172000,f
id-1187058,id-1405511,id-958221,7,7,What Is Dub,id-5621,276000,f
rec-15898887-dup-1,id-15683492,rec-1423422-dup-0,5,5,Mopasop,id-937285,97171,f
id-2305340,id-2755755,id-962424,10,10,Mama Im Coming Home,id-188,286333,f
id-2496611,id-2994717,id-21137,11,11,Scientists Playing God,id-89441,268600,f
id-13051135,id-13878394,id-1210147,19,19,I Know,id-854602,224000,f
id-8020861,id-9398314,id-544213,1,1,New York Airport original mix,id-620714,537000,f
id-16564664,id-16188793,id-1486566,21,21,Gone But Not Vergotten,id-1314909,205426,f
id-39767535,id-33044853,id-3903642,5,5,Rusted Laundry,id-2611921,146000,f
id-7738662,id-9097613,id-511254,6,6,Ghosts of Mosman,id-69657,,f
id-11665607,id-13140513,id-1123978,4,4,Medley CorazaArmay ChischiChanga,id-116044,283200,f
id-9451152,id-10933586,id-688817,76,76,Primetime n alternative version,id-3074030,6000,f
id-12660523,id-13692611,id-1190663,2,2,Ibiil,id-233928,295000,f
id-18692357,id-17799319,id-1692621,3,3,Lady Ocean,id-1479400,261307,f
id-1708226,id-2024974,id-784535,14,14,Suite No 2 in D minor BWV 1008 VII Gigue,id-2327,185600,f
id-10277500,id-11839473,id-776294,2,2,Hallo liebe Oma,id-769157,181000,f
id-13521846,id-7690886,id-1241035,14,14,Cai no samba,id-1074366,211013,f
id-12444215,id-13404860,id-1154644,14,14,Rain Falls,id-961429,,f
id-18742927,id-17837114,id-1697118,2,2,Open Road,id-1484915,241000,f
id-8391654,id-9803182,id-588222,11,11,Therapy Room,id-457299,318000,f
id-30706729,id-26563016,id-2871174,4,4,Single Single,id-587603,370100,f
id-27531007,id-24223963,id-2553036,30,30,Gebet im Garten  Markus 1432  50,id-2373002,,f
id-12125296,id-13424863,id-1156998,7,7,Barefoot Over Nails,id-197771,337000,f
id-6585809,id-7858220,id-370040,3,3,Lost in Obscurity,id-501909,756506,f
