1,2
id-68486,rec-68486-dup-0
rec-46231-dup-0,id-46231
id-82790,rec-82790-dup-0
id-117103,rec-117103-dup-0
rec-9625-dup-0,id-9625
id-118456,rec-118456-dup-0
id-89433,rec-89433-dup-0
rec-3926-dup-0,id-3926
id-70176,rec-70176-dup-0
id-221,rec-221-dup-0
id-13235,rec-13235-dup-0
id-8393,rec-8393-dup-0
id-71662,rec-71662-dup-0
rec-40602-dup-0,id-40602
rec-102372-dup-0,id-102372
rec-8391-dup-0,id-8391
rec-188-dup-0,id-188
id-435,rec-435-dup-0
rec-481-dup-0,id-481
id-7324,rec-7324-dup-0
id-23737,rec-23737-dup-0
rec-5303-dup-0,id-5303
rec-96-dup-0,id-96
rec-5107-dup-0,id-5107
id-102118,rec-102118-dup-0
rec-62241-dup-0,id-62241
rec-7948-dup-0,id-7948
id-118630,rec-118630-dup-0
rec-68706-dup-0,id-68706
id-116160,rec-116160-dup-0
id-33,rec-33-dup-0
rec-29612-dup-0,id-29612
rec-7734-dup-0,id-7734
rec-69750-dup-0,id-69750
rec-3992-dup-0,id-3992
id-5056,rec-5056-dup-0
id-12766,rec-12766-dup-0
id-23035,rec-23035-dup-0
id-205,rec-205-dup-0
rec-242-dup-0,id-242
rec-5184-dup-0,id-5184
rec-8908-dup-0,id-8908
id-55341,rec-55341-dup-0
id-411,rec-411-dup-0
rec-83392-dup-0,id-83392
id-80664,rec-80664-dup-0
rec-10971-dup-0,id-10971
id-52,rec-52-dup-0
rec-113-dup-0,id-113
rec-331-dup-0,id-331
id-12730,rec-12730-dup-0
rec-99496-dup-0,id-99496
id-961,rec-961-dup-0
id-12021,rec-12021-dup-0
rec-19680-dup-0,id-19680
rec-3925-dup-0,id-3925
id-10422,rec-10422-dup-0
id-29637,rec-29637-dup-0
rec-47-dup-0,id-47
id-1503,rec-1503-dup-0
rec-12336-dup-0,id-12336
id-8852,rec-8852-dup-0
id-31088,rec-31088-dup-0
id-48334,rec-48334-dup-0
rec-5194-dup-0,id-5194
id-98224,rec-98224-dup-0
rec-116890-dup-0,id-116890
id-7711,rec-7711-dup-0
rec-7296-dup-0,id-7296
rec-156-dup-0,id-156
rec-219-dup-0,id-219
rec-5213-dup-0,id-5213
id-68698,rec-68698-dup-0
rec-98-dup-0,id-98
rec-2230-dup-0,id-2230
id-5282,rec-5282-dup-0
rec-15123-dup-0,id-15123
id-5130,rec-5130-dup-0
id-103,rec-103-dup-0
id-3821,rec-3821-dup-0
rec-7503-dup-0,id-7503
rec-117367-dup-0,id-117367
id-5082,rec-5082-dup-0
id-22373,rec-22373-dup-0
rec-138-dup-0,id-138
id-66426,rec-66426-dup-0
id-11117,rec-11117-dup-0
id-112783,rec-112783-dup-0
id-26627,rec-26627-dup-0
rec-8105-dup-0,id-8105
id-7710,rec-7710-dup-0
rec-67482-dup-0,id-67482
rec-7960-dup-0,id-7960
id-87960,rec-87960-dup-0
rec-12314-dup-0,id-12314
rec-14228-dup-0,id-14228
rec-62242-dup-0,id-62242
id-8966,rec-8966-dup-0
rec-12030-dup-0,id-12030
rec-5782-dup-0,id-5782
id-10,rec-10-dup-0
id-204,rec-204-dup-0
id-69685,rec-69685-dup-0
rec-29508-dup-0,id-29508
id-89187,rec-89187-dup-0
id-115582,rec-115582-dup-0
rec-82351-dup-0,id-82351
rec-107042-dup-0,id-107042
id-11811,rec-11811-dup-0
id-5147,rec-5147-dup-0
rec-5331-dup-0,id-5331
rec-1872-dup-0,id-1872
id-5769,rec-5769-dup-0
id-7705,rec-7705-dup-0
rec-53-dup-0,id-53
rec-7295-dup-0,id-7295
rec-86219-dup-0,id-86219
id-53025,rec-53025-dup-0
rec-397-dup-0,id-397
rec-99-dup-0,id-99
rec-3834-dup-0,id-3834
rec-117235-dup-0,id-117235
rec-670-dup-0,id-670
rec-5131-dup-0,id-5131
rec-90926-dup-0,id-90926
id-7706,rec-7706-dup-0
id-80914,rec-80914-dup-0
rec-13310-dup-0,id-13310
id-12047,rec-12047-dup-0
rec-7731-dup-0,id-7731
rec-12799-dup-0,id-12799
id-651,rec-651-dup-0
id-12057,rec-12057-dup-0
rec-68649-dup-0,id-68649
rec-5075-dup-0,id-5075
rec-23910-dup-0,id-23910
rec-12762-dup-0,id-12762
rec-262-dup-0,id-262
rec-88625-dup-0,id-88625
rec-241-dup-0,id-241
id-69821,rec-69821-dup-0
id-93564,rec-93564-dup-0
id-7715,rec-7715-dup-0
id-5197,rec-5197-dup-0
rec-115611-dup-0,id-115611
rec-326-dup-0,id-326
id-327,rec-327-dup-0
rec-44676-dup-0,id-44676
id-271,rec-271-dup-0
rec-273-dup-0,id-273
rec-97-dup-0,id-97
id-115565,rec-115565-dup-0
rec-3-dup-0,id-3
id-119391,rec-119391-dup-0
rec-322-dup-0,id-322
rec-292-dup-0,id-292
id-2159,rec-2159-dup-0
rec-88668-dup-0,id-88668
id-67590,rec-67590-dup-0
id-5353,rec-5353-dup-0
rec-8258-dup-0,id-8258
id-5241,rec-5241-dup-0
rec-2531-dup-0,id-2531
rec-95884-dup-0,id-95884
rec-7278-dup-0,id-7278
id-63,rec-63-dup-0
rec-69661-dup-0,id-69661
id-11712,rec-11712-dup-0
id-23204,rec-23204-dup-0
id-5099,rec-5099-dup-0
id-67,rec-67-dup-0
rec-2759-dup-0,id-2759
rec-4000-dup-0,id-4000
rec-3887-dup-0,id-3887
id-60189,rec-60189-dup-0
