artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-111402,One Night Stand,One Night Stand,,,,,,,f,Group,,id-21,Punk rock from Belgium
id-545449,Dash,Dash,,,,,,,f,Person,Male,id-194,Spanish MC
id-74665,The Flirts,Flirts The,1980,,,,,,f,Group,,id-222,USA pop group
id-878582,Mills Embargo,Mills Embargo,,,,,,,f,Group,,id-203,
id-1119184,Olivier Capparos,Capparos Olivier,,,,,,,f,Person,Male,id-73,
id-115967,Herman Dune,Herman Dune,1999,,,,,,f,Group,,id-73,
id-427385,Distance,Distance,,,,,,,f,Person,Male,id-221,UK dubstep artist Greg Sanders
id-38012,菅野よう子,Kanno Yōko,1964,3,19,,,,f,Person,Female,id-107,Japanese composer arranger  musician
id-59533,Swizz Beatz,Swizz Beatz,1978,9,13,,,,f,Person,Male,id-222,US hip hop producer
id-931805,The Chaperals,Chaperals The,,,,,,,f,Group,,id-81,a cappella Vocal Group
id-491218,Carlas,Carlas,,,,,,,f,Group,,,
id-759653,Hummingbird,Hummingbird,,,,,,,f,,,,Ambient electronic
id-69635,Gene Krupa and His Orchestra,Krupa Gene and His Orchestra,,,,,,,t,Group,,id-222,
id-68908,David McAlmont,McAlmont David,1967,5,2,,,,f,Person,Male,id-221,
id-189646,Clive Cussler,Cussler Clive,1931,7,15,2020,2,24,t,Person,Male,id-222,novelist
id-249865,Pittsburgh Symphony Orchestra,Pittsburgh Symphony Orchestra,1895,,,,,,f,Orchestra,,id-222,
id-268451,Ars Nova,Ars Nova,,,,,,,f,Group,,,electronicaindieexperimental
id-1602066,Gregor Popovic,Popovic Gregor,,,,,,,f,Person,,,
id-46935,Faraquet,Faraquet,1997,,,2001,,,t,Group,,id-222,
id-788950,Treefight for Sunlight,Treefight for Sunlight,2007,,,,,,f,Group,,id-57,
id-44783,Black Tape for a Blue Girl,Black Tape for a Blue Girl,1986,,,,,,f,Group,,id-222,
id-35917,Jim Reeves,Reeves Jim,1923,8,20,1964,7,31,t,Person,Male,id-222,US country  pop singer
id-183473,Vomitous,Vomitous,2001,,,,,,f,Group,,id-202,
id-1500972,Six of Swords,Six of Swords,2013,,,,,,f,Group,,id-5076,death metal
id-66398,Son Kite,Son Kite,1996,,,,,,f,Group,,id-57,
id-504144,Tetine,Tetine,,,,,,,f,Group,,id-30,
id-24329,King Adora,King Adora,1998,,,2005,,,t,Group,,id-221,
id-686331,若原一郎,Wakahara Ichirou,1931,8,1,1990,7,16,t,Person,Male,id-107,
id-452165,Kelly Sweet,Sweet Kelly,1988,3,29,,,,f,Person,Female,id-222,
id-136311,Roudoudou,Roudoudou,1963,,,,,,f,Person,Male,id-73,
id-609850,Arsenik,Arsenik,1989,9,24,,,,f,Person,,,Born in the 80s Product of the 90s
id-676239,Tapes,Tapes,,,,,,,f,Person,Male,id-221,Jackson Bailey
id-157138,Hot Chip,Hot Chip,2000,,,,,,f,Group,,id-221,
id-337880,Concentus Musicus Wien,Concentus Musicus Wien,1953,,,,,,f,Orchestra,,id-14,
id-938186,ThermalBear,ThermalBear,,,,,,,f,,,,
id-2049850,FREEATLAST,FREEATLAST,,,,,,,f,,,id-3925,Synthwave and Dubstep
id-41158,Corvus Corax,Corvus Corax,1989,12,,,,,f,Group,,id-81,German band playing medieval music
id-99187,Jet,Jet,2001,,,,,,f,Group,,id-13,Australian garage rock band
id-44434,Sharon Lois  Bram,Sharon Lois  Bram,1978,,,,,,f,Group,,id-38,
id-117497,Johann Bley,Bley Johann,,,,,,,f,Person,Male,id-81,psychedelic trance artist
id-84353,Marcia Hines,Hines Marcia,1953,7,20,,,,f,Person,Female,id-13,
id-150137,iNTROSPEKT,iNTROSPEKT,,,,,,,f,,,,
id-120323,Stendal Blast,Stendal Blast,1989,,,,,,f,Group,,id-81,
id-1528,Grateful Dead,Grateful Dead,1965,,,1995,,,t,Group,,id-222,
id-40154,Phil Ranelin,Ranelin Phil,1939,5,25,,,,f,Person,Male,id-222,
id-256352,Needle,Needle,,,,,,,f,Group,,,
id-1030,Nusrat Fateh Ali Khan,Fateh Ali Khan Nusrat,1948,10,13,1997,8,16,t,Person,Male,id-162,
id-188064,xDisciplex AD,xDisciplex AD,1995,,,2004,,,t,Group,,id-222,
id-130808,Philharmonia Orchestra,Philharmonia Orchestra,1945,10,,,,,f,Orchestra,,id-1178,London orchestra known as New Philharmonia Orchestra from 19641976
id-235823,Jenny Wilson,Wilson Jenny,1975,10,20,,,,f,Person,Female,id-202,Swedish singer
id-155692,The Revelairs,Revelairs The,,,,,,,f,,,,
id-966919,Drunk Vision,Drunk Vision,,,,,,,f,,,,
id-77045,John Valby,Valby John,1945,,,,,,f,Person,Male,id-222,
