artist_credit,name,artist_count,ref_count,created
id-111402,One Night Stand,1,32,20110516 16321196392900
id-971621,Rust College Quartet,1,14,20120417 14435575027600
id-74665,The Flirts,1,788,20110516 16321196392900
id-2535045,Swings,1,140,20191101 22503160718900
id-370733,traditional,1,12181,20110516 16321196392900
id-1161128,AmyrS,1,4,20130504 20171340146600
id-427385,Distance,1,544,20110516 16321196392900
id-38012,菅野よう子,1,3958,20110516 16321196392900
id-491218,Carlas,1,32,20110516 16321196392900
id-759653,Hummingbird,1,82,20110516 16321196392900
id-69635,Gene Krupa and His Orchestra,1,1585,20110516 16321196392900
id-829288,John Coltrane  Don Cherry,2,100,20110613 23000846054200
id-2807734,Agnes Baltsa Academy of St Martin in the Fields Neville Marriner,3,1,20200922 10214243494800
id-189646,Clive Cussler,1,4499,20110516 16321196392900
id-268451,Ars Nova,1,14,20110516 16321196392900
id-46935,Faraquet,1,116,20110516 16321196392900
id-788950,Treefight for Sunlight,1,117,20110516 16321196392900
id-44783,Black Tape for a Blue Girl,1,1665,20110516 16321196392900
id-35917,Jim Reeves,1,17293,20110516 16321196392900
id-183473,Vomitous,1,45,20110516 16321196392900
id-66398,Son Kite,1,311,20110516 16321196392900
id-880627,Randy Wachtler  Billy Kidd,2,8,20111108 21060650982800
id-504144,Tetine,1,92,20110516 16321196392900
id-24329,King Adora,1,149,20110516 16321196392900
id-2037506,Gaetano Donizetti Joan Sutherland Samuel Ramey Susanne Mentzer Jerry Hadley Bernadette Manca di Nissa Orchestra and Chorus of the Welsh National Opera Richard Bonynge,9,3,20170721 08002586657400
id-686331,若原一郎,1,21,20110516 16321196392900
id-1137448,Mark OConnor,1,960,20130309 21002857304300
id-152811,DJ Feelgood,1,18,20110516 16321196392900
id-452165,Kelly Sweet,1,149,20110516 16321196392900
id-136311,Roudoudou,1,221,20110516 16321196392900
id-609850,Arsenik,1,32,20110516 16321196392900
id-676239,Tapes,1,129,20110516 16321196392900
id-157138,Hot Chip,1,2417,20110516 16321196392900
id-101230,The Spaniels,1,804,20110516 16321196392900
id-527563,The Smallgoods,1,79,20110516 16321196392900
id-1500372,Emilia,1,452,20150701 14163977675600
id-41158,Corvus Corax,1,1849,20110516 16321196392900
id-99187,Jet,1,1419,20110516 16321196392900
id-44434,Sharon Lois  Bram,1,1141,20110516 16321196392900
id-117497,Johann Bley,1,109,20110516 16321196392900
id-84353,Marcia Hines,1,1238,20110516 16321196392900
id-120323,Stendal Blast,1,253,20110516 16321196392900
id-1528,Grateful Dead,1,55444,20110516 16321196392900
id-2428499,Reda Caire,1,60,20190526 08424134967600
id-40154,Phil Ranelin,1,309,20110516 16321196392900
id-256352,Needle,1,36,20110516 16321196392900
id-188064,xDisciplex AD,1,200,20110516 16321196392900
id-235823,Jenny Wilson,1,267,20110516 16321196392900
id-155692,The Revelairs,1,18,20110516 16321196392900
id-382832,Karel Svoboda,1,530,20110516 16321196392900
id-77045,John Valby,1,1395,20110516 16321196392900
id-2650747,Kreld feat Jófríður,2,4,20200314 2158352548900
id-81933,Sister Nancy,1,151,20110516 16321196392900
id-304175,Underground Kingz,1,235,20110516 16321196392900
id-921180,Gefilte Fist,1,658,20120109 00141402647600
id-308861,Dominic Glynn,1,1321,20110516 16321196392900
id-560570,Alexandra Kelly,1,24,20110516 16321196392900
id-24288,Bernard Herrmann,1,8719,20110516 16321196392900
id-200866,Asking Abby,1,50,20110516 16321196392900
id-141474,Persiana Jones,1,364,20110516 16321196392900
id-164913,Bob Evans,1,421,20110516 16321196392900
id-486172,Relevant Few,1,104,20110516 16321196392900
id-69442,Piero Piccioni,1,2880,20110516 16321196392900
id-299749,Marianne  Michael,1,398,20110516 16321196392900
id-3303008,DRMIS SOUNDSYSTEM,1,50,20220517 2212171253800
