1,2
id-14679,rec-14679-dup-0
id-116557,rec-116557-dup-0
id-5368,rec-5368-dup-1
rec-45841-dup-1,id-45841
id-82317,rec-82317-dup-0
id-1168462,rec-1168462-dup-1
rec-553379-dup-0,id-553379
id-178959,rec-178959-dup-0
id-1261415,rec-1261415-dup-0
id-2117648,rec-2117648-dup-1
id-42560,rec-42560-dup-0
rec-1656297-dup-1,id-1656297
id-82218,rec-82218-dup-0
id-79083,rec-79083-dup-1
id-149628,rec-149628-dup-0
id-732457,rec-732457-dup-0
rec-3751-dup-0,id-3751
rec-4542-dup-0,rec-4542-dup-1
rec-149549-dup-0,id-149549
id-1490341,rec-1490341-dup-0
rec-424089-dup-1,id-424089
id-3300608,rec-3300608-dup-0
rec-244-dup-1,rec-244-dup-0
id-980385,rec-980385-dup-0
id-36472,rec-36472-dup-0
id-3073877,rec-3073877-dup-1
id-81955,rec-81955-dup-0
id-271306,rec-271306-dup-0
rec-79083-dup-0,id-79083
rec-820421-dup-1,rec-820421-dup-0
id-525598,rec-525598-dup-1
id-340959,rec-340959-dup-0
rec-1224-dup-0,id-1224
id-244,rec-244-dup-0
id-652528,rec-652528-dup-0
id-40061,rec-40061-dup-0
rec-888610-dup-0,id-888610
id-1073203,rec-1073203-dup-0
id-1118974,rec-1118974-dup-0
rec-14549-dup-0,id-14549
rec-557547-dup-1,rec-557547-dup-0
rec-484485-dup-1,id-484485
id-173184,rec-173184-dup-0
rec-148908-dup-1,id-148908
id-6595,rec-6595-dup-0
rec-595515-dup-0,rec-595515-dup-1
id-9681,rec-9681-dup-0
rec-1488075-dup-1,rec-1488075-dup-0
rec-90312-dup-0,id-90312
rec-877768-dup-1,rec-877768-dup-0
rec-235368-dup-0,rec-235368-dup-1
rec-666844-dup-1,rec-666844-dup-0
id-907581,rec-907581-dup-0
rec-2309-dup-0,id-2309
id-92327,rec-92327-dup-0
rec-844-dup-0,id-844
rec-84818-dup-0,id-84818
rec-197-dup-0,id-197
rec-970322-dup-1,rec-970322-dup-0
id-271306,rec-271306-dup-1
rec-129334-dup-0,id-129334
rec-1007775-dup-0,id-1007775
rec-151694-dup-0,rec-151694-dup-1
rec-531266-dup-0,id-531266
id-152048,rec-152048-dup-1
id-122538,rec-122538-dup-1
id-3222546,rec-3222546-dup-0
rec-2998136-dup-1,id-2998136
id-169483,rec-169483-dup-0
rec-40269-dup-0,id-40269
id-1763,rec-1763-dup-0
id-703010,rec-703010-dup-1
id-1489579,rec-1489579-dup-1
rec-102893-dup-0,rec-102893-dup-1
rec-11522-dup-1,id-11522
rec-1072166-dup-0,rec-1072166-dup-1
rec-864112-dup-0,rec-864112-dup-1
id-15177,rec-15177-dup-0
rec-735589-dup-1,id-735589
id-518333,rec-518333-dup-0
rec-32763-dup-1,id-32763
id-427696,rec-427696-dup-0
rec-35453-dup-1,id-35453
rec-105616-dup-0,rec-105616-dup-1
id-41381,rec-41381-dup-0
id-54427,rec-54427-dup-1
id-1151503,rec-1151503-dup-0
rec-826369-dup-0,id-826369
id-54427,rec-54427-dup-0
rec-171700-dup-0,id-171700
rec-814531-dup-0,id-814531
rec-12119-dup-1,id-12119
rec-23924-dup-0,id-23924
rec-553379-dup-0,rec-553379-dup-1
rec-312917-dup-0,id-312917
rec-817538-dup-1,id-817538
rec-820516-dup-0,id-820516
rec-148908-dup-1,rec-148908-dup-0
id-2935568,rec-2935568-dup-0
rec-199734-dup-0,rec-199734-dup-1
rec-430512-dup-1,id-430512
rec-2422278-dup-1,rec-2422278-dup-0
id-97880,rec-97880-dup-0
rec-314629-dup-0,id-314629
rec-33778-dup-1,id-33778
rec-974213-dup-0,rec-974213-dup-1
rec-253056-dup-0,rec-253056-dup-1
rec-1151503-dup-0,rec-1151503-dup-1
id-122166,rec-122166-dup-0
rec-11598-dup-0,id-11598
id-557753,rec-557753-dup-0
rec-56063-dup-0,id-56063
id-781649,rec-781649-dup-0
id-711494,rec-711494-dup-0
rec-854819-dup-0,id-854819
id-694063,rec-694063-dup-0
id-754648,rec-754648-dup-1
rec-5603-dup-0,id-5603
rec-16178-dup-0,id-16178
rec-430640-dup-1,id-430640
id-3277,rec-3277-dup-0
id-817997,rec-817997-dup-1
id-48584,rec-48584-dup-0
rec-367119-dup-0,id-367119
rec-653467-dup-0,id-653467
rec-100291-dup-1,id-100291
rec-9580-dup-0,id-9580
rec-365377-dup-1,id-365377
rec-16076-dup-0,id-16076
rec-34840-dup-1,rec-34840-dup-0
rec-16360-dup-0,id-16360
id-122538,rec-122538-dup-0
rec-844-dup-1,id-844
rec-652448-dup-0,rec-652448-dup-1
rec-384102-dup-0,id-384102
rec-37921-dup-0,rec-37921-dup-1
id-1211767,rec-1211767-dup-0
id-445115,rec-445115-dup-1
rec-6040-dup-0,rec-6040-dup-1
rec-67117-dup-0,id-67117
rec-502362-dup-0,id-502362
rec-597116-dup-0,id-597116
rec-1261415-dup-1,rec-1261415-dup-0
rec-400312-dup-0,rec-400312-dup-1
rec-1029169-dup-0,id-1029169
rec-655315-dup-0,id-655315
id-1327214,rec-1327214-dup-0
id-3154673,rec-3154673-dup-1
rec-325744-dup-1,rec-325744-dup-0
rec-806808-dup-0,id-806808
rec-3332-dup-0,rec-3332-dup-1
id-1564697,rec-1564697-dup-0
id-383729,rec-383729-dup-0
id-616913,rec-616913-dup-1
id-436282,rec-436282-dup-1
id-471613,rec-471613-dup-1
id-954643,rec-954643-dup-0
id-933614,rec-933614-dup-0
rec-309563-dup-0,rec-309563-dup-1
id-129143,rec-129143-dup-0
id-14154,rec-14154-dup-0
