artist_credit,position,artist,name
id-64025,0,id-64025,Hunter
id-346436,0,id-346436,AG
id-193885,0,id-193885,Danças Ocultas
id-412311,0,id-412311,Табула Раса
id-791589,0,id-791589,_ensnare_
id-162937,0,id-162937,Nico Fidenco
id-49169,0,id-49169,Bettye LaVette
id-805842,1,id-665751,André Dussollier
id-805842,0,id-665747,Hélène Bleskine
id-2214522,0,id-1661229,Christian Flor
id-942062,0,id-362725,PostScriptum
id-1741,0,id-1741,The Ink Spots
id-334801,0,id-334801,Téada
id-379,0,id-379,Glen Campbell
id-93,0,id-93,Metallica
id-1781969,0,id-524411,Andrei Eshpai
id-1155807,0,id-999906,Pete Renton
id-301098,0,id-301098,Pēteris Vasks
id-160765,0,id-160765,Deela
id-1014172,0,id-113441,Sun YanZi
id-546970,0,id-546970,Miserylab
id-1804,0,id-1804,The Lightning Seeds
id-2379733,0,id-649834,William Perry
id-293706,0,id-293706,Sanalejo
id-90086,0,id-90086,Myon
id-963089,0,id-879928,王新蓮
id-963089,1,id-879929,鄭華娟
id-1507281,1,id-179418,The Night Heron Consort
id-1507281,0,id-1083463,Steve Schuch
id-569117,0,id-569117,Milla Kay
id-142903,0,id-142903,The Step
id-53607,0,id-53607,Franklin Bruno
id-613918,0,id-613918,Marenne
id-2208417,0,id-1656670,Tamarisk
id-106599,0,id-106599,Voice of a Generation
id-290579,0,id-290579,Μαρία Φαραντούρη
id-663106,0,id-663106,Zack Tempest
id-43631,0,id-43631,Rosanne Cash
id-566490,0,id-566490,John Ernest Galliard
id-2578700,0,id-1734465,Maya de Vitry
id-1135,0,id-1135,The Beach Boys
id-565615,0,id-565615,Pete Lockett
id-118912,0,id-118912,Ted Heath  His Orchestra
id-1258418,0,id-322081,Κώστας Τουρνάς
id-1258418,1,id-1075216,Σοφία Αρβανίτη
id-433936,0,id-433936,US Air Force Band of MidAmerica
id-744770,0,id-744770,Jochen Flach
id-330234,0,id-330234,Ojo Rojo
id-169483,0,id-169483,Hal Lindes
id-42990,0,id-42990,Drama
id-584601,0,id-584601,林笛
id-1399941,0,id-1177810,Brad Knauber
id-9617,0,id-9617,Léo Ferré
id-5907,0,id-5907,Diary of Dreams
id-58431,0,id-58431,Apollo
id-84818,0,id-84818,Oboroh
id-376747,0,id-376747,Loop
id-79575,0,id-79575,Jesse Belvin
id-152446,0,id-152446,NoNeck Blues Band
id-394308,0,id-394308,Marquess
id-892042,0,id-844060,美輪明宏
id-73502,0,id-73502,Georg Friedrich Händel
id-1958,0,id-1958,Skinny Puppy
id-3222846,0,id-2290885,Alan Kwan Quartet
id-106511,0,id-106511,Magic Box
id-569781,0,id-569781,Railis People
id-73379,0,id-73379,The Clientele
id-2822231,0,id-803209,Volker Klüpfel  Michael Kobr
id-12119,0,id-12119,Manau
id-46624,0,id-46624,Galleon
id-38345,0,id-38345,Virgil Fox
id-265397,0,id-265397,Dr Sin
id-685180,0,id-685180,Lea Lu
id-2484935,2,id-1108353,Brandon Roberts
id-2484935,0,id-82973,Marco Beltrami
id-2484935,1,id-581584,Buck Sanders
id-326052,0,id-326052,ハレンチ☆パンチ
id-56916,0,id-56916,Minuit
id-49233,0,id-49233,David Hubbard
id-101040,0,id-101040,The Channels
id-119323,0,id-119323,Scrunter
id-1113812,0,id-966919,Drunk Vision
id-684275,0,id-684275,Willi Weitzel
id-3220286,0,id-389863,Charles Veal Jr
id-224851,0,id-224851,中川幸太郎
id-1261808,0,id-1077768,Poschek
id-42333,0,id-42333,Dina Carroll
id-61854,0,id-61854,Denean
id-21240,0,id-21240,Brian Eno
id-23320,0,id-23320,Mercedes Sosa
id-792,0,id-792,Donna Summer
id-784927,0,id-784927,Krzysztof Myszkowski
id-1373,0,id-1373,Skunk Anansie
id-121009,0,id-121009,Babu
id-114060,0,id-114060,Dickie Goodman
id-34283,0,id-34283,Vision Divine
id-1448623,0,id-49690,Kid
id-141082,0,id-141082,Les Satellites
id-730562,0,id-730562,The Eggnogs
id-42560,0,id-42560,Broder Daniel
id-40294,0,id-40294,QNTAL
id-170690,0,id-170690,Sielun Veljet
id-129143,0,id-129143,The Servant
id-4292,0,id-4292,Andrea Marcovicci
id-2940180,0,id-506995,Молат
id-287087,0,id-287087,Disgorge
id-115851,0,id-115851,Juan de Araujo
id-627408,0,id-627408,スフィア
id-495829,0,id-495829,The Mamaku Project
id-187,0,id-187,Marilyn Manson
id-2351885,0,id-116742,Lisa Dal Bello
id-584584,0,id-584584,Losing Scarlet
id-659517,0,id-659517,Chris Goulstone
id-701974,0,id-701974,Weldon Henson
id-9414,0,id-9414,George Gershwin
