1,2
rec-528777-dup-0,rec-528777-dup-2
id-14679,rec-14679-dup-0
id-116557,rec-116557-dup-0
rec-46629-dup-2,id-46629
rec-434964-dup-0,rec-434964-dup-1
rec-634481-dup-0,rec-634481-dup-2
id-645508,rec-645508-dup-2
rec-1470236-dup-2,id-1470236
rec-118270-dup-2,id-118270
rec-238392-dup-1,rec-238392-dup-0
rec-810161-dup-2,rec-810161-dup-0
rec-38971-dup-0,rec-38971-dup-1
id-174088,rec-174088-dup-0
rec-10984-dup-0,rec-10984-dup-2
id-459454,rec-459454-dup-1
rec-149549-dup-0,id-149549
rec-1323260-dup-0,rec-1323260-dup-1
rec-38971-dup-2,id-38971
id-193885,rec-193885-dup-1
id-36472,rec-36472-dup-0
id-101016,rec-101016-dup-0
rec-61099-dup-2,rec-61099-dup-1
id-563984,rec-563984-dup-1
id-1338,rec-1338-dup-1
rec-1448809-dup-0,id-1448809
rec-80034-dup-0,id-80034
rec-384127-dup-1,id-384127
rec-3331-dup-0,id-3331
id-525598,rec-525598-dup-1
rec-2207785-dup-0,rec-2207785-dup-2
id-265205,rec-265205-dup-0
id-2338452,rec-2338452-dup-2
rec-810161-dup-1,id-810161
rec-99668-dup-2,id-99668
id-868034,rec-868034-dup-2
id-1123242,rec-1123242-dup-1
rec-670623-dup-0,id-670623
rec-919202-dup-0,id-919202
rec-971143-dup-1,rec-971143-dup-0
id-7861,rec-7861-dup-0
rec-809945-dup-2,rec-809945-dup-1
rec-1643-dup-1,rec-1643-dup-0
rec-52544-dup-2,rec-52544-dup-1
id-843750,rec-843750-dup-0
rec-176277-dup-1,rec-176277-dup-2
id-101262,rec-101262-dup-1
rec-33800-dup-1,rec-33800-dup-0
rec-66411-dup-0,rec-66411-dup-2
rec-459454-dup-0,id-459454
id-6595,rec-6595-dup-0
rec-229809-dup-2,id-229809
rec-4-dup-1,rec-4-dup-0
rec-79821-dup-2,rec-79821-dup-0
rec-912500-dup-1,rec-912500-dup-0
rec-4-dup-1,id-4
id-24331,rec-24331-dup-0
