label,name,label_type,area,ended
id-74661,Boom Service,Publisher,id-222,f
id-198997,Plain Disguise,,,f
id-145393,Maiden Name Records,,id-150,f
id-100253,PHU Violetta,,,f
id-171755,Secret Land Music,,id-98224,f
id-117942,giraffe boy,,id-282,f
id-49334,Sunday Mirror,,,f
id-167366,Family Grooves,,id-53,f
id-237040,Grotesque DRK,,,f
id-191220,Edizioni Pelago,,,f
id-118389,欧乐文化,,,f
id-184783,DreamWorks Urban,Imprint,,f
id-155454,Cold Ways,,id-378,f
id-203246,Hyper Utesov Records,,,f
id-246651,Nuclear Waste Records,,,f
id-24497,Rock Express Records,,id-242,f
id-75338,NRG Komrads,,,f
id-92530,Pacini Sound Factory,Imprint,id-107,t
id-217296,Nova Lark Music,Publisher,id-10861,f
id-27670,Flagg Records,Original Production,id-222,f
id-206547,Irving Caesar Inc,Publisher,,f
id-96989,Kalifornia Dreamin Entertainment,,id-222,f
id-96984,Magic Disc Records,Original Production,id-7703,f
id-198168,Mon Mothma Recordings,,,f
id-10611,Upper Left Side Music,Original Production,id-38,f
id-187802,Perfect Prescriptions,,id-221,f
id-40344,Pastels,Imprint,id-81,f
id-26415,Soundmalfunction Recordings,,id-13,f
id-242881,PRVTC,,,f
id-113395,Tentcrest Ltd,Holding,id-221,t
id-43158,101 South Records,,,f
id-87092,Jessica Musikverlag,Publisher,id-81,f
id-237869,Eva Magical Music Sounds,Distributor,,f
id-203880,Orlando Music,Publisher,id-222,f
id-180560,TONIKAKU RECORDS,Original Production,id-107,f
id-89921,Feast Music Group,Publisher,,f
id-34064,Hong Kong Recordings,Original Production,id-81,f
id-239333,IAFDSFBD Songs,Production,id-5213,f
id-7783,MIS Records,Original Production,id-57,f
id-178184,Kärringa Jonson Records,,,f
id-82597,Wolpfack Entertainment,,,f
id-197746,劇伴俱楽部,,,f
id-205156,Rush Hour Store Jams,,,f
id-176936,Repulsive Evil Productions,,,f
id-23315,Dollar Record Records,,id-222,f
id-62349,DAutres Cordes Records,Original Production,id-73,f
id-166511,Minner Bucket,,,f
id-89101,Analogic Uberleben,Bootleg Production,,f
id-223017,Kame House Records,Publisher,id-81,f
id-104080,Fax Record Company,,id-7295,f
id-166517,Nille Records,Production,id-81,f
id-192046,Jimmy Classic,,,f
id-114974,Digital Dialect,,,f
id-204774,Mark A Mancina Music,Publisher,,f
id-72027,Tete San Ko Publishing Inc,Publisher,id-222,f
id-178504,Refs Music LLC,,,f
id-78526,こんがりおんがく,,,f
id-137604,Alma Criolla Records,,,f
id-49180,Wonderful Sound,,,f
id-119393,RTV Braća Karić Telecom,,,f
id-243112,MUZA Records,,,f
id-106962,Warfuck Records,Production,id-47,f
id-223497,Namtaru Records,,id-47,f
id-235618,Tasty,,,f
id-203655,Araize Record,,,f
id-126578,Feet 2 Da Concrete Entertainment,,,f
id-76476,Jean‐Michel Franck Rivat,Publisher,id-73,f
id-158756,Cody Jinks LLC,Holding,,f
id-48697,Disques Apache,Original Production,id-73,f
id-126794,Discos Arpón,,,f
id-247263,Mini Mac Music,,,f
id-148079,Progressive Music Publishing Company Inc,Publisher,id-222,f
id-1403,Sub Soldiers,Original Production,id-221,f
