medium,release,position,format,track_count
id-1043948,id-1043662,2,1,16
id-612035,id-612035,1,12,28
id-1293043,id-1259527,1,1,20
id-1200099,id-1178483,1,1,11
id-748086,id-748086,1,12,283
id-52866,id-52866,1,1,12
id-1110419,id-1100638,1,1,12
id-436072,id-436072,1,,2
id-127097,id-127097,1,,13
id-786360,id-786360,1,1,8
id-988606,id-988606,1,1,13
id-232253,id-232253,1,1,13
id-839370,id-839370,1,,11
id-3652375,id-3351312,1,1,5
id-1159158,id-1143354,2,1,16
id-1123454,id-1111881,1,1,13
id-1205268,id-1183027,3,12,15
id-409464,id-409464,1,8,4
id-423736,id-423736,1,1,17
id-183476,id-183476,1,1,20
id-465437,id-465437,1,1,4
id-960850,id-960850,1,,15
id-1239530,id-1213214,1,,24
id-1064526,id-351558,2,1,20
id-1310635,id-1274737,1,12,11
id-683762,id-683762,1,31,11
id-1146866,id-1132419,1,1,2
id-351428,id-351428,1,1,10
id-3088996,id-2841654,1,12,4
id-958109,id-958109,1,,11
id-1254568,id-1226534,1,1,10
id-3088992,id-2841650,1,12,134
id-864174,id-864174,1,,36
id-821139,id-821139,1,1,11
id-207402,id-207402,1,12,11
id-916677,id-916677,1,,20
id-604324,id-604324,1,1,12
id-875608,id-875608,1,,14
id-475983,id-475986,2,1,15
id-1850175,id-1745047,7,1,11
id-961616,id-961616,1,1,10
id-1122037,id-1110656,1,1,12
id-494123,id-494123,1,1,12
id-1178773,id-1160110,1,1,19
id-554424,id-554424,1,,9
id-891470,id-891470,1,,10
id-947594,id-947594,1,1,8
id-1330232,id-1291874,1,31,9
id-1250306,id-1222775,1,1,11
id-1241291,id-1214750,1,1,12
id-796032,id-796032,1,1,12
id-997876,id-997876,1,,21
id-802956,id-802956,1,7,9
id-797182,id-797182,1,1,13
id-644048,id-644048,1,1,14
id-479675,id-479675,1,1,99
id-257533,id-257533,1,1,12
id-770247,id-770247,1,1,13
id-86859,id-86859,1,1,7
id-938276,id-938276,1,,13
id-1081171,id-1075852,1,1,19
id-851653,id-851653,1,,11
id-723097,id-723097,1,1,17
id-1286704,id-1253956,1,12,30
id-575314,id-575314,1,1,12
id-534648,id-534648,1,1,15
id-571323,id-571323,1,31,3
id-1306158,id-1270929,1,1,10
id-913751,id-913751,1,,14
id-638732,id-638732,1,1,16
id-869862,id-869862,1,1,15
id-1347045,id-1306600,1,1,16
id-420493,id-420493,1,1,18
id-143520,id-143520,1,,12
id-51070,id-51070,1,,30
id-1054043,id-1052186,1,1,4
id-772076,id-772076,1,1,25
id-978797,id-978797,1,,19
id-341327,id-341327,1,1,12
id-549141,id-549141,1,7,8
id-20481,id-586122,2,1,18
id-1611486,id-1539154,1,12,11
id-648148,id-648148,1,1,15
id-875462,id-875462,1,,13
id-190578,id-190578,1,29,2
id-283311,id-283311,1,,8
id-3769449,id-3459470,1,29,2
id-121070,id-121070,1,,16
id-280511,id-280511,1,1,2
id-17498,id-17498,1,1,3
id-985714,id-985714,1,,13
id-711067,id-711067,1,1,10
id-445429,id-445429,1,1,25
id-167003,id-167003,1,1,20
id-2694469,id-2486833,1,1,20
id-858629,id-858629,1,,19
id-736612,id-736612,1,31,12
id-376870,id-376872,2,1,25
id-620888,id-620888,1,12,48
id-1230767,id-1205205,1,1,20
id-1195274,id-1174203,1,1,13
id-659841,id-659841,1,1,21
id-9096,id-9096,1,1,22
id-1423268,id-1373589,1,1,9
id-177976,id-177976,1,1,11
id-2243710,id-2086101,1,12,12
id-3084225,id-2837214,1,12,19
id-556175,id-556175,1,,14
id-1057381,id-1055025,2,1,11
id-177978,id-177978,1,1,10
id-657190,id-657162,2,1,7
id-234,id-234,1,,17
id-1032097,id-1032086,2,1,19
id-595229,id-595229,1,1,13
id-434299,id-434299,1,1,4
id-3079309,id-2832716,3,33,4
id-168286,id-168286,1,,8
id-531365,id-531365,1,1,10
id-279985,id-279985,1,1,25
id-69819,id-69819,1,,28
id-380716,id-380716,1,1,11
id-2694681,id-2487025,1,1,12
id-1206232,id-1183861,1,1,14
id-2248671,id-2090445,1,1,20
id-742583,id-742583,1,1,18
id-1138006,id-1124709,1,1,17
id-1121546,id-1110231,1,1,17
id-559104,id-559104,1,1,21
id-352699,id-352699,1,1,17
id-994064,id-994064,1,,17
id-1693778,id-1610402,1,12,18
id-695769,id-695769,1,12,75
id-2560649,id-2364449,1,1,19
id-578775,id-578775,1,29,2
id-2111231,id-1972146,1,1,12
id-785084,id-785084,1,1,12
id-1302920,id-1268171,2,31,14
id-380089,id-380089,1,1,7
id-951201,id-951201,1,,25
id-307861,id-307861,1,1,10
id-976159,id-976159,1,,12
id-1315919,id-1279355,1,1,14
id-322399,id-322399,1,12,11
id-1073929,id-1069543,1,26,17
id-494729,id-494729,1,1,12
id-749828,id-749828,1,12,287
id-1335572,id-1296492,1,34,4
id-711716,id-711716,1,1,16
id-3655642,id-3354375,1,1,18
id-937392,id-937392,1,33,11
id-1379870,id-1335313,1,8,4
id-997466,id-997466,1,1,18
id-862687,id-862687,1,1,20
id-2869535,id-2642573,1,12,1
id-753876,id-753876,1,7,6
id-2242356,id-2084889,1,,14
id-867630,id-867630,1,1,19
id-219726,id-219719,2,1,14
id-223014,id-223014,1,1,8
id-723686,id-723686,1,8,13
id-761277,id-761277,1,1,15
id-338625,id-338625,1,1,13
id-785402,id-785402,1,1,12
id-785400,id-785400,1,1,17
id-1213707,id-1190377,1,7,14
id-2798304,id-2578969,1,12,14
id-444885,id-444885,1,1,11
id-1597614,id-1527211,1,31,9
id-230887,id-230887,1,1,15
id-2621477,id-2419374,1,7,19
id-1490527,id-1432126,3,19,15
id-467794,id-446581,2,1,9
id-1235846,id-1209948,1,1,7
id-1486566,id-1428611,1,1,22
id-1090224,id-1083708,1,1,7
id-1326173,id-1288369,1,31,14
id-920667,id-920667,1,1,15
id-1112596,id-1102392,1,1,20
id-169060,id-169060,1,1,15
id-1377095,id-1332957,1,1,14
id-69936,id-69936,1,1,19
id-746738,id-746738,1,1,21
id-463410,id-463410,1,1,12
id-490115,id-490115,1,1,10
id-748563,id-748563,1,12,69
id-883726,id-883726,1,,18
id-1485721,id-1427855,1,1,15
id-696510,id-696510,1,1,12
id-1287185,id-1254407,1,1,12
id-1035011,id-1035011,1,,10
id-829476,id-829476,1,1,18
id-3082877,id-2835974,1,12,39
id-2243816,id-2086194,1,12,4
id-569010,id-569005,2,1,29
id-736892,id-736892,1,1,6
id-407639,id-407639,1,31,11
id-1294573,id-1260812,1,12,12
id-720380,id-720380,1,7,12
id-697931,id-697931,1,29,5
id-407147,id-407147,1,1,9
id-3650702,id-3349792,1,8,5
id-1092804,id-1085888,1,31,5
id-2697087,id-2489253,1,12,7
id-208510,id-208510,1,,11
id-983719,id-983719,1,,14
id-265132,id-265132,1,1,15
id-2562417,id-2366061,1,1,18
id-1323636,id-1286091,1,1,14
id-1068298,id-1064557,1,1,6
id-827334,id-827334,1,1,28
id-668922,id-668922,1,31,23
id-3651499,id-3350516,1,1,40
id-582892,id-582892,1,,10
id-3356062,id-3083096,1,12,1
id-1025785,id-1025785,1,,23
id-649629,id-649629,1,1,11
id-868186,id-868186,1,1,10
id-3655862,id-3354583,1,12,22
id-1017057,id-1017057,1,,21
id-1062586,id-1059563,1,1,14
id-598017,id-598017,1,1,10
id-2867909,id-2641126,1,1,23
id-41522,id-41522,1,1,12
id-844680,id-844680,1,12,14
id-2556782,id-2360911,1,1,17
id-3650630,id-3349724,1,12,1
id-602501,id-602501,1,1,13
id-787623,id-787623,1,1,11
id-357904,id-357904,1,1,5
id-1065200,id-1061881,1,1,48
id-1360857,id-1318660,1,12,40
id-619280,id-619280,1,,18
id-782295,id-782295,1,1,18
id-653270,id-653270,1,1,9
id-1695434,id-1611812,1,1,13
id-404475,id-404475,1,1,10
id-782051,id-782048,2,1,29
id-970341,id-970341,1,1,10
id-879370,id-879370,1,,35
id-472816,id-472816,1,1,15
id-3767096,id-3457251,1,31,16
id-668859,id-668859,1,1,22
id-917204,id-917204,1,1,13
id-427159,id-427159,1,1,16
id-663765,id-663765,1,1,6
id-988120,id-988120,1,1,11
id-2558989,id-2362940,1,8,5
id-1701977,id-1617349,1,31,6
id-561714,id-561714,1,1,32
id-1014224,id-1014224,1,1,8
id-1254351,id-1226348,1,1,13
id-1540035,id-1474988,1,1,10
id-128539,id-128539,1,,12
id-817421,id-817421,1,1,16
id-995030,id-995030,1,,18
id-1218419,id-1194376,1,1,6
id-61148,id-61148,1,1,12
id-323364,id-323364,1,1,15
id-783279,id-783279,1,12,25
id-800760,id-800758,2,1,18
id-2556850,id-2360976,1,1,8
id-933952,id-933952,1,1,15
id-621050,id-621050,1,12,99
id-150011,id-150011,1,33,16
id-801360,id-801360,1,1,16
id-934283,id-934282,2,1,18
id-1209218,id-1186495,1,12,132
id-953389,id-953389,1,1,9
id-3330762,id-3059976,1,1,10
id-2868142,id-2641346,1,,10
id-2621201,id-2419132,1,1,11
id-536486,id-536473,18,1,15
id-827925,id-827925,1,12,7
id-688784,id-688784,1,31,8
id-2555523,id-2359735,1,1,6
id-1487948,id-1429841,1,1,14
id-2113999,id-1974543,5,1,22
id-704672,id-704477,4,1,22
id-1156355,id-1140846,1,1,16
id-3766167,id-3456375,1,1,12
id-576187,id-576187,1,1,4
id-217351,id-217351,1,,14
id-482449,id-482449,1,1,12
id-916420,id-916420,1,,13
id-1085042,id-1079331,1,12,10
id-1100779,id-1092471,1,12,11
id-262355,id-262355,1,1,11
id-683741,id-683741,1,1,96
id-54934,id-54934,1,1,29
id-2428245,id-2248625,1,12,8
id-688890,id-688890,1,1,12
id-1014368,id-1014368,1,1,14
id-1249605,id-1222169,1,1,23
id-1697615,id-1613594,1,1,5
id-688564,id-688564,1,1,11
id-1065973,id-1062557,1,1,7
id-113652,id-113652,1,1,10
id-2695102,id-2487417,1,1,18
id-1693761,id-1610388,2,12,18
id-1044559,id-579041,3,1,18
id-3904405,id-3583622,1,12,15
id-1328562,id-1290419,1,1,15
id-1692621,id-1609407,1,12,7
id-1174902,id-1156861,1,1,4
id-287095,id-287092,2,1,9
id-823470,id-823470,1,1,23
id-124361,id-124361,1,1,8
id-620893,id-620893,1,12,45
id-664802,id-664802,1,1,13
id-695573,id-695573,1,12,84
id-706,id-706,1,,16
id-856585,id-856585,1,42,12
id-27164,id-27164,1,1,13
id-2692528,id-2485228,1,8,4
id-763313,id-763313,1,1,11
id-894817,id-894817,1,1,15
id-870800,id-870800,1,1,18
id-937097,id-989633,2,1,6
id-1008881,id-1008881,1,,18
id-890792,id-890792,1,1,63
id-350863,id-350863,1,,13
id-41893,id-41893,1,1,12
id-14296,id-14296,1,,14
id-1316833,id-1280200,1,1,24
id-873599,id-873599,1,,15
id-68375,id-68375,1,1,10
id-441686,id-441686,1,1,15
id-610932,id-610932,1,12,161
id-229426,id-229426,1,1,8
id-317078,id-317078,1,1,8
id-928050,id-928050,1,,30
id-705670,id-705670,1,1,4
id-2111170,id-1972086,1,1,26
id-1155036,id-1139732,1,1,36
id-604867,id-604867,1,1,6
id-1092477,id-1085625,1,12,10
id-579374,id-579374,1,1,12
id-1346725,id-1306307,1,8,9
id-982092,id-585831,1,1,13
id-908931,id-908931,1,1,16
id-11395,id-11395,1,,12
id-132953,id-132953,1,,24
id-967129,id-967129,1,1,15
id-180403,id-180403,1,,14
id-1702747,id-1618046,1,12,16
id-92197,id-92197,1,1,6
id-1167084,id-1150225,2,1,8
id-869894,id-869894,1,,9
id-2255759,id-2096268,1,31,14
id-734808,id-734808,1,1,5
id-780351,id-780351,1,1,11
id-7486,id-7486,1,1,14
id-702885,id-702885,1,1,22
id-3084519,id-2837485,1,8,6
id-979037,id-979037,1,,26
id-226074,id-226074,1,,11
id-555443,id-555443,1,1,24
id-1094090,id-1086885,1,1,15
id-312601,id-312601,1,1,12
id-1233052,id-1207264,1,31,9
id-928122,id-928122,1,1,18
id-958112,id-958112,1,1,67
id-897430,id-897430,1,,28
id-529505,id-529499,2,1,14
id-935811,id-935811,1,,13
id-268421,id-268421,1,,16
id-626489,id-626489,1,1,8
id-1696491,id-1612718,1,12,18
id-670493,id-670493,1,1,2
id-679328,id-679328,1,1,85
id-838602,id-838602,1,1,14
id-3650994,id-3350054,1,31,12
id-1218330,id-1194292,1,31,10
id-78530,id-78530,1,,16
id-288848,id-288848,1,12,11
id-102120,id-102120,1,31,3
id-334638,id-334638,1,1,20
id-108368,id-108368,1,1,13
id-491340,id-491340,1,7,12
id-148449,id-148449,1,,12
id-344533,id-344533,1,1,12
id-410581,id-410581,1,,12
id-747615,id-747615,1,12,17
id-845650,id-845650,1,,17
id-809803,id-809803,1,12,143
id-1019412,id-1019412,1,,16
id-895566,id-895566,1,,13
id-529348,id-529348,1,1,10
id-265344,id-265344,1,1,21
id-1699902,id-1615545,11,1,5
id-424614,id-424614,1,1,12
id-787278,id-787278,1,1,20
id-3435702,id-3154545,1,1,12
id-293231,id-293230,2,,20
id-1132929,id-1120204,1,,14
id-1360466,id-1318303,1,12,16
id-1137518,id-1124250,1,1,17
id-346916,id-346916,1,1,26
id-73694,id-73694,1,1,13
id-2106481,id-1968034,1,12,10
id-938807,id-938807,1,1,10
id-407157,id-407157,1,1,13
id-136077,id-136077,1,1,12
id-1102825,id-1094169,1,1,10
id-1348020,id-1307415,2,1,19
id-747502,id-747502,1,1,12
id-1698333,id-1614192,1,,12
id-126329,id-126329,1,,14
id-907599,id-907599,1,1,27
id-2105289,id-1966997,1,1,13
id-145733,id-145733,1,,11
id-180437,id-180437,1,,10
id-1019525,id-1019525,1,1,28
id-1167518,id-1150605,1,12,22
id-1310980,id-1275045,1,12,3
id-270430,id-270430,1,1,8
id-2105775,id-1967420,1,1,9
id-1029419,id-1029419,1,1,18
id-118473,id-118473,1,,2
id-2946393,id-2712700,1,1,18
id-336272,id-336272,1,1,12
id-1175539,id-1157250,163,1,23
id-523385,id-523385,1,1,10
id-154122,id-154122,1,1,14
id-580735,id-580735,1,,11
id-127438,id-127438,1,1,13
id-1165348,id-1148703,1,1,10
id-970240,id-970240,1,,8
id-33147,id-33147,1,1,16
id-1297921,id-1263764,1,1,31
id-1165343,id-1148698,1,8,10
id-1080881,id-1075609,1,1,15
id-601159,id-601159,1,7,12
id-304372,id-304372,1,1,11
id-210965,id-210965,1,1,9
id-1336682,id-1297475,1,34,2
id-338308,id-338308,1,1,14
id-1197783,id-1176375,1,1,5
id-694563,id-694563,1,12,76
id-168623,id-168623,1,1,25
id-2113851,id-1974419,1,12,17
id-164930,id-164930,1,1,16
id-505979,id-505979,1,1,10
id-54457,id-54457,1,1,11
id-2240293,id-2083075,1,1,11
id-333687,id-333687,1,,10
id-408538,id-408539,2,1,10
id-301182,id-301182,1,,10
id-568539,id-568539,1,1,14
id-507900,id-507900,1,1,11
id-609946,id-609946,1,12,243
id-1252918,id-1225043,1,31,10
id-1125663,id-1113764,1,1,13
id-505722,id-505722,1,7,12
id-1286666,id-1253918,1,12,24
id-615103,id-615103,1,1,10
id-621043,id-621043,1,12,90
id-3088926,id-2841586,1,1,15
id-1064768,id-1061501,1,12,28
id-526120,id-526120,1,1,14
id-1384944,id-1339694,1,12,11
id-743953,id-743953,1,12,32
id-1112803,id-1102578,1,,12
id-561136,id-561136,1,1,10
id-939907,id-939907,1,,14
id-621263,id-621263,1,1,10
id-946073,id-946073,1,1,99
id-235115,id-235115,1,1,5
id-666453,id-666453,1,1,7
id-859461,id-859461,1,,13
id-1035425,id-1035425,1,,26
id-742900,id-742900,1,1,12
id-1369357,id-1326088,1,8,18
id-366019,id-366019,1,1,9
id-1134982,id-1122004,2,1,11
id-252086,id-252086,1,1,12
id-322992,id-322992,1,1,21
id-929399,id-929399,1,8,27
id-1185635,id-1166094,1,,16
id-1329377,id-1291138,1,1,11
id-526475,id-526475,1,1,16
id-263691,id-263691,1,1,16
id-3651906,id-3350897,1,2,10
id-979042,id-979042,1,,14
id-533578,id-533578,1,1,11
id-871186,id-871186,1,,144
id-379638,id-379638,1,1,4
id-985287,id-985287,1,,6
id-1120927,id-1109661,1,1,2
id-1120921,id-1109655,1,31,10
id-1040578,id-904443,3,1,16
id-1009171,id-1009171,1,,10
id-1233720,id-1207878,1,,15
id-673316,id-673316,1,12,105
id-456640,id-456640,1,1,13
id-202797,id-202797,1,33,3
id-689573,id-689573,1,,11
id-1171084,id-1153622,2,1,5
id-362440,id-362440,1,1,15
id-2617120,id-2415478,1,1,10
id-1275857,id-1244649,1,1,11
id-456486,id-456486,1,1,13
id-3355968,id-3083006,1,12,10
id-289675,id-289675,1,1,20
id-476780,id-476780,1,1,17
id-87694,id-87694,1,,11
id-450392,id-449753,2,1,20
id-870918,id-870918,1,,14
id-359215,id-359215,1,12,4
id-396224,id-396224,1,1,12
id-1339134,id-1299633,1,1,27
id-1138671,id-1125297,1,,20
id-913450,id-913450,1,1,12
id-181123,id-181123,1,,15
id-654215,id-654215,1,1,11
id-87051,id-87051,1,,14
id-1138073,id-1124771,2,1,12
id-996437,id-996437,1,1,17
id-485594,id-485594,1,1,5
id-2336293,id-2166663,1,1,7
id-1188611,id-1168695,1,1,12
id-412853,id-412853,1,1,13
id-349630,id-349630,1,1,15
id-111867,id-111867,1,1,21
id-1486339,id-1428402,2,33,12
id-695783,id-695783,1,12,134
id-228699,id-228699,1,,27
id-1611047,id-1538772,1,12,4
id-2255822,id-2096330,1,12,11
id-652296,id-652296,1,1,11
id-519868,id-519868,1,1,14
id-1005383,id-1005383,1,,18
id-1024547,id-1024547,1,1,17
id-785558,id-785558,1,1,1008
id-3660172,id-3358583,1,30,8
id-1088883,id-1082549,1,1,15
id-1332404,id-1293732,5,1,7
id-530146,id-530146,1,1,10
id-307060,id-307060,1,7,12
id-1014424,id-1014424,1,,12
id-955347,id-955347,1,,10
id-178364,id-178364,1,1,13
id-556538,id-556538,1,29,8
id-915024,id-915024,1,,14
id-771128,id-771128,1,1,14
id-827039,id-826974,9,1,13
id-2106101,id-1967713,3,43,86
id-385937,id-385937,1,1,13
id-71456,id-71456,1,,21
id-550871,id-550871,1,,27
id-193047,id-193042,3,1,15
id-70454,id-70454,1,1,11
id-734669,id-734669,1,1,9
id-1268793,id-1238869,1,1,12
id-241149,id-241149,1,,6
id-926423,id-926423,1,,12
id-1368008,id-1324972,1,31,9
id-401013,id-401013,1,1,9
id-974824,id-974824,1,,12
id-2256432,id-2096846,1,1,16
id-843490,id-843490,1,,77
id-37464,id-37464,1,1,42
id-1098252,id-1090478,1,12,210
id-975806,id-975806,1,,5
id-463982,id-531712,2,1,16
id-1489724,id-1431418,1,1,10
id-877108,id-877108,1,,13
id-660060,id-660060,1,1,12
id-601978,id-601978,1,12,13
id-1193559,id-1172661,1,12,10
id-1702311,id-1617648,1,1,13
id-747762,id-747762,1,7,6
id-347307,id-347307,1,1,10
id-728872,id-728872,1,1,17
id-647918,id-647918,1,1,14
id-2108140,id-1969532,1,12,19
id-215652,id-215652,1,1,12
id-288502,id-288497,2,1,11
id-718934,id-718935,2,1,20
id-123320,id-123320,1,1,7
id-363954,id-363954,1,1,11
id-163520,id-163520,1,1,4
id-1264477,id-1235246,1,8,11
id-687326,id-687326,1,1,16
id-491405,id-491405,1,1,12
id-380991,id-380991,1,1,9
id-413289,id-413289,1,1,11
id-707208,id-707208,1,,17
id-1119596,id-1108471,1,,22
id-1278589,id-1246803,1,31,2
id-400291,id-400291,1,1,13
id-2555028,id-2359294,1,1,13
id-445796,id-445796,1,1,14
id-1695632,id-1611988,1,,10
id-710611,id-710611,1,31,2
id-1251108,id-1220644,5,1,43
id-894018,id-894018,1,1,14
id-103422,id-103422,1,1,3
id-2556877,id-2361002,1,1,13
id-573281,id-573281,1,12,5
id-1692046,id-1608921,1,12,13
id-931450,id-931450,1,,15
id-1287527,id-1254698,1,31,16
id-78614,id-78614,1,,7
id-906852,id-906852,1,,10
id-22208,id-22208,1,,2
id-676117,id-676117,1,1,10
id-119668,id-119668,1,,9
id-816795,id-816795,1,1,22
id-1280800,id-1248687,1,1,10
id-3260781,id-2995902,1,12,10
id-240216,id-240216,2,1,20
id-1255352,id-1227230,1,,9
id-184881,id-184881,1,1,12
id-378572,id-378572,1,1,57
id-1319341,id-1282402,1,,11
id-484071,id-484071,1,1,16
id-1128856,id-1116561,1,33,12
id-526717,id-526717,1,1,18
id-1277218,id-1245838,3,1,12
id-858891,id-858891,1,,20
id-3353815,id-3081034,1,12,10
id-853185,id-853185,1,,23
id-1032587,id-1032587,1,1,10
id-171787,id-171787,1,1,17
id-821256,id-821256,1,1,24
id-3900410,id-3579974,1,12,10
id-733408,id-733408,1,1,11
id-66630,id-66630,1,,18
id-3653352,id-3352217,1,12,4
id-904148,id-904148,1,1,7
id-3082921,id-2836016,1,1,10
id-690897,id-690897,1,12,30
id-182343,id-182343,1,,11
id-129690,id-129690,1,,22
id-407763,id-407763,1,12,8
id-683377,id-683377,1,12,57
id-1147787,id-1133236,1,12,9
id-465907,id-465907,1,1,17
id-2556057,id-2360226,1,1,30
id-566142,id-566142,1,1,26
id-295278,id-295278,1,1,23
id-120485,id-120485,1,1,12
id-1204436,id-1182281,1,1,13
id-2105447,id-1967134,2,43,104
id-1307015,id-1271678,1,31,30
id-1100576,id-1092285,1,12,17
id-1118558,id-1107548,1,12,2
id-185685,id-185685,1,1,16
id-770387,id-770387,1,1,17
id-828328,id-828328,1,1,14
id-36415,id-36415,1,1,18
id-1137187,id-1123951,1,1,25
id-267847,id-267847,1,1,21
id-427679,id-427679,1,1,18
id-777772,id-777772,1,1,20
id-682936,id-682936,1,1,59
id-1266567,id-1237039,1,8,7
id-649082,id-649082,1,8,10
id-98550,id-98550,1,1,4
id-542611,id-542611,1,1,11
id-879135,id-879135,1,,13
id-2106057,id-1967674,4,43,106
id-551393,id-551393,1,12,15
id-943602,id-943602,1,,16
id-3902813,id-3582141,3,12,30
id-359054,id-359054,1,1,16
id-265979,id-265979,1,1,15
id-323591,id-323591,1,31,12
id-773468,id-773468,1,1,12
id-487515,id-487515,1,1,14
id-991023,id-991023,1,,6
id-422094,id-422094,1,1,15
id-77724,id-77724,1,,12
id-3437382,id-3155970,1,12,5
id-2509,id-2509,1,1,16
id-1247663,id-1220440,1,1,13
id-2240661,id-2083401,1,33,11
id-2339005,id-2169113,1,31,12
id-706625,id-706625,1,1,20
id-82815,id-82815,1,,30
id-453736,id-453736,1,1,10
id-690675,id-690675,1,12,39
id-1138984,id-1125592,1,1,13
id-127064,id-127064,1,1,20
id-1011260,id-1011260,1,,7
id-727967,id-727967,1,1,15
id-621099,id-621099,1,1,11
id-1127520,id-1115409,1,1,22
id-814943,id-814943,1,31,4
id-305725,id-305725,1,1,15
id-1698713,id-1614502,1,1,13
id-162464,id-162464,1,1,10
id-525232,id-525232,1,1,22
id-1235466,id-1209616,1,1,4
id-3088836,id-2841504,1,12,13
id-383792,id-383792,1,,16
id-898029,id-898029,1,,13
id-30159,id-30158,2,1,13
id-207139,id-207139,1,1,11
id-384788,id-384788,1,1,9
id-406100,id-406100,1,1,30
id-149522,id-149522,1,1,12
