place,name,place_type,address,area,coordinates,ended
id-43038,BONO Studio,Studio,,id-113,,f
id-3079,Lyceum Theatre,Venue,21 Wellington Street London WC2E 7RQ,id-1178,51511556011975,f
id-12373,Raintree Cafe,Venue,220 King St N Waterloo ON N2J 2Y7,id-115885,4347529180524457,f
id-31048,Sound Ranger Studio,Studio,Schleebrüggenkamp 8,id-69541,,f
id-34034,Big Island,Studio,,,,f
id-31697,Herbert Place Studios,Studio,,id-9622,,f
id-34404,Threshold Recordings,Studio,,id-5782,,f
id-47052,The Firehouse,Venue,1015 N 1st St Phoenix AZ 85004,id-7731,33458065112072556,t
id-45650,Burggraben Neckarelz,Venue,Johannitergasse 2 74821 Mosbach Germany,id-69540,49341699101083,f
id-48746,The Atrium City Hall,Venue,,id-5242,520777244316833,f
id-31995,Bolic Sound,Studio,,id-22430,,f
id-16612,Mechanics Bank Theater and Convention Center,Venue,1001 Truxtun Ave Bakersfield CA 93301,id-22323,35372119013,f
id-25251,Main Stage,Venue,,id-107042,,f
id-11574,Henwood Studios,Studio,Unit 8 Oakley Wood Farm Benson,id-93564,,f
id-43205,Instituto Musical de São Paulo,Educational institution,,id-80664,,f
id-29181,Horta Hall,Venue,,id-1793,,f
id-48842,Ryemuse Sound,Studio,64 S Molton St,id-119072,515133530146862,f
id-36256,Polideportivo de la Junta de Castilla y León,Other,,id-12799,,f
id-46116,Tonengineer Studio,Studio,,,,f
id-32805,Rose Gold,,96 Morgan Ave,id-10861,,f
id-38935,Burg Abenberg,Other,Burgstraße 16 91183 Abenberg Germany,id-68705,4924329210962848,f
id-35682,The Gannon House,,,,,f
id-28069,Basilique SaintBonaventure de Lyon,Religious building,7 place des Cordeliers 69002 Lyon,id-12030,457631444836905,f
id-34106,Skråen,Venue,Strandvejen 19 9000 Aalborg Danmark,id-8173,570532089911536,t
id-35049,Preah Suramarit National Theatre,Venue,,id-2625,,t
id-29495,Akins Ford Arena at The Classic Center,Indoor arena,,id-31088,,f
id-54172,USMP Studios  Hollywood,Studio,,id-39882,,f
id-57093,Hard Rock Café Dublin,Venue,12 Fleet St Temple Bar Dublin D02 NW56,id-9622,,f
id-6619,St Georgenkirche,Religious building,,id-69821,508161381254126,f
id-24550,Studio Charlot,Studio,,id-4434,,f
id-37470,Crosby Hall,,,id-1178,,t
id-42354,StudioA,Studio,,id-62241,,f
id-12651,Bug Jar,Venue,219 Monroe Ave Rochester NY 14607,id-5303,4315004477600096,f
id-871,梅田CLUB QUATTRO,Venue,〒5300051 大阪府大阪市北区太融寺町817 プラザ梅田10F,id-118630,34701773135502286,f
id-7214,Soundsurfer Studios,Studio,,id-4000,,f
id-22376,Pavillón Multiusos Fontes do Sar,Indoor arena,Rúa Diego Bernal 15702 Santiago de Compostela A Coruña Spain,id-5184,428761918530752,f
id-53770,Red Barn,,,id-40602,,f
id-9574,Music Hall Center for the Performing Arts,Venue,350 Madison Street Detroit MI 48226 United States,id-5179,4233722283046111,f
id-35811,Kunsthalle Wien,Other,Museumsplatz 1 1070 Wien Austria,id-112783,4820294816357993,f
id-47824,O2 Academy Sheffield,Venue,O2 Academy Sheffield Arundel Gate Sheffield City Centre Sheffield S1 2PN,id-3934,533816021465469,f
id-46450,Caledonien Hall,Venue,Radisson Blu Caledonien Hotel Vestre Strandgate 7 4611 Kristiansand Norway,id-12389,,f
id-26277,Millersville University of Pennsylvania,Educational institution,1 S George St Millersville PA 17551 USA,id-101739,4076356,f
id-7186,Joonior Studios,Studio,,id-9655,,f
id-17376,Ocean Center,Other,101 N Atlantic Ave Daytona Beach FL 321184203,id-22844,292287810106,f
id-15159,WFMU,Studio,,id-66426,407886742556,f
id-18716,Brooklands Road Studio,Studio,,id-1178,,f
id-5178,Rainbow Studios,Studio,,id-7710,,f
id-49272,Salinas Studio,Studio,,id-99547,,f
id-15152,Bohemian Grove,,6664 Grove St,id-10861,,f
id-28882,Ulyd studio,Studio,,,,f
id-33866,Click,Venue,,id-7707,,f
id-6531,東京体育館,Indoor arena,〒1510051 東京都渋谷区千駄ヶ谷1171,id-116887,356797221397125,f
id-6530,Mann Center for the Performing Arts,Venue,5201 Parkside Avenue Fairmount Park Philadelphia PA 19131,id-7707,399831752228,f
id-4228,Southminster United Church,Religious building,15 Aylmer Avenue,id-5107,453954475685268,f
id-22927,Gods Butt,,,,,f
id-34810,BBC Radio 2 Studios,Studio,,id-1178,,f
id-17019,BankPlus Amphitheatre at Snowden Grove,Venue,6285 Snowden Ln Southaven MS 38672,id-23072,3495111189933889,f
id-13533,Palco Street Dance,Venue,,id-5161,,f
id-31645,Multi Media Masters,Studio,,id-203,,f
id-29838,Wyspa Słodowa,Other,,id-5104,5111600417037703,f
id-21433,청음 Studio,Studio,,id-113,,f
id-16873,Bixby Music Exchange,,,id-27657,,f
id-47228,High Hold Studio,Studio,,id-434,,f
id-4867,Mad Dog Studios,Studio,293 S Lake St Burbank CA 91502,id-10971,3417411183129,t
id-50485,∠Rスタジオ,Studio,,id-107,,f
id-40205,KFJC,,,id-82351,3736111221284,f
id-17198,The Showcase,Venue,,id-106178,,f
id-15386,CineStar Garbsen,,Rathauspl 2 30823 Garbsen Germany,id-69096,,f
id-22998,Lounge Ax,Venue,2438 N Lincoln Avenue Chicago IL 60614,id-5099,,t
id-18447,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 München,id-7710,48136831157456,f
id-18877,Ocean Sound,Studio,,,,f
id-15207,Waterfall Studios,Studio,,id-358,,f
id-48369,Spot X,Studio,,id-7295,,f
id-2003,Trancentral,Studio,55 Jeffreys Road Stockwell London,id-64334,51471407012822,f
id-5816,St Lawrence,Other,Cannons Park Edgware,id-1178,,f
id-46521,Parkhill Studios,Studio,,id-115961,,f
id-53492,The Jungle,Studio,,id-160,,f
id-22109,McDonald Theatre,Venue,1010 Willamette St Eugene OR 97401,id-45171,4404851512309306,f
id-9096,The Funkmosphere Lab,Studio,,id-7703,,f
id-47641,SL Sound Studio,Studio,,id-5110,,f
id-53498,Le Mobile,Studio,,id-73,,f
id-14009,Union Street Studios,Studio,,id-5236,,f
id-29995,MRA Arena,Indoor arena,,id-3926,,f
id-25512,Newtown Community  Cultural Centre,,Cnr Rintoul  Colombo Sts Newtown Wellington New Zealand,id-31090,41312514174778785,f
id-8440,Zona the Intolerancia Studios,Studio,,id-138,,f
id-56809,Angel Sound Studios,Studio,,id-9279,,f
