1,2
id-318409,rec-318409-dup-0
id-340166,rec-340166-dup-0
rec-1538994-dup-0,id-1538994
rec-586617-dup-0,rec-586617-dup-1
id-556538,rec-556538-dup-0
id-289809,rec-289809-dup-0
rec-53306-dup-1,rec-53306-dup-0
id-528687,rec-528687-dup-0
rec-603818-dup-0,rec-603818-dup-1
rec-549179-dup-1,id-549179
rec-1974638-dup-0,id-1974638
rec-654215-dup-0,id-654215
id-167817,rec-167817-dup-1
rec-746398-dup-1,rec-746398-dup-0
rec-706-dup-1,id-706
rec-566142-dup-0,id-566142
rec-284722-dup-0,rec-284722-dup-1
id-3353956,rec-3353956-dup-0
rec-923510-dup-1,rec-923510-dup-0
rec-278244-dup-0,id-278244
id-663765,rec-663765-dup-1
rec-305673-dup-1,id-305673
rec-645085-dup-1,rec-645085-dup-0
rec-759157-dup-1,rec-759157-dup-0
rec-1072733-dup-1,id-1072733
id-108368,rec-108368-dup-1
rec-201886-dup-1,rec-201886-dup-0
id-273662,rec-273662-dup-1
id-1213830,rec-1213830-dup-0
rec-252507-dup-1,rec-252507-dup-0
id-985206,rec-985206-dup-0
id-885342,rec-885342-dup-0
id-163520,rec-163520-dup-0
id-167817,rec-167817-dup-0
id-1149935,rec-1149935-dup-1
id-1609214,rec-1609214-dup-1
rec-1035103-dup-0,id-1035103
id-283311,rec-283311-dup-0
id-568539,rec-568539-dup-0
rec-729930-dup-0,id-729930
rec-411280-dup-0,id-411280
rec-3349724-dup-1,id-3349724
rec-1222775-dup-0,id-1222775
id-916677,rec-916677-dup-1
id-1146113,rec-1146113-dup-0
rec-69936-dup-0,id-69936
rec-860875-dup-0,rec-860875-dup-1
rec-292150-dup-0,id-292150
id-1245838,rec-1245838-dup-0
rec-854688-dup-0,id-854688
id-377732,rec-377732-dup-0
rec-741151-dup-0,id-741151
id-1970408,rec-1970408-dup-1
rec-536381-dup-0,id-536381
id-988120,rec-988120-dup-0
rec-591293-dup-0,id-591293
rec-620939-dup-0,id-620939
id-645085,rec-645085-dup-0
rec-239533-dup-1,rec-239533-dup-0
id-946361,rec-946361-dup-0
id-868186,rec-868186-dup-0
rec-3457271-dup-1,rec-3457271-dup-0
rec-1090569-dup-0,id-1090569
rec-680789-dup-1,id-680789
rec-425261-dup-0,id-425261
id-395662,rec-395662-dup-0
rec-875820-dup-1,rec-875820-dup-0
rec-1335313-dup-0,rec-1335313-dup-1
rec-562233-dup-0,id-562233
rec-211265-dup-0,rec-211265-dup-1
rec-2086853-dup-0,id-2086853
rec-891295-dup-1,rec-891295-dup-0
rec-351428-dup-0,id-351428
id-568539,rec-568539-dup-1
id-2484858,rec-2484858-dup-0
rec-305673-dup-1,rec-305673-dup-0
id-398900,rec-398900-dup-0
rec-620661-dup-0,id-620661
rec-284722-dup-1,id-284722
rec-118490-dup-0,rec-118490-dup-1
rec-2993666-dup-0,rec-2993666-dup-1
id-277747,rec-277747-dup-0
rec-894698-dup-1,rec-894698-dup-0
id-972212,rec-972212-dup-0
rec-2086534-dup-1,id-2086534
rec-1044200-dup-0,id-1044200
id-586122,rec-586122-dup-0
id-551393,rec-551393-dup-0
id-2995062,rec-2995062-dup-0
rec-156991-dup-1,id-156991
rec-364160-dup-0,rec-364160-dup-1
rec-13343-dup-1,rec-13343-dup-0
rec-883871-dup-1,rec-883871-dup-0
rec-1060182-dup-1,id-1060182
id-242277,rec-242277-dup-0
id-1070575,rec-1070575-dup-0
rec-741950-dup-0,id-741950
rec-190248-dup-0,rec-190248-dup-1
id-960850,rec-960850-dup-0
rec-2358450-dup-1,id-2358450
id-390002,rec-390002-dup-0
id-884259,rec-884259-dup-1
id-1143354,rec-1143354-dup-0
id-871005,rec-871005-dup-0
rec-519749-dup-1,rec-519749-dup-0
id-3356473,rec-3356473-dup-0
id-261141,rec-261141-dup-0
rec-470114-dup-0,rec-470114-dup-1
rec-1158302-dup-0,id-1158302
rec-946073-dup-0,rec-946073-dup-1
rec-1293732-dup-1,id-1293732
rec-1959565-dup-1,rec-1959565-dup-0
id-136077,rec-136077-dup-1
rec-179426-dup-0,rec-179426-dup-1
rec-1460921-dup-0,id-1460921
rec-537960-dup-0,rec-537960-dup-1
id-362440,rec-362440-dup-0
id-888924,rec-888924-dup-0
id-1065343,rec-1065343-dup-0
id-648148,rec-648148-dup-0
id-1179717,rec-1179717-dup-0
rec-1055179-dup-0,id-1055179
rec-491340-dup-1,rec-491340-dup-0
rec-1095524-dup-0,id-1095524
rec-907959-dup-0,id-907959
rec-883871-dup-1,id-883871
rec-1187900-dup-0,id-1187900
rec-1968785-dup-0,rec-1968785-dup-1
id-931450,rec-931450-dup-0
rec-734808-dup-1,rec-734808-dup-0
rec-717739-dup-1,rec-717739-dup-0
rec-1010963-dup-0,id-1010963
rec-348584-dup-1,rec-348584-dup-0
id-374680,rec-374680-dup-0
id-2841955,rec-2841955-dup-0
id-292150,rec-292150-dup-1
rec-978797-dup-0,rec-978797-dup-1
id-531712,rec-531712-dup-0
rec-1314154-dup-0,id-1314154
id-2358030,rec-2358030-dup-1
rec-506685-dup-1,rec-506685-dup-0
rec-1014424-dup-0,id-1014424
rec-1140432-dup-1,id-1140432
id-566459,rec-566459-dup-0
rec-14994-dup-1,id-14994
rec-1620529-dup-1,rec-1620529-dup-0
id-305725,rec-305725-dup-0
id-1614192,rec-1614192-dup-1
rec-417130-dup-0,id-417130
rec-219584-dup-0,id-219584
rec-546938-dup-1,rec-546938-dup-0
rec-638326-dup-1,rec-638326-dup-0
rec-175474-dup-0,rec-175474-dup-1
rec-351829-dup-1,id-351829
rec-682592-dup-0,id-682592
rec-782948-dup-0,id-782948
rec-680789-dup-1,rec-680789-dup-0
id-2489115,rec-2489115-dup-0
rec-614439-dup-0,id-614439
rec-1099191-dup-0,id-1099191
rec-1062257-dup-0,id-1062257
rec-169060-dup-1,id-169060
id-2358030,rec-2358030-dup-0
rec-2833525-dup-0,id-2833525
id-1228708,rec-1228708-dup-0
id-481197,rec-481197-dup-0
id-860875,rec-860875-dup-0
rec-73694-dup-1,id-73694
id-132953,rec-132953-dup-0
rec-771240-dup-1,rec-771240-dup-0
id-1011437,rec-1011437-dup-0
rec-2418335-dup-0,id-2418335
id-465907,rec-465907-dup-0
id-1190377,rec-1190377-dup-0
rec-379260-dup-0,id-379260
id-946073,rec-946073-dup-1
id-1020828,rec-1020828-dup-0
rec-967576-dup-1,id-967576
rec-1206918-dup-0,id-1206918
id-991125,rec-991125-dup-0
rec-270703-dup-0,id-270703
id-644048,rec-644048-dup-0
rec-732391-dup-1,id-732391
rec-3349724-dup-0,id-3349724
id-874792,rec-874792-dup-0
rec-895887-dup-0,rec-895887-dup-1
id-3582849,rec-3582849-dup-0
rec-877208-dup-0,rec-877208-dup-1
rec-2991830-dup-1,rec-2991830-dup-0
id-424614,rec-424614-dup-0
rec-1607912-dup-0,id-1607912
rec-211265-dup-0,id-211265
rec-2839910-dup-1,rec-2839910-dup-0
id-184590,rec-184590-dup-0
id-1185387,rec-1185387-dup-0
rec-1022425-dup-0,id-1022425
id-519749,rec-519749-dup-1
rec-1075609-dup-0,id-1075609
rec-1257372-dup-1,rec-1257372-dup-0
rec-1316953-dup-0,id-1316953
rec-1130418-dup-1,id-1130418
rec-955184-dup-0,rec-955184-dup-1
id-970587,rec-970587-dup-1
rec-908931-dup-0,id-908931
rec-1282787-dup-0,rec-1282787-dup-1
rec-626489-dup-1,id-626489
id-696148,rec-696148-dup-0
rec-684791-dup-0,id-684791
rec-747554-dup-0,id-747554
id-1968785,rec-1968785-dup-1
rec-1144327-dup-1,rec-1144327-dup-0
rec-940727-dup-0,id-940727
rec-3351438-dup-0,id-3351438
id-1024551,rec-1024551-dup-0
id-111169,rec-111169-dup-0
id-310236,rec-310236-dup-1
id-3456375,rec-3456375-dup-0
rec-344267-dup-0,id-344267
rec-960517-dup-0,rec-960517-dup-1
id-650320,rec-650320-dup-0
rec-53306-dup-0,id-53306
rec-289205-dup-0,id-289205
rec-2357049-dup-1,id-2357049
rec-44176-dup-0,id-44176
id-87027,rec-87027-dup-0
rec-741813-dup-1,rec-741813-dup-0
id-519813,rec-519813-dup-0
id-815584,rec-815584-dup-0
rec-1214750-dup-1,rec-1214750-dup-0
id-2083075,rec-2083075-dup-1
rec-2358450-dup-0,rec-2358450-dup-1
rec-400201-dup-0,rec-400201-dup-1
id-786360,rec-786360-dup-0
rec-3456521-dup-0,id-3456521
id-73694,rec-73694-dup-0
rec-167817-dup-1,rec-167817-dup-0
rec-1959565-dup-0,id-1959565
id-717739,rec-717739-dup-1
rec-344267-dup-1,id-344267
rec-729073-dup-0,rec-729073-dup-1
id-113652,rec-113652-dup-0
id-917936,rec-917936-dup-0
rec-1036324-dup-0,id-1036324
id-761010,rec-761010-dup-0
rec-1336243-dup-0,id-1336243
id-1306600,rec-1306600-dup-1
rec-2840748-dup-0,id-2840748
rec-1239571-dup-1,rec-1239571-dup-0
rec-1259980-dup-0,id-1259980
rec-663443-dup-0,id-663443
id-97555,rec-97555-dup-0
rec-844006-dup-0,id-844006
rec-747304-dup-1,rec-747304-dup-0
id-1538994,rec-1538994-dup-1
rec-85268-dup-0,rec-85268-dup-1
id-1245146,rec-1245146-dup-0
rec-1620529-dup-1,id-1620529
id-115016,rec-115016-dup-0
id-2488940,rec-2488940-dup-0
id-612521,rec-612521-dup-0
id-891634,rec-891634-dup-1
id-2486049,rec-2486049-dup-0
rec-3153980-dup-0,id-3153980
id-1131124,rec-1131124-dup-0
rec-877208-dup-1,id-877208
id-1290419,rec-1290419-dup-0
rec-746398-dup-1,id-746398
rec-2992507-dup-0,id-2992507
rec-495113-dup-1,id-495113
id-175899,rec-175899-dup-0
rec-69689-dup-1,rec-69689-dup-0
rec-231153-dup-0,id-231153
rec-663765-dup-0,rec-663765-dup-1
rec-1051969-dup-1,rec-1051969-dup-0
id-900291,rec-900291-dup-0
rec-273662-dup-0,rec-273662-dup-1
rec-2642573-dup-0,rec-2642573-dup-1
id-670493,rec-670493-dup-0
