release,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
rec-476780-dup-0,rec-786607-dup-1,id-1,Classicod Do Funk,7891430074623,Official,,Portuguese,Latin,1
rec-476780-dup-1,rec-786607-dup-0,id-1,Classicos Do Furik,7891430074623,Official,,Portuguese,Latin,1
rec-265329-dup-0,id-75837,id-1,Spij This,,Promotion,CardboardPaper Sleeve,English,Latin,1
id-1375978,id-1336717,id-1261415,In the Wake of Pestilence,,Official,,English,Latin,1
id-612035,id-894662,id-1,Pioneers,,Official,,English,Latin,1
id-1042436,id-1068951,id-658627,Splitgut,,Official,,English,Latin,1
id-2484858,id-1774498,id-82973,Logan Complete Score,,,,,,1
id-748086,id-2664431,id-1,ActionThriller 3,5055312870051,Official,,English,Latin,1
id-52866,id-99052,id-48235,Lovesongs for Underdogs,5014436700828,Official,,English,Latin,1
id-1123857,id-1135056,id-529997,together,4037688900328,Official,,English,Latin,1
rec-2489115-dup-1,id-2219122,id-2097598,Kune Kine,,Official,None,Japanese,Latin,1
rec-2489115-dup-0,id-2219122,id-2097598,Kuje Kune,,Official,None,Japanese,Latin,1
id-436072,id-753116,id-336924,Promo 2005,,Promotion,,Multiple languages,Latin,1
id-127097,id-497842,id-160784,Ku nieboskłonom,,Official,,Polish,Latin,1
rec-252257-dup-0,id-538874,id-42534,Blazing Homs  Tenor in Roots,783564004423,Official,,English,Latin,1
id-786360,id-1030459,id-1025931,Piano Sonatas D 960  D 958,730099547529,Official,,English,Latin,1
rec-956430-dup-1,id-150511,id-12598,Lisa Stansfield,,,,English,Latin,1
rec-956430-dup-0,id-150511,id-12598,Lisa Stamsfield,,,,English,Latin,1
id-2169572,id-1966972,id-22590,Up On The Lowdown  Drive You Home Again,0805772623026,Official,Jewel Case,English,Latin,1
id-1160549,id-1164207,id-989482,Everything You Ever Made,,Official,None,English,Latin,1
id-1278522,id-1259624,id-78907,Un agujero en el cielo,745099270223,Official,Jewel Case,Spanish,Latin,1
id-232253,id-124326,id-69581,Gun Hill Road,5021392017822,Official,,English,Latin,1
rec-351829-dup-0,id-684330,id-1079157,ScheißKzpelle Live,4015860200244,Official,,English,Latin,1
id-839370,id-960496,id-234128,The Anatomy of Timo Räisänen,,Official,,English,Latin,1
id-1296492,id-1273887,id-45726,Lil Bit of Gold,,Official,CardboardPaper Sleeve,English,Latin,1
id-2640470,id-2336324,id-1335525,Gold Dash,4988002797899,Official,Jewel Case,Japanese,Japanese,1
id-1145990,id-1153079,id-969660,Convenience 2000 original cast,,Promotion,,English,Latin,1
rec-364160-dup-1,rec-273082-dup-0,id-81933,One Tvvo,732115003927,Official,,English,Latin,1
id-1292117,id-1270455,id-752515,The Trilogy Chapter 1 The Collabs,,Official,,English,Latin,1
id-423736,id-742900,id-1,Hardwar,5013658085317,Official,,English,Latin,1
rec-790054-dup-0,rec-1033445-dup-0,id-574766,Just Tjree,824536013026,Official,,English,Latin,1
id-183476,id-317439,id-175568,Na so was,4007198769913,Official,,German,Latin,1
id-1610507,id-1528465,id-35006,Silver,4260101560629,Official,Digipak,English,Latin,1
id-960850,id-403676,id-284133,The Day The Happy Valley Imploded,,Official,,English,Latin,1
id-863992,id-164321,id-125786,Wings Of Spring,,,,,Latin,1
rec-1224488-dup-0,id-631042,id-299034,My Nevv Time,,Official,,English,Latin,1
id-182081,id-324298,id-1,Calling All Kings  Queens,,Official,,English,Latin,1
id-683762,id-402170,id-2535,Momentum,5013116001514,Official,CardboardPaper Sleeve,English,Latin,1
id-289374,id-214592,id-70364,Urk,886970007092,Official,Digipak,English,Latin,1
rec-586122-dup-0,rec-123893-dup-0,id-1,Urban Kisx 2003,039145204400,Official,Jewel Case,English,Latin,1
id-1086241,id-1104545,id-873152,We Are What We Pretend To Be,,Official,,English,Latin,1
id-2272477,id-2048229,id-32513,Schumann Edition,5028421950204,Official,CardboardPaper Sleeve,Multiple languages,Latin,1
id-2415362,id-2162042,id-1713140,Its a New Day,501481003325,Official,,English,Latin,1
id-351428,id-683973,id-206783,我這個你不愛的人,4711875203040,Official,,Chinese,Han Traditional variant,1
id-3454508,id-2975486,id-3302023,Js Juke,,Official,None,English,Latin,1
id-958109,id-404479,id-284787,Ark,,Official,,English,Latin,1
id-3082069,id-2685289,id-904732,ToHeart2コンプリートサウンドトラック,,Promotion,,Japanese,Japanese,1
rec-288497-dup-0,id-631258,id-807775,Sevg'lyle El Ele,8690072003126,Official,,Turkish,Latin,1
id-864174,id-166972,id-127268,Clubs Gs Suvs,,Official,,,Latin,1
rec-519813-dup-0,id-822270,rec-2914-dup-1,LPs,5021603066113,Official,CardboardPaper Sleeve,English,Latin,1
rec-519749-dup-0,id-251752,rec-597116-dup-0,Hugo in 3 Monyhs  Italian disc 1,,Official,,English,Latin,1
id-821139,id-250463,id-60728,Ad gloriam,,Official,,Italian,Latin,1
id-207402,id-561863,id-1,The Silent Ballet Volume II Acquiescence and Oblivion,,Official,,English,Latin,1
id-916677,id-246979,id-176025,Gräjtaste Hittar,,,,,Latin,1
id-604324,id-888288,id-58532,Aşk İnsanı Değiştirir,8697980740549,Official,,Turkish,Latin,1
rec-894938-dup-0,id-350785,id-245697,Elephamt Head,,Official,,,Latin,1
id-2087616,id-1901917,id-1964244,The Town,,Official,,English,Latin,1
id-875608,id-667588,id-5549,Holiday Sounds of Manhattan Strings,,Official,,,Latin,1
id-2364296,id-2120579,id-1,Pussy Lounge Part 3,8715576153969,Official,,English,Latin,1
id-2814861,id-257937,id-10356,We Got By,075992722261,Official,None,English,Latin,1
rec-628212-dup-0,id-906729,id-1461318,Split Albjm,,Official,,Multiple languages,Latin,1
rec-908931-dup-0,id-247841,rec-176629-dup-0,Avertis te5 chums,620675138206,Official,Jewel Case,French,Latin,1
id-1432799,id-1381064,id-1318662,A Blue Book,,Official,,English,Latin,1
id-961616,id-408217,id-287561,Romantic Wealth,700161302424,Official,Jewel Case,English,Latin,1
id-494123,id-801241,id-1,On the Beach 4 Las Salinas Ibiza,,Official,,English,Latin,1
rec-546938-dup-0,rec-844311-dup-0,id-41728,Thim Air,5024545555424,Official,,English,Latin,1
id-554424,id-850273,id-185490,Phylogenesis,,Official,,English,Latin,1
id-891470,id-78460,id-47437,Storybook Ending,,Official,,English,Latin,1
rec-703161-dup-1,id-125200,rec-1663-dup-0,S0 What,,Official,CardboardPaper Sleeve,English,Latin,1
rec-1609214-dup-1,id-1527477,id-1479180,Magnoiia,,Official,None,English,Latin,1
id-1262189,id-1246449,id-1134179,Ashentide,,Official,,English,Latin,1
id-947594,id-362215,id-131920,Stratosphere Breakdown,5018766953169,Official,,English,Latin,1
id-102783,id-142485,id-32837,Wardance of the Alien Sex Fiend,0636551413329,Official,,English,Latin,1
id-1287210,id-1266658,id-613603,The Silence  The Noise,4250137249186,Official,,English,Latin,1
id-726559,id-982491,id-1,Oldie Juke Box,4013659801023,Official,,English,Latin,1
id-2638343,id-2334565,id-321897,Turn in Your Graves,,Official,Cassette Case,English,Latin,1
id-508714,id-258264,id-1330881,Complete Keyboard Works,022924530920,Official,,English,Latin,1
id-1299633,id-1276359,id-1178318,I Married a Monster from Outer Space  The Atomic City,857252002210,Official,Jewel Case,English,Latin,1
id-796032,id-1038253,id-465718,Альтернативыnet,4620005291829,Official,,Russian,Cyrillic,1
id-2640192,id-2336089,id-1,Borderlands 3 Original Soundtrack,,Official,,English,Latin,1
id-997876,id-580676,id-252873,With or Without Me,,Official,,English,Latin,1
id-802956,id-725831,id-155775,Kombi,,Official,,Polish,Latin,1
id-1428975,id-53791,id-143,Gloria,5099748985026,Official,Jewel Case,English,Latin,1
id-797182,id-1039220,id-40385,Volatile Molotov,,Official,,English,Latin,1
rec-1044200-dup-0,rec-1070327-dup-1,id-627408,Sprin9 is here,4540774602001,Official,,Japanese,Japanese,1
rec-1040241-dup-0,rec-832438-dup-0,rec-2076-dup-1,Portland 200,,Bootleg,,English,Latin,1
id-2644184,id-2339347,id-2246404,Stargazing and healing,,Official,None,English,,1
rec-885342-dup-1,id-112713,id-72236,Kanto a Pacjamama,,Official,,,Latin,1
id-2086101,id-1900685,id-1822618,Dead Presidents 2,,Official,None,English,Latin,1
id-479675,id-789018,id-582429,Metamemoria,718755195222,Official,,English,Latin,1
id-1143354,id-1151049,id-885277,The Singles Collection 1978–1981,5032556131322,Official,,English,Latin,1
rec-154122-dup-0,id-38177,rec-12119-dup-1,Fest Noz fe Paname,731454919920,Official,Jewel Case,French,Latin,1
id-257533,id-283103,id-151694,Collective Demise,4043196218923,Official,,English,Latin,1
id-2835868,id-1402022,id-65069,Release Me,886788822221,Official,None,English,Latin,1
rec-1263521-dup-0,rec-1247570-dup-1,id-452165,Ashes of Mv Paradise,4988002623488,Official,,English,Latin,1
rec-734808-dup-1,rec-988933-dup-0,id-663290,The H9llow,,Official,,English,Latin,1
rec-591625-dup-0,id-878755,id-142903,Yesh You,,Official,,English,Latin,1
rec-9568-dup-0,id-762743,rec-74007-dup-0,Cleopatra,030206622423,Official,Jewel Case,English,Latin,1
id-1113807,id-1126659,id-930960,Θα είμαι εδώ,5099995664927,Official,,Greek,Greek,1
id-86859,id-163327,id-81955,Lightning Bolt,,Official,,English,Latin,1
rec-1006504-dup-0,id-614468,rec-54-dup-0,Tbe Triple Platinum EP,,Bootleg,,English,Latin,1
rec-3353223-dup-1,id-2896196,rec-241126-dup-1,Nafrhuju Krysy,8594027150098,Official,,Czech,Katakana,1
id-938276,id-607086,id-433936,On Tour,,Official,,English,Latin,1
id-265344,id-612790,id-437624,Live Worship 2,,Official,,English,Latin,1
id-851653,id-927759,id-580476,The End of a Long Day,,Official,,English,Latin,1
id-1309443,id-1283960,id-713233,Everloving Spark,634457110328,Official,Jewel Case,English,Latin,1
id-723097,id-979901,id-1,KXLU 889 FM Los Angeles Live Volume 2,,Official,,English,Latin,1
id-1069712,id-1073267,id-827752,Theoretics,,Official,,English,Latin,1
id-575314,id-495606,id-78627,Jaggernaut,,Official,,English,Latin,1
id-988606,id-529692,id-1,Superharps II,089408351426,Official,Jewel Case,English,Latin,1
rec-1030658-dup-0,id-209105,id-8818,The Indispensable Coleman Hawkin5 Body and Soul 1927–1956,,Official,,English,Latin,1
id-534648,id-834422,id-1,The Vibe The Ultimate Rare Grooves Series Volume 10 Jazz  Bop De Paris,828765793629,Official,,English,Latin,1
id-571323,id-863032,id-427696,Hear the Music  Bounce,,Official,,English,Latin,1
id-913751,id-249100,id-177459,Irish Dances,,,,,Latin,1
id-638732,id-315537,id-45280,Smile,054645167024,Official,,English,Latin,1
id-1205205,id-1199756,id-1060156,Another Show,4000127155733,Official,Jewel Case,English,Latin,1
id-214320,id-568004,id-405195,City of Mirrors,,Official,,English,Latin,1
id-143520,id-341562,id-40349,Dos gardenias,,Official,,Spanish,Latin,1
rec-229643-dup-0,id-582156,id-190578,We Are Gisnts,,Official,,English,Latin,1
rec-229643-dup-1,id-582156,id-190578,We Are Giamts,,Official,,English,Latin,1
rec-1339694-dup-0,rec-1307739-dup-0,id-194645,Lapi5latsulia,,Official,None,Finnish,Latin,1
id-51070,id-7995,id-2997,An Ennio Morricone Western Quintet,,Official,,Italian,Latin,1
id-2994534,id-2615580,id-2938179,Kochuu,5609063402766,Official,,English,Latin,1
rec-156991-dup-1,id-521601,rec-351826-dup-1,ir,,Official,,English,Latin,1
id-772076,id-1018969,id-724789,Music to Kill By,884501075442,Official,,English,Latin,1
id-1136815,id-1145776,id-958795,Cartolas Band 2003,,Official,,Portuguese,Latin,1
id-978797,id-8210,id-4453,Hollywood Palladium 195455 8,,Official,,English,Latin,1
id-341327,id-663677,id-131684,Cloudy Day Navigation,766397445120,Official,,English,Latin,1
id-3358583,id-2900230,id-3226685,Lee Wiley Sings Irving Berlin,,Official,,English,Latin,1
id-1027922,id-874023,id-283289,Edward H Mewn Bocs,5016886428925,Official,Digipak,Welsh,Latin,1
id-549141,id-846063,id-623416,Bedtime Songs,,Official,,English,Latin,1
id-1065343,id-224971,id-3315939,The Twilight Zone,4005939608729,Official,Jewel Case,English,Latin,1
rec-533785-dup-1,id-477803,id-1323439,Matthäu5Passion,,Official,,German,Latin,1
id-181123,id-495368,id-101262,Acı Gerçekler,,Official,,Turkish,Latin,1
id-648148,id-922122,id-412311,Музыка Народов Птиц,,Official,,Russian,Cyrillic,1
id-1572033,id-1467034,id-1387999,Fiend EP,,Official,,English,Latin,1
id-875462,id-633791,id-455739,Loud Is Good,,Official,,English,Latin,1
id-190578,id-547836,id-12129,Some Guys Have All the Luck,,Official,CardboardPaper Sleeve,English,Latin,1
id-985287,id-530634,id-115585,Street Theater,,Official,,English,Latin,1
id-283311,id-627268,id-449939,Invocatum Furae Diabolis,,Official,,English,Latin,1
id-955347,id-396733,id-279069,In the Mood,,Official,,English,Latin,1
