artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
64025,7bf882ed52464158bcadd4721cae7a4f,Hunter,Hunter,1985,,,,,,f,Group,,id-170,Polish heavy metalsoul metal artist
346436,34bf4d425cc849e9b8b219fd8a58b840,AG,AG,,,,,,,f,Person,Male,id-222,US rapper of Showbiz  AG
193885,ff5ecf29c8914290be7cb8943e832545,Danças Ocultas,Danças Ocultas,,,,,,,f,Group,,id-171,
412311,012285bdbd374fa4ba70d5fbfed8f271,Табула Раса,Tabula Rasa,1990,1,,,,,f,Group,,,
791589,fc85edee21564b4aa4b56a0bf2882a7b,_ensnare_,ensnare,,,,,,,f,Person,Male,id-221,Paul Taylor
162937,f9a64d525182419daad4a99531a0ef62,Nico Fidenco,Fidenco Nico,1933,1,24,,,,f,Person,Male,id-105,
49169,af558762abed4f46832434fc51f57b2b,Bettye LaVette,LaVette Bettye,1946,1,29,,,,f,Person,Female,id-222,
665751,b2900294340c4bf0853ac2917c948e3a,André Dussollier,Dussollier André,1946,2,17,,,,f,Person,Male,id-73,
665747,26152a682b78461d96d6ef57cfd4aa49,Hélène Bleskine,Bleskine Hélène,,,,,,,f,Person,,,
1661229,40a08c965e5b4255b7f5ba69a71283b7,Christian Flor,Flor Christian,1626,,,1697,9,28,t,Person,Male,id-81,baroque composer
362725,5dd6cc8e10dd4f9f811d8a8aaee0269e,PostScriptum,PostScriptum,,,,,,,f,Group,,id-160,Norwegian indie band
1741,75f476508a52494a8334c5279bc6db09,The Ink Spots,Ink Spots The,1932,,,1954,,,t,Group,,id-222,
334801,82d9deff92d24dc5814088469e6afcf0,Téada,Téada,2001,1,,,,,f,Group,,id-103,
379,579764311a5c4968a422b92c5e9b0d4f,Glen Campbell,Campbell Glen,1936,4,22,2017,8,8,t,Person,Male,id-222,US country singer guitarist  actor
93,65f4f0c5ef9e490caee3909e7ae6b2ab,Metallica,Metallica,1981,10,28,,,,f,Group,,id-222,
524411,f16b4bfebe6d4f9ea89b4e7e97aaf2c6,Андрей Яковлевич Эшпай,Eshpai Andrei Yakovlevich,1925,5,15,2015,11,8,t,Person,Male,id-176,
999906,fd5bebfb5c874f9ba2055363457d2c5b,Pete Renton,Pete Renton,1987,5,5,,,,f,Person,Male,id-221,
301098,e87fd6a28f8344519b0c4ba4e0d855cb,Pēteris Vasks,Vasks Pēteris,1946,4,16,,,,f,Person,Male,id-117,
160765,6f34ef7a2cbf49a5b3bb093e18bea125,Deela,Deela,,,,,,,f,,,,
113441,ff0ecbbe34b049c7a36d81a47700ac13,孙燕姿,Sun Stefanie,1978,7,23,,,,f,Person,Female,id-188,
546970,69805fd6363b4ff99af02d13bf301ab8,Miserylab,Miserylab,1967,10,19,,,,f,Person,Male,id-221,
1804,1ba601a034014b288ddd9af8203661e8,The Lightning Seeds,Lightning Seeds The,1989,,,,,,f,Group,,id-221,
649834,82b2fe8699d148ddb2b9d260dfb24a6e,William Perry,Perry William,,,,,,,f,Person,,,
293706,b0505d8eebc84da7b7e58cb2ac4d27b8,Sanalejo,Sanalejo,2001,,,2008,12,5,t,Group,,id-47,
90086,e3bb7d7bfb0a45efa8e2530f354ef94e,Myon,Myon,1995,,,,,,f,Group,,id-72,Finnish metal band
879928,c423cc80902f41169e25e76a9be2c333,王新蓮,Wang Hsinlien,1960,,,,,,f,Person,Female,id-205,
