id,gid,name,label_type,area,ended
81777,3c96b287a7904a61aa6b7409c6c8bbd0,TakeFour Collective,Original Production,id-7310,f
79599,4a86a6aa47b94978891e70d7c462c9df,Motley Music Limited,,id-221,f
223017,75d0589ad3744785bfe51fdda6243fff,Kame House Records,Publisher,id-81,f
154290,5fe078ce035a40be836ca066f05a4d98,Jahazi Media,Publisher,,f
168162,4506739a8b8f4b2f91c38aa90828daf5,Inside Orion Minimal Muzik,,,f
173507,1447d741ea6543d4abbb5376ee872abd,MRI,Imprint,id-222,f
213951,62a5532b0d6648f6aa9a89cd634bf7a0,Alex Spencer Music,Distributor,,f
29808,06450eb52284476aa405664f66a02e49,Bold Soul Records,Original Production,id-222,f
93652,27b6cf3f87c4442598f3dbb17630059b,B Lucky Music,,,f
236030,45acd7624cd842ecacf7d8b909506621,Longtail Music,,,f
74171,99be74cbd8474d8fa50193673dc38339,The Konspiracy Group,,,f
115561,13001b78565645098380ccaeb1be8887,engine records,Publisher,id-7323,f
224036,2cda5b4e5259401dbf3954224c2cc6a6,WEBKOO,Imprint,id-107,f
194004,1d69e516a1a1491c99774c243e27a77a,Numarec Music,,,f
59994,4c99282374714eb5960b92dc418f40f8,Lighten Up,,,f
43530,e3f543e9d3674ae58c40dd353d607c35,Death Becomes Me,Original Production,id-221,f
27670,be5073311270483386b50a6bc7d0bb7d,Flagg Records,Original Production,id-222,f
103627,25b525b7044e4e66a9cfca8506ca7f09,Stoney Burke,,,f
246361,14da89283b4c476b9e05abdf30deeb0b,Flower Records,,,f
252425,cf55cce7067243f881e67d40485cdc6b,Saturn Strip,Original Production,,f
204717,4095c4da7b964016bd0aab582f781da3,Leaf Songs Ltd,Publisher,id-221,t
180914,c176c2b9dd144d698ce7b94da520cfde,Capal Records,,,f
171741,8a0524c681ab47228b53251df8abe290,Templo,,,f
51876,b1183b01f25f4efa9d377c9a3fd8c14d,Recoup Records,,,f
101485,f92be7b4999d4610bc9923c30b1f0af5,Horn OCopia Recordings,Imprint,,f
105304,0b7a1dda4a1643618b23733105feff7c,Take Off Your Shoes Records,,id-72,f
215711,ea73d43c118448ada6fbe10713661c22,Tape Stack,,,f
142585,c064c8f86ea2427c866e30170476c9cb,Atmos Games,,,f
160519,7e48e8d4b2694afc86abc832485a018f,Method Records,,id-221,f
63718,59f3474a1a144d83aa67919eaa6a2268,Metal Throne Productions,Production,id-84,f
2348,16967f4a805540b09acd3347d56c85cc,Bando Records,,id-113,f
1562,15c09660873041eabd3a5c58dc3dbb73,Traditional Crossroads,Production,id-222,f
146667,9eaac4004b954a21970317b6ed0e5e09,Statens Kunstfond,Imprint,id-57,f
7080,7ede0d38fe734aea8e69551c7344bcaf,Image Music,Original Production,id-105,f
18985,aaf5c96c353e42c48b5ecdc3a66da4a7,Forged in Fire,Reissue Production,id-222,f
165378,f73dfcf138224765a8e5f3532e8008a9,Sheer Africa,,id-193,f
53935,5ad1d254f5fe47469a28ccb75a83c20f,Chateaurouge,,,f
103728,8044ac99fa6a495a9d02509962d23469,Sleeping Village,,id-222,t
123154,4e989321731446608dc8dab7d5699833,Estate of Richard Sohl Music,Publisher,,f
103081,850c95c7b81947c5930bc4ebc7cac328,Biamusik,Production,id-38,f
63700,846d6c30fd5b4d468cffb47615a5aca4,Materie Records,,id-81,f
210601,95f41454839049dda9ee2264a643d1f8,Funnybone Records,,id-38,f
218216,d69f7c3ee50c4b43b3d69386f88a4d98,Schama Production,,,f
222837,adfbd514678445148c245f26ee6bd62c,Esupendo,Original Production,,f
50592,3e1603dbe7e34c9d837d6f6a80e9a9ca,Pelew Music,Publisher,,f
5614,ae4583e1547a48d1b12e5ce320b1df17,Karaoke Kalk,Original Production,id-81,f
236050,64c70bf9e8764924972c20f68b2b632e,Spinnup,,,f
155469,fe9d8b114e34457bb6f61f66c2740dc4,Hittite Requiem Music,Publisher,id-292,f
113681,f643fc392d1f499383dc7d4d05589de3,Grameophone music,Original Production,id-95884,f
64985,23f9fa1a2dfd4fc5909a6f615909b7fb,Kindred Recordings,,id-73,f
114974,6505ee58291741b88f30f8f745f7334b,Digital Dialect,,,f
159432,5f8f16ba299b40f08c84662deafc2562,Selection Records,,id-378,f
237869,ffe4bb7f0f8d4fe788757fed15ffa06f,Eva Magical Music Sounds,Distributor,,f
122800,0f6ead8834b247b7811391f503dd75d0,Emerald Eye Recordings,Distributor,id-221,f
7644,621eab6d257d46c4a9efe5d196e75166,RTFM Records,Original Production,id-222,f
119393,2bf2aa8202b14d8ea2f8da19dee2cd2f,RTV Braća Karić Telecom,,,f
89075,9d4ff82810784e8f99349bc33813c807,Fantasy Memory,Reissue Production,id-222,f
251902,7ed4041199414c539c645bc626f1f94d,CrosSing,,id-107,f
194779,3596a75541ca44768e47557c14dd1898,Count Zero Records,Holding,id-1872,f
248528,a7f8905f30374cb1a009292e1f9fd754,Old Wheat Records,,id-5210,f
222540,a744a2c381ca41d5b54dc65c89c6c56b,SIMP Records,Original Production,id-116010,f
34064,69426ed640b1439387f116c6c4e6f20e,Hong Kong Recordings,Original Production,id-81,f
92507,03a3ee89973b40068bbdea51ee63f61a,Amethyst,,,f
32658,34923bf74ff047fb8bec5c5189c9eed3,Jellyfish Factory Records,,id-73,f
112126,64303a2a5aa14b3898efbb5b0025333d,Sound News Productions,,,f
162189,aa217ee0060b468f84f91e5bd192d29b,Mirror Music,Publisher,,f
163012,6fb48e5ce60c4a9ab4838cf7529b7ab8,Matapalo Music Group,Imprint,,f
243850,cd39dcd2cb1b4f229fa78a8ac0b7c46a,ตราหนูขาว,,,f
134915,bc326e61db3546f0b2b6a3b274e7d98e,Spider Invasion,,,f
31715,76e1992a51b7453189d988f2fb39b088,Dirty Water Records,,,f
118389,0fa08a4e0775462d955b29d13702612a,欧乐文化,,,f
228953,c4246a7bd83e4c5fab82b88fe933ec76,Omerta Music Group,,,f
87991,14c233f0da6e4f4ca24942cab5b7c8ab,In the City,Production,id-1178,f
177314,ce19056aefb24f7bac996843efa975a0,Double J Music,Publisher,,f
23315,803829f02bac49e4ac761d25993875b3,Dollar Record Records,,id-222,f
181657,61e0fd37daf24315ab8c0e22470c33ab,CLOU,,id-11955,f
74132,fab80879fa7b4368b1dd90ee0b5584e3,LXR Records,,,f
62707,b49dd6668e6544a3a11ce3c654497e52,bummms records,,,f
246651,b9b8a71019554d4ca8f354140d6ff216,Nuclear Waste Records,,,f
153232,095b1283fe8c4cc4a6b3028779185b9a,Eccofilm,,,f
137589,0b574db326324d9eb840c2eb8f5fc634,Origen Music,Production,id-5197,f
154474,b605648623bd461d853fa423ff83a5b6,High Wind Production,Original Production,id-107,f
155454,606d907403e2485b9b55476d2801ab1b,Cold Ways,,id-378,f
