id,release,position,format,track_count
550123,id-550123,1,1,11
747615,id-747615,1,12,17
711067,id-711067,1,1,10
648148,id-648148,1,1,15
1085042,id-1079331,1,12,10
597366,id-597366,1,1,10
701425,id-701425,1,1,13
618816,id-618816,1,1,24
2342359,id-2172053,2,38,29
1329377,id-1291138,1,1,11
1313806,id-1277549,2,1,21
2239706,id-2082545,1,1,14
652296,id-652296,1,1,11
992766,id-992766,1,,16
748844,id-748844,1,1,2
1337778,id-1298430,1,,12
491057,id-491057,1,1,15
524692,id-524692,1,1,19
442788,id-442787,2,1,18
828328,id-828328,1,1,14
344533,id-344533,1,1,12
2561683,id-2365371,1,1,32
1025785,id-1025785,1,,23
72329,id-72329,1,1,12
1156313,id-1140806,1,1,15
713618,id-713618,1,1,17
1233720,id-1207878,1,,15
591625,id-591625,1,1,4
723686,id-723686,1,8,13
531365,id-531365,1,1,10
2336293,id-2166663,1,1,7
1213707,id-1190377,1,7,14
1014424,id-1014424,1,,12
644686,id-644686,1,12,24
121070,id-121070,1,,16
453737,id-453737,2,1,49
2868496,id-2641657,1,12,12
112808,id-112786,3,1,20
792104,id-792104,1,1,71
815519,id-815519,1,1,20
1422486,id-1372885,1,1,12
938276,id-938276,1,,13
748086,id-748086,1,12,283
417184,id-417184,1,1,20
1605986,id-972212,2,1,10
179426,id-179426,1,,12
199685,id-199685,1,,10
3650630,id-3349724,1,12,1
1306158,id-1270929,1,1,10
317183,id-317183,1,1,13
1015896,id-1015896,1,,13
1116459,id-1105751,1,1,11
523385,id-523385,1,1,10
1035425,id-1035425,1,,26
757394,id-757394,1,1,9
456640,id-456640,1,1,13
1287312,id-1254516,1,1,16
1054276,id-1052385,2,1,27
86760,id-86760,1,12,84
3654461,id-3353248,1,12,7
1269830,id-1239711,1,1,20
467096,id-467096,1,,15
338625,id-338625,1,1,13
3089013,id-2841671,1,12,214
154122,id-154122,1,1,14
375336,id-375336,1,1,8
942196,id-942196,1,1,17
879104,id-879104,1,,12
649663,id-649663,1,1,14
2692126,id-2484858,1,12,79
98550,id-98550,1,1,4
120485,id-120485,1,1,12
621050,id-621050,1,12,99
1147787,id-1133236,1,12,9
890609,id-890609,1,,13
1275705,id-1244511,1,,12
647918,id-647918,1,1,14
3650994,id-3350054,1,31,12
566459,id-566459,1,1,46
1425628,id-1375530,1,12,4
900488,id-900488,1,1,12
915442,id-915442,1,,21
622396,id-622396,1,1,12
591293,id-591293,1,1,17
933259,id-933259,1,1,18
3768258,id-3458353,1,1,12
2255244,id-2095803,1,1,15
1024547,id-1024547,1,1,17
1019525,id-1019525,1,1,28
446713,id-446713,1,1,11
870543,id-870543,1,1,13
736612,id-736612,1,31,12
715622,id-715622,1,,7
197168,id-197168,1,1,13
758042,id-758042,1,1,12
1371362,id-1327856,3,1,20
1449317,id-1396220,1,1,11
914616,id-914616,1,1,21
3262643,id-2997533,1,1,11
997466,id-997466,1,1,18
646413,id-646413,1,3,16
1044554,id-1044200,1,1,14
343843,id-343843,1,1,9
1100576,id-1092285,1,12,17
3657203,id-3355804,1,1,10
1307409,id-1272020,1,12,10
694717,id-694717,1,12,396
859148,id-859148,1,,12
2554095,id-2358450,2,1,18
790811,id-790804,2,1,47
740553,id-740553,1,1,29
859461,id-859461,1,,13
2694681,id-2487025,1,1,12
473268,id-473268,1,1,15
3080850,id-2834111,1,12,28
1695434,id-1611812,1,1,13
1698609,id-1614409,1,1,17
1003679,id-1003679,1,,12
1122037,id-1110656,1,1,12
1155113,id-1139800,1,1,12
610314,id-610314,1,12,16
888924,id-888924,1,,3
1534995,id-1470410,1,1,2
424668,id-424668,1,1,1
640278,id-640280,2,1,11
1485721,id-1427855,1,1,15
961846,id-961846,1,,20
3256273,id-2991832,1,1,10
790582,id-790582,1,1,22
424614,id-424614,1,1,12
423169,id-423169,1,1,18
3439226,id-3157682,2,1,8
2552504,id-2357047,1,1,22
1085189,id-1079452,1,12,7
923510,id-923510,1,1,11
1126898,id-1114843,1,1,13
344887,id-344887,1,7,12
347307,id-347307,1,1,10
526120,id-526120,1,1,14
216819,id-508714,20,1,16
3089314,id-2841955,1,12,2
484549,id-484549,1,1,4
