id,gid,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
550123,fc9b6c2e5cb44589a1574f1955bb7083,id-846803,id-64025,HellWood,,Official,,Polish,Latin,1
747615,84bc8ee2916942079d1b6dbd4c18c495,id-999365,id-346436,Everythings Berri,,Official,,English,Latin,1
711067,bdc661c63edf4e4ca7f31146a2a1023b,id-971092,id-193885,Tarab,,Official,,Portuguese,Latin,1
648148,fccb03622c6b42da9fb409bd3e29a916,id-922122,id-412311,Музыка Народов Птиц,,Official,,Russian,Cyrillic,1
1079331,14a6defebb0d4394847203c1c570ba98,id-1098988,id-791589,Impeccable Micro,,Official,None,English,Latin,1
597366,631b7232210d4708aafaa9b2e43a8f93,id-882901,id-162937,Emanuelle Perché violenza alle donne,,Official,,Multiple languages,Latin,1
701425,ba33b53ec9b0419e9a72c57a7ce5c67a,id-963701,id-49169,Interpretations The British Rock Songbook,045778702923,Official,Jewel Case,English,Latin,1
618816,a9bcfcb2b45a4ed8977a3dd841f839d1,id-899674,id-805842,La Bible en musique,9782070528738,Official,,French,Latin,1
2172053,b5877b6e052b4e7395879be817a53392,id-1968896,id-2214519,Complete Organ Works,761203759729,Official,,German,Latin,1
1291138,ff96556cb1764f00913952322ebb68f1,id-1269674,id-942062,ProphetDeny,4260019030474,Official,,English,Latin,1
1277549,a23de7c8775940a59f2fe10c51b8edf3,id-1258846,id-1,Well Meet Again The Love Songs of World War II,033251052023,Official,,English,Latin,1
2082545,7b496117591246f79450e22c81412393,id-1385007,id-334801,Lá an Dreoilín,656297011856,Official,Jewel Case,Multiple languages,Latin,1
652296,55344a0699073a0596e7acd3d2b8f273,id-122266,id-379,Wichita Lineman,724353522926,Official,,English,Latin,1
992766,f343c97d681c40ca8463222e1f123030,id-549293,id-93,19860921 London UK,,Bootleg,,English,Latin,1
748844,5a46dde41ff842d1bec9b36b4304a3d3,id-1000505,id-2424748,Saxophone Concertos,,Official,,English,Latin,1
1298430,06e275d71b5541d09af1fc390ca430ad,id-1275413,id-1155807,Reel,,,Jewel Case,English,Latin,1
491057,545dbdb071a7469bb1fe4f3a05bfb610,id-798688,id-1025061,Time and again,7318590013922,Official,,English,Latin,1
524692,e61fcff1161f4de89061d99d14cca018,id-825992,id-160765,Mano Mano,,Official,,English,Latin,1
442787,aad24344a6f64d7a8c462e6fc246396f,id-758305,id-1,Asian Garden 2 The World of Asian Grooves,4260036280579,Official,,Multiple languages,Latin,1
828328,fc6abe67b04845829b69e5cc68ef9162,id-1062764,id-546970,From Which No Light Escapes,,Official,,English,Latin,1
344533,5df45a2639c1329098a080850783430e,id-42090,id-1804,Dizzy Heights,9399700030600,Official,,English,Latin,1
2365371,8872485dc82b4c1983b32f50d97ab8ff,id-2121503,id-2379733,The Film Music of William Perry Life on the Mississippi,,Official,,English,Latin,1
1025785,1a48d3129abb4412b5e9e9ae282e65a9,id-463448,id-293706,Alma y Locura y sus éxitos,,Official,,Spanish,Latin,1
72329,3e2d07a5f79b4565abfba341f8de9ce5,id-429441,id-90086,Heavens Garden,6420074101122,Official,,English,Latin,1
1140806,ab5a8529a4364520ba883347215db017,id-1148417,id-1,滾石30青春音樂記事簿 CD17 畢業旅行,4710149653703,Official,Jewel Case,Chinese,Han Traditional variant,1
713618,f38f53d0a4d448dba4589e2fdb7e7348,id-308097,id-1,A Christmas Celtic Sojourn,,Official,,Multiple languages,Latin,1
1207878,d635aef3324446d0bfb7aeb465b202d1,id-1201909,id-569117,20120721 Summer Lounge Halle Germany,,Bootleg,,English,Latin,1
591625,ecb580d912c54310b197132c624485ff,id-878755,id-142903,Yeah You,,Official,,English,Latin,1
