id,gid,recording,medium,position,number,name,artist_credit,length,is_data_track
8077202,f0e94da2c1003f00bde334091924a41c,id-9457875,id-550123,11,11,Zbawienie,id-64025,321266,f
10009204,0f24008eef643196adc3f79ef78a1c6c,id-11542688,id-747615,8,8,Berriville,id-346436,124000,f
9718461,7eee764cfc5e33d99fdf125e46fbd804,id-11219281,id-711067,4,4,Fábula,id-193885,151000,f
9022719,1b9a7be3f182316e8e470a7e394fc9a9,id-10477176,id-648148,15,15,23 версия 2,id-412311,,f
11220779,7eda850dd2233833b2cafcaf18a1a74d,id-12790809,id-1085042,1,1,Intro,id-791589,24000,f
8467335,9d6648d3a2a43dd98ea9afe55e69e94c,id-9885262,id-597366,4,4,Kamasutra in Love,id-162937,133000,f
9638761,8e7bf8c714e33cc89f2f25bfa7e45335,id-11131827,id-701425,5,5,Isnt It a Pity,id-49169,259000,f
8747323,80943dd9d9c7308db560119ec0943b9e,id-10181181,id-618816,22,22,Nabuchodonosor,id-805842,231826,f
25405267,f60e868f258d46f3b03ce73536e3461a,id-22654847,id-2342359,20,20,Treüer Gott ich mus dir Klagen,id-2214522,91000,f
14776979,2e9b09259b3a4a09b17dca473ec6f166,id-14923041,id-1329377,8,8,One Day,id-942062,227000,f
14550286,db7fe65f2ff03f499f006455d67a7898,id-14800893,id-1313806,2,2,Someones Rocking My Dream Boat,id-1741,202000,f
24371370,8a4a09fc854049549fa4e13e18bd2f59,id-16274388,id-2239706,2,2,The Stepping Stone  An tSeanbhean Bhocht,id-334801,242946,f
974507,b7652147b28b3c358290031b0dee9da1,id-1138720,id-652296,3,3,If You Go Away,id-379,221600,f
5064015,9a0e9b1d97dd3a54a2a8c538dfe65f7c,id-6205793,id-992766,11,11,Creeping Death,id-93,429000,f
10024920,c181166188c039e8a78472dc511f180c,id-11560906,id-748844,2,2,Concerto for Soprano Saxophone and Orchestra,id-1781969,1108000,f
14944717,a22a42325c044068913bd5734aabf8d1,id-14994474,id-1337778,8,8,Jellyfish,id-1155807,293000,f
12912233,7635ecc2004a3b568c1e16503d9fbf15,id-8914449,id-491057,14,14,Little summer Music VI Breit klangvoll,id-301098,155000,f
7851625,fbf43bb2b56c38228a88ad7cb88e9bee,id-9217075,id-524692,11,11,Absourdo,id-160765,261000,f
12784727,d0d379a8e38c3b1eb8016bb526f4f599,id-8472528,id-442788,12,12,Magical,id-1014172,247000,f
10746234,bc82e04ed497316fbbc63daf14d2071e,id-12357843,id-828328,12,12,silence,id-546970,6000,f
258024,5a86fd35a1353e3b845f4122b527d44b,id-299956,id-344533,3,3,Waiting for Today to Happen,id-1804,214333,f
27615557,8d7276b6dc1347588876289effa718f6,id-24289162,id-2561683,9,9,Adventures of Huckleberry Finn Closing Scene,id-2379733,,f
4248340,64d6c95976403e28823a27f90282d50d,id-5226508,id-1025785,12,12,Flor Nocturna,id-293706,228293,f
3963635,1eb119bdc5753c8c8df52320d5053ddd,id-4830550,id-72329,8,8,Transvestite Dance,id-90086,,f
12107445,54a0034c99793924b43fc0051b433bd4,id-13418307,id-1156313,15,15,往天涯的盡頭單飛,id-963089,294000,f
