artist_credit,name,artist_count,ref_count,created,gid
64025,Hunter,1,516,20110516 16321196392900,988353c1f96b30528eee6526420c93d4
346436,AG,1,275,20110516 16321196392900,78d33956fa5130f5b32bd144ab2b0e8b
193885,Danças Ocultas,1,152,20110516 16321196392900,37a8c5dd9558357294e44a3a355e8c6a
412311,Табула Раса,1,78,20110516 16321196392900,d93a83c0e4c930fa86352663215f74f8
791589,_ensnare_,1,172,20110516 16321196392900,bd01f43f921c332a9d1d6afb62b12c84
162937,Nico Fidenco,1,1553,20110516 16321196392900,7311812f61113e799b0457e930a322f5
49169,Bettye LaVette,1,1002,20110516 16321196392900,504dc1ce52e033f2ab1277616c0424f4
805842,Hélène Bleskine et André Dussollier,2,88,20110516 16321196392900,25c56734cd21375c99653bcae23575f7
2214522,Christian Flor,1,21,20180510 12515523116200,2523dd07446f31deb1ec245f03c85613
942062,PostScriptum,1,27,20120209 03000637654300,243a465c7e8b32b1bad9c9eaef78692f
1741,The Ink Spots,1,4000,20110516 16321196392900,cacfa767c2cf3f10b6b4fc65cadf4ec5
334801,Téada,1,165,20110516 16321196392900,9653fc9226883070a971c1a3033b3c4e
379,Glen Campbell,1,7565,20110516 16321196392900,a1575aee2ce43d30bf9e9d5304bbdf1d
93,Metallica,1,44312,20110516 16321196392900,7403167d416b3dee96c64725d8c3eed3
1781969,Andrei Eshpai,1,26,20161205 23463488078600,46263ccef8723c20a75d56d04866e1a5
1155807,Pete Renton,1,160,20130421 13071201900600,d7c546d7606035d98ade9dc928a13021
301098,Pēteris Vasks,1,473,20110516 16321196392900,7c1efc86090b3eb2a314db8e175466d8
160765,Deela,1,239,20110516 16321196392900,72636ffe09493e1c8126b9b66a5b7c55
1014172,Sun YanZi,1,1,20120709 16133020209700,c20ef3755a9a30cba200f10dcb5431e9
546970,Miserylab,1,409,20110516 16321196392900,f96ba3f3b0703a0db694d925cf4e3d76
1804,The Lightning Seeds,1,936,20110516 16321196392900,f9e8ccf05c643aa5807a772cafed8512
2379733,William Perry,1,66,20190305 02334378132500,68d28704d0fb3ef786cbb26756b742eb
293706,Sanalejo,1,128,20110516 16321196392900,b9753138abed35bc9790e6389f488d04
90086,Myon,1,210,20110516 16321196392900,4c1c36b56f2a34ee8d350a027f8a6b6b
963089,王新蓮鄭華娟,2,4,20120331 0710396166200,010fce11c82137beb0170b074b5b98a0
1507281,Steve Schuch  The Night Heron Consort,2,109,20150716 12013098472800,7f6e42d3bcf630c0ac921b0236d3a719
569117,Milla Kay,1,85,20110516 16321196392900,3b30c5e4bd8130b881c59f3229cded2c
142903,The Step,1,37,20110516 16321196392900,c65f32d9dda63e32aed215e53c55ae71
53607,Franklin Bruno,1,264,20110516 16321196392900,75812ccc972830819a4be8cb5e3ba9df
613918,Marenne,1,22,20110516 16321196392900,d840ab39c2eb3b128be2f098fa170a5e
2208417,Tamarisk,1,87,20180501 07293609819400,e2cc27a1c4eb3aab8531b74f29adee00
106599,Voice of a Generation,1,253,20110516 16321196392900,b6508304e02634b4b4a986ba95c3c7ea
290579,Μαρία Φαραντούρη,1,411,20110516 16321196392900,ec442c33c197355eaee81a2edc71b037
663106,Zack Tempest,1,265,20110516 16321196392900,56b55d251ceb372cb686c200578c73b3
43631,Rosanne Cash,1,1390,20110516 16321196392900,49caecab06af305ab276d918b3421362
566490,John Ernest Galliard,1,115,20110516 16321196392900,ad54f0b9cf8231288f37807e93ed0649
2578700,Maya de Vitry,1,88,20191224 09545871220700,d2b029b4150432c5934a5002b215b7d7
1135,The Beach Boys,1,28293,20110516 16321196392900,51bb09f9ab333db099094ab290a21b8c
565615,Pete Lockett,1,444,20110516 16321196392900,463a59af12d934c19889db3654f46449
118912,Ted Heath  His Orchestra,1,144,20110516 16321196392900,e5f14027fc223e5e8faf83b1716aee37
1258418,Κώστας Τουρνάς  Σοφία Αρβανίτη,2,5,20140106 22371692715600,08d2034acdc73d80841e00e67ea650fd
433936,US Air Force Band of MidAmerica,1,28,20110516 16321196392900,b4cadcb61b113e838c39bfaa47895e03
744770,Jochen Flach,1,881,20110516 16321196392900,a1730a3a5cd8342da91089a4e8b5b394
330234,Ojo Rojo,1,67,20110516 16321196392900,ab68e5778f4d3e92be9c9f68179dc8c4
169483,Hal Lindes,1,121,20110516 16321196392900,082c548df7f2374caafd14ca37094018
42990,Drama,1,60,20110516 16321196392900,072c2efb80de31cc8e5a4b5c28fdb0ce
584601,林笛,1,88,20110516 16321196392900,1c04a4e44b97345797210eba87a68813
1399941,Brad Knauber,1,24,20141209 18564343251500,b5524c2a7cd531a2be6ed55f27f95a31
9617,Léo Ferré,1,7075,20110516 16321196392900,67203905486231e9beb8d2885763b6aa
5907,Diary of Dreams,1,1509,20110516 16321196392900,301c56aa7e9b32e6b70c57703effe131
58431,Apollo,1,60,20110516 16321196392900,2f8cdc4e62db390ca99619bdd9afc8d6
84818,Oboroh,1,94,20110516 16321196392900,4e4d1a188c1b32b49c50dbf476975e2c
376747,Loop,1,546,20110516 16321196392900,057d16d0541d375da30a70903fd63f22
79575,Jesse Belvin,1,416,20110516 16321196392900,fada1662fd2c3b8d8164909a59a873e7
152446,NoNeck Blues Band,1,132,20110516 16321196392900,bb09f0ec57603b45855ae8110dfd10aa
394308,Marquess,1,529,20110516 16321196392900,4e06c059626938e291a2bf17f33614c4
892042,美輪明宏,1,116,20111201 16122616469400,66f10285b0e63ac8b24eae9322a8bb3e
73502,Georg Friedrich Händel,1,23791,20110516 16321196392900,8f700c30b83737adb0580ce0117df343
1958,Skinny Puppy,1,3034,20110516 16321196392900,e991ab4ba0c63c288b4837d5b5534188
3222846,Alan Kwan Quartet,1,16,20220209 18422436143300,b8e27ab711c836bc8c8ca4febd3aa98e
106511,Magic Box,1,261,20110516 16321196392900,440a0830c73a3e3e838e799533f7d7b5
569781,Railis People,1,587,20110516 16321196392900,f9bc515ed6053abfbce7e75751e4e16e
73379,The Clientele,1,765,20110516 16321196392900,3c3ce9e5abcb3eacb156e64e11b05528
2822231,Volker Klüpfel  Michael Kobr,1,1964,20201008 1345466607400,6e4740f29395337ab10907211351a41b
