artist_credit,position,artist,name
64025,0,64025,Hunter
346436,0,346436,AG
193885,0,193885,Danças Ocultas
412311,0,412311,Табула Раса
791589,0,791589,_ensnare_
162937,0,162937,Nico Fidenco
49169,0,49169,Bettye LaVette
805842,1,665751,André Dussollier
805842,0,665747,Hélène Bleskine
2214522,0,1661229,Christian Flor
942062,0,362725,PostScriptum
1741,0,1741,The Ink Spots
334801,0,334801,Téada
379,0,379,Glen Campbell
93,0,93,Metallica
1781969,0,524411,Andrei Eshpai
1155807,0,999906,Pete Renton
301098,0,301098,Pēteris Vasks
160765,0,160765,Deela
1014172,0,113441,Sun YanZi
546970,0,546970,Miserylab
1804,0,1804,The Lightning Seeds
2379733,0,649834,William Perry
293706,0,293706,Sanalejo
90086,0,90086,Myon
963089,0,879928,王新蓮
963089,1,879929,鄭華娟
1507281,1,179418,The Night Heron Consort
1507281,0,1083463,Steve Schuch
569117,0,569117,Milla Kay
142903,0,142903,The Step
53607,0,53607,Franklin Bruno
613918,0,613918,Marenne
2208417,0,1656670,Tamarisk
106599,0,106599,Voice of a Generation
290579,0,290579,Μαρία Φαραντούρη
663106,0,663106,Zack Tempest
43631,0,43631,Rosanne Cash
566490,0,566490,John Ernest Galliard
2578700,0,1734465,Maya de Vitry
1135,0,1135,The Beach Boys
565615,0,565615,Pete Lockett
118912,0,118912,Ted Heath  His Orchestra
1258418,0,322081,Κώστας Τουρνάς
1258418,1,1075216,Σοφία Αρβανίτη
433936,0,433936,US Air Force Band of MidAmerica
744770,0,744770,Jochen Flach
330234,0,330234,Ojo Rojo
169483,0,169483,Hal Lindes
42990,0,42990,Drama
584601,0,584601,林笛
1399941,0,1177810,Brad Knauber
9617,0,9617,Léo Ferré
5907,0,5907,Diary of Dreams
58431,0,58431,Apollo
84818,0,84818,Oboroh
376747,0,376747,Loop
79575,0,79575,Jesse Belvin
152446,0,152446,NoNeck Blues Band
394308,0,394308,Marquess
892042,0,844060,美輪明宏
73502,0,73502,Georg Friedrich Händel
1958,0,1958,Skinny Puppy
3222846,0,2290885,Alan Kwan Quartet
106511,0,106511,Magic Box
569781,0,569781,Railis People
73379,0,73379,The Clientele
2822231,0,803209,Volker Klüpfel  Michael Kobr
12119,0,12119,Manau
46624,0,46624,Galleon
38345,0,38345,Virgil Fox
265397,0,265397,Dr Sin
685180,0,685180,Lea Lu
2484935,2,1108353,Brandon Roberts
2484935,0,82973,Marco Beltrami
2484935,1,581584,Buck Sanders
326052,0,326052,ハレンチ☆パンチ
56916,0,56916,Minuit
49233,0,49233,David Hubbard
101040,0,101040,The Channels
119323,0,119323,Scrunter
1113812,0,966919,Drunk Vision
684275,0,684275,Willi Weitzel
3220286,0,389863,Charles Veal Jr
224851,0,224851,中川幸太郎
1261808,0,1077768,Poschek
42333,0,42333,Dina Carroll
61854,0,61854,Denean
21240,0,21240,Brian Eno
23320,0,23320,Mercedes Sosa
792,0,792,Donna Summer
784927,0,784927,Krzysztof Myszkowski
1373,0,1373,Skunk Anansie
121009,0,121009,Babu
