place,gid,name,place_type,address,area,coordinates,ended
48918,fcab91d6618446bb83b98b7368e90e65,Pacific Spirit United Church,Religious building,2195 W 45th Avenue Vancouver BC V6M 2J2,5212,,f
46135,af56915275cf4a01b4c143ca33c0e564,ICIS Duplicating,Other,,29508,,f
18039,5ff2a67fa78543f48b09a92702f5e09b,The Attic,Venue,170 High Street Cheltenham,29508,519007522074432,t
9807,f9ad77c3965c4994801e09e4dfd3dcbc,Studio Quatre Chemins,Studio,22 Rue Cartier Bresson,68553,48903252395776,f
13566,3ba5ed02245b41d8ac47568c800229b0,FranzAlthoffBau,Venue,,7948,,f
17019,e7db493f762444abb216ccf660baf932,BankPlus Amphitheatre at Snowden Grove,Venue,6285 Snowden Ln Southaven MS 38672,23072,3495111189933889,f
55166,b94a7e6704c54b498baec5de9beca092,Reid Brody Studio,Studio,,5099,,f
43189,3fb384b984c54e4f9f6067646cb90504,dada,Venue,Гороховая улица 47,2450,5992754830323238,t
16612,93703649aa044dd6915ba8b23b2a9605,Mechanics Bank Theater and Convention Center,Venue,1001 Truxtun Ave Bakersfield CA 93301,22323,35372119013,f
21498,eefc48ddf08440bc84f43f1cc829c8d5,Wanna Rock Studios,Studio,,7984,,f
36327,4a898ef15d0347f4af4d24108d3ed1b1,Microphonic Mastering,Studio,77 13th Ave NE Minneapolis MN 55413,5239,4500088193254967,f
46116,7085b01f35b84abb8378090db00e095d,Tonengineer Studio,Studio,,,,f
52549,ffa91e81414340deab6e5ebff5b6d0a1,Big Mamas Recording Studio,Studio,,7707,,f
15152,92362f501f9d4a58b110c160638e0edf,Bohemian Grove,,6664 Grove St,10861,,f
41316,1d19d1ca426146e0a7155db13bf117b8,WPRB,Studio,WPRB PO Box 388 Princeton NJ 08542 USA,44467,,f
22090,23a7e6c7970d498bbb5fb6fc64aa155c,Nar Mattaru,Studio,,,,f
16894,a66ca71e9c5047129cb76f31ebd53ab8,Cavalier Sound Recording Studio,Studio,,8105,,f
39404,63cc0f8be2f64f5abb154e5f2eb93db0,Iolani Schools Seto Hall,Educational institution,,5193,21284646157824579,f
2167,cb37c80c51b04d5e950e95c2c154fc87,The Wamdue Room,Studio,,5210,,f
12911,9bcc164bb240454bae9197b5fd002b3f,Pensacola Bay Center,Indoor arena,201 E Gregory St Pensacola FL 32502,24566,3041648587209372,f
38396,202b6eb331594d828aff63a7dfba90e1,Highlander Research and Education Center,Educational institution,1959 Highlander Way New Market TN 37820,83934,3604284483584929,f
23848,d8815607288f4ad38a6ab98cedd939ce,Reanimator,Studio,Appelstraat 19 2140 Borgerhout Belgium,116160,512132534440806,f
28069,de0becff661a4e5881191684d08b6adf,Basilique SaintBonaventure de Lyon,Religious building,7 place des Cordeliers 69002 Lyon,12030,457631444836905,f
37182,47a8c7b0ef704603ad9863b5b9418361,Blind Faith Recording Studio,Studio,Pigneto Rome,5060,,f
25859,1eddfccce22d4c4f89fd59095eb61c3d,Studio 91,Studio,,117401,,f
47104,1fa77d7779c54d9ea63767c5359b7af1,Studio Schulte,Studio,,,,f
33774,74362a2e56274316936f7e0b73f727fe,Arbeitshaus,Studio,,,,f
47456,2d7e97152824446687e596b7a0b31329,Ballyhoo Studio,Studio,,7705,,f
12346,6def9ea0d91c437c84791dfd929b316f,First United Methodist Church,Religious building,,5241,415018918166699,f
48716,f3a70b0270d44d06b224bb656fe3cb0a,The Mona Museum,Educational institution,655 Main Rd Berriedale TAS 7011 Australia,119391,42812778147261111,f
28559,f9e0368a4b3c4a2db987399b516bc7d6,BernHaus Studios,Studio,,,,f
39794,2ad3900db7d844f49ca1fae7ddfa844a,DLR Studio,Studio,,271,,f
2714,df0ad79003ca46bd9572d9bb3de89e66,Barrowland Ballroom,Venue,244 Gallowgate Glasgow Scotland,3855,558550614236807,f
31645,0a9e5c696c5c42a8b84f64dbb3b198e1,Multi Media Masters,Studio,,203,,f
21700,e6fae9ac261d4ecc89953ad8deb9f229,35 Wyndham Street,,,3813,,f
13014,89a9b3c57ed94a558181a22755fb98cb,Studio Babelsberg,Studio,AugustBebelStr 2653 D14482 Potsdam,8852,5238706413120179,f
19697,093bb5bbd74e4bc4a9bf8aa2df7d210d,CWR Studio,Studio,,,,f
11203,16d4b88d8f7647f3a5cbcf5de1cdc976,First Unitarian Church,Religious building,2125 Chestnut St Philadelphia Pennsylvania,7707,39952122751766,f
12928,e1b62af0398144eb9ea347aa61f5db7c,Mid‐South Coliseum,Indoor arena,996 Early Maxwell Blvd Memphis TN 38104,7729,3511634189980835,t
20176,4c7a5465f8c346c2b1cc071554325828,An Club,Venue,Σολωμου 1315 Εξάρχεια 10682 Athens Greece,12762,3798644723733392,f
10965,2c65861830344564874dff251e0b9319,RedRoom Recorders,Studio,,,,f
18479,ee6d9f7ef87a48b289b4901eab1b2dc5,Styrene Studios,,,,,f
2752,ba7733f7eed44bf4a75837c30f516625,MECCA,Other,,12057,,t
22109,ccb5da21d6cb4eda9e384e30c8f5269d,McDonald Theatre,Venue,1010 Willamette St Eugene OR 97401,45171,4404851512309306,f
51943,7d26578eadaf4bb4b25bb91fa086cf7c,POTAR Practice,Studio,,48334,,f
20775,ae2dfe79ea1b48e8b45c78172417ed21,Born to Boogie Studios,Studio,,,,f
14723,4478535d654a44688fde2b2835a68bc8,FNFStudios,Studio,,331,,f
30536,795406ff93e6461eb30b00684c450eed,St Catharines College Cambridge,Educational institution,St Catharines College Cambridge CB2 1RL UK,7307,5220301169,f
9020,ecf074a90a54425ba186b673631f6037,Bethaniënklooster,Venue,Het Bethaniënklooster Barndesteeg 6b 1012 BV Amsterdam Netherlands,7706,,f
12730,86fe5c6861174f66894f45a1309b8c22,GospelgrooveStudio,Studio,,75073,,f
18447,3c94deca6a3d4627a1c41ab5c60d59c4,Apple Store Rosenstraße,Other,Rosenstraße 1 80331 München,7710,48136831157456,f
53567,7e7fd9f1b60c4bcfaafaf1179ee586e0,Taller Blanco,Venue,,,,f
45120,55e0959b6d5d48d2ae78351e4cf2034a,Apple Store Third Street Promenade,Other,1415 Third Street Promenade Santa Monica CA 90401,5283,34015417118495361,f
48369,c277529bb3bc427eb3ff2c885683950f,Spot X,Studio,,7295,,f
31946,4cb52ed5f1bc411d9dc4342adbde5d92,Pevnost Josefov,Other,,118133,5033927815930222,f
10018,14d72d98d8bb409ca33613383053cb0c,Scruggs Sound Studio,Studio,,5213,,f
38815,75bdc22a3ec044df989ecf2cadf7b917,Studio Brasan,Studio,,,,f
42354,34dfd4bacf1e425c9d77794ca556c467,StudioA,Studio,,62241,,f
21433,5c019b0970e843edb6d7827ce6aa1f18,청음 Studio,Studio,,113,,f
7513,7484cbf3d16742a3acca3a65a5058f94,MusicBrainz Summit 14 HQ,Other,Danshøjvej 42 2500 Valby,7712,5566217612490344,t
15995,79dceadb282647249ad9f5bfc858bff1,Mølla Studio,Studio,,12730,,f
16481,47540a850c1c49c992996eaf57016a54,AlbertusMagnusGymnasium Bensberg,Other,Kaule 3 51429 Bergisch Gladbach Germany,68850,509610977155988,f
53322,558504423409420f9d9b67958e4b3920,Indie King,Studio,,5114,,f
12373,efca4e1760c142aabdd395661010602b,Raintree Cafe,Venue,220 King St N Waterloo ON N2J 2Y7,115885,4347529180524457,f
27890,aa290479c25d42b7a7fd5927858a63f8,Lalabela Studios,Studio,,7020,,f
34034,82aacd5899fc4903be938f1567ae3c7d,Big Island,Studio,,,,f
41428,c4b44893613e403282be2a3238809208,Sala Canciller,Venue,Calle Alcalde López Casero Madrid Spain,9413,,t
