release,gid,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
550123,fc9b6c2e5cb44589a1574f1955bb7083,846803,64025,HellWood,,Official,,Polish,Latin,1
747615,84bc8ee2916942079d1b6dbd4c18c495,999365,346436,Everythings Berri,,Official,,English,Latin,1
711067,bdc661c63edf4e4ca7f31146a2a1023b,971092,193885,Tarab,,Official,,Portuguese,Latin,1
648148,fccb03622c6b42da9fb409bd3e29a916,922122,412311,Музыка Народов Птиц,,Official,,Russian,Cyrillic,1
1079331,14a6defebb0d4394847203c1c570ba98,1098988,791589,Impeccable Micro,,Official,None,English,Latin,1
597366,631b7232210d4708aafaa9b2e43a8f93,882901,162937,Emanuelle Perché violenza alle donne,,Official,,Multiple languages,Latin,1
701425,ba33b53ec9b0419e9a72c57a7ce5c67a,963701,49169,Interpretations The British Rock Songbook,045778702923,Official,Jewel Case,English,Latin,1
618816,a9bcfcb2b45a4ed8977a3dd841f839d1,899674,805842,La Bible en musique,9782070528738,Official,,French,Latin,1
2172053,b5877b6e052b4e7395879be817a53392,1968896,2214519,Complete Organ Works,761203759729,Official,,German,Latin,1
1291138,ff96556cb1764f00913952322ebb68f1,1269674,942062,ProphetDeny,4260019030474,Official,,English,Latin,1
1277549,a23de7c8775940a59f2fe10c51b8edf3,1258846,1,Well Meet Again The Love Songs of World War II,033251052023,Official,,English,Latin,1
2082545,7b496117591246f79450e22c81412393,1385007,334801,Lá an Dreoilín,656297011856,Official,Jewel Case,Multiple languages,Latin,1
652296,55344a0699073a0596e7acd3d2b8f273,122266,379,Wichita Lineman,724353522926,Official,,English,Latin,1
992766,f343c97d681c40ca8463222e1f123030,549293,93,19860921 London UK,,Bootleg,,English,Latin,1
748844,5a46dde41ff842d1bec9b36b4304a3d3,1000505,2424748,Saxophone Concertos,,Official,,English,Latin,1
1298430,06e275d71b5541d09af1fc390ca430ad,1275413,1155807,Reel,,,Jewel Case,English,Latin,1
491057,545dbdb071a7469bb1fe4f3a05bfb610,798688,1025061,Time and again,7318590013922,Official,,English,Latin,1
524692,e61fcff1161f4de89061d99d14cca018,825992,160765,Mano Mano,,Official,,English,Latin,1
442787,aad24344a6f64d7a8c462e6fc246396f,758305,1,Asian Garden 2 The World of Asian Grooves,4260036280579,Official,,Multiple languages,Latin,1
828328,fc6abe67b04845829b69e5cc68ef9162,1062764,546970,From Which No Light Escapes,,Official,,English,Latin,1
344533,5df45a2639c1329098a080850783430e,42090,1804,Dizzy Heights,9399700030600,Official,,English,Latin,1
2365371,8872485dc82b4c1983b32f50d97ab8ff,2121503,2379733,The Film Music of William Perry Life on the Mississippi,,Official,,English,Latin,1
1025785,1a48d3129abb4412b5e9e9ae282e65a9,463448,293706,Alma y Locura y sus éxitos,,Official,,Spanish,Latin,1
72329,3e2d07a5f79b4565abfba341f8de9ce5,429441,90086,Heavens Garden,6420074101122,Official,,English,Latin,1
1140806,ab5a8529a4364520ba883347215db017,1148417,1,滾石30青春音樂記事簿 CD17 畢業旅行,4710149653703,Official,Jewel Case,Chinese,Han Traditional variant,1
713618,f38f53d0a4d448dba4589e2fdb7e7348,308097,1,A Christmas Celtic Sojourn,,Official,,Multiple languages,Latin,1
1207878,d635aef3324446d0bfb7aeb465b202d1,1201909,569117,20120721 Summer Lounge Halle Germany,,Bootleg,,English,Latin,1
591625,ecb580d912c54310b197132c624485ff,878755,142903,Yeah You,,Official,,English,Latin,1
723686,f099a57045c64f66ac1bdd6e4d998da8,980305,53607,Etudes for Voice  Snackmaster,,Official,None,English,Latin,1
531365,6f62bf5f2c9e4fedb5b8f9152de137a3,831423,613918,The Past Prelude,6430033630013,Official,Super Jewel Box,English,Latin,1
2166663,afd4ee28791e456381f95dee2d38c623,1964636,2208417,Frozen in Time,,Official,,English,Latin,1
1190377,3331b60a41ea42768a7411ba8808e1ee,594067,106599,Obligations to the Odd,,Official,,English,Latin,1
1014424,141840dcd82f437cb3b26254c9d8b98e,381246,290579,Ligo Akoma,,Official,,Multiple languages,Latin,1
644686,0ba819457b664c838f6498b7c43da72d,919332,663106,Death Metal,,Official,,English,Latin,1
121070,e18ed670b6244611a92df6eb589d275c,492813,43631,The Very Best of Rosanne Cash,,Official,,English,Latin,1
453737,d07861ccc2a0469fa4af2321ef9bab4a,767758,2180785,Purcell Dido and Aeneas  Galliard Pan and Syrinx,5028421924649,Official,,English,Latin,1
2641657,9c372036b9e54c908c10fdc997e2700d,2337301,2578700,How To Break A Fall,,Official,None,English,Latin,1
112786,de9034c767404be79c857ad73cd15b60,484460,1135,The Live Box 19651968,5419980430458,Official,,English,Latin,1
792104,ef204ee9c71a4bd9b87314b5ec1d5b3c,1035032,1,Japan,,Official,,English,Latin,1
815519,10fa78ac7b3b4fbbbb3cb7fff5294f12,1053114,1,Its Swing Time,,Official,,English,Latin,1
1372885,5e97632410604885ad0d0a0bf51b57d7,1334191,322081,Ντουέτα,,Official,Jewel Case,Greek,Greek,1
938276,6d8ddaa20cd84e36ae8323692aa218f4,607086,433936,On Tour,,Official,,English,Latin,1
748086,5f31b5f092c2427b8a92a791c02450a9,2664431,1,ActionThriller 3,5055312870051,Official,,English,Latin,1
417184,20f900bfabf74ce09f90cf0735534da9,737363,1,Berlin macht Schule 3,5033197182629,Official,,English,Latin,1
972212,ad3577de42dd48f5ad38e842d7ff584d,390746,1,Themes  Dreams,5029243001129,Official,,English,Latin,1
179426,c46c542f27ab4ef084ac055a5ce1121e,539086,42990,Stigmata of Change,,Official,,English,Latin,1
199685,9d0c9aa42f564769b0435ad935b943a1,555510,584601,Ten Days in Magic Land,,PseudoRelease,,English,Latin,1
3349724,68c95f288bf44731bfa32c1561421fe2,2893489,1399941,Mine  A Minecraft Parody,,Official,None,English,,1
