artist,gid,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
id-34227,1d3362bc65fe4106b0096f1cead58081,Steve Haun,Haun Steve,1963,10,12,2015,8,28,t,Person,Male,id-10195,
id-1809541,02049717e7d1441286d12f734e71786c,Chris Clark,Clark Chris,,,,,,,f,Person,Male,id-21,Belgian 198090s singer
id-5040,5a28f8c231fb4047ae57c5c326989262,Hawkwind,Hawkwind,1969,10,,,,,f,Group,,id-221,
id-635355,08e36c933aa14a1992970a56f12e3895,Chayag,Chayag,1990,,,,,,f,,,,
id-25,36bfa85f737b41dba8fcb8825850ffc3,Pavement,Pavement,1989,,,2000,,,t,Group,,id-222,US indie rock band
id-1706,c13863e987374e63ab31f0e3f77c53e7,Jaci Velásquez,Velásquez Jaci,1979,10,15,,,,f,Person,Female,id-222,Christian  gospel singer
id-143501,6290b769173d49d1990e660a4e333877,The Zutons,Zutons The,2001,,,2009,,,t,Group,,id-221,
id-32506,aba6493733344c6590a14e6b9d4d7ada,Aesop Rock,Aesop Rock,1976,5,11,,,,f,Person,Male,id-222,
id-170778,9ffc39ffb5cf455abeb9b5dd338128bd,松尾早人,Matsuo Hayato,1965,8,13,,,,f,Person,Male,id-107,
id-218697,40c9866dae1b44459542bcc4d5ab9d9e,Dustin OHalloran,OHalloran Dustin,1971,9,8,,,,f,Person,Male,id-222,
id-281399,cc732b3c97da446a85af1c849b04fcc4,Pushkar,Pushkar,,,,,,,f,,,,
id-797811,b38b57d8a2d24585b27d7a482ea0684b,Fabian Müller,Müller Fabian,1964,,,,,,f,Person,Male,id-203,Swiss composer and cellist
id-959255,5a9bf35a226c4dca874e6a19618c383c,Raising Miss June,Raising Miss June,,,,,,,f,,,,
id-12,249eb550505e43efac50e8c605706ff1,Giant Sand,Giant Sand,1985,,,,,,f,Group,,id-222,
id-125376,74d57f1aedef4261ab3b48c48768765a,Paul Stinga Orchestra,Paul Stinga Orchestra,,,,,,,f,,,,
id-245870,2b7de7da35e8492a9a6c1791fb95a982,Brad Walsh,Brad Walsh,,,,,,,f,Person,Male,,
id-174104,99641f7f0d7d423ab68592502c91e0e1,Alberta Casey,Casey Alberta,,,,,,,f,Person,Female,,
id-541669,905dde3d5bee4e2cb751503b3cbc1c54,Heiden,Heiden,2003,,,,,,f,Group,,id-56,
