artist_credit,name,artist_count,ref_count,created,gid
id-34227,Steve Haun,1,374,20110516 16321196392900,c438e03b4fb93c29a57039d084f14e5d
id-2478203,Chris Clark,1,40,20190811 09015878409300,a7b64818b7df329086a0a854b00b6b78
id-5040,Hawkwind,1,19444,20110516 16321196392900,bd0694d3f7373d18aa5a2a7dee8e9f70
id-635355,Chayag,1,60,20110516 16321196392900,38c7f16bde403175a5aec5d1683ab940
id-25,Pavement,1,3376,20110516 16321196392900,e9c2a915a05035ec99d0a2316454ab0f
id-1706,Jaci Velasquez,1,752,20110516 16321196392900,bdcb1b672d473ae4a95ef1bcb588250a
id-143501,The Zutons,1,745,20110516 16321196392900,8e6bc5e0090031dcb6692e1793971231
id-32506,Aesop Rock,1,1680,20110516 16321196392900,3442560f281c39e3a6b9aa6ae25e90b7
id-170778,松尾早人,1,1932,20110516 16321196392900,05982037f50e3b26b74953da7e19c285
id-218697,Dustin OHalloran,1,451,20110516 16321196392900,11b6c048941532e7aa48f11ba665e683
id-281399,Pushkar,1,143,20110516 16321196392900,dfae4a2ce93a3af9af5f449184b548f0
id-2936734,Fabian Müller,1,89,20210223 16292669524100,91888effffef344396e0c9f485c485ae
id-1103692,Raising Miss June,1,8,20121228 19061623850700,54de8c89b28b388a86640001df10f136
id-12,Giant Sand,1,2073,20110516 16321196392900,e5347b6b629437a981324b8d45743a27
id-125376,Paul Stinga Orchestra,1,24,20110516 16321196392900,dee39979c9303a5bac91e530d41a9651
id-245870,Brad Walsh,1,69,20110516 16321196392900,3404d1aecf05347eafe33b42803af671
id-174104,Alberta Casey,1,92,20110516 16321196392900,c99a7ceb35533f0881cac4f0776a1b9b
id-541669,Heiden,1,126,20110516 16321196392900,19d71a9a09f53d4e93ebe04b8741891d
id-3418,Fats Domino,1,13665,20110516 16321196392900,8d7d062107f93ceea1a07ef43969f98f
id-678274,Valborg,1,282,20110516 16321196392900,ad67e80f2821368994f89848f1cdf0e6
id-1338,Jerry Goldsmith,1,22843,20110516 16321196392900,a20404ab9d2a3ebba61745e124be2cf5
id-946602,Uku Kuut,1,121,20120218 22283298535300,6628f9637ed131f28614d35af07768f5
id-1518701,Michael Palmer,1,45,20150808 23552953518500,b9880fc1b624314797e3dddf87b5d97a
id-190590,Julian Fane,1,65,20110516 16321196392900,b4e5a70bc5db3cf6aa2d1107397a9b43
id-1111,Soundgarden,1,6905,20110516 16321196392900,f3eab789c5043b34a5b6851df140a3d7
id-121885,Arletty,1,241,20110516 16321196392900,4ed53ed4fed73977813b0ac2bd756864
id-22590,Chris Smither,1,1371,20110516 16321196392900,40d317600f283a3ebe97ff3737da8173
id-5236,Carol Sloane,1,737,20110516 16321196392900,7f4bb6c6216c3368aa1a84204b16af7c
id-769555,Icona Pop,1,672,20110516 16321196392900,50cb112daf653b4280d8c6aa05bd2993
id-1135318,Membranes,1,64,20130304 16290401048300,2644f762c6f0399980a5f8b86e2ce65b
id-169160,Santana,1,13843,20110516 16321196392900,fc5a8a5b763b336c84ffc117b3c8a779
id-193885,Danças Ocultas,1,152,20110516 16321196392900,37a8c5dd9558357294e44a3a355e8c6a
id-2006738,This Awakening,1,10,20170525 0523555364100,f8ae34fe6f9f322bb51c38e78b557355
id-786999,Keishi Yonao,1,50,20110516 16321196392900,a1ec663911d838749b721a8dc8a00b55
id-677116,Jennifer Thomas,1,162,20110516 16321196392900,17494e0c96d7347b9170933e1054acfe
id-46843,The Feelers,1,340,20110516 16321196392900,73804003c6803762893c853f210f53fe
id-704235,Palo Chodelka,1,560,20110516 16321196392900,05d4171294163b8aaf6d2181a000de7e
id-821473,Christopher E Hajian  William Franklin Lee,2,1380,20110516 16321196392900,04edb97c18af3504b9188c5b873df248
id-327588,Nic Chagall,1,210,20110516 16321196392900,462fb75f98083c66b3ec743c36dddd92
id-3073196,No More Hope,1,188,20210818 18411192992400,9128a2e073d73638a49f6373ad8286c9
id-71199,Dive,1,1110,20110516 16321196392900,f25a34c500b139fc9c0d9e5d9a47d70f
id-129655,Lil Raskull,1,36,20110516 16321196392900,0c4b22e9d48d3595b0f126826c0d70b0
id-2487721,Svatan,1,22,20190828 23035896149400,1d2bd3e37cb230aa8b0c35688134a166
id-1122289,ifls,1,1138,20130203 17520593507600,e8aa4101086b3c46a0eedc476b4b193a
id-55410,Hollywood Fats,1,44,20110516 16321196392900,8f0ea4b33d3d3ad7b357f0bd1aadd17f
id-720539,Aaron Briggs,1,160,20110516 16321196392900,8087e5c04e9a36e880ca9f70b83b07fe
id-1018837,Twisted Linguistics,1,30,20120718 08565047290100,09517bb3eac636289a06f8171bf26718
id-3806,Lata Mangeshkar,1,4760,20110516 16321196392900,a1976ef0bbee3f4bb94004de99efc17f
id-547537,Abuso Sonoro,1,46,20110516 16321196392900,ca614836ea2d3a288d819710dd68b49c
id-689965,The Department of Drama of The Catholic University of America,1,20,20110516 16321196392900,c4305ebe7c5a349ab541b49b03b544f9
id-5090,Criminal,1,404,20110516 16321196392900,a9e766ffd3ab30ad84e8f7e8a4931a32
id-208486,The Stupids,1,627,20110516 16321196392900,82d17b0841743305b0d5a60510a1fe30
id-77089,Haus Arafna,1,308,20110516 16321196392900,97ad2926f9e53b29956104673ec1b363
id-290280,Club Killers,1,41,20110516 16321196392900,48cc070afcac3a83802aee887c3b55b2
id-23969,Carlene Carter,1,654,20110516 16321196392900,6716fa446e08342f8c7d6b7f52f303d5
id-84915,King Kurt,1,480,20110516 16321196392900,f8c903b4f92c372eb86570be13a85cd8
id-2195744,Geneviève Leclerc,1,98,20180410 22400346537900,9d774f025042386e9478a23007fc4236
id-405833,Peter Fletcher,1,122,20110516 16321196392900,7dd75aa638c3384d8bc0f9771da07bb3
id-6366,The Bluebeats,1,113,20110516 16321196392900,27a93b1c92053ae1a823bd4acf1e459b
id-1021,Ludwig van Beethoven,1,127425,20110516 16321196392900,adf0101c938b3e8c8a8e97d32e652e50
id-45442,Mississippi Fred McDowell,1,1440,20110516 16321196392900,8820f71c9ba93477ad4dac0b68025427
id-126062,The Blamed,1,236,20110516 16321196392900,25020f5a58673f318e3e40db26912f02
id-371454,東京エスムジカ,1,167,20110516 16321196392900,742b68f5108e3c89b4a2ef3682719ffd
id-31535,The Mills Brothers,1,4769,20110516 16321196392900,3e0858359e543742ac0266cb7ea2df96
id-135547,佐藤直紀,1,2661,20110516 16321196392900,04203de8d990355fa037415058cc07de
id-1472600,Silver Pozzoli,1,325,20150508 18015848197100,11c5a3b963e138beb1052d9d08835197
id-976473,Black Bottle Riot,1,24,20120427 14575060519600,d4ea61cf407d3a578327b76561fe330c
id-63503,Frank London,1,216,20110516 16321196392900,b133c6d891a239fa8fca22588173b82d
id-187,Marilyn Manson,1,14989,20110516 16321196392900,e4e668d104b032babf708d4c6bc47ee9
id-2376142,Wm Abraham Restum,1,26,20190228 04105134815700,60ddb9f068e83d7996f009af688ab2c5
id-120423,Antonio Pinto,1,691,20110516 16321196392900,789a8a78cecc3ca096b2a58120b76a25
id-1478548,Puig Destroyer,1,76,20150520 06304549316700,2bbc135c9be934ed8fa77ae7f1941fe9
id-277835,Sean Hughes,1,88,20110516 16321196392900,331b65ce745439099178598f61712c03
id-420980,Sigvart Fotland,1,6,20110516 16321196392900,9763391e499335149ca433acf22a7983
id-558971,Mariachi Peñatitlan,1,26,20110516 16321196392900,2e39fbb6abd9376aa27258e03cf7b901
id-226537,LKan,1,111,20110516 16321196392900,998896f861f63c8caedab2992c435ec4
id-3220286,Charles Veal Jr,1,26,20220206 19020892846600,e21380ffdbf1315da48e84cf6f55b999
id-560710,Army Navy,1,141,20110516 16321196392900,e0a5e56b21cd32abaf532fe88ef5d80c
id-2817844,ETO,1,22,20201003 11363975209200,e5f3519a6ebe31029cea5a5b4a996f11
id-1317,Glenn Miller,1,17551,20110516 16321196392900,7b18b5a663a83fbda329b9683416ca34
id-908393,Faltsch Wagoni,1,286,20120101 11170463716300,ae659970e86037f89207492642319a3d
id-99559,Carole Simpson,1,32,20110516 16321196392900,fb71613d961b3659b41cc30ca191cb82
id-541527,Morning Star,1,53,20110516 16321196392900,2df1cbf528b033a78b16d95ddfb16571
id-735675,Hydroplane,1,82,20110516 16321196392900,a3c86aeb13763fe295f486f429ef5cdd
id-736940,Lindsay Mac,1,48,20110516 16321196392900,5c3c7ae06bf230d98104d99c75ea96ca
id-67853,Life Sex  Death,1,60,20110516 16321196392900,3c1dc7d8b4593a3aada556e5bd208a0b
id-469760,Douglas J Cohen,1,54,20110516 16321196392900,70243497fdfd3a8295cf7e92ecffb8f4
id-896914,Kent Hovind,1,34,20111212 03304980725700,14abeaca305e3edea43bf4e1a3abb22d
id-147855,Patrick Fiori,1,641,20110516 16321196392900,523c2622477338369ff3cd015fa16a61
id-240374,Андрей Игоревич Романов,1,217,20110516 16321196392900,c637741f1e4432809fcc057326615b00
id-349073,Graveyard Train,1,127,20110516 16321196392900,cc96fbc497dd334a99ee5edcace50190
id-21359,The Dramatics,1,1035,20110516 16321196392900,561fa43de58a3b1c93cee0c020df1919
id-2770416,Zaïko LangaLanga,1,33,20200802 18493436880900,2553b62cfa99327eaaafc0fe38eca4cf
id-185249,The McKrells,1,80,20110516 16321196392900,ad7875709b12333bb401153f59b926bf
id-383315,Robert J Foster,1,2904,20110516 16321196392900,f9d8bcf079443d62a2b99812435f6195
id-701320,Ray Znett,1,302,20110516 16321196392900,941dd56f42ff338e9d5a4ffc5c59cb83
id-1263052,Northern Lords,1,10,20140117 03003435384500,346932c2945b38d79f4638542d8948dc
