artist_credit,position,artist,name
id-34227,0,id-34227,Steve Haun
id-2478203,0,id-1809541,Chris Clark
id-5040,0,id-5040,Hawkwind
id-635355,0,id-635355,Chayag
id-25,0,id-25,Pavement
id-1706,0,id-1706,Jaci Velasquez
id-143501,0,id-143501,The Zutons
id-32506,0,id-32506,Aesop Rock
id-170778,0,id-170778,松尾早人
id-218697,0,id-218697,Dustin OHalloran
id-281399,0,id-281399,Pushkar
id-2936734,0,id-797811,Fabian Müller
id-1103692,0,id-959255,Raising Miss June
id-12,0,id-12,Giant Sand
id-125376,0,id-125376,Paul Stinga Orchestra
id-245870,0,id-245870,Brad Walsh
id-174104,0,id-174104,Alberta Casey
id-541669,0,id-541669,Heiden
id-3418,0,id-3418,Fats Domino
id-678274,0,id-678274,Valborg
id-1338,0,id-1338,Jerry Goldsmith
id-946602,0,id-868071,Uku Kuut
id-1518701,0,id-1138677,Michael Palmer
id-190590,0,id-190590,Julian Fane
id-1111,0,id-1111,Soundgarden
id-121885,0,id-121885,Arletty
id-22590,0,id-22590,Chris Smither
id-5236,0,id-5236,Carol Sloane
id-769555,0,id-769555,Icona Pop
id-1135318,0,id-90133,Membranes
id-169160,0,id-169160,Santana
id-193885,0,id-193885,Danças Ocultas
id-2006738,0,id-1513549,This Awakening
id-786999,0,id-786999,Keishi Yonao
id-677116,0,id-677116,Jennifer Thomas
id-46843,0,id-46843,The Feelers
id-704235,0,id-704235,Palo Chodelka
id-821473,1,id-717052,William Franklin Lee
id-821473,0,id-714016,Christopher E Hajian
id-327588,0,id-327588,Nic Chagall
id-3073196,0,id-2207691,No More Hope
id-71199,0,id-71199,Dive
id-129655,0,id-129655,Lil Raskull
id-2487721,0,id-1861990,Svatan
id-1122289,0,id-973807,ifls
id-55410,0,id-55410,Hollywood Fats
id-720539,0,id-720539,Aaron Briggs
id-1018837,0,id-909244,Twisted Linguistics
id-3806,0,id-3806,Lata Mangeshkar
id-547537,0,id-547537,Abuso Sonoro
id-689965,0,id-689965,The Department of Drama of The Catholic University of America
id-5090,0,id-5090,Criminal
id-208486,0,id-208486,The Stupids
id-77089,0,id-77089,Haus Arafna
id-290280,0,id-290280,Club Killers
id-23969,0,id-23969,Carlene Carter
id-84915,0,id-84915,King Kurt
id-2195744,0,id-1647094,Geneviève Leclerc
id-405833,0,id-405833,Peter Fletcher
id-6366,0,id-6366,The Bluebeats
id-1021,0,id-1021,Ludwig van Beethoven
id-45442,0,id-45442,Mississippi Fred McDowell
id-126062,0,id-126062,The Blamed
id-371454,0,id-371454,東京エスムジカ
id-31535,0,id-31535,The Mills Brothers
id-135547,0,id-135547,佐藤直紀
id-1472600,0,id-1222146,Silver Pozzoli
id-976473,0,id-887968,Black Bottle Riot
id-63503,0,id-63503,Frank London
id-187,0,id-187,Marilyn Manson
id-2376142,0,id-1784909,Wm Abraham Restum
id-120423,0,id-120423,Antonio Pinto
id-1478548,0,id-1234977,Puig Destroyer
id-277835,0,id-277835,Sean Hughes
id-420980,0,id-420980,Sigvart Fotland
id-558971,0,id-558971,Mariachi Peñatitlan
id-226537,0,id-226537,LKan
id-3220286,0,id-389863,Charles Veal Jr
id-560710,0,id-560710,Army Navy
id-2817844,0,id-2049949,ETO
id-1317,0,id-1317,Glenn Miller
id-908393,0,id-852023,Faltsch Wagoni
id-99559,0,id-99559,Carole Simpson
id-541527,0,id-541527,Morning Star
id-735675,0,id-735675,Hydroplane
id-736940,0,id-736940,Lindsay Mac
id-67853,0,id-67853,Life Sex  Death
id-469760,0,id-469760,Douglas J Cohen
id-896914,0,id-846554,Kent Hovind
id-147855,0,id-147855,Patrick Fiori
id-240374,0,id-240374,Андрей Игоревич Романов
id-349073,0,id-734272,Graveyard Train
id-21359,0,id-21359,The Dramatics
id-2770416,0,id-68652,Zaïko LangaLanga
id-185249,0,id-185249,The McKrells
id-383315,0,id-383315,Robert J Foster
id-701320,0,id-701320,Ray Znett
id-1263052,0,id-1078694,Northern Lords
id-10293,0,id-10293,Gustav Mahler
id-104436,0,id-104436,Dollar
id-961045,0,id-878272,Bill McBillson
id-31006,0,id-31006,The Divine Comedy
id-22492,0,id-22492,BB King
id-2012556,0,id-1517649,Gertjan Wels
id-11285,0,id-11285,Wolfgang Amadeus Mozart
id-256891,0,id-256891,Mary Duff
id-789722,0,id-789722,Frost Bound
id-1043378,0,id-922390,Familie Hesselbach
id-412898,0,id-412898,AudioSource
id-152048,0,id-152048,The Gaturs
