medium,release,position,format,track_count
id-2700,id-2700,1,1,16
id-2693099,id-2485698,1,1,20
id-67293,id-67293,1,1,10
id-858650,id-858650,1,,8
id-30700,id-30700,1,1,24
id-442178,id-442178,1,1,11
id-1701464,id-1616904,1,12,11
id-1197762,id-1176357,1,12,18
id-1486693,id-1428733,1,1,22
id-1698609,id-1614409,1,1,17
id-273662,id-273662,1,1,7
id-3257186,id-2992623,1,12,9
id-1266349,id-1236861,1,,3
id-677004,id-677004,1,1,9
id-892850,id-892850,1,,11
id-877108,id-877108,1,,13
id-915755,id-915755,1,,30
id-1491584,id-1433053,1,12,8
id-2622287,id-2420105,1,31,12
id-1331930,id-1293328,1,1,12
id-1308346,id-1272814,1,1,10
id-1260958,id-1232124,1,1,12
id-3903922,id-3583189,1,1,8
id-347142,id-347142,1,29,2
id-2665028,id-2460708,1,31,9
id-937042,id-937042,1,1,16
id-2339567,id-2169572,1,1,10
id-980062,id-980062,1,1,11
id-1363979,id-1321435,1,12,10
id-2113227,id-1973845,1,1,14
id-919217,id-919217,1,,13
id-711067,id-711067,1,1,10
id-2110927,id-1971862,1,,4
id-3254585,id-2990315,1,,29
id-1205172,id-1182938,1,1,17
id-2556877,id-2361002,1,1,13
id-679179,id-679179,1,1,13
id-645085,id-645085,1,12,84
id-769015,id-769009,2,1,20
id-3437989,id-3156542,1,12,12
id-438085,id-438085,1,1,15
id-897475,id-897475,1,,12
id-2695721,id-2487998,1,12,10
id-3904405,id-3583622,1,12,15
id-597382,id-597382,1,1,17
id-699374,id-699374,1,7,41
id-1200165,id-1178546,1,,14
id-1124617,id-1112848,1,1,15
id-529936,id-529936,1,29,5
id-657190,id-657162,2,1,7
id-1278731,id-1246922,1,1,15
id-556538,id-556538,1,29,8
id-359054,id-359054,1,1,16
id-1066258,id-1062813,1,1,13
id-1038109,id-1038109,1,1,21
id-942137,id-942137,1,1,18
id-3903194,id-3582498,1,1,13
id-843565,id-843565,1,1,25
id-871105,id-871105,1,1,15
id-362693,id-615288,16,1,28
id-912453,id-912453,1,1,12
id-26189,id-26189,1,42,13
id-169086,id-169086,1,,12
id-1175525,id-1157250,150,1,20
id-3254841,id-2990534,1,1,23
id-3657618,id-3356189,1,1,15
id-1168461,id-1151452,1,1,11
id-18999,id-18999,1,,8
id-908516,id-908516,1,,17
id-2557022,id-2361126,1,31,12
id-371373,id-371373,1,1,22
id-1691589,id-1608517,1,12,20
id-958524,id-958524,1,,42
id-1000142,id-1000142,1,,19
id-442552,id-442552,1,1,12
id-479804,id-479804,1,1,11
id-3650994,id-3350054,1,31,12
id-445176,id-445176,1,1,15
id-3083649,id-2836699,1,12,12
id-1157716,id-638910,2,1,20
id-1119255,id-1108167,1,1,23
id-129735,id-129735,1,1,12
id-709437,id-709437,1,1,10
id-71317,id-71317,1,12,11
id-726334,id-726334,1,1,11
id-879445,id-879445,1,1,14
id-1009837,id-1009837,1,,26
id-1112140,id-1101980,1,12,16
id-1693201,id-1609910,1,1,13
id-36567,id-36567,1,,7
id-1180257,id-1161429,1,1,11
id-2379512,id-2205246,1,1,18
id-3437344,id-3155935,1,29,2
id-624160,id-624160,1,1,11
id-611205,id-611205,1,12,91
id-773694,id-773694,1,12,124
id-1426950,id-1376714,1,1,4
id-787049,id-776813,15,1,5
id-100274,id-100274,1,,20
id-1154659,id-1139401,1,1,3
id-697004,id-697004,1,1,12
id-9249,id-9249,1,,9
id-2116729,id-1976922,1,1,14
id-522451,id-593009,2,1,22
id-904168,id-904168,1,,20
id-808126,id-808126,1,1,2
id-3080652,id-2833934,1,8,24
id-225791,id-225791,1,,19
id-1094090,id-1086885,1,1,15
id-1076370,id-1071653,1,12,14
id-768903,id-768903,1,1,16
id-713369,id-713369,1,1,12
id-1113334,id-1103052,2,1,22
id-239831,id-239831,1,31,9
id-967079,id-967079,1,1,13
id-5319,id-5319,1,1,14
id-865509,id-865509,1,,11
id-1215550,id-1191973,1,1,92
id-890609,id-890609,1,,13
id-1423422,id-1373725,1,1,30
id-310001,id-310001,1,,3
id-1006029,id-1006029,1,,12
id-1235953,id-471746,1,1,10
id-673739,id-673739,1,1,10
id-564007,id-564007,1,1,13
id-640003,id-639999,2,1,14
id-912931,id-912931,1,,7
id-329170,id-329170,1,1,16
