release,gid,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
id-2700,2aa7fb7938764204b7590dfb9ccce34b,id-181071,id-34227,Glory Bound,134351002229,Official,Jewel Case,English,Latin,2
id-2485698,e79e0db719f4439c9dda3911398fbeb2,id-2216510,id-1,Vlaamse Troeven 36,,Official,,Dutch,Latin,1
id-67293,d29eaa2be26948338786d083f247b16d,id-421898,id-5040,Astounding Sounds Amazing Music,054421048325,Official,,English,Latin,1
id-858650,16a44177c59a4360b5e2fbd8e150eff4,id-861780,id-635355,Andean Native Spiritual Music,,Official,,English,Latin,1
id-30700,5d39227eafbf4fa98cd24247acf16c3d,id-52316,id-25,Crooked Rain Crooked Rain LAs Desert Origins,744861061021,Official,,English,Latin,1
id-442178,d6fa5c05b3e940f0ab98ec36745a9675,id-758104,id-1706,Love Out Loud,186274100421,Official,,English,Latin,1
id-1616904,c19c7a37026e4366845c0fdbe88c8e1c,id-501110,id-143501,Tired of Hanging Around,,Official,None,English,Latin,1
id-1176357,3f83e3839b984d6fa2e797db95585b4c,id-1174217,id-32506,Skelethon,,Official,,English,Latin,1
id-1428733,337482e9fdea49729c72e60734b96260,id-1377793,id-170778,魔法騎士レイアース オリジナル・サウンドトラック6 〜いつか輝く〜,4988005173720,Official,Jewel Case,Japanese,Japanese,1
id-1614409,1243bb5f56944ff7aefc49096e852606,id-1258814,id-218697,Like Crazy,854727002485,Official,CardboardPaper Sleeve,English,Latin,1
id-273662,5a80944548514e8ab0febcdfb50985bb,id-619143,id-281399,One Fine Morning,5709027211011,Official,,English,Latin,1
id-2992623,d55101fe313746e0b6c15c995560727b,id-2614016,id-2940099,Concerto for Piano and Orchestra  Suite for Violoncello and String Orchestra  «Lied des Einsamen»,,Official,None,English,Latin,1
id-1236861,6820d60bd4d7487ea2cb43718d827061,id-1226089,id-1103692,EP,,PseudoRelease,CardboardPaper Sleeve,English,Latin,1
id-677004,087856e115a845379a3f571b9bd741af,id-686282,id-12,Stromausfall,,Official,,English,Latin,1
id-892850,dc38d6dd47d44abfbb200fd07a9785cc,id-163839,id-125376,The Magic of the Rumanian Music,,,,,Latin,1
id-877108,618c1c5159b644edb692ebaa1af9def3,id-351003,id-245870,Look At Me,,Official,,English,Latin,1
