release_group,gid,name,artist_credit,type
id-181071,96db0230e52335c1841413e540aace5b,Glory Bound,id-34227,1
id-2216510,65a99ca7237a4529b9688f277307375a,Vlaamse Troeven 36,id-1,1
id-421898,df50595547f63d9b8d850e174398c8de,Astounding Sounds Amazing Music,id-5040,1
id-861780,5cb28497fc3a4923a4b5692cec33534a,Andean Native Spiritual Music,id-635355,1
id-52316,4f3489776f4439f9b243071927ecc6a4,Crooked Rain Crooked Rain,id-25,1
id-758104,5357377acfcd3f59a7e0a45d221db8e7,Love Out Loud,id-1706,1
id-501110,9be20eb333fa3249bed8a17d7609bd99,Tired of Hanging Around,id-143501,1
id-1174217,769966a4c76b4935a5c074147dcb5b79,Skelethon,id-32506,1
id-1377793,a2a04c028a514aab8c392ed54cbe0126,魔法騎士レイアース オリジナル・サウンドトラック6 〜いつか輝く〜,id-170778,1
id-1258814,a76de995d06240cab6c55bc598183b7e,Like Crazy,id-218697,1
id-619143,d8c770c122b03487be2768ae9f6037c2,One Fine Morning,id-281399,1
id-2614016,b97c4ef8a7db4f51a69002287ac75d35,Concerto for Piano and Orchestra  Suite for Violoncello and String Orchestra  «Lied des Einsamen»,id-2940099,1
id-1226089,dc21e4aa045e4927a4d20a4b0ac7c2cf,EP,id-1103692,3
id-686282,1cda2149b85038ca82883fa896915452,Stromausfall,id-12,1
id-163839,7283f79176573165ace31c6279f9ebe8,The Magic of the Rumanian Music,id-125376,
id-351003,a88875c850af30ae8257a373034fa0f6,Look At Me,id-245870,1
id-243767,9c4f71293ebd3330bb7dc254838f47ad,Let There Be Peace On Earth,id-174104,1
id-1381278,7f39d9f14d05419986ba0c604dad12c6,Dolores,id-541669,1
id-2166010,4597b75ee4b04c9291dacac75848879d,Here He Comes Again,id-3418,1
id-1271391,279e1cafd8cb41ce9166801df5996d2b,Nekrodepression,id-678274,1
id-69214,9c7233a3561835f4a12989609cb71806,Total Recall,id-1338,1
id-1222130,33a99c3003de4dc6a437be0c1556c413,Estonian Funk,id-946602,1
id-3073999,01092293f8e441739760341290c663d3,Angella,id-1518701,1
id-680408,1cea4db6cee039a09a2e753771e7c1b9,The Moon Is Gone  Rattle,id-190590,2
id-994626,99f2c4dba8b347019cd427f3f3acf498,Telephantasm,id-1111,1
id-338452,34345ff622d63d1fab59ab7d474b93ee,Les Chansons éternelles,id-121885,1
id-1966972,7255b41671b64e0db2c53792aad1f30a,Up On The Lowdown  Drive You Home Again,id-22590,1
