label,gid,name,label_type,area,ended
99819,2d7910a2adfd4232852494e64cabb495,2 Dex BV,Publisher,,f
216255,f0287e5f26324a9aada35a79e802a3c4,StrumaIodine,,653,f
152119,ef2c498948bb4e098c5853171e89c83e,Lynnstorm Publ Co,Publisher,,f
219619,455321033f2e47ba950b7375f41ff76c,World Traveler,,,f
6819,8b2d16d5fc7b45a8892567395c4dcfc7,ICUPP Records,,222,f
140824,2fa6dea87cbf4b01b9485ff48c941af3,Opryland Music Ltd,Publisher,,f
49132,4cb3ae9ed081455db04928ecc40919f5,Endless Music,Original Production,222,f
78686,badd17ddd01946e3b06db5a429d60d91,Im Not From London Records,,3967,f
99324,c9108457131f4568a74143456871e2b1,RCA GmbH,Holding,,f
175274,5d3b86c1f75044f5935ee86959667475,Missio,Imprint,,f
8400,c2b325c5b2f846a4a6647f71afd8b06e,Ill Boogie Records,,222,f
3681,12162866a8014008a0774b2b4483f412,Kalinkaland Records,Production,81,f
137979,787e0da418b84b8884d13290ac08ae0d,日本アメリカーナ音楽出版,Publisher,107,f
225608,10e50a342e8348d1a1dba7315f87061f,Irma Records,,100,f
114175,6bbb92297c304303a7599352b58523d1,Casbah Kidd,Publisher,222,f
149573,e1b423a8f25a4fe094572e23f38d9570,Emme Record Label,,105,f
53614,a443b4e433f94085a3ba20da3c8a3011,Tsunami Music,Production,194,f
168587,b9bc226760744017a7f2a71f573572d9,OXProject,Original Production,,f
100253,c6d3fee09e054edb960de9958e05ca0a,PHU Violetta,,,f
155511,456222e243a245fcac89a6d112e6be46,Arcade Bit 1,,4434,f
209530,5c135ea159f4468cad130657127cf44e,5911 Records,Production,680,f
251602,0330764ca75249b48797d1768311ad70,Track Muzic,,,f
170453,f5f4f4e0466242369f6a55340d98a8bd,vuew,,222,f
236997,57ccbc1fc29e481ba16c95d42939bbf7,Signs In The Night,,,f
87172,fe1c6f0f1bd44df7add3168f712313f9,UP Recordings,,81,f
