medium,release,position,format,track_count
2700,2700,1,1,16
2693099,2485698,1,1,20
67293,67293,1,1,10
858650,858650,1,,8
30700,30700,1,1,24
442178,442178,1,1,11
1701464,1616904,1,12,11
1197762,1176357,1,12,18
1486693,1428733,1,1,22
1698609,1614409,1,1,17
273662,273662,1,1,7
3257186,2992623,1,12,9
1266349,1236861,1,,3
677004,677004,1,1,9
892850,892850,1,,11
877108,877108,1,,13
915755,915755,1,,30
1491584,1433053,1,12,8
2622287,2420105,1,31,12
1331930,1293328,1,1,12
1308346,1272814,1,1,10
1260958,1232124,1,1,12
3903922,3583189,1,1,8
347142,347142,1,29,2
2665028,2460708,1,31,9
937042,937042,1,1,16
2339567,2169572,1,1,10
980062,980062,1,1,11
1363979,1321435,1,12,10
2113227,1973845,1,1,14
919217,919217,1,,13
711067,711067,1,1,10
2110927,1971862,1,,4
3254585,2990315,1,,29
1205172,1182938,1,1,17
2556877,2361002,1,1,13
679179,679179,1,1,13
645085,645085,1,12,84
769015,769009,2,1,20
3437989,3156542,1,12,12
438085,438085,1,1,15
897475,897475,1,,12
2695721,2487998,1,12,10
3904405,3583622,1,12,15
597382,597382,1,1,17
699374,699374,1,7,41
1200165,1178546,1,,14
1124617,1112848,1,1,15
529936,529936,1,29,5
657190,657162,2,1,7
1278731,1246922,1,1,15
556538,556538,1,29,8
359054,359054,1,1,16
1066258,1062813,1,1,13
1038109,1038109,1,1,21
942137,942137,1,1,18
3903194,3582498,1,1,13
843565,843565,1,1,25
871105,871105,1,1,15
362693,615288,16,1,28
912453,912453,1,1,12
26189,26189,1,42,13
169086,169086,1,,12
1175525,1157250,150,1,20
3254841,2990534,1,1,23
3657618,3356189,1,1,15
1168461,1151452,1,1,11
18999,18999,1,,8
908516,908516,1,,17
2557022,2361126,1,31,12
371373,371373,1,1,22
1691589,1608517,1,12,20
958524,958524,1,,42
1000142,1000142,1,,19
442552,442552,1,1,12
479804,479804,1,1,11
3650994,3350054,1,31,12
445176,445176,1,1,15
3083649,2836699,1,12,12
1157716,638910,2,1,20
1119255,1108167,1,1,23
129735,129735,1,1,12
709437,709437,1,1,10
71317,71317,1,12,11
726334,726334,1,1,11
879445,879445,1,1,14
1009837,1009837,1,,26
1112140,1101980,1,12,16
1693201,1609910,1,1,13
36567,36567,1,,7
1180257,1161429,1,1,11
2379512,2205246,1,1,18
3437344,3155935,1,29,2
624160,624160,1,1,11
611205,611205,1,12,91
773694,773694,1,12,124
1426950,1376714,1,1,4
787049,776813,15,1,5
100274,100274,1,,20
1154659,1139401,1,1,3
697004,697004,1,1,12
9249,9249,1,,9
2116729,1976922,1,1,14
522451,593009,2,1,22
904168,904168,1,,20
808126,808126,1,1,2
3080652,2833934,1,8,24
225791,225791,1,,19
1094090,1086885,1,1,15
1076370,1071653,1,12,14
768903,768903,1,1,16
713369,713369,1,1,12
1113334,1103052,2,1,22
239831,239831,1,31,9
967079,967079,1,1,13
5319,5319,1,1,14
865509,865509,1,,11
1215550,1191973,1,1,92
890609,890609,1,,13
1423422,1373725,1,1,30
310001,310001,1,,3
1006029,1006029,1,,12
1235953,471746,1,1,10
673739,673739,1,1,10
564007,564007,1,1,13
640003,639999,2,1,14
912931,912931,1,,7
329170,329170,1,1,16
526120,526120,1,1,14
1050692,1049255,1,1,12
42930,42930,1,1,16
544700,544700,1,1,32
27921,27918,3,1,11
214084,214084,1,31,6
1330784,1292370,1,1,18
3086377,2839236,3,1,20
2664695,2460396,1,,20
1079566,1074439,1,1,19
1492979,1434013,2,1,15
1178087,1159499,1,1,15
320017,320017,1,7,2
103336,103334,2,1,13
1172840,1155064,1,1,9
1257367,1228973,1,12,23
1123597,1112000,3,1,13
51574,51574,1,1,12
690011,690011,1,1,11
342103,342103,1,1,8
683153,683153,1,1,54
1324879,1287210,1,1,15
431261,431260,2,1,13
334787,334787,1,1,11
1275428,1244264,1,1,13
2554442,2358772,1,1,12
496405,496405,1,1,17
125128,125128,1,1,16
3088056,2840805,1,31,27
953459,953459,1,,4
212515,212514,2,1,25
3658016,3356542,1,12,14
219584,219584,1,1,7
622396,622396,1,1,12
3084225,2837214,1,12,19
604329,603058,2,1,22
1241987,1215366,1,1,16
344332,344332,1,1,14
393411,393411,1,1,7
628212,628212,1,1,13
1150747,1135877,1,1,12
1254351,1226348,1,1,13
92573,92573,1,,18
1049677,1048422,1,1,15
2553576,2358037,1,12,12
1331804,1293230,1,1,11
976159,976159,1,,12
741151,741151,1,1,21
3352336,3079695,1,12,10
1041120,955018,2,1,15
1138266,1124937,1,12,7
280997,280997,1,1,24
310970,310970,1,1,10
445892,445892,1,1,15
444684,444684,1,12,19
2256281,2096723,1,1,6
751978,751978,1,,14
886292,886292,1,,6
2248130,2089982,1,1,9
1332438,1293752,1,31,3
918571,918571,1,,17
918679,918679,1,,14
470217,470217,1,1,9
1372657,1328990,1,1,20
869862,869862,1,1,15
566459,566459,1,1,46
1696919,1613063,1,12,10
920324,920324,1,1,19
312066,312066,1,1,17
175474,175474,1,8,10
1036509,1036592,2,1,18
1136461,1123348,1,1,16
904161,904161,1,1,11
1309563,1273840,1,1,5
733408,733408,1,1,11
859767,859766,9,1,26
368413,368413,1,1,6
302988,302988,1,1,10
745534,745534,1,1,7
349437,349437,1,1,20
2560649,2364449,1,1,19
1116459,1105751,1,1,11
433683,433683,1,1,15
1136677,1123550,1,1,60
1346411,1306034,1,1,10
3657125,3355731,1,12,10
737925,737925,1,1,11
105281,105281,1,,12
52562,52562,1,1,10
499342,499342,1,1,21
3657434,3356012,1,1,10
1309689,1273955,1,1,12
1222483,1197889,1,12,4
183953,183953,1,1,15
35415,35415,1,1,11
13891,13891,1,1,15
906779,906779,1,1,13
18217,18217,1,1,17
289019,289019,1,33,11
280075,280075,1,12,20
842406,842406,1,1,64
585273,585273,1,1,20
1050940,1049466,1,,9
673316,673316,1,12,105
250068,250068,1,,13
141493,141493,1,,9
771508,771508,1,1,11
3085985,2838856,1,12,7
1293843,1260160,1,1,11
854154,854154,1,,14
1102244,1093702,1,1,31
1051648,1050089,1,33,2
498620,498620,1,1,15
254454,254454,1,1,21
1701286,1616740,1,12,14
2553417,2357888,1,1,12
1197767,1176361,1,31,11
2245176,2087343,9,1,48
658284,658284,1,1,13
1150547,1135697,1,1,11
610474,610474,1,12,148
627949,627946,2,1,34
34324,34324,1,1,12
427590,427590,1,,10
1693069,1609791,1,1,14
443884,443884,1,1,11
1018088,1018088,1,,6
908716,908716,1,1,20
166977,166977,1,31,2
532791,532789,2,1,16
103674,103674,1,1,12
317024,317024,1,1,24
3353187,3080481,5,1,18
694454,694454,1,12,58
1251108,1220644,5,1,43
186154,186154,1,1,9
255453,255453,1,1,13
2561267,2364984,1,12,11
558850,558850,1,1,16
1695198,1611601,1,31,10
219085,219085,1,,5
812316,790649,2,1,8
459171,459171,1,1,15
893161,893157,2,,12
1048678,1047659,1,1,14
3263232,2998073,1,31,7
3259036,2994301,1,1,12
379638,379638,1,1,4
1114649,1104214,1,1,11
535770,535770,1,1,4
3652784,3351673,1,12,6
866104,866104,1,,12
695006,695006,1,12,64
1012800,1012800,1,,12
551004,551004,1,1,13
261467,261467,1,1,15
