release_group,gid,name,artist_credit,type
181071,96db0230e52335c1841413e540aace5b,Glory Bound,34227,1
2216510,65a99ca7237a4529b9688f277307375a,Vlaamse Troeven 36,1,1
421898,df50595547f63d9b8d850e174398c8de,Astounding Sounds Amazing Music,5040,1
861780,5cb28497fc3a4923a4b5692cec33534a,Andean Native Spiritual Music,635355,1
52316,4f3489776f4439f9b243071927ecc6a4,Crooked Rain Crooked Rain,25,1
758104,5357377acfcd3f59a7e0a45d221db8e7,Love Out Loud,1706,1
501110,9be20eb333fa3249bed8a17d7609bd99,Tired of Hanging Around,143501,1
1174217,769966a4c76b4935a5c074147dcb5b79,Skelethon,32506,1
1377793,a2a04c028a514aab8c392ed54cbe0126,魔法騎士レイアース オリジナル・サウンドトラック6 〜いつか輝く〜,170778,1
1258814,a76de995d06240cab6c55bc598183b7e,Like Crazy,218697,1
619143,d8c770c122b03487be2768ae9f6037c2,One Fine Morning,281399,1
2614016,b97c4ef8a7db4f51a69002287ac75d35,Concerto for Piano and Orchestra  Suite for Violoncello and String Orchestra  «Lied des Einsamen»,2940099,1
1226089,dc21e4aa045e4927a4d20a4b0ac7c2cf,EP,1103692,3
686282,1cda2149b85038ca82883fa896915452,Stromausfall,12,1
163839,7283f79176573165ace31c6279f9ebe8,The Magic of the Rumanian Music,125376,
351003,a88875c850af30ae8257a373034fa0f6,Look At Me,245870,1
243767,9c4f71293ebd3330bb7dc254838f47ad,Let There Be Peace On Earth,174104,1
1381278,7f39d9f14d05419986ba0c604dad12c6,Dolores,541669,1
2166010,4597b75ee4b04c9291dacac75848879d,Here He Comes Again,3418,1
1271391,279e1cafd8cb41ce9166801df5996d2b,Nekrodepression,678274,1
69214,9c7233a3561835f4a12989609cb71806,Total Recall,1338,1
1222130,33a99c3003de4dc6a437be0c1556c413,Estonian Funk,946602,1
3073999,01092293f8e441739760341290c663d3,Angella,1518701,1
680408,1cea4db6cee039a09a2e753771e7c1b9,The Moon Is Gone  Rattle,190590,2
994626,99f2c4dba8b347019cd427f3f3acf498,Telephantasm,1111,1
338452,34345ff622d63d1fab59ab7d474b93ee,Les Chansons éternelles,121885,1
1966972,7255b41671b64e0db2c53792aad1f30a,Up On The Lowdown  Drive You Home Again,22590,1
498503,d7f4ee5c759c3e40b9b223483014d0fb,As Time Goes By,5236,1
1180488,fac920cbf33941a3866f710463117b9f,Manners,769555,2
1811974,1bd82a1a1cc247dca9e3c3716f0a205d,Dark MatterDark Energy,1135318,1
259403,4fa9009ba453330a8894b7bca5bb7a4a,The Best Instrumentals Volume 2,169160,1
971092,38561b050b6f45fbbdf58834cc3241fb,Tarab,193885,1
1810393,58c8454aa6b8402592df68c2f72a0df7,This Awakening,2006738,3
2612157,405faf78e8f242f399365e117b886e40,マッドストーカー 16BIT 音楽集I（究極盤）,1428761,1
1181756,bca3a0bd94de4e99b56c577edee0c4a1,Illumination,677116,1
212411,8f6f2fb869e83ccbbea6b843cd2be5de,Playground Battle,46843,1
946893,15c8ae18540044bea7c98fc8fcd2b5c7,Hard Rock Guitar,704235,11
919660,5a44aab7d9e2463bb88a3d8c1f5b152f,Hyperactive Volume 2,821473,11
1016631,4578f82726464a9b9ef3bc91a2b45e2d,Godskitchen Pure Trance Anthems 2011,1,1
2744061,49aa748119f5462eb4a2fc1d0a1ec73d,Falling,3073196,1
754679,f7ca11aa04473496b301478b82e08bad,Club Bizarre 1,1,1
181186,c71fe6ce3e6b30e3a3f6219200095d30,Controverse All Star,129655,1
2218261,c9b9332f11c942fe85b0542dad974e08,Blazing Winds of Transcendence,2487721,1
3074338,35b4b900ac6d48deb01d57cbf5b4144d,artificial outsider,1122289,1
882917,c7eeb65120df42d0af50d05e24d34e7d,Rock This House,55410,1
962218,2fbe1e82cde24a829b43091de4581ca4,Planet Moods,720539,11
1178363,c86eb1619a724f1ebffb097e748207d3,What I Seen What I Done,1018837,1
1125895,f36604c83dbf413abcf6b10545d519e5,Classics Revival No16  Meri Jaan Balle Balle,1,1
830246,0589f075516e300e8f5eb768b796c02b,Abuso Sonoro  Detestation,824889,3
929450,292c28bf994b48f192c982d6b41d89d8,The Scriptural Rosary,689965,11
1234131,7bb1dea3c44146468ad0fc95857dee73,Slave Master Live,5090,1
852030,9274abdb863d4013b01ee97cc01fc21c,Violent Nun,208486,3
113158,c54c588592b53d429f04754bb6ae77f1,Blut Trilogie des Blutes,77089,1
1085428,69f0d67b55a04cf1a126f8fbd32cc8b0,13 Top Reggae Hits,290280,1
964450,79d3464599f843599abfc8a57b891757,Hindsight 2020,23969,1
350394,ed243e56002938b3ad48c854a6c2ff4f,Ooh Wallah Wallah,84915,1
3073453,5ea33fc10de542f1ab6100571483c781,Celle que Je suis,2195744,1
1059976,c5c7f55a58c946b6ac5114500f2ff617,A Peter Fletcher Recital,405833,1
11974,90b3ca30c47030a9904145deebb26e7c,Dance With Me,6366,1
690789,e1c56db9bb5a3c768d44ad27863d9263,Complete Works,1021,1
377264,8ff0c2ac39f731ba84586925716f6a8d,Live at the Gaslight Set Two,45442,1
316065,81375eacd0ef3d7a8585b2d133522866,Isolated Incident,126062,1
530805,f8c443353a1739e29c408b42d27a8987,World Scratch,371454,1
755701,a7b9031d44733087a5705f98e7e984eb,The Ultimate Jazz Archive,1,1
1118734,cd96580b95474a16bb1e8025b918c5db,交響詩篇エウレカセブン ポケットが虹でいっぱい MUSIC COLLECTION PSALMS OF PLANETS,135547,1
2898409,61a577ce38944b95a19d151a31c795bd,Greatest Hits  Remixes,1472600,1
1157311,d657fa9a12ce4bec8aa07eb3ec769081,Black Bottle Riot,976473,1
291366,e0a50384b088363fac3ec984f87f8f66,Invocations,63503,1
1046477,ea3eea31bf5744018dcb92e1a8020f08,20010224 Moscow Russia,187,1
2118060,ba2f20565a924b9887b2098053b1f5c1,Wm Abraham Restum Takes Off on Chitty Chitty Bang Bang,2376142,1
699983,0d464ffda4273ba880849e4984285d47,Love in the Time of Cholera Original Motion Picture Soundtrack,3215488,1
1526896,9738660a225b4c5fa4371d54685a113c,Puig Destroyer,1478548,1
394990,af7ea79a37b134fc85c96f2a0f638806,Alibis For Life,277835,11
588410,f30d4049d8ab34e7a508c6e0fd278467,Som symra rein og blå,314234,1
758409,402f0dd6f2d83b8e8aeac9247e03e4d4,Mariachi Peñatitlan,558971,1
789125,7964f2a3fbb335b78e5c0d8ad1a25357,Somos otra cosa,226537,1
2893744,ca72c22db04c486594f2613cabf7e8cf,Only The Best,3220286,1
760650,5745827834c43cd2be099040f9bbe777,Nick  Norahs Infinite Playlist,1,1
2491296,a0ba8155637544fb92ac7984cc8c1da1,Selected Works 2000 2006,2817844,1
914976,5ac422cb717c4c6793583ec2ce7a859c,100 Anniversaire,1317,1
1122055,153111078591417ba0b6a3f94e241460,Nicht ganz Dichtung,908393,1
500414,0c443af6905e3ffd9a1ea5727cdc077e,All About Carole,99559,1
969947,0c751cd0f43d41f4b8ee8a6210e947a1,My Place in the Dust,541527,1
428319,b428afe54bd2364eae283b4c99988abd,Hydroplane,735675,1
982298,968708ef974c4c13abcfba7750a3c7bb,Stop Thinking,736940,1
86190,0e5b6a1934113373838b7877453685e7,The Silent Majority,67853,1
650169,b687e6ee6288326dad6d5400d1cd08db,The Opposite of Sex 20041024 San Francisco cast,469760,1
1117146,9e6051e0b72c4b39b190312de4c37cc5,Creation Science Evangelism,896914,11
203391,a589fe2c41c33c8abf838e971bc3fa72,Patrick Fiori,147855,1
343662,12f76a936f323b58b115dd25c0930e00,Продвинутые Сказки,240374,
1164914,ebe11ca40c6242d2a9de95e834317287,Hollow,349073,1
1995628,7ae10d3ca32044e08fbb89b47033ab9b,Stax Funk  Get Up and Get Down,1,1
2743544,664ee263ff534ac48be7a6d3eae445c2,Chouchouna,2770416,2
903820,422c8cf827414bec87c1a0ce0c1c5090,Hit the Ground Running,185249,1
893954,2b272d4c5009470eae951f0d35964020,Early Music 11501700,383315,11
1020302,5bddb74569ea4d32b3cf4d58cec47c8c,Sports Berry Punch,1,11
1337325,6976d77a987947d18629008b6a22d6a0,Join the Ultimate Battle,1263052,3
1022886,a86b546773a1410498d45887c08fd629,The Complete Works,859330,1
219832,97f0fbdd28363542a252bd430972412a,Shooting Stars The Dollar Collection,104436,1
1147892,6fe69887e00949c8b16fe919afe70791,123454321,961045,2
988475,35a72877078e4248aa4ef3cb97512683,Bang Goes the Knighthood,31006,1
141714,742ee6b423c739abb6e1c55a688d142f,Kansas City 1972,22492,1
1814391,d670116e4633476fb66eaa4977a33127,Speciaal voor jou,2012556,1
692351,d61afba32fac35aeac782de9eaf6164d,Complete Mozart Edition Volume 43 Die Zauberflöte,11285,1
448234,23e6051ebbae3371ad4e89ce332c7197,The Collection,256891,1
1047789,c9e2d84cd6bd42e98800db0f99c25318,Frost Bound Demo,789722,3
2489290,a5f89f21dc7f4d4792df300016b554ee,Froh zu sein,1043378,1
578417,18e143ef54e03cdabfd45dd867a4cbd8,LLC5,1,11
817089,7559a5ae1e43341bbd2e85be51eafa5c,Wasted,152048,1
1092494,33c48337e45d404aba7271d7f9db902f,Interdimensional Laundry,512934,1
1016542,206cf3d5c5364356a8ecb7b2c1cbb4fc,Liedjes van het Circus,130042,1
837420,79536dc6bc94330191a34894898f7a6b,More After Were Gone,185459,1
1117974,1f11f179ab2a4d9db84115d6ea60d54b,Gramschap 19781986,1,1
100683,d9c0cfedac10364c8373c199017ed42e,Valley of the Dolls,35364,1
425315,693e904cd0ff3b01a1abc5f9417ea322,Volume VI Collecting Rocks,137835,1
1107988,2eaabfeea0ba41b59a01c05194270238,Patchanka,2228,1
239631,b1df2c631f643ea6a401a073c14d152f,Comanchero,171843,1
1189046,ecb0bb2b2db840dda7c617539ad9eb3b,Fretless Bass,1041195,11
154047,d127ea9e7694348f820269f26abc03a4,De Parang Now Start,119323,
1334894,82eb9d13614c48839b2c699bb431f2bd,The Best Kids Favourite Theme Tunes,937285,1
649658,be5f5cf0d90a370d8bb64f15b9b616fb,Elizabeth,469343,3
612423,f408ee458f29361b9874d1d58e553185,ConGRADulations Class of 2007  Just Watch Me Now,1,1
3495,38f753969f683309be8342330ed67db9,Millennium,2102,1
942441,f029a51107cd489385bc433a55e8ddf9,Brilliant The Global Dance Music Experience Volume 6,1,1
857583,ab1312511740476cb62d75c09b1cdbd7,House Zone 2008 In the VIP,1,1
915766,655e0a008a82431e9f50972ca45909a9,Napalm Rave Volume 5,1,1
252344,d99da0b5e2043b2c87c58319fe3eb780,Songs From,179905,
665915,a169f88be5eb33dfb503e078a6c7b2c0,Lakes,1216187,1
827222,6212dffa240e3c5b800dd5d2038a582f,Winterweihnacht mit Panflöte,1,1
1074591,ebc12aeddd884ccf8f72d75b01015f86,Earthly Powers,627249,1
42025,540d950992a0334e9ea012c3955cbb3f,Ekte Eggum,30080,1
842513,6a4286c8fb9c4768bced33d6e42ccfd2,Goldberg Variations BWV 988,1329453,1
58170,fddefcc6f41434b597afd56586c4e080,The Heavyweight Champion The Complete Atlantic Recordings,1766,1
567788,580803596ac93966b0a146a865e599d6,Focus On,216221,1
1270662,b0323fa85f324408b57fa9d16948ddf8,Endless Rotation,1168817,1
2493259,5c0291970cb44f3284ba6eb3900f69c6,Simply Calypso,1,1
2197281,532158b9869140cfa631cd286a3976ca,Tidenes Beste Julebarneplate 3,1,1
1094814,5d270101e6ad4113ba96c085fc064134,Race Wars,41733,1
558129,c112ac7f643434c2b0d11a2649109d9b,The Dance of the Moon and the Sun,397379,1
1163428,f9b64e32afbc405db7eec490a865232d,Donnerwetter,678385,1
658582,b28cff96074c3214b6b400cff37bcdc9,Slip  Tiller,476760,2
473090,fd8b9d57bb7f346cbceef8151e13b1dc,A toda esa gente,113811,1
1160081,2ec5a3fed65d47c5bc07c90ad12a38df,Dedicaçons,981266,1
1219471,2999730bf33245409db9176bca630eea,Airport Lounge Destination Chillout Cafe Music from Miami to ibiza,1,12
1125173,012852d997fb42f6ac1ccc29a4add3c2,Schoßgebete,358200,11
227329,4423945a46a53a9d8e1a2ce0b83a64ab,Songs  Stories,130086,1
955014,48b60479b92e4c2a940597d17646d8a1,Yellowstone,24013,1
676359,e1497bcc7d5431a2a0b9251c62187b7f,A csillagokkal táncoló Kojot,249435,11
949860,9f7e134465d441559466c8ecf30d1cd3,Liftmusic Volume 13 Another Slice of Audio Pie,1,1
1266658,9ec53f537c1b4eb68bb9ce11acc322d5,The Silence  The Noise,613603,1
748997,06051c0ba193343fa3d04f1a04e2944d,Peace  Luf,551009,1
480488,2ee9084de880363984872a7d63ac1c65,Beautiful House,287538,1
1231940,3db842281df34fd0b31276b511aace25,Fearless,396950,1
732184,603bbbc46c7b35909c67c9678e829b6c,In the Miller Mood,106905,1
803159,5ec9f32dc2e33123a5b3d8b6a43ae19d,Kosmickej vandr,440614,1
496113,f3efe2da59603f5187beba453f5a689e,4つのL,171133,1
2494492,f862716d83ea454f93ca7f75aead5fe5,Opus 85,1,1
381503,076c02672a4b309b819b61088009e41c,The Gold Coast EP,268451,3
237861,d520e411b3323bcbbf3875e17ac18ab4,The Complete Verve Master Takes,1590,1
2898671,c652ec6aff834bdcab0f4d8b420bc9f3,『H☯MESTUCK VAP☯RWAVE 2016 RUHRUHRUHＲＥＭＩＸ』アンドレア・ヒューシー・グーグル翻訳,1987843,1
378623,9f04dce88eab3a389b16101c24ffa987,Properties,3992,1
37319,03fe7fe62d963b40816d885b5118107e,Apollo Atmospheres  Soundtracks,21240,1
2491695,e8f9fab60d8f4da38741ddc4141b8865,Le roi bâtard,2818317,1
450548,3af1ed21b24135d3bdafd0030dcebce8,Jazzurekcja,315749,1
496536,a88115a338a736f8aabca72ebb08985f,KÀ,2907,1
678153,a6c413557c713976ab5bdad68d157829,Destructive Forces,441133,1
663759,d5924e9728e13ea7a51ee8005e365d4d,Earthen,470993,1
906729,5696579adbdc451b92ef8b373bd864f9,Если парни объединятся,1511438,1
1145080,9bf0475cf2ba4da79214aa216c63234c,Ingel mu taevas,936042,1
1217294,0db9e2b4a50b4701aa543a65723f0093,You Raise Me Up,1088214,
415638,0643c047c747307fb8d45dd12396f570,Load error,39182,1
1073883,531a21b7f2e5421e97bec7461afaf6d1,Hellboyz,448704,1
2115447,c86098e5222540e7a7b152edeedb7c4f,Le Violon vagabond,2373904,1
1211759,f8fe4b49cf5c4c23a9eaa249c383c53a,Roseaux,1122027,1
869909,989db125dd5c43ef822da2352e390afb,Bill Sims,641639,1
994198,0bc7ff13416e4f969fae8828cb1cd62c,Charlie St Cloud,92267,1
2683540,1ced578928464836be5233f3b73171cf,Gunderssongs,3005240,1
513050,d6f24243c1e830dab0a98ac6fdf24e29,Always Tomorrow,1,1
1135927,5449e8023ae44db392e3caf8892e4ba0,iTunes Live From Montreal,52743,1
625264,4e3d3b7be295394aaf282ea186f7650f,Festival de Cannes 60th Anniversary,1,1
650626,77dad6b08e5033649ad0c869d8656dee,A Cure for Separation,470095,1
761219,346bf657a03338a5b6c3d15e078e88c1,Romanțe,1,1
760228,c02f74c0526930b39ca1d33bf24e4265,Осень,1,1
1909062,df5c0157de674c01bf5f3516eeae1cb2,TofuMakoToro,2140265,3
1003212,17a6fba5ddd74276b7baba87358f2f28,Alcione duetos,56757,1
121282,1d8d5ce6a9283497ac696661117a31e5,Demonstration,86412,1
1903824,8423dbb22b1f4087a4e54d27129332f9,Le Modeste Album,1374542,1
1271741,e468bb64b484487a9a6562af80f469c3,Between the Sheets,1170816,3
254101,8381ec9ea54632d5b22745da54d9042f,Sevillanas Boleras Rocieras Y Solo Guitarra,74886,1
