1,2
id-11756,rec-11756-dup-0
id-101125,rec-101125-dup-0
id-23187,rec-23187-dup-0
id-69750,rec-69750-dup-0
id-21199,rec-21199-dup-0
id-104,rec-104-dup-0
id-81382,rec-81382-dup-0
id-547,rec-547-dup-0
id-44676,rec-44676-dup-0
id-314,rec-314-dup-0
id-115964,rec-115964-dup-0
id-49332,rec-49332-dup-0
id-112751,rec-112751-dup-0
id-7747,rec-7747-dup-0
id-2936,rec-2936-dup-0
id-114772,rec-114772-dup-0
id-115900,rec-115900-dup-0
id-44467,rec-44467-dup-0
id-9279,rec-9279-dup-0
id-31090,rec-31090-dup-0
id-63772,rec-63772-dup-0
id-19680,rec-19680-dup-0
id-5071,rec-5071-dup-0
id-331,rec-331-dup-0
id-93612,rec-93612-dup-0
id-41454,rec-41454-dup-0
id-8851,rec-8851-dup-0
id-106072,rec-106072-dup-0
id-2487,rec-2487-dup-0
id-5383,rec-5383-dup-0
id-435,rec-435-dup-0
id-80913,rec-80913-dup-0
id-117390,rec-117390-dup-0
id-1818,rec-1818-dup-0
id-75655,rec-75655-dup-0
id-94156,rec-94156-dup-0
id-75403,rec-75403-dup-0
id-5243,rec-5243-dup-0
id-60189,rec-60189-dup-0
id-60119,rec-60119-dup-0
id-80933,rec-80933-dup-0
id-52490,rec-52490-dup-0
id-18859,rec-18859-dup-0
id-106173,rec-106173-dup-0
id-23698,rec-23698-dup-0
id-140,rec-140-dup-0
id-69329,rec-69329-dup-0
id-721,rec-721-dup-0
id-68807,rec-68807-dup-0
id-27973,rec-27973-dup-0
id-69765,rec-69765-dup-0
id-7737,rec-7737-dup-0
id-116819,rec-116819-dup-0
id-88668,rec-88668-dup-0
id-58985,rec-58985-dup-0
id-57,rec-57-dup-0
id-48463,rec-48463-dup-0
id-71900,rec-71900-dup-0
id-105924,rec-105924-dup-0
id-8966,rec-8966-dup-0
id-13014,rec-13014-dup-0
id-111634,rec-111634-dup-0
id-61561,rec-61561-dup-0
id-47986,rec-47986-dup-0
id-20626,rec-20626-dup-0
id-77295,rec-77295-dup-0
id-62102,rec-62102-dup-0
id-87369,rec-87369-dup-0
id-13213,rec-13213-dup-0
id-54410,rec-54410-dup-0
id-7023,rec-7023-dup-0
id-4150,rec-4150-dup-0
id-68525,rec-68525-dup-0
id-83118,rec-83118-dup-0
id-21137,rec-21137-dup-0
id-115850,rec-115850-dup-0
id-13310,rec-13310-dup-0
id-39778,rec-39778-dup-0
id-1335,rec-1335-dup-0
id-1061,rec-1061-dup-0
id-117263,rec-117263-dup-0
id-7324,rec-7324-dup-0
id-42623,rec-42623-dup-0
id-9003,rec-9003-dup-0
id-5230,rec-5230-dup-0
id-116758,rec-116758-dup-0
id-8852,rec-8852-dup-0
id-76294,rec-76294-dup-0
id-5241,rec-5241-dup-0
id-10202,rec-10202-dup-0
id-189,rec-189-dup-0
id-13,rec-13-dup-0
id-3942,rec-3942-dup-0
id-7096,rec-7096-dup-0
id-8391,rec-8391-dup-0
id-3866,rec-3866-dup-0
id-118323,rec-118323-dup-0
id-14225,rec-14225-dup-0
id-17349,rec-17349-dup-0
id-5210,rec-5210-dup-0
id-68649,rec-68649-dup-0
id-69541,rec-69541-dup-0
id-71512,rec-71512-dup-0
id-27941,rec-27941-dup-0
id-117600,rec-117600-dup-0
id-23641,rec-23641-dup-0
id-99296,rec-99296-dup-0
id-119013,rec-119013-dup-0
id-5418,rec-5418-dup-0
id-118508,rec-118508-dup-0
id-214,rec-214-dup-0
id-14840,rec-14840-dup-0
id-4437,rec-4437-dup-0
id-99684,rec-99684-dup-0
id-84526,rec-84526-dup-0
id-52,rec-52-dup-0
id-24566,rec-24566-dup-0
id-82087,rec-82087-dup-0
id-12710,rec-12710-dup-0
id-97108,rec-97108-dup-0
id-101675,rec-101675-dup-0
id-68933,rec-68933-dup-0
id-96853,rec-96853-dup-0
id-5065,rec-5065-dup-0
id-63340,rec-63340-dup-0
id-193,rec-193-dup-0
id-190,rec-190-dup-0
id-113382,rec-113382-dup-0
id-282,rec-282-dup-0
id-71242,rec-71242-dup-0
id-80069,rec-80069-dup-0
id-9713,rec-9713-dup-0
id-3848,rec-3848-dup-0
id-22430,rec-22430-dup-0
id-72200,rec-72200-dup-0
id-464,rec-464-dup-0
id-68544,rec-68544-dup-0
id-75811,rec-75811-dup-0
