artist_credit,position,artist,name
id-617239,0,id-617239,Arrowoods
id-2807215,0,id-2043138,Scalasoft Systems
id-789390,0,id-789390,Dropshard
id-546450,0,id-546450,Schrödingers Cat
id-343206,0,id-343206,Sr. Click
id-971917,0,id-885581,Orange Jews
id-376878,0,id-376878,BCCrew
id-790317,0,id-790317,Acid Birds
id-501529,0,id-501529,Marco de Hollander
id-732141,0,id-732141,Greie Gut Fraktion
id-799988,0,id-799988,ᄼᄽᄾ
id-2820084,0,id-2051431,Vigo Qinan
id-215563,0,id-215563,Niagra
id-1133857,0,id-982760,o.d.r.a
id-304571,0,id-304571,Johnnygoody
id-276491,0,id-276491,The Hallucination Generation
id-415751,0,id-415751,Epoxia
id-743632,0,id-743632,Jeru Kabbal
id-3071820,3,id-2206986,whoisFIYAH
id-3071820,1,id-2206985,Ten Times
id-3071820,2,id-1461830,Hot Shade
id-3071820,0,id-1004282,Mike Perry
id-280672,0,id-280672,Aircut
id-478629,0,id-478629,The Dry County
id-695065,0,id-695065,S.O.B.
id-765349,0,id-765349,Lauren
id-300926,0,id-300926,Billband
id-208796,0,id-208796,Deeper Than Space
id-554741,0,id-554741,Bishop McCoy
id-1154676,0,id-999256,Drumplate
id-170315,0,id-170315,Blues Fools
id-448630,0,id-448630,Kikumoto Allstars
id-151909,0,id-151909,Sonartribe
id-903873,0,id-849558,John Graham
id-466369,0,id-466369,Fireworks
id-522297,0,id-522297,Jessie Warner
id-548235,0,id-548235,Banda da Guarda Municipal de Lisboa
id-167279,0,id-167279,Chonda Pierce
id-62329,0,id-62329,Brand New Immortals
id-562190,0,id-562190,Southside Stalkers
id-561771,0,id-561771,Ocean Bottom Nightmare
id-588117,0,id-588117,Emptydemic Degree
id-635746,0,id-635746,The Invisible Lead Soup
id-823487,0,id-805721,DJ Fritzy
id-2935338,1,id-2124883,Ty Fazo
id-2935338,0,id-2124885,Sha Rackzz
id-343107,0,id-343107,Ambitronic
id-2019325,0,id-676467,freq_out
id-301612,0,id-301612,DreamTone
id-380456,0,id-380456,INCREAL
id-402488,0,id-402488,John Phillpotts
id-508368,0,id-508368,Phasme
id-2376739,1,id-1781885,El Oaxaca
id-2376739,0,id-1780980,crema the definition
id-449575,0,id-449575,Sound Station
id-2338216,0,id-1588600,Tito Puente y su Orchesta
id-1055778,0,id-929677,Giulia Ottonello
id-2377745,0,id-1786202,Cj Borika
id-743207,0,id-743207,Tables
id-598921,0,id-598921,Waiting for Sirens
id-422481,0,id-422481,Jerry Irby  The Texas Ranchers
id-179965,0,id-179965,Black Cats  The Kitten
id-92488,0,id-92488,Sisters and Brothers
id-661932,0,id-661932,Jamaica 69
id-8768,0,id-8768,Peace Of Mind
id-258699,0,id-258699,Sadie
id-8033,0,id-8033,The Volunteers
id-2954512,0,id-2137067,Red Holloway Quartet
id-228364,0,id-228364,Crawling With Tarts
id-2159886,0,id-1119587,Countdown Mix Masters
id-526291,0,id-526291,Stidiek
id-2957726,0,id-2138889,Roderick Newport
id-618544,0,id-618544,Blue Planet
id-762185,0,id-762185,MULTI MAX
id-1202062,0,id-1032199,Mieresch
id-617163,0,id-617163,The Little Millionaires
id-85255,0,id-85255,Eedio
id-772540,0,id-772540,Saint X
id-1391242,0,id-1172155,Mirium
id-369422,0,id-369422,Thrill Squad
id-112458,0,id-112458,A Visible Boy
id-494231,0,id-494231,aka The Junkies
id-1222081,0,id-1047217,Golly Gee Whiz
id-95990,0,id-95990,Treana
id-437355,0,id-437355,オーダーメイド
id-396178,0,id-396178,Sweet and Innocent
id-2425815,0,id-1823332,The Judas Bunch
id-676401,0,id-676401,John Stevens Away
id-702545,0,id-702545,In the Irons
id-600079,0,id-600079,Itzehoer Stadtintriganten
id-113605,0,id-113605,Exit 9
id-3008750,0,id-2170097,Sabby Slvvane
id-521914,0,id-521914,Pambo
id-664846,0,id-664846,Edge of Darkness
id-2005948,0,id-1513002,Hy.Tone
id-405142,0,id-405142,Talve
id-753528,0,id-753528,Tom Lund Band
id-793383,0,id-793383,Duballyou
id-193004,0,id-193004,Sawbonz
id-499646,0,id-499646,Dr. Specs Optical Illusion
id-10149,0,id-10149,Tranquillity
id-947242,0,id-868560,Crack Point
id-1198877,0,id-1030017,Steve Dare
id-466944,0,id-466944,Fellirium
id-1290206,0,id-921719,DJ Mike One
id-155178,0,id-155178,Terrorize
id-146273,0,id-146273,The Friars
id-115587,0,id-115587,Extasia
id-523442,0,id-523442,Invincible Quartette
id-3073530,0,id-2207878,Ches Barrow
id-686676,0,id-686676,Secret Squirrel Project
id-683961,0,id-683961,Le Mal dArchive
id-346244,0,id-346244,Diaz jr.
id-163687,0,id-163687,Avus
id-777180,0,id-777180,Dubbyman
id-727725,0,id-727725,Billy Shephard
id-862827,0,id-829315,Midnight Indian
id-759656,0,id-759656,Playdoughboy
id-102517,0,id-102517,John The Whistler
id-1455279,0,id-969904,The Philip Kroutev National Folk Ensemble
id-520029,0,id-520029,Mofongo
id-415415,0,id-415415,Pimp Clic
id-1431902,0,id-1200391,Phoenix 2772
id-623777,0,id-623777,Ciudad dormitorio
id-540272,0,id-540272,The Cellophane Flowers
id-1191947,0,id-1025464,Contiez
id-1211914,0,id-1039080,Model Stranger
id-116517,0,id-116517,Catalan FC
id-238438,0,id-238438,John Marks
id-3221880,0,id-2290082,Jojo Moyes
id-3221880,1,id-1829698,Anna Acton
id-102690,0,id-102690,Eggman
id-357776,0,id-357776,Hyonblud
id-1092958,0,id-316264,Q
id-87912,0,id-87912,Reason 69
id-274789,0,id-274789,Internal/External
id-383764,0,id-383764,Bill Nash
id-1166862,0,id-1007988,West Gate
id-493364,0,id-493364,Experience 4
id-565960,0,id-565960,Benny Blanco
id-495701,0,id-495701,Colifichets
id-406139,0,id-406139,Dr. Derek F
id-187469,0,id-187469,Fraidy Cat
id-1572211,0,id-1199935,Les Zakariens
id-1572211,1,id-1298487,ODT
id-3303894,0,id-2338974,Til Vogelsang
id-297925,0,id-297925,Priscila y Sus Balas de Plata
id-625372,0,id-625372,Sayvinyl
id-2324620,0,id-1748675,Entire
id-582594,0,id-582594,Bandana Klezmer
id-483819,0,id-483819,Dwell Within
id-263010,0,id-263010,Gursewak Mann
id-499443,0,id-499443,Lost History
id-305653,0,id-305653,Alas de Águila
id-480864,0,id-480864,Eric Ericksson
id-705197,0,id-705197,Gonzar
id-731283,0,id-731283,Dust Is Noise
id-951237,0,id-871210,Lilacs  Champagne
id-652389,0,id-652389,The Wind Waker
id-2167140,0,id-1379913,Walt Disney Music Co.
id-716712,0,id-716712,Xiphiidae
id-113381,0,id-113381,The Forces of Evil
id-592337,0,id-592337,The Big Casino
id-220684,0,id-220684,Vomitron
id-1121297,0,id-972911,The Ecstatics
id-2934704,0,id-2124531,This Nightmare
