1,2
id-1571510,rec-1571510-dup-0
id-465343,rec-465343-dup-0
rec-1047576-dup-1,rec-1047576-dup-0
id-57389,rec-57389-dup-1
rec-396858-dup-1,rec-396858-dup-0
id-133423,rec-133423-dup-0
rec-1049037-dup-0,rec-1049037-dup-1
id-599497,rec-599497-dup-0
id-446336,rec-446336-dup-0
id-638745,rec-638745-dup-1
rec-763282-dup-1,rec-763282-dup-0
rec-1210903-dup-1,rec-1210903-dup-0
id-81955,rec-81955-dup-0
id-145273,rec-145273-dup-1
id-488712,rec-488712-dup-0
rec-7262-dup-1,rec-7262-dup-0
id-1652261,rec-1652261-dup-1
rec-362590-dup-0,rec-362590-dup-1
rec-96253-dup-0,rec-96253-dup-1
rec-1003132-dup-1,rec-1003132-dup-0
rec-612300-dup-1,rec-612300-dup-0
rec-479342-dup-1,rec-479342-dup-0
rec-341121-dup-0,rec-341121-dup-1
rec-3271-dup-0,rec-3271-dup-1
rec-711029-dup-0,rec-711029-dup-1
id-303100,rec-303100-dup-0
id-1033282,rec-1033282-dup-1
id-840091,rec-840091-dup-0
id-1604997,rec-1604997-dup-1
rec-829475-dup-0,rec-829475-dup-1
id-766437,rec-766437-dup-0
rec-313762-dup-1,rec-313762-dup-0
id-316420,rec-316420-dup-1
id-912995,rec-912995-dup-0
id-34632,rec-34632-dup-0
id-4453,rec-4453-dup-0
id-750449,rec-750449-dup-0
rec-116489-dup-1,rec-116489-dup-0
rec-9152-dup-0,rec-9152-dup-1
id-1124193,rec-1124193-dup-1
id-1124193,rec-1124193-dup-0
rec-904469-dup-1,rec-904469-dup-0
rec-160296-dup-0,rec-160296-dup-1
id-526788,rec-526788-dup-0
id-789390,rec-789390-dup-1
id-1210903,rec-1210903-dup-1
rec-566264-dup-1,rec-566264-dup-0
rec-628229-dup-1,rec-628229-dup-0
id-1507872,rec-1507872-dup-0
id-954456,rec-954456-dup-0
rec-432508-dup-1,rec-432508-dup-0
rec-3815-dup-0,rec-3815-dup-1
rec-250079-dup-0,rec-250079-dup-1
rec-7334-dup-0,rec-7334-dup-1
id-7262,rec-7262-dup-0
id-681826,rec-681826-dup-0
id-512505,rec-512505-dup-0
id-832331,rec-832331-dup-0
rec-1011766-dup-0,rec-1011766-dup-1
id-375083,rec-375083-dup-0
rec-831118-dup-1,rec-831118-dup-0
id-307753,rec-307753-dup-1
id-23845,rec-23845-dup-0
rec-1124193-dup-0,rec-1124193-dup-1
id-96253,rec-96253-dup-1
id-1038241,rec-1038241-dup-1
id-116489,rec-116489-dup-1
id-297001,rec-297001-dup-0
id-570242,rec-570242-dup-0
id-1116521,rec-1116521-dup-0
rec-829475-dup-1,rec-829475-dup-0
rec-52277-dup-0,rec-52277-dup-1
id-427503,rec-427503-dup-0
id-854925,rec-854925-dup-0
id-110258,rec-110258-dup-0
rec-689336-dup-1,rec-689336-dup-0
rec-1124193-dup-1,rec-1124193-dup-0
id-1118901,rec-1118901-dup-0
rec-305509-dup-0,rec-305509-dup-1
id-5941,rec-5941-dup-0
rec-47164-dup-0,rec-47164-dup-1
id-61965,rec-61965-dup-0
id-214673,rec-214673-dup-1
rec-588515-dup-1,rec-588515-dup-0
id-160296,rec-160296-dup-1
id-420325,rec-420325-dup-0
rec-9696-dup-1,rec-9696-dup-0
rec-570242-dup-0,rec-570242-dup-1
id-259543,rec-259543-dup-0
id-799086,rec-799086-dup-0
