place,name,place_type,address,area,coordinates,ended
id-21063,Norsk Lydproduksjon,,,,,f
id-26294,ReSound,Studio,,,,f
id-56283,The Fun House Studios,Studio,,,,f
id-39608,Eglise Saint-Martin,Religious building,,id-42623,,f
id-25035,Aqua Sounds Studio,Studio,22 Prince St. Christiansted St. Croix,id-76946,,f
id-39424,MAMAstudios,,,,,f
id-7002,Bull Moose,Venue,456 Payne Rd,id-29931,,f
id-22737,Dodge County Fairgrounds,Other,WI-33 Beaver Dam WI 53916,id-84046,43.486492-88.834832,f
id-48528,Biblioteca del Comune di Cortona e dellAccademia Etrusca,Other,Piazza Signorelli 9 52044 Cortona AR,id-19706,,f
id-42877,Musikschule Raab,,,id-80390,,f
id-11308,Torba Production,Studio,,,,f
id-6583,Nigglmühle,,,id-75656,,f
id-9904,Chiesa Matildica di Badia Cavana,Religious building,,id-13379,,f
id-33130,The Bus-ted Mobile Studios,Studio,,,,f
id-29549,Kirche St. Barbara,Religious building,,id-11041,48.1925157.812789,f
id-41190,Præstø Kirke,Religious building,Adelgade 129 4720 Præstø,id-106173,55.12336412.047987,f
id-13892,Congregational Church of South Dennis,Religious building,,id-82487,41.676112-70.156217,f
id-8184,Fliegerhorst Neubiberg,,,id-76493,48.07406511.637526,f
id-42188,Haus Forellental,Venue,Mühlweg 1 88529 Zwiefalten,id-75499,48.2428119.451124,f
id-13896,The Recording Workshop,Studio,,id-82054,,f
id-6673,Long View Farm Studios,Studio,30 Stoddard Rd. North Brookfield MA 01535,id-82590,42.294476-72.088331,f
id-12277,Pan West,Studio,,,,f
id-49591,Yanmonster Studio,Studio,,id-104582,,f
id-36223,Bürgersaal Northeim,,,,,f
id-52229,Sala Liverpool,Venue,Carrer de Miquel Torellò i Pagès 5 08750 Molins de Rei,id-114311,41.4037332.022419,f
id-49503,Hidden Place Recording Studio,Studio,〒590-0136 大阪府堺市南区美木多上1200,id-11714,,f
id-5916,Schüttbau Tagungs- und Kulturzentrum,Other,Lange Pfalzgasse 5 97461 Hofheim in Unterfranken Germany,id-69259,50.11002410.510717,f
id-56607,Pantheon Studios,Studio,,id-102030,,f
id-52224,Chiesa di Maria SS. Assunta,Religious building,,id-22813,38.110514.8282,f
id-11873,Baxter Ranch Recording Studio,Studio,,id-82251,,f
id-36050,De Orangerie,,Elswoutslaan 22,id-91920,52.378374.59706,f
id-5841,Chessington Synthlab,Studio,,,,f
id-48206,St. Michaels Church,Religious building,,id-92551,,f
id-25044,Malleus Studio,Studio,,id-21319,,f
id-11974,River Audio,Studio,,id-115812,,f
id-55258,RC Music Studio,Studio,Napoli,,,f
id-2348,Sadhu kohvik,Other,Lossi 5 93819,id-9348,58.25185122.484624,t
