release,release_group,artist_credit,name,barcode,status,packaging,language,script,quality
id-1317409,id-1290393,id-1203339,BMHC,,Official,,English,Latin,1
id-25034,id-312406,id-218966,Good Morning,,Official,,,Latin,1
id-1261746,id-1246107,id-1133373,Nintendo Sonatina in C Major,,Official,,,Latin,1
id-611626,id-894308,id-661126,Fur,,Official,,English,Latin,1
rec-1104443-dup-0,id-1119003,id-728519,So Coil,,Official,,English,Latin,1
rec-1104443-dup-1,id-1119003,id-728519,So Co0l,,Official,,English,Latin,1
id-748775,id-1000447,id-2906027,Praying Blues / Ada Janes Blues,,Official,Cardboard/Paper Sleeve,English,Latin,1
id-1338939,id-1307153,id-1224092,Ko Zna,,Official,,,Latin,1
id-906405,id-213919,id-154741,Saai zijn,,Official,,Dutch,Latin,1
id-650081,id-923607,id-685360,Bringin It Thegither,,Official,,English,Latin,0
id-69632,id-426108,id-300446,Cityscapes,,Official,,English,Latin,1
id-1095754,id-1112210,id-224741,Poo-say,,Official,,English,Latin,1
id-759654,id-1009519,id-753044,Italian Airs / Gloria Waltz,,Official,,English,Latin,1
id-184135,id-543091,id-199257,Stanley BoDean,,Official,,English,Latin,1
rec-419092-dup-0,id-738888,id-376878,The Aquzrius,,Official,,English,Latin,1
id-3353822,id-2896672,id-3223264,Praise,,Official,,Punjabi,,1
id-1337441,id-1305979,id-575907,Stəˈkæstɪk,,Official,None,,Latin,1
id-1429103,id-1378070,id-1184508,New York Glyptic,,Official,,English,Latin,1
id-1075650,id-1095832,id-864321,Cantares de la lejura,,Official,,Spanish,Latin,1
id-1429100,id-1378067,id-1314571,Esk,,Official,,English,Latin,1
id-600542,id-885229,id-406139,D.F.2,,Official,,English,Latin,1
id-877348,id-419556,id-295683,2003 Demo,,Official,,English,Latin,1
id-978850,id-477640,id-332870,Evolution Compadre,,Official,,,Latin,1
rec-2537212-dup-0,id-2256494,id-1435182,Equivalency II Eyerything We Left Out,,Official,None,English,,1
id-940147,id-498084,id-131790,Ghost Flight,5016958070427,,Jewel Case,English,Latin,1
id-1331871,id-1301817,id-593370,Threads of Time,,Official,None,English,Latin,1
id-489349,id-797221,id-588515,Bypass Symphony,,Official,,English,Latin,1
id-683582,id-950200,id-706777,Magnificent Brain,5032629003006,Official,,English,Latin,1
id-44785,id-366545,id-185494,... And Flows Into the Sea,724354181429,Official,Jewel Case,English,Latin,1
id-1118040,id-1130221,id-254941,Pretty Face,,Official,,English,Latin,1
id-739826,id-993096,id-744270,The Rib,,Official,,English,Latin,1
id-2416201,id-2162750,id-2422551,In meinem Kopf,,,,German,,1
id-632377,id-909995,id-674187,love culture,,Promotion,,English,Latin,1
id-1610505,id-1528463,id-1480907,Aint the Same,811868590165,Official,None,English,Latin,1
id-536037,id-835599,id-103218,The Doge of Venice,,Official,,English,Latin,1
id-1205936,id-1200310,id-113357,Mysterious Skies,,Official,,English,Latin,1
id-689824,id-954881,id-710712,Work in progress,,Official,,Multiple languages,Latin,1
id-937293,id-624842,id-447309,Emma,,Official,,English,Latin,1
id-455669,id-769292,id-567620,Saint Agnes Fountain,,Official,,English,Latin,1
id-2362556,id-2119245,id-2377253,A Career In Dancing - The Abstraction Years 1979-81,,Official,,,,1
rec-186415-dup-0,id-544797,id-384970,Kolcopelli The Indian Legend,,Promotion,,English,Latin,1
id-762211,id-1011496,id-759058,Rock That Shit,,Official,,English,Latin,1
id-568088,id-860624,id-634485,Hacking the Holy Code,,Official,,English,Latin,1
id-146280,id-513548,id-357896,Sacrifices,,Official,,English,Latin,1
id-702795,id-964770,id-722794,Invitation,22924600227,Official,Jewel Case,English,Latin,1
id-979087,id-703225,id-516054,Demo,,Official,,English,Latin,1
rec-1435703-dup-0,id-1383328,id-1152740,Temoorary Things,888295079969,Official,None,English,Latin,1
id-1097205,id-1113406,id-125771,Bachué Café,,Official,,Scottish Gaelic,Latin,1
id-1044491,id-1070574,id-182680,This Time,,Official,,English,Latin,1
id-1181906,id-1180953,id-133374,Dangerous,,Official,,English,Latin,1
rec-763152-dup-0,id-904126,id-536749,Coptic D7b,881390257720,Official,Digipak,English,Latin,1
id-1169975,id-1171457,id-1004247,Single Number One,,Official,None,English,Latin,1
id-2170330,id-1967593,id-2212930,Paramite Temple,,Official,None,English,Latin,1
id-495531,id-802439,id-593037,Gobble,,Official,,English,Latin,1
id-879614,id-15080,id-8033,The Volunteers,,Official,,English,Latin,1
id-69639,id-426115,id-300452,Icebreaker v2,,Official,,English,Latin,1
id-422048,id-741326,id-216917,Goodnight Waltz / Wednesday Night Waltz,,Official,,English,Latin,1
id-940787,id-359266,id-251501,Give and let live,,Official,,English,Latin,1
id-1204620,id-1199308,id-1059209,Last Chance for Fridays Badge,,Official,,English,Latin,1
id-314386,id-653839,id-121229,I Used to Be a Liberal,,Official,,English,Latin,1
id-78972,id-438767,id-308582,Be a Star,,Official,,English,Latin,1
id-271211,id-617274,id-441041,Riddle of the Universe,,Official,,English,Latin,1
id-827146,id-1061918,id-800004,Tímavél,,Official,,Icelandic,Latin,1
id-2165263,id-1963565,id-376916,So Peaceful,,Official,,English,Latin,1
id-1004843,id-618843,id-442523,In a Second Orbit,,Official,,English,Latin,1
id-605815,id-889499,id-553078,Count in My Head,,Official,,English,Latin,1
id-868516,id-30960,id-16063,Live at the Manhattan,,Official,,,Latin,1
id-777165,id-1023239,id-770743,Eyes,,Official,,English,Latin,1
id-1330232,id-1300525,id-1216168,Zomer Paradijs,8718456017771,Official,None,Dutch,Latin,1
id-1069865,id-1090986,id-853064,The Dark Side of the Spoon,,,,English,Latin,1
id-1058669,id-1082068,id-772713,Buddies,,Official,,English,Latin,1
id-1162944,id-1166034,id-994479,Mimidokodesuka,,Official,Cardboard/Paper Sleeve,English,Latin,1
id-507968,id-812863,id-2549701,Alle middele zen geoahlauf,,Official,,Dutch,Latin,1
id-1176127,id-1176429,id-1014727,Bugs Tomorrow,,Official,,English,Latin,1
id-1530540,id-1465246,id-1394307,kONE,,Official,None,English,Latin,1
id-513976,id-817636,id-492547,Salvation / Soul of a Man,,Official,,English,Latin,1
id-465310,id-776880,id-447350,Arabica,,Official,,English,Latin,1
id-651685,id-924930,id-251124,Tagtraeumer / Nachtwandler,,Official,,German,Latin,1
id-827542,id-1062234,id-668340,The Warm,,Official,,English,Latin,1
rec-566259-dup-1,id-859310,id-633534,Reheardal,,Promotion,,English,Latin,1
id-424871,id-743786,id-546677,Music and Lyrics,,Official,,English,Latin,1
id-1254361,id-1240328,id-110497,Eat More Fruit,,Official,Slim Jewel Case,English,Latin,1
id-1616686,id-1533377,id-1489345,NC - 17,,Official,,,,1
id-2086103,id-1900687,id-2129728,Runner Runner,,Official,,,,1
id-893488,id-434032,id-305891,Zion,,Official,,English,Latin,1
id-147422,id-514253,id-292564,Bifurcation EP,,Official,,English,Latin,1
id-953871,id-384389,id-270357,Demo,,Official,,English,Latin,1
id-1217609,id-1210114,id-1077264,Lightyear,,Official,None,English,Latin,1
rec-2539171-dup-0,id-2257989,id-2538573,Three Naiis of Fate,711574501724,Official,,English,Latin,1
id-1101944,id-1117118,id-896862,Something Strange,,Official,,English,Latin,1
id-161220,id-524826,id-366414,Battleheart,,Official,,English,Latin,1
id-272638,id-618267,id-442572,Our Lady of the Skies,,Official,,English,Latin,1
rec-213137-dup-0,id-567061,id-404554,Shore Story,,Official,,English,Latin,1
rec-1122295-dup-0,id-1133734,id-942262,Toni9ht,,Official,,English,Latin,1
id-581780,id-870882,id-594330,Good Life,,Official,,English,Latin,1
id-750207,id-1001693,id-751312,General Mix-Up U.S.A. March / American Patrol,,Official,,English,Latin,1
id-657987,id-929996,id-118840,Totally Lost It,,Official,,English,Latin,1
rec-1429052-dup-0,id-1378028,id-1315350,Synthetim 1,,Official,,German,Latin,1
id-546348,id-843870,id-622105,Someone 2 Love,,Official,,English,Latin,1
id-1218668,id-1210985,id-1078326,Silly Symphonies Presents Lethal Garage 2,8713637070101,Official,,English,Latin,1
id-1021356,id-709779,id-521198,Poems to the Dead,,,,English,Latin,1
id-1329824,id-1300200,id-1145734,Hey,,Promotion,None,English,Latin,1
id-388946,id-714387,id-396319,Mixed Up Logic,795915950624,Official,Jewel Case,English,Latin,1
id-2355238,id-2113052,id-2370995,Se descontrola,840090552887,,None,,,1
id-3350447,id-2894047,id-2991214,Tik Tok,,,,,,1
id-1538725,id-1471816,id-1403503,Bleat It,,Official,Cassette Case,English,Latin,1
id-855371,id-1032470,id-777717,Shock,691062032629,Official,Jewel Case,English,Latin,1
id-2416125,id-2162692,id-2422450,Guitar Workshop,,Official,Cardboard/Paper Sleeve,English,Latin,1
id-1241747,id-1229922,id-1110466,Stone Darling,,Official,None,English,Latin,1
id-1245188,id-1232680,id-736898,The Isolated Rhythms Of,,Official,,English,Latin,1
id-356993,id-688350,id-504837,Get On Up,,Official,,English,Latin,1
id-388334,id-713819,id-259188,Ciudad Lluvia,44001844423,Official,,Spanish,Latin,1
id-860276,id-947934,id-705038,The Choices We Make,,Official,,English,Latin,1
id-2997940,id-2618372,id-2940574,Wave,,Official,,English,Latin,1
id-349471,id-682352,id-2390972,In da House,,Official,,English,Latin,1
id-832947,id-1065955,id-803094,Romeo  Juliet,,Official,,English,Latin,1
id-1973153,id-1811394,id-2008090,Omniverse,,Official,,,,1
id-461237,id-773586,id-570569,Hence Lawrence,,Official,,English,Latin,1
id-3356676,id-2553742,id-1382688,Blessed Are the Meek,826194447649,Official,None,English,Latin,1
id-1038049,id-801293,id-592007,The Doppler Trio,,Official,,English,Latin,1
id-1184744,id-1183158,id-1029733,Elements,,Official,None,English,Latin,1
id-941763,id-338341,id-225399,No Rules,,Official,,English,Latin,1
id-1121864,id-1133363,id-941715,Hey Mr. Devil,,Official,,English,Latin,1
id-404506,id-727161,id-426336,Save Me,,Official,,English,Latin,1
id-433372,id-750786,id-552483,More Beautiful Than Ever / Willow Weep for Me,,Official,,English,Latin,1
id-356843,id-688215,id-180611,Hunter / Gold,,Official,,English,Latin,1
id-243372,id-594809,id-425481,Stephanie Borowy,,Official,,English,Latin,1
id-1232295,id-1222274,id-1097926,187 on a Muthafackin Cop,,Official,,English,Latin,1
id-37398,id-345155,id-241710,EP,,Official,,English,Latin,1
rec-1202703-dup-1,id-1197769,id-1056378,Magma Carta,,Official,Jewel Case,English,Latin,1
id-1429499,id-1378403,id-1315753,Weerzien,,Official,,English,Latin,1
id-851895,id-928151,id-688939,Traffic,,Official,,Multiple languages,Latin,1
id-255459,id-604526,id-319527,Monikers - Single Series Volume 12,,Official,,English,Latin,1
id-824560,id-1060022,id-798531,Baby Dont You Know,,Official,,English,Latin,1
id-824561,id-1060023,id-798532,Introught the Night,,Official,,English,Latin,1
id-216187,id-569711,id-140441,Bit Hop Kima Video Project,,Official,,English,Latin,1
id-1231569,id-1221627,id-351095,Small Step on the Other Side,,Official,None,English,Latin,1
id-273760,id-619205,id-442814,Can You Take Me,,Official,,English,Latin,1
id-808891,id-1048486,id-812826,Jai si peur,884502966121,Official,,French,Latin,1
