1,2
id-568539,rec-568539-dup-0
rec-1610505-dup-0,rec-1610505-dup-1
rec-414203-dup-0,rec-414203-dup-1
id-738145,rec-738145-dup-0
rec-1225804-dup-0,rec-1225804-dup-1
id-746262,rec-746262-dup-0
rec-2824030-dup-0,rec-2824030-dup-1
id-1136815,rec-1136815-dup-0
rec-664802-dup-0,rec-664802-dup-1
id-1222169,rec-1222169-dup-0
id-1610505,rec-1610505-dup-1
id-817310,rec-817310-dup-0
id-1008019,rec-1008019-dup-1
rec-120485-dup-1,rec-120485-dup-0
rec-2357062-dup-0,rec-2357062-dup-1
id-611169,rec-611169-dup-0
id-137690,rec-137690-dup-0
id-354646,rec-354646-dup-0
id-806238,rec-806238-dup-0
id-1183395,rec-1183395-dup-0
id-419092,rec-419092-dup-1
rec-775392-dup-0,rec-775392-dup-1
id-372922,rec-372922-dup-0
rec-1073161-dup-0,rec-1073161-dup-1
rec-895566-dup-1,rec-895566-dup-0
rec-1127427-dup-1,rec-1127427-dup-0
id-295266,rec-295266-dup-0
rec-219719-dup-1,rec-219719-dup-0
id-897889,rec-897889-dup-0
rec-2170407-dup-1,rec-2170407-dup-0
id-876629,rec-876629-dup-0
rec-472150-dup-0,rec-472150-dup-1
id-832947,rec-832947-dup-0
id-348082,rec-348082-dup-0
id-1333971,rec-1333971-dup-0
rec-595790-dup-0,rec-595790-dup-1
id-895566,rec-895566-dup-0
rec-822168-dup-1,rec-822168-dup-0
id-926848,rec-926848-dup-0
rec-1136815-dup-1,rec-1136815-dup-0
id-1307415,rec-1307415-dup-0
rec-711599-dup-0,rec-711599-dup-1
rec-1053835-dup-0,rec-1053835-dup-1
id-1299633,rec-1299633-dup-0
id-464984,rec-464984-dup-1
rec-3459940-dup-1,rec-3459940-dup-0
id-115857,rec-115857-dup-0
id-472150,rec-472150-dup-0
id-1095524,rec-1095524-dup-1
id-647025,rec-647025-dup-0
id-239533,rec-239533-dup-0
id-746395,rec-746395-dup-0
id-880536,rec-880536-dup-0
id-900678,rec-900678-dup-1
rec-822168-dup-0,rec-822168-dup-1
rec-807737-dup-0,rec-807737-dup-1
rec-935073-dup-0,rec-935073-dup-1
rec-2485228-dup-0,rec-2485228-dup-1
rec-507968-dup-0,rec-507968-dup-1
rec-566259-dup-1,rec-566259-dup-0
id-566259,rec-566259-dup-0
id-36415,rec-36415-dup-0
