1,2
id-702251,rec-702251-dup-0
rec-1288833-dup-0,rec-1288833-dup-1
rec-534841-dup-1,rec-534841-dup-0
rec-1183842-dup-0,rec-1183842-dup-1
rec-1298926-dup-0,rec-1298926-dup-1
id-993731,rec-993731-dup-0
id-1232438,rec-1232438-dup-1
id-1010245,rec-1010245-dup-0
id-1900086,rec-1900086-dup-1
rec-1635440-dup-0,rec-1635440-dup-1
rec-980025-dup-0,rec-980025-dup-1
id-581456,rec-581456-dup-1
id-834455,rec-834455-dup-0
rec-966639-dup-1,rec-966639-dup-0
id-936204,rec-936204-dup-1
id-330085,rec-330085-dup-0
id-436594,rec-436594-dup-0
rec-53791-dup-1,rec-53791-dup-0
id-534841,rec-534841-dup-0
id-1902162,rec-1902162-dup-0
rec-340560-dup-1,rec-340560-dup-0
rec-966015-dup-0,rec-966015-dup-1
id-1250659,rec-1250659-dup-0
id-812543,rec-812543-dup-1
rec-897716-dup-0,rec-897716-dup-1
id-745793,rec-745793-dup-0
id-365692,rec-365692-dup-0
id-1271954,rec-1271954-dup-0
id-772078,rec-772078-dup-0
id-294929,rec-294929-dup-0
id-1183576,rec-1183576-dup-0
id-544376,rec-544376-dup-0
id-940159,rec-940159-dup-0
id-1298926,rec-1298926-dup-0
id-402626,rec-402626-dup-0
rec-1473025-dup-0,rec-1473025-dup-1
id-1272670,rec-1272670-dup-0
id-53791,rec-53791-dup-0
id-905182,rec-905182-dup-1
rec-714948-dup-1,rec-714948-dup-0
id-653693,rec-653693-dup-1
rec-2495401-dup-1,rec-2495401-dup-0
rec-1254621-dup-1,rec-1254621-dup-0
id-603773,rec-603773-dup-0
rec-797307-dup-0,rec-797307-dup-1
rec-1527448-dup-1,rec-1527448-dup-0
id-37319,rec-37319-dup-0
id-34850,rec-34850-dup-0
id-289612,rec-289612-dup-0
rec-1028577-dup-1,rec-1028577-dup-0
id-312282,rec-312282-dup-0
id-1249119,rec-1249119-dup-0
id-893189,rec-893189-dup-0
id-690889,rec-690889-dup-0
id-477180,rec-477180-dup-0
id-339867,rec-339867-dup-1
rec-801761-dup-0,rec-801761-dup-1
rec-238317-dup-1,rec-238317-dup-0
id-1234543,rec-1234543-dup-0
id-769766,rec-769766-dup-0
id-355020,rec-355020-dup-0
rec-339867-dup-0,rec-339867-dup-1
id-2900041,rec-2900041-dup-0
id-1036198,rec-1036198-dup-0
id-602259,rec-602259-dup-0
id-27390,rec-27390-dup-0
rec-312282-dup-1,rec-312282-dup-0
rec-46623-dup-0,rec-46623-dup-1
id-1560649,rec-1560649-dup-0
id-2615580,rec-2615580-dup-1
id-995117,rec-995117-dup-0
id-568154,rec-568154-dup-0
id-690019,rec-690019-dup-1
id-269377,rec-269377-dup-0
id-648669,rec-648669-dup-0
rec-311064-dup-0,rec-311064-dup-1
id-2744269,rec-2744269-dup-0
rec-544376-dup-0,rec-544376-dup-1
id-981181,rec-981181-dup-1
id-2495401,rec-2495401-dup-1
id-208396,rec-208396-dup-0
id-1178669,rec-1178669-dup-0
id-1111539,rec-1111539-dup-0
rec-6807-dup-0,rec-6807-dup-1
id-1072749,rec-1072749-dup-0
id-1135132,rec-1135132-dup-0
id-833505,rec-833505-dup-1
rec-392023-dup-0,rec-392023-dup-1
id-193953,rec-193953-dup-0
id-706106,rec-706106-dup-0
rec-1167123-dup-0,rec-1167123-dup-1
id-233515,rec-233515-dup-0
id-2978053,rec-2978053-dup-0
id-462276,rec-462276-dup-0
id-1008754,rec-1008754-dup-0
rec-1246846-dup-1,rec-1246846-dup-0
id-1057976,rec-1057976-dup-0
id-306284,rec-306284-dup-1
id-1127067,rec-1127067-dup-0
rec-993731-dup-0,rec-993731-dup-1
id-701752,rec-701752-dup-0
id-1001533,rec-1001533-dup-0
id-1112291,rec-1112291-dup-0
rec-1308391-dup-1,rec-1308391-dup-0
id-311064,rec-311064-dup-1
id-1294177,rec-1294177-dup-1
id-1030741,rec-1030741-dup-0
id-340560,rec-340560-dup-1
id-834974,rec-834974-dup-0
id-586724,rec-586724-dup-1
id-2495033,rec-2495033-dup-1
id-2898624,rec-2898624-dup-1
rec-998670-dup-0,rec-998670-dup-1
id-586724,rec-586724-dup-0
id-895504,rec-895504-dup-1
id-969296,rec-969296-dup-0
id-325592,rec-325592-dup-0
id-772597,rec-772597-dup-1
id-1272670,rec-1272670-dup-1
id-416167,rec-416167-dup-1
id-171851,rec-171851-dup-0
id-701429,rec-701429-dup-0
id-801918,rec-801918-dup-0
rec-276659-dup-1,rec-276659-dup-0
id-1127067,rec-1127067-dup-1
rec-783302-dup-0,rec-783302-dup-1
rec-1378078-dup-0,rec-1378078-dup-1
id-238317,rec-238317-dup-1
rec-796571-dup-0,rec-796571-dup-1
id-833505,rec-833505-dup-0
rec-312282-dup-0,rec-312282-dup-1
rec-1291429-dup-0,rec-1291429-dup-1
rec-801293-dup-1,rec-801293-dup-0
id-855474,rec-855474-dup-0
id-978734,rec-978734-dup-0
id-645793,rec-645793-dup-0
rec-923786-dup-0,rec-923786-dup-1
id-690365,rec-690365-dup-0
rec-2978053-dup-1,rec-2978053-dup-0
id-2117334,rec-2117334-dup-0
rec-958313-dup-0,rec-958313-dup-1
id-641442,rec-641442-dup-1
id-1900974,rec-1900974-dup-0
id-800150,rec-800150-dup-0
id-743786,rec-743786-dup-0
rec-568154-dup-0,rec-568154-dup-1
id-993373,rec-993373-dup-1
id-540365,rec-540365-dup-1
id-2266540,rec-2266540-dup-0
rec-1237392-dup-0,rec-1237392-dup-1
rec-1072749-dup-1,rec-1072749-dup-0
id-653999,rec-653999-dup-0
rec-1052393-dup-1,rec-1052393-dup-0
rec-8589-dup-0,rec-8589-dup-1
id-681653,rec-681653-dup-1
rec-412673-dup-1,rec-412673-dup-0
id-27538,rec-27538-dup-0
id-641442,rec-641442-dup-0
id-869691,rec-869691-dup-0
id-557393,rec-557393-dup-1
id-1290541,rec-1290541-dup-0
id-669517,rec-669517-dup-0
rec-557393-dup-0,rec-557393-dup-1
rec-2978053-dup-0,rec-2978053-dup-1
rec-595774-dup-1,rec-595774-dup-0
id-314420,rec-314420-dup-1
id-462276,rec-462276-dup-1
id-822722,rec-822722-dup-1
id-1302294,rec-1302294-dup-0
id-2898624,rec-2898624-dup-0
id-1059395,rec-1059395-dup-0
rec-1900086-dup-1,rec-1900086-dup-0
rec-1001533-dup-0,rec-1001533-dup-1
id-1503839,rec-1503839-dup-0
id-1111539,rec-1111539-dup-1
id-1028990,rec-1028990-dup-0
rec-1294177-dup-0,rec-1294177-dup-1
rec-933542-dup-1,rec-933542-dup-0
id-1196456,rec-1196456-dup-1
id-1074693,rec-1074693-dup-0
rec-990992-dup-1,rec-990992-dup-0
rec-757471-dup-0,rec-757471-dup-1
id-917085,rec-917085-dup-0
id-991544,rec-991544-dup-0
