1,2
id-12103172,rec-12103172-dup-0
rec-32665958-dup-0,rec-32665958-dup-1
rec-3957600-dup-1,rec-3957600-dup-0
rec-10240561-dup-0,rec-10240561-dup-1
id-3552676,rec-3552676-dup-0
id-4120808,rec-4120808-dup-0
id-5921223,rec-5921223-dup-1
id-9295999,rec-9295999-dup-1
rec-8331939-dup-0,rec-8331939-dup-1
id-4423215,rec-4423215-dup-0
id-12770041,rec-12770041-dup-0
rec-7409243-dup-0,rec-7409243-dup-1
id-9540657,rec-9540657-dup-0
id-9375562,rec-9375562-dup-1
id-5353657,rec-5353657-dup-1
id-9619112,rec-9619112-dup-0
rec-6923731-dup-0,rec-6923731-dup-1
id-1891449,rec-1891449-dup-0
rec-5630181-dup-1,rec-5630181-dup-0
rec-10635711-dup-1,rec-10635711-dup-0
rec-4121742-dup-1,rec-4121742-dup-0
rec-6444591-dup-0,rec-6444591-dup-1
rec-14612578-dup-0,rec-14612578-dup-1
rec-7515972-dup-0,rec-7515972-dup-1
id-59585,rec-59585-dup-0
id-32699536,rec-32699536-dup-0
id-4502516,rec-4502516-dup-0
id-14849177,rec-14849177-dup-0
id-14605606,rec-14605606-dup-1
id-8436442,rec-8436442-dup-0
id-2529294,rec-2529294-dup-0
id-3041429,rec-3041429-dup-1
id-15211089,rec-15211089-dup-0
id-6473818,rec-6473818-dup-0
rec-12248901-dup-0,rec-12248901-dup-1
rec-6312191-dup-1,rec-6312191-dup-0
id-1408654,rec-1408654-dup-0
id-7457238,rec-7457238-dup-0
id-10803285,rec-10803285-dup-0
id-10118636,rec-10118636-dup-0
rec-15273514-dup-0,rec-15273514-dup-1
id-27629996,rec-27629996-dup-0
id-11418614,rec-11418614-dup-0
rec-10749357-dup-0,rec-10749357-dup-1
id-5968336,rec-5968336-dup-0
id-1060324,rec-1060324-dup-0
id-10635711,rec-10635711-dup-0
rec-13031354-dup-1,rec-13031354-dup-0
id-13048799,rec-13048799-dup-1
id-13051222,rec-13051222-dup-1
id-737106,rec-737106-dup-0
id-6312191,rec-6312191-dup-1
id-10712759,rec-10712759-dup-0
id-9631325,rec-9631325-dup-0
id-5508650,rec-5508650-dup-0
id-27567303,rec-27567303-dup-0
rec-7851490-dup-0,rec-7851490-dup-1
id-16793883,rec-16793883-dup-0
rec-7542089-dup-0,rec-7542089-dup-1
id-30727450,rec-30727450-dup-1
id-12844564,rec-12844564-dup-0
id-8824969,rec-8824969-dup-0
rec-9836040-dup-0,rec-9836040-dup-1
rec-11243954-dup-1,rec-11243954-dup-0
id-7528956,rec-7528956-dup-0
id-14468159,rec-14468159-dup-0
id-9350421,rec-9350421-dup-1
rec-13048799-dup-1,rec-13048799-dup-0
rec-6546312-dup-1,rec-6546312-dup-0
id-15211089,rec-15211089-dup-1
id-4973773,rec-4973773-dup-1
id-11056586,rec-11056586-dup-0
id-15321205,rec-15321205-dup-0
rec-8503734-dup-1,rec-8503734-dup-0
id-13753013,rec-13753013-dup-0
rec-37721843-dup-0,rec-37721843-dup-1
rec-11144312-dup-0,rec-11144312-dup-1
rec-7828095-dup-0,rec-7828095-dup-1
rec-5951877-dup-0,rec-5951877-dup-1
id-5184180,rec-5184180-dup-0
rec-3107942-dup-1,rec-3107942-dup-0
id-5455333,rec-5455333-dup-0
rec-15343170-dup-0,rec-15343170-dup-1
rec-2970938-dup-0,rec-2970938-dup-1
rec-4147402-dup-0,rec-4147402-dup-1
rec-10002487-dup-0,rec-10002487-dup-1
rec-703497-dup-1,rec-703497-dup-0
id-2305340,rec-2305340-dup-0
rec-6913356-dup-0,rec-6913356-dup-1
rec-3411987-dup-1,rec-3411987-dup-0
id-2987042,rec-2987042-dup-0
rec-14495964-dup-0,rec-14495964-dup-1
id-14147458,rec-14147458-dup-0
rec-10229118-dup-1,rec-10229118-dup-0
id-9184003,rec-9184003-dup-1
id-13031354,rec-13031354-dup-1
id-6900082,rec-6900082-dup-0
id-3119477,rec-3119477-dup-0
rec-5630181-dup-0,rec-5630181-dup-1
rec-13224845-dup-0,rec-13224845-dup-1
rec-18305098-dup-1,rec-18305098-dup-0
id-27581591,rec-27581591-dup-1
rec-72679-dup-1,rec-72679-dup-0
id-10095747,rec-10095747-dup-1
id-1668913,rec-1668913-dup-0
id-15449866,rec-15449866-dup-0
rec-4431613-dup-0,rec-4431613-dup-1
id-5403932,rec-5403932-dup-1
id-13177807,rec-13177807-dup-0
id-10005699,rec-10005699-dup-0
rec-2241378-dup-1,rec-2241378-dup-0
id-28946432,rec-28946432-dup-1
rec-4844897-dup-0,rec-4844897-dup-1
id-10749357,rec-10749357-dup-0
rec-13224845-dup-1,rec-13224845-dup-0
id-8526002,rec-8526002-dup-0
id-1172559,rec-1172559-dup-0
id-10318651,rec-10318651-dup-1
rec-5403932-dup-1,rec-5403932-dup-0
id-13314420,rec-13314420-dup-0
id-3978988,rec-3978988-dup-1
rec-9815511-dup-1,rec-9815511-dup-0
rec-17832683-dup-1,rec-17832683-dup-0
id-7828095,rec-7828095-dup-0
id-12248901,rec-12248901-dup-0
id-13753013,rec-13753013-dup-1
id-6964872,rec-6964872-dup-0
rec-12400937-dup-1,rec-12400937-dup-0
id-4709329,rec-4709329-dup-0
id-32665958,rec-32665958-dup-0
id-4121742,rec-4121742-dup-1
rec-34263135-dup-0,rec-34263135-dup-1
id-3858567,rec-3858567-dup-0
id-2143910,rec-2143910-dup-0
rec-2747600-dup-1,rec-2747600-dup-0
id-6794530,rec-6794530-dup-1
id-14605606,rec-14605606-dup-0
id-5615661,rec-5615661-dup-0
id-1789084,rec-1789084-dup-0
id-7278684,rec-7278684-dup-0
id-4455395,rec-4455395-dup-0
id-25371211,rec-25371211-dup-0
id-9688737,rec-9688737-dup-1
id-5247721,rec-5247721-dup-0
id-15477227,rec-15477227-dup-1
rec-393576-dup-0,rec-393576-dup-1
rec-16569862-dup-1,rec-16569862-dup-0
id-8503734,rec-8503734-dup-0
rec-11056586-dup-1,rec-11056586-dup-0
id-3107942,rec-3107942-dup-0
id-12209806,rec-12209806-dup-1
rec-2747600-dup-0,rec-2747600-dup-1
id-1060324,rec-1060324-dup-1
rec-4146272-dup-1,rec-4146272-dup-0
id-28209871,rec-28209871-dup-0
rec-9400810-dup-1,rec-9400810-dup-0
rec-11036317-dup-1,rec-11036317-dup-0
id-6794530,rec-6794530-dup-0
id-34263135,rec-34263135-dup-0
rec-32698078-dup-0,rec-32698078-dup-1
rec-4120808-dup-0,rec-4120808-dup-1
id-7548845,rec-7548845-dup-0
rec-34274710-dup-1,rec-34274710-dup-0
rec-9295999-dup-1,rec-9295999-dup-0
id-9214036,rec-9214036-dup-0
id-37721843,rec-37721843-dup-1
id-2926104,rec-2926104-dup-0
id-6715275,rec-6715275-dup-0
id-9400810,rec-9400810-dup-0
id-10681717,rec-10681717-dup-0
id-35841171,rec-35841171-dup-0
id-4740874,rec-4740874-dup-0
id-3344000,rec-3344000-dup-0
id-3930605,rec-3930605-dup-0
id-12010736,rec-12010736-dup-0
id-5800600,rec-5800600-dup-0
id-34298810,rec-34298810-dup-0
id-10635711,rec-10635711-dup-1
id-6229010,rec-6229010-dup-1
id-8454992,rec-8454992-dup-0
rec-9400810-dup-0,rec-9400810-dup-1
rec-9688737-dup-1,rec-9688737-dup-0
id-11999526,rec-11999526-dup-0
rec-23077013-dup-1,rec-23077013-dup-0
id-11102857,rec-11102857-dup-0
rec-3926751-dup-1,rec-3926751-dup-0
id-14605333,rec-14605333-dup-0
rec-5854110-dup-1,rec-5854110-dup-0
id-4147402,rec-4147402-dup-0
id-6229010,rec-6229010-dup-0
id-6224110,rec-6224110-dup-1
rec-2231833-dup-1,rec-2231833-dup-0
id-14156450,rec-14156450-dup-0
id-3157571,rec-3157571-dup-1
id-3779535,rec-3779535-dup-0
rec-9251669-dup-0,rec-9251669-dup-1
id-6923731,rec-6923731-dup-0
id-10756391,rec-10756391-dup-0
id-8449595,rec-8449595-dup-0
id-5000894,rec-5000894-dup-1
rec-37715933-dup-0,rec-37715933-dup-1
rec-10229118-dup-0,rec-10229118-dup-1
id-27557325,rec-27557325-dup-0
id-4855532,rec-4855532-dup-1
id-6005063,rec-6005063-dup-0
id-10318651,rec-10318651-dup-0
id-24411946,rec-24411946-dup-0
id-7892965,rec-7892965-dup-0
rec-8526002-dup-0,rec-8526002-dup-1
rec-28946432-dup-0,rec-28946432-dup-1
id-29484777,rec-29484777-dup-0
rec-4973773-dup-1,rec-4973773-dup-0
rec-12151457-dup-0,rec-12151457-dup-1
rec-3333571-dup-0,rec-3333571-dup-1
rec-37736126-dup-0,rec-37736126-dup-1
rec-8436442-dup-0,rec-8436442-dup-1
id-31381714,rec-31381714-dup-0
id-10739979,rec-10739979-dup-1
id-9836040,rec-9836040-dup-1
rec-148130-dup-0,rec-148130-dup-1
id-6365903,rec-6365903-dup-0
id-8503734,rec-8503734-dup-1
id-5596051,rec-5596051-dup-0
id-9350421,rec-9350421-dup-0
id-11003963,rec-11003963-dup-0
id-11465737,rec-11465737-dup-0
id-9340443,rec-9340443-dup-0
id-34231801,rec-34231801-dup-0
id-393576,rec-393576-dup-0
rec-5367938-dup-1,rec-5367938-dup-0
