artist_credit,name,artist_count,ref_count,created
id-462339,Jolynn Murray,1,16,2011-05-16 163211.963929+00
id-721028,Kadenza,1,14,2011-05-16 163211.963929+00
id-511215,Tommie Jenkins,1,28,2011-05-16 163211.963929+00
id-728519,Tweety,1,36,2011-05-16 163211.963929+00
id-1123031,Kid Enigma,1,20,2013-02-05 104058.33854+00
id-225785,Bogus Blimp,1,95,2011-05-16 163211.963929+00
id-2000734,Billy Kay,1,37,2017-05-14 173126.565025+00
id-728511,Oh My Stars,1,26,2011-05-16 163211.963929+00
id-758257,Fumes Of Decay,1,30,2011-05-16 163211.963929+00
id-58474,Treasure 2,1,28,2011-05-16 163211.963929+00
id-94766,Uneven Surface,1,8,2011-05-16 163211.963929+00
id-175605,Rhythm of Black Lines,1,52,2011-05-16 163211.963929+00
id-1200654,Thrash,1,6,2013-08-03 034104.2846+00
id-588655,Polska,1,84,2011-05-16 163211.963929+00
id-1181871,Murder Cafe,1,4,2013-06-23 222144.020788+00
id-316878,Christopher Kah,1,65,2011-05-16 163211.963929+00
rec-766350-dup-0,Tye Pins,1,12,2011-05-16 163211.963929+00
id-382495,2terror Crew,1,14,2011-05-16 163211.963929+00
id-484282,Ein Stück heile Welt,1,53,2011-05-16 163211.963929+00
id-761083,Eddie Hickey,1,22,2011-05-16 163211.963929+00
rec-526233-dup-0,Ruben Majcias,1,10,2011-05-16 163211.963929+00
id-945427,$kip,1,4,2012-02-16 104059.644074+00
rec-318587-dup-0,Halflught,1,44,2011-05-16 163211.963929+00
id-961857,John Nathaniel  Eric Speed,2,4,2012-03-28 132626.094739+00
id-336724,Sun Sun Sun,1,29,2011-05-16 163211.963929+00
id-1396248,Nunc Est Bibendum Apraxie Pizzza  Tête de cerf,4,2,2014-12-01 153343.632841+00
id-486820,Potter Puppet Pals,1,11,2011-05-16 163211.963929+00
id-1074362,Deerpeople,1,61,2012-10-31 015811.589333+00
id-1097991,Positive Energy,1,22,2012-12-17 225818.256462+00
id-3221359,Hyperverb,1,11,2022-02-07 214336.855113+00
id-1617535,Materia Collective,1,126,2016-02-28 141923.40875+00
id-965766,Le Babar,1,51,2012-04-05 090805.643955+00
id-2144970,Industria del Amor,1,156,2018-01-14 201614.274665+00
id-704533,Hot Vamp Club,1,8,2011-05-16 163211.963929+00
id-1241635,King of Bones,1,26,2013-11-24 200026.591979+00
id-2394607,Rajalakshmee Sanjay,1,8,2019-03-26 194826.142036+00
id-48064,Kimball  Dekkard,1,14,2011-05-16 163211.963929+00
id-960454,Anix Gleo,1,16,2012-03-25 020709.491644+00
id-487412,Accidental Angels,1,8,2011-05-16 163211.963929+00
id-185142,The Chase,1,42,2011-05-16 163211.963929+00
rec-1210277-dup-0,Acra,1,8,2013-08-27 110459.11572+00
id-314704,S. Zeilenga,1,52,2011-05-16 163211.963929+00
id-158615,David Harness,1,17,2011-05-16 163211.963929+00
id-200033,Knock Knock Ginger,1,14,2011-05-16 163211.963929+00
id-2934898,Palafico,1,4,2021-02-21 173853.95492+00
id-2347326,Oppressed by the Line,1,59,2019-01-16 190019.805035+00
id-1317381,Nuclear Strikes,1,14,2014-05-22 074204.317779+00
id-366692,Jewels Newton,1,4,2011-05-16 163211.963929+00
rec-245684-dup-0,CosinePatallel,1,12,2011-05-16 163211.963929+00
id-408248,Blero,1,6,2011-05-16 163211.963929+00
id-713134,Into the White,1,14,2011-05-16 163211.963929+00
rec-720230-dup-0,Me and Msrk,1,10,2011-05-16 163211.963929+00
rec-720230-dup-1,Me and Marl<,1,10,2011-05-16 163211.963929+00
id-685212,Gray Ghost,1,38,2011-05-16 163211.963929+00
id-295463,Caroline Soul,1,32,2011-05-16 163211.963929+00
id-1044477,Baby Einstein,1,12,2012-09-03 002505.760567+00
id-942648,The Dawns,1,12,2012-02-10 082732.75468+00
id-3006120,1000 Beasts feat. Alex Tierney,2,4,2021-05-19 131806.944347+00
id-1480907,Toochie Loc,1,8,2015-05-24 192911.822014+00
id-202758,The Cooperettes,1,25,2011-05-16 163211.963929+00
id-177352,Gary Mills,1,10,2011-05-16 163211.963929+00
id-453760,Gui.tar,1,24,2011-05-16 163211.963929+00
id-1351037,Global Journey,1,118,2014-08-17 144126.191324+00
id-1214393,Marcos Lamy,1,14,2013-09-08 121733.027937+00
id-500062,Alex Jacobowitz,1,157,2011-05-16 163211.963929+00
id-250569,Kuya Lu,1,16,2011-05-16 163211.963929+00
id-736575,Hovatron,1,30,2011-05-16 163211.963929+00
id-1582427,Sonny Burgess,1,72,2015-12-20 021728.171931+00
id-50211,The Vessels,1,50,2011-05-16 163211.963929+00
rec-276364-dup-0,Christime Levine,1,36,2011-05-16 163211.963929+00
rec-276364-dup-1,Chnstine Levine,1,36,2011-05-16 163211.963929+00
id-300446,Cybralgy,1,18,2011-05-16 163211.963929+00
rec-261746-dup-0,Oswin Chin Bebilia,1,28,2011-05-16 163211.963929+00
id-2443333,Brownie McGhee  Sonny Terry,1,252,2019-06-15 005857.819613+00
id-1218392,Robert Slap  Suzanne Ghiglia,2,12,2013-09-19 140021.418741+00
id-139351,Dark Eve Rising,1,8,2011-05-16 163211.963929+00
id-2649588,Bryan Popin  Tasha Page-Lockhart,2,4,2020-03-13 174416.099079+00
id-577310,Nox,1,20,2011-05-16 163211.963929+00
id-695618,Kontakte,1,110,2011-05-16 163211.963929+00
id-636124,Lidlifter,1,32,2011-05-16 163211.963929+00
id-873475,Mano Ezoh,1,22,2011-10-23 100617.951655+00
id-531217,Jens-Peter Ostendorf,1,8,2011-05-16 163211.963929+00
id-442324,Paul Isley,1,14,2011-05-16 163211.963929+00
rec-582887-dup-1,Illzjlla,1,6,2011-05-16 163211.963929+00
id-711069,Ihsan Rmiki  Ensemble Al-Jûd,1,6,2011-05-16 163211.963929+00
id-951859,Jeanne Tanzy,1,6,2012-03-02 151221.443316+00
id-120813,Dedringer,1,54,2011-05-16 163211.963929+00
id-811120,Mach FoX  Derex,2,14,2011-05-16 163211.963929+00
id-2810976,Bratter,1,62,2020-09-25 212126.743003+00
id-699044,Surfin Wagner,1,10,2011-05-16 163211.963929+00
id-1371278,Kasbo,1,118,2014-09-28 115341.838214+00
id-3152272,Shams Thirani / Tony Monaco,2,2,2021-11-17 214401.044476+00
id-522297,Jessie Warner,1,4,2011-05-16 163211.963929+00
id-578590,a Crack in Time and the Break of Dawn,1,8,2011-05-16 163211.963929+00
id-665411,ZeBrick,1,40,2011-05-16 163211.963929+00
id-973582,Les Hooper Big Band,1,64,2012-04-21 190142.663652+00
id-139971,Ray Polanco,1,38,2011-05-16 163211.963929+00
id-785883,Hypnosis Rainbow,1,12,2011-05-16 163211.963929+00
id-160296,Knight Phantom,1,26,2011-05-16 163211.963929+00
id-160291,Fluxland,1,46,2011-05-16 163211.963929+00
id-352501,Metal Mareny,1,62,2011-05-16 163211.963929+00
id-867096,Leland Jazz Radburn,1,4,2011-10-08 072742.308094+00
id-2376458,The Effex feat. YV Xeno,2,4,2019-02-28 151403.189149+00
id-827925,Foreshore,1,12,2011-06-10 104107.119555+00
id-71232,The New Age,1,10,2011-05-16 163211.963929+00
id-984718,House Crew,1,12,2012-05-14 015111.040274+00
id-1321587,DeckaJam,1,62,2014-06-02 114051.062637+00
id-413515,Gary Murray,1,14,2011-05-16 163211.963929+00
id-322625,MAM,1,80,2011-05-16 163211.963929+00
id-1143608,Neonherz,1,6,2013-03-25 122521.062169+00
id-514489,Dead in Existence,1,10,2011-05-16 163211.963929+00
