1,2
rec-1210854-dup-0,rec-1210854-dup-1
rec-625691-dup-1,rec-625691-dup-0
id-673179,rec-673179-dup-1
rec-604980-dup-0,rec-604980-dup-1
rec-646571-dup-1,rec-646571-dup-0
rec-444604-dup-0,rec-444604-dup-1
id-456422,rec-456422-dup-0
rec-627804-dup-0,rec-627804-dup-1
rec-1100178-dup-1,rec-1100178-dup-0
rec-766350-dup-0,rec-766350-dup-1
id-702960,rec-702960-dup-0
id-166680,rec-166680-dup-0
id-1114348,rec-1114348-dup-0
rec-6511-dup-0,rec-6511-dup-1
rec-490997-dup-0,rec-490997-dup-1
id-1214808,rec-1214808-dup-0
id-643470,rec-643470-dup-0
id-875363,rec-875363-dup-0
id-14263,rec-14263-dup-0
id-534253,rec-534253-dup-0
id-375147,rec-375147-dup-0
id-1480907,rec-1480907-dup-0
rec-320376-dup-1,rec-320376-dup-0
id-500449,rec-500449-dup-0
rec-742370-dup-0,rec-742370-dup-1
id-870810,rec-870810-dup-0
rec-101823-dup-0,rec-101823-dup-1
id-697927,rec-697927-dup-0
id-788512,rec-788512-dup-1
id-1394664,rec-1394664-dup-0
id-1023476,rec-1023476-dup-0
id-534433,rec-534433-dup-0
id-1342405,rec-1342405-dup-0
rec-434691-dup-1,rec-434691-dup-0
id-526606,rec-526606-dup-1
rec-1319506-dup-1,rec-1319506-dup-0
id-698271,rec-698271-dup-0
id-801925,rec-801925-dup-0
id-106428,rec-106428-dup-0
id-650667,rec-650667-dup-1
id-227059,rec-227059-dup-0
id-1509390,rec-1509390-dup-0
id-723550,rec-723550-dup-0
rec-956061-dup-0,rec-956061-dup-1
rec-759752-dup-1,rec-759752-dup-0
id-166170,rec-166170-dup-0
id-983714,rec-983714-dup-0
id-752528,rec-752528-dup-0
rec-607449-dup-0,rec-607449-dup-1
rec-745196-dup-1,rec-745196-dup-0
id-1207155,rec-1207155-dup-0
rec-397215-dup-1,rec-397215-dup-0
id-170360,rec-170360-dup-0
id-2193977,rec-2193977-dup-0
id-1194340,rec-1194340-dup-0
id-511473,rec-511473-dup-1
id-169305,rec-169305-dup-1
id-698808,rec-698808-dup-0
rec-1049354-dup-0,rec-1049354-dup-1
id-188387,rec-188387-dup-0
id-2451264,rec-2451264-dup-0
id-2211375,rec-2211375-dup-0
rec-2635591-dup-0,rec-2635591-dup-1
id-216007,rec-216007-dup-0
rec-397215-dup-0,rec-397215-dup-1
rec-506528-dup-0,rec-506528-dup-1
rec-63089-dup-1,rec-63089-dup-0
rec-187469-dup-1,rec-187469-dup-0
id-496825,rec-496825-dup-0
rec-141615-dup-0,rec-141615-dup-1
rec-870810-dup-0,rec-870810-dup-1
id-759752,rec-759752-dup-0
rec-324972-dup-0,rec-324972-dup-1
rec-584545-dup-1,rec-584545-dup-0
rec-753386-dup-1,rec-753386-dup-0
id-478944,rec-478944-dup-0
id-3001101,rec-3001101-dup-0
rec-1213587-dup-1,rec-1213587-dup-0
rec-566756-dup-1,rec-566756-dup-0
id-799410,rec-799410-dup-0
rec-638548-dup-0,rec-638548-dup-1
rec-244753-dup-1,rec-244753-dup-0
rec-76323-dup-0,rec-76323-dup-1
id-894660,rec-894660-dup-0
rec-804336-dup-0,rec-804336-dup-1
rec-397915-dup-0,rec-397915-dup-1
id-670151,rec-670151-dup-1
rec-2934809-dup-0,rec-2934809-dup-1
id-76323,rec-76323-dup-1
id-599497,rec-599497-dup-0
rec-726108-dup-1,rec-726108-dup-0
id-592685,rec-592685-dup-0
rec-487874-dup-1,rec-487874-dup-0
id-651722,rec-651722-dup-0
id-1213588,rec-1213588-dup-0
id-142903,rec-142903-dup-0
id-1317722,rec-1317722-dup-0
id-210517,rec-210517-dup-1
rec-1321985-dup-1,rec-1321985-dup-0
id-1731901,rec-1731901-dup-1
id-166170,rec-166170-dup-1
id-487874,rec-487874-dup-1
id-166500,rec-166500-dup-0
rec-1413500-dup-1,rec-1413500-dup-0
rec-724751-dup-0,rec-724751-dup-1
id-2648384,rec-2648384-dup-0
rec-620371-dup-0,rec-620371-dup-1
rec-397885-dup-0,rec-397885-dup-1
rec-478944-dup-1,rec-478944-dup-0
id-397185,rec-397185-dup-0
rec-735680-dup-0,rec-735680-dup-1
id-578511,rec-578511-dup-0
id-2074660,rec-2074660-dup-1
id-666210,rec-666210-dup-0
id-745306,rec-745306-dup-0
id-378491,rec-378491-dup-0
id-271195,rec-271195-dup-0
id-460581,rec-460581-dup-0
rec-932393-dup-0,rec-932393-dup-1
id-3976,rec-3976-dup-0
rec-772827-dup-1,rec-772827-dup-0
rec-827490-dup-0,rec-827490-dup-1
rec-827490-dup-1,rec-827490-dup-0
rec-544658-dup-0,rec-544658-dup-1
rec-303873-dup-1,rec-303873-dup-0
rec-2269233-dup-1,rec-2269233-dup-0
id-478944,rec-478944-dup-1
id-244753,rec-244753-dup-0
rec-686342-dup-1,rec-686342-dup-0
rec-96460-dup-1,rec-96460-dup-0
id-1297117,rec-1297117-dup-0
id-611829,rec-611829-dup-0
rec-695320-dup-0,rec-695320-dup-1
id-304809,rec-304809-dup-0
id-1119401,rec-1119401-dup-1
rec-686342-dup-0,rec-686342-dup-1
rec-294747-dup-1,rec-294747-dup-0
rec-940097-dup-0,rec-940097-dup-1
rec-1214680-dup-0,rec-1214680-dup-1
id-1445944,rec-1445944-dup-0
id-733832,rec-733832-dup-0
id-317724,rec-317724-dup-0
id-384595,rec-384595-dup-0
rec-68216-dup-0,rec-68216-dup-1
id-753386,rec-753386-dup-1
id-742370,rec-742370-dup-0
rec-684881-dup-1,rec-684881-dup-0
id-547342,rec-547342-dup-0
rec-684881-dup-0,rec-684881-dup-1
id-444604,rec-444604-dup-1
id-634400,rec-634400-dup-0
rec-210517-dup-0,rec-210517-dup-1
id-801925,rec-801925-dup-1
id-3202711,rec-3202711-dup-0
rec-870810-dup-1,rec-870810-dup-0
id-1042987,rec-1042987-dup-0
id-170132,rec-170132-dup-0
rec-739608-dup-0,rec-739608-dup-1
rec-218966-dup-1,rec-218966-dup-0
id-406976,rec-406976-dup-0
rec-210517-dup-1,rec-210517-dup-0
rec-593105-dup-0,rec-593105-dup-1
id-785933,rec-785933-dup-0
rec-310946-dup-1,rec-310946-dup-0
id-2635591,rec-2635591-dup-0
id-617247,rec-617247-dup-0
rec-969285-dup-0,rec-969285-dup-1
rec-241603-dup-0,rec-241603-dup-1
id-42836,rec-42836-dup-0
id-1636224,rec-1636224-dup-0
id-620371,rec-620371-dup-0
id-320376,rec-320376-dup-0
id-1110094,rec-1110094-dup-1
id-1636224,rec-1636224-dup-1
rec-735680-dup-1,rec-735680-dup-0
rec-1224590-dup-1,rec-1224590-dup-0
id-534433,rec-534433-dup-1
