1,2
id-910977,rec-910977-dup-0
id-1146278,rec-1146278-dup-0
id-1174902,rec-1174902-dup-0
id-944454,rec-944454-dup-0
id-1099699,rec-1099699-dup-0
id-973994,rec-973994-dup-0
id-2982673,rec-2982673-dup-0
id-1209602,rec-1209602-dup-0
id-1377095,rec-1377095-dup-0
id-2246768,rec-2246768-dup-0
id-967520,rec-967520-dup-0
id-1217791,rec-1217791-dup-0
id-464963,rec-464963-dup-0
id-480367,rec-480367-dup-0
id-878156,rec-878156-dup-0
id-859570,rec-859570-dup-0
id-1186895,rec-1186895-dup-0
id-1173169,rec-1173169-dup-0
id-654111,rec-654111-dup-0
id-714959,rec-714959-dup-0
id-886878,rec-886878-dup-0
id-3085831,rec-3085831-dup-0
id-460036,rec-460036-dup-0
id-446815,rec-446815-dup-0
id-3651777,rec-3651777-dup-0
id-2552616,rec-2552616-dup-0
id-979343,rec-979343-dup-0
id-1705584,rec-1705584-dup-0
id-1365145,rec-1365145-dup-0
id-807211,rec-807211-dup-0
id-1088883,rec-1088883-dup-0
id-928050,rec-928050-dup-0
id-702882,rec-702882-dup-0
id-1368224,rec-1368224-dup-0
id-88696,rec-88696-dup-0
id-2107312,rec-2107312-dup-0
id-1603678,rec-1603678-dup-0
id-866746,rec-866746-dup-0
id-939752,rec-939752-dup-0
id-741582,rec-741582-dup-0
id-3259553,rec-3259553-dup-0
id-1363983,rec-1363983-dup-0
id-103422,rec-103422-dup-0
id-934782,rec-934782-dup-0
id-1239070,rec-1239070-dup-0
id-2105273,rec-2105273-dup-0
id-569861,rec-569861-dup-0
id-774438,rec-774438-dup-0
id-1294011,rec-1294011-dup-0
id-3652770,rec-3652770-dup-0
id-1117728,rec-1117728-dup-0
id-978896,rec-978896-dup-0
id-982755,rec-982755-dup-0
id-2459366,rec-2459366-dup-0
id-1140215,rec-1140215-dup-0
id-1244468,rec-1244468-dup-0
id-939562,rec-939562-dup-0
id-951524,rec-951524-dup-0
id-1246072,rec-1246072-dup-0
id-760588,rec-760588-dup-0
id-1386459,rec-1386459-dup-0
id-1333601,rec-1333601-dup-0
id-1349390,rec-1349390-dup-0
id-823850,rec-823850-dup-0
id-1230111,rec-1230111-dup-0
id-584534,rec-584534-dup-0
id-169117,rec-169117-dup-0
id-1010354,rec-1010354-dup-0
id-919480,rec-919480-dup-0
id-924873,rec-924873-dup-0
id-241323,rec-241323-dup-0
id-660860,rec-660860-dup-0
rec-1237821-dup-0,rec-1237821-dup-1
id-962051,rec-962051-dup-0
id-897927,rec-897927-dup-0
id-1193762,rec-1193762-dup-0
id-1278725,rec-1278725-dup-0
id-738370,rec-738370-dup-0
id-353227,rec-353227-dup-0
id-928542,rec-928542-dup-0
id-418862,rec-418862-dup-0
id-243998,rec-243998-dup-0
id-823088,rec-823088-dup-0
id-921296,rec-921296-dup-0
id-524999,rec-524999-dup-0
id-214735,rec-214735-dup-0
id-926825,rec-926825-dup-0
id-735738,rec-735738-dup-0
id-1190465,rec-1190465-dup-0
id-985527,rec-985527-dup-0
id-1284120,rec-1284120-dup-0
id-555443,rec-555443-dup-0
id-924568,rec-924568-dup-0
id-144943,rec-144943-dup-0
id-452943,rec-452943-dup-0
id-184019,rec-184019-dup-0
id-851113,rec-851113-dup-0
id-680258,rec-680258-dup-0
id-535349,rec-535349-dup-0
id-612521,rec-612521-dup-0
id-702952,rec-702952-dup-0
id-711716,rec-711716-dup-0
id-783385,rec-783385-dup-0
id-712142,rec-712142-dup-0
id-1035580,rec-1035580-dup-0
id-2692544,rec-2692544-dup-0
id-458009,rec-458009-dup-0
id-110503,rec-110503-dup-0
id-339551,rec-339551-dup-0
id-1232333,rec-1232333-dup-0
id-1184483,rec-1184483-dup-0
id-2751363,rec-2751363-dup-0
id-927853,rec-927853-dup-0
id-1247552,rec-1247552-dup-0
id-1492467,rec-1492467-dup-0
id-301808,rec-301808-dup-0
id-853047,rec-853047-dup-0
id-76791,rec-76791-dup-0
id-1069185,rec-1069185-dup-0
id-682358,rec-682358-dup-0
id-322992,rec-322992-dup-0
id-1144664,rec-1144664-dup-0
id-589840,rec-589840-dup-0
id-1616952,rec-1616952-dup-0
id-1245086,rec-1245086-dup-0
id-372410,rec-372410-dup-0
id-1374330,rec-1374330-dup-0
id-705050,rec-705050-dup-0
id-1237821,rec-1237821-dup-0
id-801509,rec-801509-dup-0
id-653894,rec-653894-dup-0
id-3258299,rec-3258299-dup-0
id-785402,rec-785402-dup-0
id-3083620,rec-3083620-dup-0
id-869808,rec-869808-dup-0
id-1601762,rec-1601762-dup-0
id-617618,rec-617618-dup-0
id-1087900,rec-1087900-dup-0
id-1130529,rec-1130529-dup-0
id-1214430,rec-1214430-dup-0
id-602296,rec-602296-dup-0
id-951961,rec-951961-dup-0
id-919430,rec-919430-dup-0
id-1269830,rec-1269830-dup-0
id-1156313,rec-1156313-dup-0
id-801025,rec-801025-dup-0
rec-455720-dup-0,rec-455720-dup-1
id-1141129,rec-1141129-dup-0
id-720618,rec-720618-dup-0
id-283172,rec-283172-dup-0
id-422254,rec-422254-dup-0
id-746590,rec-746590-dup-0
id-1157444,rec-1157444-dup-0
id-1328603,rec-1328603-dup-0
id-34324,rec-34324-dup-0
id-735422,rec-735422-dup-0
id-631300,rec-631300-dup-0
id-978469,rec-978469-dup-0
id-1233273,rec-1233273-dup-0
id-1319866,rec-1319866-dup-0
id-3083634,rec-3083634-dup-0
id-1126866,rec-1126866-dup-0
id-335251,rec-335251-dup-0
id-768544,rec-768544-dup-0
id-1185885,rec-1185885-dup-0
id-1237821,rec-1237821-dup-1
id-1423268,rec-1423268-dup-0
id-814943,rec-814943-dup-0
id-273908,rec-273908-dup-0
id-880989,rec-880989-dup-0
id-658600,rec-658600-dup-0
id-688077,rec-688077-dup-0
id-1099218,rec-1099218-dup-0
id-1329377,rec-1329377-dup-0
id-455750,rec-455750-dup-0
id-613401,rec-613401-dup-0
id-86038,rec-86038-dup-0
id-618156,rec-618156-dup-0
id-490115,rec-490115-dup-0
id-2111170,rec-2111170-dup-0
