label,name,label_type,area,ended
id-162198,Paper Music Ltd.,Publisher,,f
rec-169719-dup-0,Paperv'lew,Production,,f
id-189793,Generation HEX,,,f
id-118707,True Colours,Production,,f
id-118700,Ancient Language Records,,,f
id-145394,Architects of Melody Records,,,f
rec-133600-dup-0,Anelia Procl,Original Production,,f
id-206225,Near The Edge Editions,,,f
id-119650,Far Away Records,,,f
id-195678,Soundwave on Duty,,,f
id-153937,Mohofusu Records,Production,,f
id-211835,Long Live Evil,,,f
rec-239116-dup-0,Do Nothihg Records,,,f
rec-215835-dup-0,beat hattalion music,Publisher,id-22961,f
id-200680,Madame Contagious Ltd,,,f
id-59673,Big Time Club,,,f
id-5234,Weton-Wesgram,Production,id-99562,t
id-188206,Village Recorders,Publisher,,f
id-185780,Tight Natural Productions,,,f
id-149244,DUNNO Recordings,,id-501,f
id-127894,Teen Records,,,f
id-246257,Push Music Jamaica Publishing Ltd.,Publisher,,f
id-243115,Arctic,,,f
id-237043,Beauty Fool Records,,,f
id-116946,Graylan Management Ltd.,,,f
id-61041,Planeteer Records,,,f
id-127787,Esselgy Records,,,f
id-159803,He Gave Me Music,Publisher,,f
id-120323,PH 203,Distributor,,f
id-141716,Blueblade Records,,,f
id-21661,Final Hour Entertainment,Original Production,,f
id-188065,Star-Glow Records,,,f
id-126415,Beta Persei,Production,,f
id-204816,Babb Music,Publisher,,f
id-186822,StreetMule,,,f
rec-215434-dup-0,Ripp Cidy Ent.,,,f
id-251836,Grimey Limey,,,f
id-101642,Saliva,,,f
id-205811,Milma Publishing Company,Publisher,,f
id-164912,Twin Bros Music,Publisher,,f
id-121819,Low-Sal Music Co.,,,f
id-182032,Guilhotina,,,f
id-164916,Prince Kay One GmbH,,,f
id-80046,Prolific Dubbs,,,f
rec-72558-dup-0,Crow Hill Publisthing,,,f
id-153028,Easy Listening,,,f
id-201796,Alrealon Musique,Production,,f
rec-228806-dup-0,Fake Ijc.,Original Production,,f
id-153200,Atelier ladybird,,,f
id-191572,IDAP Music,Publisher,,f
id-98291,Wild Pitch Records Ltd.,,,f
id-210014,LNDKHN,,,f
id-228308,Silent Xords,,,f
id-182252,The Old Professors Music,Publisher,id-83858,f
id-74339,Twenty Ten Music,,,f
rec-103378-dup-0,Optical Substance Producti0ns,Original Production,,f
rec-159357-dup-0,Advers'lty Records,,,f
id-64896,Calembour Records,,,f
id-192160,S/R,,,f
id-157355,Ephemera Archives,,,f
id-166285,nnnrecords,,,f
rec-218177-dup-0,Poor Boy Rexords,,,f
id-229098,Spencer Productions Ltd.,Holding,,f
id-80191,Lalouline,,,f
id-101905,Torcaza Records,,id-98670,f
id-47008,Phantasm Imports,,,f
id-96187,Sodapop Records,,,f
rec-100481-dup-0,Breabach Rrcords,Original Production,,f
id-231076,Uncle Buddies Music Inc.,Publisher,,f
id-201304,Fallen Tree 1Hundred,,,f
id-18877,Sirius Records,Bootleg Production,,f
id-106793,Kaboom Music,Production,,f
id-173872,Trilenium,Bootleg Production,,f
