1,2
id-185792,rec-185792-dup-0
id-125826,rec-125826-dup-0
id-236964,rec-236964-dup-0
id-93979,rec-93979-dup-0
id-201465,rec-201465-dup-0
id-109694,rec-109694-dup-0
id-162689,rec-162689-dup-0
id-243824,rec-243824-dup-0
id-80204,rec-80204-dup-0
id-160220,rec-160220-dup-0
id-248568,rec-248568-dup-0
id-241568,rec-241568-dup-0
id-233679,rec-233679-dup-0
id-233181,rec-233181-dup-0
id-77667,rec-77667-dup-0
id-239116,rec-239116-dup-0
id-169418,rec-169418-dup-0
id-171459,rec-171459-dup-0
id-248534,rec-248534-dup-0
id-142279,rec-142279-dup-0
id-166313,rec-166313-dup-0
id-215289,rec-215289-dup-0
id-210609,rec-210609-dup-0
id-65492,rec-65492-dup-0
id-59449,rec-59449-dup-0
id-171050,rec-171050-dup-0
id-221224,rec-221224-dup-0
id-233995,rec-233995-dup-0
id-184650,rec-184650-dup-0
id-240835,rec-240835-dup-0
id-175611,rec-175611-dup-0
id-115697,rec-115697-dup-0
id-51391,rec-51391-dup-0
id-207851,rec-207851-dup-0
id-172995,rec-172995-dup-0
id-75048,rec-75048-dup-0
id-175289,rec-175289-dup-0
id-230934,rec-230934-dup-0
id-74979,rec-74979-dup-0
id-101202,rec-101202-dup-0
id-170268,rec-170268-dup-0
id-197675,rec-197675-dup-0
id-213039,rec-213039-dup-0
id-218729,rec-218729-dup-0
id-181758,rec-181758-dup-0
id-88837,rec-88837-dup-0
id-178337,rec-178337-dup-0
id-138980,rec-138980-dup-0
id-220234,rec-220234-dup-0
id-232777,rec-232777-dup-0
id-203375,rec-203375-dup-0
id-25291,rec-25291-dup-0
id-238210,rec-238210-dup-0
id-246056,rec-246056-dup-0
id-223200,rec-223200-dup-0
id-59471,rec-59471-dup-0
id-194914,rec-194914-dup-0
id-228873,rec-228873-dup-0
id-143349,rec-143349-dup-0
id-104657,rec-104657-dup-0
id-149005,rec-149005-dup-0
id-148977,rec-148977-dup-0
id-164912,rec-164912-dup-0
id-151781,rec-151781-dup-0
id-45130,rec-45130-dup-0
id-130058,rec-130058-dup-0
id-215434,rec-215434-dup-0
id-59567,rec-59567-dup-0
id-90453,rec-90453-dup-0
id-2549,rec-2549-dup-0
id-70031,rec-70031-dup-0
id-145904,rec-145904-dup-0
id-218821,rec-218821-dup-0
id-177568,rec-177568-dup-0
id-129965,rec-129965-dup-0
id-101114,rec-101114-dup-0
id-242484,rec-242484-dup-0
id-237160,rec-237160-dup-0
id-118707,rec-118707-dup-0
id-68049,rec-68049-dup-0
id-86389,rec-86389-dup-0
id-144572,rec-144572-dup-0
id-218403,rec-218403-dup-0
id-239208,rec-239208-dup-0
id-135915,rec-135915-dup-0
id-130265,rec-130265-dup-0
id-184783,rec-184783-dup-0
id-85245,rec-85245-dup-0
id-151878,rec-151878-dup-0
id-97994,rec-97994-dup-0
id-246215,rec-246215-dup-0
id-82783,rec-82783-dup-0
id-236654,rec-236654-dup-0
id-70625,rec-70625-dup-0
id-190814,rec-190814-dup-0
id-246721,rec-246721-dup-0
id-118242,rec-118242-dup-0
id-158242,rec-158242-dup-0
id-110840,rec-110840-dup-0
id-251561,rec-251561-dup-0
id-148384,rec-148384-dup-0
id-170410,rec-170410-dup-0
id-227933,rec-227933-dup-0
id-34233,rec-34233-dup-0
id-124621,rec-124621-dup-0
id-198997,rec-198997-dup-0
id-248245,rec-248245-dup-0
id-99275,rec-99275-dup-0
id-214137,rec-214137-dup-0
id-70298,rec-70298-dup-0
id-239969,rec-239969-dup-0
id-180300,rec-180300-dup-0
id-187802,rec-187802-dup-0
id-224792,rec-224792-dup-0
id-233749,rec-233749-dup-0
id-215788,rec-215788-dup-0
id-112539,rec-112539-dup-0
id-238784,rec-238784-dup-0
id-97116,rec-97116-dup-0
id-54658,rec-54658-dup-0
id-66231,rec-66231-dup-0
id-42870,rec-42870-dup-0
id-234859,rec-234859-dup-0
id-218177,rec-218177-dup-0
id-56877,rec-56877-dup-0
id-88878,rec-88878-dup-0
id-75718,rec-75718-dup-0
id-76407,rec-76407-dup-0
id-212548,rec-212548-dup-0
id-188650,rec-188650-dup-0
id-247263,rec-247263-dup-0
id-8400,rec-8400-dup-0
id-247333,rec-247333-dup-0
id-86364,rec-86364-dup-0
id-224110,rec-224110-dup-0
id-31419,rec-31419-dup-0
id-173125,rec-173125-dup-0
id-92838,rec-92838-dup-0
id-232067,rec-232067-dup-0
id-165249,rec-165249-dup-0
id-18146,rec-18146-dup-0
id-116097,rec-116097-dup-0
