1,2
id-5634,rec-5634-dup-0
id-34522,rec-34522-dup-0
id-38779,rec-38779-dup-0
id-7383,rec-7383-dup-0
id-54214,rec-54214-dup-0
id-51633,rec-51633-dup-0
id-23509,rec-23509-dup-0
id-7052,rec-7052-dup-0
id-16036,rec-16036-dup-0
id-22718,rec-22718-dup-0
id-18479,rec-18479-dup-0
id-38860,rec-38860-dup-0
id-41206,rec-41206-dup-0
id-28609,rec-28609-dup-0
id-50438,rec-50438-dup-0
id-3230,rec-3230-dup-0
id-32295,rec-32295-dup-0
id-10762,rec-10762-dup-0
id-15988,rec-15988-dup-0
id-2976,rec-2976-dup-0
id-43189,rec-43189-dup-0
id-29181,rec-29181-dup-0
id-36640,rec-36640-dup-0
id-42188,rec-42188-dup-0
id-27504,rec-27504-dup-0
id-18039,rec-18039-dup-0
id-12665,rec-12665-dup-0
id-41270,rec-41270-dup-0
id-24267,rec-24267-dup-0
id-3004,rec-3004-dup-0
id-21681,rec-21681-dup-0
id-35628,rec-35628-dup-0
id-55520,rec-55520-dup-0
id-26025,rec-26025-dup-0
id-32506,rec-32506-dup-0
id-36113,rec-36113-dup-0
id-14672,rec-14672-dup-0
id-21734,rec-21734-dup-0
id-49896,rec-49896-dup-0
id-2003,rec-2003-dup-0
id-1688,rec-1688-dup-0
id-56102,rec-56102-dup-0
id-40801,rec-40801-dup-0
id-17965,rec-17965-dup-0
id-37826,rec-37826-dup-0
id-43461,rec-43461-dup-0
id-13666,rec-13666-dup-0
id-44555,rec-44555-dup-0
id-31941,rec-31941-dup-0
id-5601,rec-5601-dup-0
id-43117,rec-43117-dup-0
id-33476,rec-33476-dup-0
id-2407,rec-2407-dup-0
id-56211,rec-56211-dup-0
id-16905,rec-16905-dup-0
id-16820,rec-16820-dup-0
id-15041,rec-15041-dup-0
id-27872,rec-27872-dup-0
id-12453,rec-12453-dup-0
id-37546,rec-37546-dup-0
id-35473,rec-35473-dup-0
id-55773,rec-55773-dup-0
id-28344,rec-28344-dup-0
id-21801,rec-21801-dup-0
id-9103,rec-9103-dup-0
id-42804,rec-42804-dup-0
id-40866,rec-40866-dup-0
id-51817,rec-51817-dup-0
id-40344,rec-40344-dup-0
id-47053,rec-47053-dup-0
