artist,name,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,artist_type,gender,area,comment
rec-1599756-dup-1,iluzi0,ilusio,,,,,,,f,Group,,,
id-1043124,Vaccuum,Vaccuum,,,,,,,f,,,,US hc
id-462339,Jolynn Murray,Murray Jolynn,,,,,,,f,Person,,,
id-721028,Kadenza,Kadenza,,,,,,,f,Group,,,1980s British disco/funk duo
id-511215,Tommie Jenkins,Jenkins Tommie,,,,,,,f,Person,,,
id-728519,Tweety,Tweety,,,,,,,f,,,,
rec-1599756-dup-0,ilusio,iluzlo,,,,,,,f,Group,,,
id-225785,Bogus Blimp,Bogus Blimp,,,,,,,f,Group,,,
id-728043,Tone Def,Tone Def,,,,,,,f,,,,90s UK drum n bass on Moving Shadow
id-351882,Far Beyond Frail,Far Beyond Frail,,,,,,,f,Group,,,
id-1858426,Mothafxcka Lee,Lee Mothafxcka,,,,,,,f,,,,
id-42645,Code 13,Code 13,,,,,,,f,Group,,,RAC white power
id-643947,Channel 3000,Channel 3000,,,,,,,f,,,,
id-423800,DJ S.M.L.,DJ S.M.L.,,,,,,,f,,,,
id-423801,Da String Tune,Da String Tune,,,,,,,f,,,,
id-789378,Zion Birdsong,Zion Birdsong,,,,,,,f,Person,,,
id-473485,Johan Hedberg,Hedberg Johan,,,,,,,f,Person,,,
id-175605,Rhythm of Black Lines,Rhythm of Black Lines,,,,,,,f,Group,,,
id-566028,Mike Lennon,Lennon Mike,,,,,,,f,Person,,,
id-523043,Tom Wooley,Wooley Tom,,,,,,,f,Person,,,
id-588655,Polska,Polska,,,,,,,f,Person,,,Gareth McNamee
id-605030,Ulaan Khol,Khol Ulaan,,,,,,,f,Person,Male,,
id-211520,Janeiro Verde,Verde Janeiro,,,,,,,f,,,,
id-1174370,Heresia,Heresia,,,,,,,f,Group,,,finnish metal band
rec-1510569-dup-0,Dave R0se,Rode Dave,,,,,,,f,,,,Happy End'lngs character
id-492397,Neurotek,Neurotek,,,,,,,f,Person,,,
id-1140109,Lewis  Leigh,Lewis  Leigh,2014,,,,,,f,Group,,,
id-233350,Mynxters,Mynxters,,,,,,,f,,,,
id-786163,KOGA,KOGA,,,,,,,f,,,,
id-786166,Mistic,Mistic,,,,,,,f,,,,
id-336724,Sun Sun Sun,Sun Sun Sun,,,,,,,f,Group,,,
id-606763,Ficho 1,Ficho 1,,,,,,,f,,,,
id-524941,Frank Kennedy,Kennedy Frank,,,,,,,f,Person,,,
id-524943,Ruby Brooks,Brooks Ruby,,,,,,,f,Person,,,
rec-964204-dup-0,Not the 1j,Not tbe 1s,,,,,,,f,,,,
id-486820,Potter Puppet Pals,Potter Puppet Pals,,,,,,,f,Group,,,
id-524949,Caesar Addimando,Addimando Caesar,,,,,,,f,Person,,,
id-462844,The Ladbroke Groovers,Ladbroke Groovers The,,,,,,,f,Group,,,
id-791771,Ana Kefr,Kefr Ana,2008,,,,,,f,Group,,,
id-1118768,Enigmatic Path,Enigmatic Path,,,,,,,f,Group,,,
rec-1787182-dup-0,Harem Noi5e Wall,Harem No:se Wall,,,,,,,f,Person,Male,id-5799,
id-1509863,Fallen Angel,Fallen Angel,,,,,,,f,,,,90s US rapper from Dark Forest
id-1511526,Luke Friend,Friend Luke,,,,,,,f,Person,Male,,
id-1509865,Giovanni,Giovanni,,,,,,,f,,,,90s US rapper from Dark Forest
id-1509864,Sugar,Sugar,,,,,,,f,,,,90s US rapper from Dark Forest
id-1509867,K.O.,K.O.,,,,,,,f,,,,90s US rapper from Dark Forest
id-704533,Hot Vamp Club,Hot Vamp Club,2009,3,,,,,f,Group,,,Indie-rock quartet from London and Bournemouth
id-1509869,Bobby Grey,Bobby Grey,,,,,,,f,,,,90s US rapper from Dark Forest
id-1509868,Johnny Dills,Johnny Dills,,,,,,,f,,,,
id-1767779,Joe Ressington,Ressington Joe,,,,,,,f,Person,,,Jupiter Broadcasting
id-1241636,Xes Dreams,Xes Dreams,,,,,,,f,Group,,,
id-593789,地獄王,Hellking,,,,,,,f,Group,,,
id-1118767,Recitation,Recitation,,,,,,,f,Group,,,Doom Metal from Denmark
