artist_credit,name,artist_count,ref_count,created
rec-519979-dup-0,GTMK,1,20,2011-05-16 163211.963929+00
id-462339,Jolynn Murray,1,16,2011-05-16 163211.963929+00
id-721028,Kadenza,1,14,2011-05-16 163211.963929+00
id-1261963,Katie Nicholas,1,16,2014-01-14 173019.663895+00
id-728519,Tweety,1,36,2011-05-16 163211.963929+00
id-1123031,Kid Enigma,1,20,2013-02-05 104058.33854+00
id-225785,Bogus Blimp,1,95,2011-05-16 163211.963929+00
id-728043,Tone Def,1,16,2011-05-16 163211.963929+00
id-2000734,Billy Kay,1,37,2017-05-14 173126.565025+00
id-351882,Far Beyond Frail,1,62,2011-05-16 163211.963929+00
id-462844,The Ladbroke Groovers,1,6,2011-05-16 163211.963929+00
id-1487772,DJ K / Special Ops,2,2,2015-06-04 201639.411045+00
id-758257,Fumes Of Decay,1,30,2011-05-16 163211.963929+00
id-643947,Channel 3000,1,68,2011-05-16 163211.963929+00
id-691464,Skeksis,1,10,2011-05-16 163211.963929+00
id-789378,Zion Birdsong,1,26,2011-05-16 163211.963929+00
id-473485,Johan Hedberg,1,48,2011-05-16 163211.963929+00
id-175605,Rhythm of Black Lines,1,52,2011-05-16 163211.963929+00
id-1200654,Thrash,1,6,2013-08-03 034104.2846+00
id-566028,Mike Lennon,1,25,2011-05-16 163211.963929+00
id-1158396,La Resistance,1,2,2013-04-28 122736.56151+00
id-765349,Lauren,1,34,2011-05-16 163211.963929+00
id-523043,Tom Wooley,1,16,2011-05-16 163211.963929+00
id-588655,Polska,1,84,2011-05-16 163211.963929+00
id-1181871,Murder Cafe,1,4,2013-06-23 222144.020788+00
id-605030,Ulaan Khol,1,132,2011-05-16 163211.963929+00
id-211520,Janeiro Verde,1,34,2011-05-16 163211.963929+00
id-201191,Punk Floyd,1,14,2011-05-16 163211.963929+00
id-1026074,Corporation of London,1,14,2012-07-29 191842.945216+00
id-105538,DJ Glow,1,33,2011-05-16 163211.963929+00
id-577310,Nox,1,20,2011-05-16 163211.963929+00
id-484282,Ein Stück heile Welt,1,53,2011-05-16 163211.963929+00
id-786163,KOGA,1,14,2011-05-16 163211.963929+00
id-945427,$kip,1,4,2012-02-16 104059.644074+00
id-3305675,Ahavamour,1,2,2022-05-21 095205.001991+00
id-786166,Mistic,1,36,2011-05-16 163211.963929+00
id-336724,Sun Sun Sun,1,29,2011-05-16 163211.963929+00
rec-606517-dup-0,Bobak Jons Mal0ne,1,32,2011-05-16 163211.963929+00
id-3392488,Olympe Chabert,1,16,2022-09-05 045410.471553+00
id-524941,Frank Kennedy,1,136,2011-05-16 163211.963929+00
id-524943,Ruby Brooks,1,8,2011-05-16 163211.963929+00
rec-424252-dup-1,Her Num1>er Thirteen,1,30,2011-05-16 163211.963929+00
id-183473,Vomitous,1,45,2011-05-16 163211.963929+00
id-745747,The Naked Souls,1,30,2011-05-16 163211.963929+00
id-524949,Caesar Addimando,1,4,2011-05-16 163211.963929+00
id-3221359,Hyperverb,1,11,2022-02-07 214336.855113+00
id-1617535,Materia Collective,1,126,2016-02-28 141923.40875+00
id-505593,Sword Toward Self,1,8,2011-05-16 163211.963929+00
rec-2008257-dup-1,Marariti,1,2,2017-05-27 174043.034925+00
id-2144970,Industria del Amor,1,156,2018-01-14 201614.274665+00
id-469730,くるみ,1,14,2011-05-16 163211.963929+00
id-24329,King Adora,1,149,2011-05-16 163211.963929+00
id-704533,Hot Vamp Club,1,8,2011-05-16 163211.963929+00
id-1241635,King of Bones,1,26,2013-11-24 200026.591979+00
id-2394607,Rajalakshmee Sanjay,1,8,2019-03-26 194826.142036+00
id-48064,Kimball  Dekkard,1,14,2011-05-16 163211.963929+00
id-593789,地獄王,1,10,2011-05-16 163211.963929+00
id-960454,Anix Gleo,1,16,2012-03-25 020709.491644+00
id-487412,Accidental Angels,1,8,2011-05-16 163211.963929+00
id-185142,The Chase,1,42,2011-05-16 163211.963929+00
id-1831356,Elektronomia,1,144,2016-12-29 125055.50247+00
id-337050,Fourwaykill,1,24,2011-05-16 163211.963929+00
id-314704,S. Zeilenga,1,52,2011-05-16 163211.963929+00
id-158615,David Harness,1,17,2011-05-16 163211.963929+00
id-2347320,By the Wayside,1,32,2019-01-16 190016.770149+00
id-2934898,Palafico,1,4,2021-02-21 173853.95492+00
id-2347326,Oppressed by the Line,1,59,2019-01-16 190019.805035+00
id-58474,Treasure 2,1,28,2011-05-16 163211.963929+00
id-1317381,Nuclear Strikes,1,14,2014-05-22 074204.317779+00
id-1317383,Graven Dusk,1,27,2014-05-22 075715.622034+00
id-120327,Adjetey,1,6,2011-05-16 163211.963929+00
id-116948,Piece Process,1,32,2011-05-16 163211.963929+00
id-366692,Jewels Newton,1,4,2011-05-16 163211.963929+00
id-126418,Dastrix,1,35,2011-05-16 163211.963929+00
id-1192863,Ветер Скорби,1,10,2013-07-19 033808.604934+00
id-408248,Blero,1,6,2011-05-16 163211.963929+00
id-1223095,Moombahtron,1,2,2013-10-04 213630.688701+00
id-1223094,Uncle Jesse,1,2,2013-10-04 213630.688701+00
id-1223097,Jon Kwest,1,9,2013-10-04 213630.688701+00
id-1223096,Pokut Music,1,2,2013-10-04 213630.688701+00
id-713134,Into the White,1,14,2011-05-16 163211.963929+00
rec-246475-dup-0,Ianto Wate,1,14,2011-05-16 163211.963929+00
id-214182,Trovato,1,6,2011-05-16 163211.963929+00
id-685213,Anthems for Odyssey,1,12,2011-05-16 163211.963929+00
id-685212,Gray Ghost,1,38,2011-05-16 163211.963929+00
id-94766,Uneven Surface,1,8,2011-05-16 163211.963929+00
id-291704,Fake Your Death,1,60,2011-05-16 163211.963929+00
id-854577,12000 Miles,1,22,2011-09-02 144331.240278+00
id-208038,Daniel Faulkner,1,8,2011-05-16 163211.963929+00
id-295463,Caroline Soul,1,32,2011-05-16 163211.963929+00
id-1044477,Baby Einstein,1,12,2012-09-03 002505.760567+00
id-16276,Martin Merkel,1,10,2011-05-16 163211.963929+00
id-645242,Ripplegroove,1,22,2011-05-16 163211.963929+00
id-168929,Infected Deedrah,1,13,2011-05-16 163211.963929+00
id-1059209,Zipper,1,8,2012-10-03 052618.589163+00
id-690443,Thera,1,24,2011-05-16 163211.963929+00
id-219944,Impossible Beings,1,43,2011-05-16 163211.963929+00
id-567372,Jemset,1,34,2011-05-16 163211.963929+00
rec-112402-dup-0,Heads 0f State,1,30,2011-05-16 163211.963929+00
id-3006120,1000 Beasts feat. Alex Tierney,2,4,2021-05-19 131806.944347+00
id-1480907,Toochie Loc,1,8,2015-05-24 192911.822014+00
rec-425797-dup-0,Trippy Disc0,1,10,2011-05-16 163211.963929+00
id-148510,Indian Ocean,1,27,2011-05-16 163211.963929+00
id-601045,The Dresden Soul Symphony,1,2,2011-05-16 163211.963929+00
id-202758,The Cooperettes,1,25,2011-05-16 163211.963929+00
id-177352,Gary Mills,1,10,2011-05-16 163211.963929+00
id-747123,Bridal Party,1,56,2011-05-16 163211.963929+00
id-453760,Gui.tar,1,24,2011-05-16 163211.963929+00
id-576374,naizan_noob,1,6,2011-05-16 163211.963929+00
id-459590,DJ Frenzic,1,3,2011-05-16 163211.963929+00
id-1214393,Marcos Lamy,1,14,2013-09-08 121733.027937+00
id-941236,Secret Hope,1,12,2012-02-07 115614.416155+00
id-1214395,TJ Porter,1,94,2013-09-08 124750.241066+00
id-576373,TMTK,1,10,2011-05-16 163211.963929+00
id-477799,Drew  Mike,1,74,2011-05-16 163211.963929+00
id-610968,Blacksand,1,8,2011-05-16 163211.963929+00
id-52545,Symphonic,1,50,2011-05-16 163211.963929+00
id-985009,PZ2 Electrypnose vs. Zapata vs. Elendil,1,2,2012-05-14 202824.3759+00
id-985008,DJ Spazzz,1,2,2012-05-14 202824.043873+00
id-607783,Rudolf Steiner,1,12,2011-05-16 163211.963929+00
id-1141459,Lucia Nirmala Schmidt,1,78,2013-03-19 185850.840041+00
id-736575,Hovatron,1,30,2011-05-16 163211.963929+00
id-1582427,Sonny Burgess,1,72,2015-12-20 021728.171931+00
id-316878,Christopher Kah,1,65,2011-05-16 163211.963929+00
id-389103,Chalf Hassan,1,40,2011-05-16 163211.963929+00
id-580851,The Crime Fighters Inc.,1,10,2011-05-16 163211.963929+00
id-2373357,Alvis Searcy,1,50,2019-02-23 230312.408809+00
id-248373,BAD LUCK,1,33,2011-05-16 163211.963929+00
id-732405,逗子三兄弟,1,34,2011-05-16 163211.963929+00
id-426523,Merimaid,1,16,2011-05-16 163211.963929+00
rec-346298-dup-0,Fish Fron Tahiti,1,69,2011-05-16 163211.963929+00
id-1119412,Aback,1,42,2013-01-29 160348.499025+00
id-2443333,Brownie McGhee  Sonny Terry,1,252,2019-06-15 005857.819613+00
id-1218392,Robert Slap  Suzanne Ghiglia,2,12,2013-09-19 140021.418741+00
id-2209091,Itto,1,8,2018-05-02 124749.697478+00
id-2649588,Bryan Popin  Tasha Page-Lockhart,2,4,2020-03-13 174416.099079+00
id-527142,KateGoes,1,18,2011-05-16 163211.963929+00
id-5926,The Concord Anthology Process,1,2,2011-05-16 163211.963929+00
id-382495,2terror Crew,1,14,2011-05-16 163211.963929+00
id-233350,Mynxters,1,8,2011-05-16 163211.963929+00
id-466210,Concrete Block,1,16,2011-05-16 163211.963929+00
id-695618,Kontakte,1,110,2011-05-16 163211.963929+00
id-761083,Eddie Hickey,1,22,2011-05-16 163211.963929+00
id-594207,DeeExpus,1,96,2011-05-16 163211.963929+00
id-249175,A Baffled Republic,1,51,2011-05-16 163211.963929+00
id-608119,Dasse,1,75,2011-05-16 163211.963929+00
id-324139,Cosm,1,22,2011-05-16 163211.963929+00
id-873475,Mano Ezoh,1,22,2011-10-23 100617.951655+00
