medium,release,position,format,track_count
id-2556482,id-2360632,1,1,13
id-133168,id-133168,1,,6
id-917213,id-917213,1,,2
id-2556485,id-2360635,1,12,1
id-462091,id-462091,1,1,13
id-1261219,id-1232328,1,1,4
rec-838701-dup-0,id-838701,1,,3
id-1661468,id-1582008,1,1,10
id-774438,id-774438,1,1,2
id-484798,id-484798,1,1,2
id-1277774,id-1246086,1,12,1
id-818034,id-818034,1,31,4
id-868516,id-868516,1,,1
id-451098,id-451098,1,31,4
id-941092,id-941092,1,,4
rec-1043463-dup-0,id-1043266,1,1,1
id-3652577,id-3351484,1,12,1
rec-570999-dup-0,id-570999,1,1,2
id-693644,id-693644,1,1,5
id-567995,id-567995,1,12,3
id-147363,id-147363,1,29,2
id-1350217,id-1309334,1,1,13
id-555280,id-555280,1,,9
rec-716412-dup-0,id-716412,1,31,4
id-1103579,id-1094813,1,31,3
id-460430,id-460430,1,31,4
id-1193269,id-1172400,1,1,4
id-388164,id-388164,1,31,2
id-489349,id-489349,1,31,4
id-3260358,id-2995518,1,12,1
id-751404,id-751404,1,7,1
id-151222,id-151222,1,,3
id-422602,id-422602,1,1,4
id-1161014,id-1144834,1,,1
id-2257842,id-2097933,1,12,1
id-739826,id-739826,1,1,1
id-690592,id-690592,1,7,2
id-1381200,id-1336442,1,1,3
id-3650714,id-3349801,1,12,1
id-3089022,id-2841681,1,12,1
id-489346,id-489346,1,31,4
id-3649831,id-3348993,1,12,1
id-709816,id-709816,1,1,6
id-459776,id-459776,1,1,6
id-385112,id-385112,1,14,1
rec-1601131-dup-0,id-1529606,2,1,18
id-274756,id-274756,1,1,8
id-99504,id-99504,1,,3
rec-3769944-dup-0,id-3459929,1,12,1
id-642280,id-642280,1,7,2
id-373192,id-373192,1,1,15
id-149244,id-149244,1,1,4
id-762211,id-762211,1,31,3
id-403636,id-403636,1,1,11
id-2873638,id-2646260,1,12,1
id-2555689,id-2359881,1,12,1
id-702795,id-702795,1,1,12
id-1103618,id-1094847,1,12,8
id-2555686,id-2359878,1,12,1
id-2873637,id-2646259,1,12,1
id-2873636,id-2646258,1,12,1
id-2873631,id-2646253,1,12,1
id-1083088,id-1077589,1,12,4
id-2873632,id-2646254,1,12,1
id-1209687,id-1186946,1,12,4
id-1829493,id-1727117,1,1,11
id-1306545,id-1271260,1,33,2
rec-818596-dup-0,id-818596,1,1,13
id-383548,id-383548,1,1,9
id-318612,id-318612,1,34,4
id-2752045,id-2537999,1,12,6
id-478454,id-478454,1,31,4
id-1333295,id-1294525,1,1,10
id-1385589,id-1340260,1,1,9
id-3439773,id-3158167,1,12,1
id-1524345,id-1461064,1,,5
id-129136,id-129136,1,,3
id-685216,id-685216,1,1,6
id-854579,id-854579,1,12,12
id-472857,id-472857,1,1,18
id-1364611,id-1321993,1,31,2
id-2107029,id-1968532,1,12,1
id-1128365,id-1116138,1,29,2
id-394983,id-394983,1,12,6
rec-826333-dup-0,id-826333,1,1,2
id-1026693,id-1026693,1,,6
id-1054606,id-1052634,1,29,2
id-1462358,id-1407608,1,1,7
id-153594,id-153594,1,,2
id-1231180,id-1205570,1,12,1
id-1500208,id-1440173,1,12,11
id-601043,id-601043,1,1,6
id-783269,id-783269,1,12,1
rec-586296-dup-0,id-586296,1,1,13
id-1359793,id-1317713,1,1,10
id-1313722,id-1277475,1,29,2
id-604252,id-604252,1,31,2
id-3262073,id-2997034,1,12,1
id-941238,id-941238,1,,3
id-1422118,id-1372504,1,1,10
id-941230,id-941230,1,,11
id-586414,id-586414,1,1,6
id-750207,id-750207,1,7,2
id-750204,id-750204,1,7,2
id-1352210,id-1311104,1,1,2
id-500062,id-500062,1,1,4
rec-3655093-dup-0,id-3353856,1,12,1
id-1272074,id-1241595,1,31,2
id-1267370,id-1237722,1,1,1
id-746016,id-746016,1,8,2
id-855371,id-855371,1,38,13
id-558081,id-558081,1,12,2
id-558087,id-558087,1,12,1
rec-3651480-dup-0,id-3350499,1,12,1
id-1218302,id-1194270,1,,5
id-558089,id-558089,1,12,2
id-558088,id-558088,1,12,1
id-2871905,id-2644622,1,1,12
id-497376,id-497376,1,1,11
id-273908,id-273908,1,1,4
id-804642,id-804642,1,31,2
id-952176,id-952176,1,1,8
id-1051383,id-1049858,1,29,2
id-433372,id-433372,1,7,2
id-243372,id-243372,1,,6
id-654355,id-654355,1,1,6
id-1905082,id-1793138,1,1,26
id-37398,id-37398,1,,6
id-933384,id-933384,1,,10
id-3086818,id-2839664,1,12,1
id-1214171,id-1190805,1,1,4
rec-730366-dup-0,id-730366,1,1,10
id-187158,id-187158,1,1,3
id-272363,id-272363,1,1,3
id-940147,id-940147,1,,11
id-250139,id-250139,1,,3
id-592127,id-592127,1,12,1
id-426112,id-426112,1,7,2
id-3083822,id-2836863,1,12,2
id-17499,id-17499,1,1,2
id-855110,id-855110,1,,8
id-3257792,id-2993181,1,12,1
id-2753557,id-2539341,1,1,13
id-3769952,id-3459937,1,12,1
rec-168231-dup-0,id-168231,1,1,7
id-880854,id-880854,1,,4
id-116059,id-116059,1,,4
id-1601125,id-1530212,1,12,12
id-1216826,id-1193034,1,12,3
id-433195,id-433195,1,31,3
id-433197,id-433197,1,31,4
id-795130,id-795130,1,1,9
id-925199,id-925199,1,,3
id-1360005,id-1317901,1,1,6
id-239607,id-239607,1,31,2
id-1161010,id-1144830,1,,1
id-911886,id-911886,1,,10
id-1070369,id-1066331,1,,2
id-1061597,id-1058636,1,12,4
id-1357638,id-1315815,1,1,13
id-1193800,id-1172878,1,31,2
id-1070362,id-1066324,1,,12
id-520789,id-520789,1,31,2
id-1061268,id-1058368,1,12,3
id-180891,id-180891,1,,9
id-847791,id-847791,1,,2
id-973583,id-973583,1,,4
id-1229035,id-1203684,1,29,2
id-180894,id-180894,1,1,11
id-973588,id-973588,1,,1
id-664234,id-664234,1,31,2
id-804477,id-804477,1,31,9
id-664233,id-664233,1,31,2
rec-751174-dup-0,id-751174,1,12,1
id-60777,id-60777,1,,1
id-867095,id-867095,1,,5
id-543388,id-543388,1,12,2
id-867096,id-867096,1,,5
id-352508,id-352508,1,1,4
id-352509,id-352509,1,1,6
id-234183,id-234183,1,31,2
id-407893,id-407893,1,12,7
id-570885,id-570885,1,7,5
id-765344,id-765344,1,31,3
id-929789,id-929789,1,,5
id-1180450,id-1161593,1,31,2
id-1180457,id-1161599,1,29,3
id-458557,id-458557,1,1,5
rec-390217-dup-0,rec-390217-dup-0,1,14,1
id-352072,id-352072,1,31,2
id-332491,id-332491,1,,4
id-241050,id-241050,1,,3
id-212510,id-212510,1,1,2
id-455408,id-455408,1,12,7
id-464060,id-464060,1,31,2
id-241058,id-241058,1,,3
id-600801,id-600801,1,1,8
rec-1016587-dup-0,id-1016587,1,,6
rec-1333800-dup-0,id-1294972,1,31,3
id-877666,id-877666,1,,1
id-829871,id-829871,1,12,1
id-996351,id-996351,1,,1
id-1176103,id-1157726,1,31,2
id-474651,id-474651,1,12,10
id-323979,id-323979,1,29,3
id-847249,id-847249,1,,2
id-3554922,id-3262573,1,1,10
id-634928,id-634928,1,12,2
id-574263,id-574263,1,12,5
id-1234467,id-1208528,1,1,6
id-972183,id-972183,1,,2
id-1095205,id-1087871,1,12,1
id-976400,id-976400,1,,30
id-1101546,id-1093117,1,1,2
id-547232,id-547232,1,1,7
id-1083690,id-1078102,1,31,2
id-1657815,id-1578809,1,12,1
id-704532,id-704532,1,31,3
id-866143,id-866143,1,1,12
id-866144,id-866144,1,,1
id-2243712,id-2086103,1,12,1
id-876181,id-876181,1,,5
id-924374,id-924374,1,,2
id-1099699,id-1091602,1,,1
id-1042344,id-1042314,1,12,6
id-965489,id-965489,1,1,10
id-937045,id-937045,1,,2
id-868986,id-868986,1,,4
id-3494658,id-3207561,1,12,1
id-734944,id-734944,1,12,1
rec-1009620-dup-0,id-1009620,1,,4
id-3439704,id-3158102,1,12,1
id-1695109,id-1611528,1,31,8
id-373032,id-373032,1,12,1
rec-457604-dup-0,id-457604,1,1,3
id-1699485,id-1615183,1,12,10
id-871249,id-871249,1,,1
id-1382491,id-1337579,1,31,9
id-192040,id-192040,1,12,2
id-498299,id-498299,1,29,2
id-399278,id-399278,1,1,4
id-1039373,id-1039373,1,,15
rec-524534-dup-0,id-524534,1,,1
id-626928,id-626928,1,31,2
id-750410,id-750410,1,1,1
id-159199,id-159199,1,,2
id-2618304,id-2416576,1,12,1
id-2618657,id-2416903,1,12,7
id-534092,id-534092,1,31,4
id-415278,id-415278,1,1,3
id-3438255,id-3156800,1,31,2
id-763813,id-763813,1,12,3
id-3438252,id-3156797,1,12,1
id-869587,id-869587,1,1,13
id-1363694,id-1321177,1,31,5
rec-3905598-dup-0,id-3584762,1,1,21
id-1136545,id-1123425,1,1,19
id-1079170,id-1074083,1,,4
id-680487,id-680487,1,12,28
id-1235840,id-1209943,1,31,2
id-2339101,id-2169190,1,12,5
id-1375038,id-1331133,1,1,11
id-823097,id-823097,1,31,2
id-1691593,id-1608521,1,1,8
id-1155635,id-1140212,1,12,1
id-1017872,id-1017872,1,,11
id-1003025,id-1003025,1,1,20
id-670502,id-670502,1,1,5
id-297616,id-297616,1,1,12
id-1003022,id-1003022,1,,7
id-400509,id-400509,1,31,2
id-1165394,id-1148739,1,1,3
id-297618,id-297618,1,,11
id-298648,id-298648,1,31,3
id-1377095,id-1332957,1,1,14
id-1195067,id-1174023,1,29,4
id-298833,id-298833,1,12,1
id-1007645,id-1007645,1,,16
id-1371806,id-1328238,1,12,2
id-1056169,id-1053989,1,1,2
id-1368800,id-1325640,1,1,3
id-1385915,id-1340550,1,12,8
id-1024785,id-1024785,1,,2
id-1701027,id-1616502,1,12,1
id-2240378,id-2083153,1,12,1
id-601313,id-601313,1,1,8
id-1296718,id-1262710,1,31,4
id-495181,id-495181,1,7,5
id-645832,id-645832,1,29,2
id-2248990,id-2090706,1,,1
id-1100144,id-1091943,1,29,2
id-307666,id-307666,1,31,5
id-365258,id-365258,1,1,1
id-2560913,id-2364658,1,12,1
id-944303,id-944303,1,,4
id-309013,id-309013,1,31,5
id-680153,id-680153,1,1,5
id-566900,id-566900,1,7,3
id-143061,id-143061,1,,4
id-360408,id-360408,1,31,2
id-832426,id-832426,1,,2
id-866204,id-866204,1,31,5
id-3903747,id-3583014,1,29,2
id-1340071,id-1300452,1,1,8
id-312077,id-312077,1,31,2
id-650520,id-650520,1,12,2
id-455093,id-455093,1,31,1
id-874855,id-874855,1,1,9
id-1901989,id-1790403,1,1,11
id-601039,id-601039,1,1,5
id-587970,id-587970,1,12,3
id-730325,id-730325,1,31,2
id-360576,id-360576,1,1,7
id-420834,id-420834,1,1,4
id-2337635,id-2167882,1,12,7
rec-704755-dup-0,id-704755,1,12,8
id-774085,id-774085,1,1,1
id-1002950,id-1002950,1,1,15
id-746828,id-746828,1,12,2
id-77349,id-77349,1,,4
id-529737,id-529737,1,31,2
id-485834,id-485834,1,12,3
id-752696,id-752696,1,31,4
id-485832,id-485832,1,12,3
id-485830,id-485830,1,12,3
id-2697778,id-2489871,1,12,1
id-2242777,id-2085275,1,1,11
id-402861,id-402861,1,31,2
id-1026204,id-1026204,1,,1
id-629139,id-629139,1,31,4
id-455678,id-455678,1,12,5
id-934382,id-934382,1,,4
id-292991,id-292991,1,,5
id-330275,id-330275,1,1,3
id-601782,id-601782,1,,2
id-1827345,id-1725325,1,12,1
rec-1358452-dup-0,id-1316523,1,,12
id-1220537,id-1196184,1,12,2
id-995324,id-995324,1,,6
id-845537,id-845537,1,,2
id-1220531,id-1196178,1,12,2
id-716718,id-716718,1,,10
id-1197518,id-1176127,1,7,10
id-1388336,id-1342686,1,1,11
id-150128,id-150128,1,1,3
id-1598053,id-1527583,1,12,5
id-424832,id-424832,1,1,8
