1,2
rec-15270680-dup-0,rec-15270680-dup-1
rec-8121038-dup-0,rec-8121038-dup-1
rec-17194004-dup-0,rec-17194004-dup-1
rec-29102796-dup-1,rec-29102796-dup-0
rec-3151153-dup-1,rec-3151153-dup-0
rec-9615550-dup-0,rec-9615550-dup-1
id-9229795,rec-9229795-dup-1
id-3913369,rec-3913369-dup-0
rec-7845745-dup-1,rec-7845745-dup-0
id-10628821,rec-10628821-dup-1
id-8012511,rec-8012511-dup-0
id-7974359,rec-7974359-dup-1
id-3582654,rec-3582654-dup-0
rec-9219226-dup-1,rec-9219226-dup-0
id-7476871,rec-7476871-dup-0
rec-29117908-dup-1,rec-29117908-dup-0
id-7308745,rec-7308745-dup-0
id-15105539,rec-15105539-dup-0
id-2320921,rec-2320921-dup-0
rec-138097-dup-1,rec-138097-dup-0
rec-8235491-dup-1,rec-8235491-dup-0
id-11153285,rec-11153285-dup-0
id-5472977,rec-5472977-dup-1
id-30258939,rec-30258939-dup-1
rec-8617774-dup-0,rec-8617774-dup-1
rec-1111571-dup-0,rec-1111571-dup-1
id-5551768,rec-5551768-dup-1
id-15024273,rec-15024273-dup-0
id-17810080,rec-17810080-dup-0
id-9131012,rec-9131012-dup-0
id-6377540,rec-6377540-dup-0
id-33029428,rec-33029428-dup-0
id-5945854,rec-5945854-dup-0
rec-7974359-dup-1,rec-7974359-dup-0
id-12685201,rec-12685201-dup-0
id-3686854,rec-3686854-dup-1
id-9925692,rec-9925692-dup-0
id-13625816,rec-13625816-dup-0
id-9354639,rec-9354639-dup-0
rec-14961161-dup-1,rec-14961161-dup-0
id-31568952,rec-31568952-dup-0
id-5926473,rec-5926473-dup-1
rec-10186534-dup-1,rec-10186534-dup-0
rec-11225515-dup-1,rec-11225515-dup-0
id-8249390,rec-8249390-dup-1
id-8913879,rec-8913879-dup-0
rec-7802583-dup-0,rec-7802583-dup-1
rec-14751978-dup-1,rec-14751978-dup-0
id-3356918,rec-3356918-dup-1
id-12320564,rec-12320564-dup-0
id-7732247,rec-7732247-dup-0
id-168722,rec-168722-dup-0
id-1264228,rec-1264228-dup-0
rec-14874528-dup-1,rec-14874528-dup-0
rec-9980221-dup-0,rec-9980221-dup-1
id-9980221,rec-9980221-dup-1
id-10566884,rec-10566884-dup-1
id-11466390,rec-11466390-dup-0
id-10567120,rec-10567120-dup-0
id-9833118,rec-9833118-dup-1
id-3139547,rec-3139547-dup-0
id-14069556,rec-14069556-dup-0
id-22619166,rec-22619166-dup-0
id-12838959,rec-12838959-dup-1
rec-10457708-dup-0,rec-10457708-dup-1
rec-13608160-dup-1,rec-13608160-dup-0
id-13218686,rec-13218686-dup-1
id-6624669,rec-6624669-dup-0
rec-10502868-dup-1,rec-10502868-dup-0
id-8933991,rec-8933991-dup-1
id-15240292,rec-15240292-dup-0
id-12821399,rec-12821399-dup-1
rec-9533929-dup-1,rec-9533929-dup-0
id-29136015,rec-29136015-dup-1
id-5410587,rec-5410587-dup-0
id-3874569,rec-3874569-dup-0
rec-30275573-dup-1,rec-30275573-dup-0
id-14624213,rec-14624213-dup-0
rec-14815699-dup-1,rec-14815699-dup-0
rec-8652806-dup-0,rec-8652806-dup-1
id-20956876,rec-20956876-dup-0
id-14792344,rec-14792344-dup-0
id-7996909,rec-7996909-dup-0
rec-13722964-dup-0,rec-13722964-dup-1
rec-9302072-dup-0,rec-9302072-dup-1
id-10256249,rec-10256249-dup-0
rec-7666278-dup-1,rec-7666278-dup-0
id-9038301,rec-9038301-dup-1
id-26565440,rec-26565440-dup-0
id-7318220,rec-7318220-dup-1
id-7679130,rec-7679130-dup-1
id-8256488,rec-8256488-dup-0
rec-16253146-dup-1,rec-16253146-dup-0
