release_group,name,artist_credit,type
id-1261211,Mon Son,id-1154203,2
id-797218,This  That,id-501396,3
id-1296540,Count Your Lovers,id-615653,2
id-2164405,A Drop in the Ocean,id-2424372,1
id-1079283,HACHIKO EP,id-779424,3
id-725251,Los kings del mambo / Join the Tribe,id-155912,2
id-941097,Marys Theme,id-699874,3
id-811563,Varkens geiten boerenkool / Zand zand zand,id-493374,2
id-728040,neo classical Ⅰ,id-534084,11
id-835706,Music for Theatre and Radio Play,id-616678,1
id-1055804,Hyper Exaggeration,id-795542,2
rec-937463-dup-0,Dirt Famoua,id-696456,3
id-496532,Dub Plate Pressure / Getting Busy Beardsley mix,id-1489045,
id-1074365,Dry Land,id-829559,1
id-1200659,Real Body Shock,id-693960,
rec-883277-dup-1,The L.A. Run / Your Sweet Love,id-650471,2
id-1261215,In the Darkest Corners of Human Nature,id-1154208,1
id-1503846,Lizard,id-1447978,2
id-789370,Dying Ground,id-582734,1
id-693645,Tossing and Turning,id-248971,2
id-1462975,Get It On,id-1136862,3
id-567990,Eternal Butterfly,id-405176,1
id-657514,LIVE 75,id-231108,1
id-2744403,Can I Get Closer,id-2865610,2
id-2893489,Mine - A Minecraft Parody,id-1399941,2
id-1018891,Dezombification,id-766022,3
rec-713667-dup-0,Gate to Heaven,id-82930,2
id-1073400,October Train,id-827925,3
id-930607,Un Viaje a lo Infinito A Trip to the Infinite Thing,id-690827,1
id-1247294,Toronto EP,id-617424,3
id-987404,Vol 1 Presents The State of the World,id-478747,3
id-875879,Topophonies,id-645798,1
rec-977348-dup-1,Black Oroheus,rec-2532210-dup-0,1
id-877609,Our Customs,id-646862,1
rec-816150-dup-0,War Time / Like Gjue Remixes,id-602867,2
id-1181385,In the House,id-1026474,2
id-712088,The Old Brigade,id-523042,2
rec-1289256-dup-0,Dri5ua,id-1201540,2
rec-1289256-dup-1,Dritva,id-1201540,2
id-483256,Cant Stand It / Floor Control,id-336765,2
id-935120,Transistor,id-273153,2
id-712081,Robin Adair,id-523017,2
id-712080,Joyful Hour Schottische,id-523017,2
id-712087,Marguerite,id-523042,2
id-712086,The Postillions Song,id-523042,2
id-1118767,Starting Out,id-901835,
id-900034,Of Blessed Memory E.P.,id-666066,3
id-900032,Japanese Frequencies,id-238947,3
id-707326,Spark,id-519276,1
id-1245525,Cloverfield / Bakcheia,id-1133014,2
id-350682,Demo 2004 - 01,id-245624,
id-1812119,HOLD ON SEA,id-2009074,2
id-533329,Pullover vs. Close Your Eyes,id-373767,2
id-992403,Obsession,id-743939,2
id-417381,Electro-Z,id-294017,1
id-580716,Yoni,id-414536,3
id-694036,Piece Together,id-373293,3
rec-866993-dup-0,Live at Vinyj Joes,id-639515,
id-426385,Here We Go Again,id-166885,2
id-537051,Te voy a enamorar,id-377192,1
id-1012639,Gymnastics for Couples,id-205326,2
id-478100,Demo,id-333258,11
id-404041,Strange Geographie,id-284322,1
id-2118890,Liebe,id-2376959,
id-682748,Atonement For Iniquity,id-500150,1
id-1067856,The Journey / In Yo Soul,id-102479,2
id-1067855,Cosmic Waves,id-102479,2
id-1381064,A Blue Book,id-1318662,1
rec-312529-dup-0,Life Is Verv Short,id-219011,2
id-1067507,Outdoor Adventures EP,id-730714,3
id-1294336,CRIM3S,id-1208560,3
id-1093383,Save the Last Dance / Whats Up,id-974886,2
id-1093672,Limbo,id-856774,3
id-805431,Im From The K,id-595229,2
id-3074333,Ransom,id-2006646,2
id-2162692,Guitar Workshop,id-2422450,1
id-500286,Parker Street Cinema,id-348321,1
id-715368,Untitled Demo,id-524860,3
id-912197,October 22 2009,id-676029,2
id-3074339,drag and drop,id-2006646,2
id-1125205,Nackt,id-922773,2
id-689955,Hybride,id-505895,1
rec-344519-dup-0,Bus to Vegws,rec-241002-dup-1,3
id-2976368,Empty,id-3300423,2
id-1018406,Zoo Sessions,id-572012,
id-2976366,Anywhere,id-3300423,2
id-899265,Farvel adjø farvel,id-193020,3
rec-1031493-dup-1,Vermal Equinox,id-776818,3
id-792043,Still-Nox Asleep EP,id-421253,3
id-1182805,Live,id-894660,1
id-638597,Genuine Sense of Outrage,id-92441,2
id-1058805,Happy Music,id-797727,2
rec-1192942-dup-0,We Eat Indu5try Beats Vol. 1,id-1048257,1
id-1041805,Lost World / Dead on Time,id-299623,2
id-1041808,Planet Babel,id-785509,3
id-700919,Stone Witness / Summer Evening,id-514319,1
id-663314,You and the Fisherman,id-228970,1
id-1903909,The Wraith Beyond,id-1307297,2
id-605513,Breaking Point,id-432968,2
id-3048598,PGS,id-2537809,2
rec-998837-dup-0,Tune5ia Takht,id-2925834,1
rec-675527-dup-0,The Other Side Of Fabuloud Florida,rec-493630-dup-0,3
rec-675527-dup-1,The Other Side Of Fabulous Fkorida,rec-493630-dup-0,3
id-738634,Get Back John / Got So Many Songs,id-542607,2
id-917076,Blutbad,id-680047,3
id-1472260,Chatterbox,id-710750,2
id-1968421,Rockmania 1,id-2213906,2
id-1968422,To Hold the Tower,id-2213906,2
id-1968423,Heavy Engine,id-2213906,2
id-1181128,Ritmos de hoy Volumen 1,id-596248,3
id-741291,The Putney 5,id-4434,3
id-2489234,Higher,id-2720315,2
id-2489235,Starry Night in Cairo,id-2815499,2
id-1295733,Geronimo / Texas Diary,id-76251,2
id-1295732,Question Your Existence,id-1210575,1
id-1125063,Sick Liar / The Pink Painter,id-861023,3
id-985003,The Struggle Continues,id-738986,1
id-721769,Obeah Dance,id-529072,2
id-1218398,Luz,id-1059897,1
id-3071145,RoméoJuliette,id-3392488,2
id-393881,Frankpollis,id-276937,
id-429211,Gorgone,id-302527,1
id-3071149,Sans amour,id-3392488,2
id-694695,Cant Quit,id-216887,3
id-1095920,I Left the Familiar Towards Horizons Unseen,id-2349267,1
id-1086461,The Boo of Moo,id-847070,2
id-885611,The Hen,id-298728,2
id-1061183,Wait a Little Longer Please Jesus / Im Gonna Serve Him,id-409572,2
id-1051384,Pride,id-283159,2
id-1462970,Satanic War,id-1391222,1
rec-2492389-dup-0,Awakrn,id-2685141,2
rec-2492389-dup-1,Awakej,id-2685141,2
id-1103798,I wish That,id-872165,2
id-860460,Reel One Gossips From the Hidden Places,id-634385,1
id-865943,Manhunt Remixes,id-1467570,
id-943979,Die Captan Obvio Die,id-701813,1
id-3048376,All These Things,id-3372622,1
id-2121787,Strange Place,id-1536228,2
id-636877,Ich bin defekt,id-458292,1
rec-727519-dup-1,Plankton / Hairpke,id-199703,2
id-981495,I Wana / Alright,id-736367,2
id-1903238,Die schöne Müllerin,id-2132831,1
id-636871,Medieval Hits,id-406400,1
id-1170734,Coming From Far,id-1003002,2
id-1968685,HAVVAH,id-2141506,2
id-1036130,Rehearsal Tape,id-780481,11
id-609216,Kackadu Inc E.P.,id-1114629,3
id-826522,Anarchists Paying Taxes,id-540084,3
id-507388,9608,id-275244,3
id-2336547,December Summer,id-2649134,2
rec-1261936-dup-0,Grand P:ano,id-1155421,2
rec-3049632-dup-0,KIDS,id-3373718,2
id-2266540,The Jungle Book,id-2550022,1
id-901079,Darksoul,id-667042,2
id-1966034,Out of My Control,id-2210891,
id-169597,Techno Latino,id-128436,2
id-1383328,Temporary Things,id-1152740,1
id-925191,Ive Finally Got You Girl,id-450476,2
id-897141,Swerve,id-101056,2
id-354863,Where There Is Despair Hope,id-248576,
id-1968291,That 70s Song,id-2213683,2
id-333933,Iris,id-231777,2
id-952399,Journey Home,id-2810232,1
id-603188,Early Rags Early Blues,id-431309,1
id-1258661,See My Love,id-3206112,3
id-2613303,Old Schools In,id-2936170,2
id-1050658,February Sessions,id-791851,3
id-1289697,Love Town,id-1202321,3
id-840226,Nyabinghi / One God,id-619494,2
id-1289699,Songs From Jamaica,id-1202324,1
id-1264872,Intoxication / Unison,id-581035,3
id-1264871,Dark Side Of Light,id-4907,3
rec-421848-dup-1,Tenebrae,id-297313,2
id-710575,Into the Mouths of Lions,id-521882,3
id-767333,Zurück zur Maschine,id-566206,3
id-1170831,Distress Call,id-1002702,3
id-650152,Partytime,id-162601,2
id-1127526,Good Enough,id-207178,2
id-767488,Dreams Come True Jon Savage Presents Classic First Wave Electro 1982-1987,id-600377,1
id-767339,No Stress Operator,id-566214,3
rec-146070-dup-1,Sexua1 v7,id-114169,
id-2494290,Beethoven Trailerized,id-2766591,2
id-115624,Sweet Movimiento,id-59046,1
id-2614823,Wishes,id-2937540,2
