ability,version_group,language,flavor_text
rec-221-dup-0,20,1,こうげきで　じぶんに　ふれた　あいてのすばやさを　さげる
rec-221-dup-0,20,6,Senkt bei Berührung im Zuge eines Angriffs dieInitiative des Angreifers.
rec-221-dup-0,20,3,공격으로 자신과 접촉한 상대의스피드를 떨어뜨린다.
rec-221-dup-0,20,12,对于用攻击接触到自己的对手会降低其速度
rec-221-dup-0,20,8,Se il Pokémon viene colpito da un attacco direttola Velocità di chi lha colpito diminuisce.
rec-221-dup-0,20,9,Contact with the Pokémon lowers the attackersSpeed stat.
rec-221-dup-0,20,7,Baja la Velocidad del rival cuando este le ataca con unmovimiento de contacto.
rec-221-dup-0,20,11,攻撃で　自分に　触れた　相手の素早さを　下げる
rec-221-dup-0,20,5,Baisse la Vitesse de lattaquant lorsque le Pokémonsubit une attaque directe.
rec-221-dup-0,20,4,對手用攻擊接觸到自己時降低此對手的速度
rec-196-dup-1,20,9,The Pokémons attacks become critical hits if thetarget is poisoned.
rec-196-dup-1,20,1,どく　じょうたいのあいてを　こうげきするとかならず　きゅうしょに　あたる
rec-196-dup-1,20,12,攻击中毒状态的对手时必定会击中要害
rec-196-dup-1,20,8,Gli attacchi sferrati su un bersaglio avvelenatoproducono sempre brutti colpi.
rec-196-dup-1,20,6,Sorgt bei Angriffen auf vergiftete Ziele fürVolltreffergarantie.
rec-196-dup-1,20,4,攻擊中毒狀態的對手時必定會擊中要害
rec-196-dup-1,20,3,독 상태의상대를 공격하면반드시 급소에 맞는다.
rec-196-dup-1,20,11,どく状態の相手を　攻撃するとかならず　急所に　当たる
rec-196-dup-1,20,5,Lorsque le Pokémon attaque un adversaire empoisonnéle coup sera forcément critique.
rec-196-dup-1,20,7,Hace que sus movimientos asesten siempre un golpecrítico si el rival está envenenado.
rec-23-dup-1,20,3,상대의 그림자를 밟아도망치거나 교체할 수 없게 한다.
rec-23-dup-1,20,8,Il Pokémon calpesta lombra del nemico impedendoglila fuga o la sostituzione.
rec-23-dup-1,20,6,Hindert Gegner an der Flucht beziehungsweise amAuswechseln indem es ihnen den Weg versperrt.
rec-23-dup-1,20,4,踩住對手的影子使其無法逃走或替換
rec-23-dup-1,20,12,踩住对手的影子使其无法逃走或替换
rec-23-dup-1,20,1,あいての　かげを　ふみにげたり　こうたい　できなくする
rec-23-dup-1,20,9,This Pokémon steps on the opposing Pokémonsshadow to prevent it from escaping.
rec-23-dup-1,20,11,相手の　影を　踏み逃げたり　交代　できなくする
rec-23-dup-1,20,5,Empêche les Pokémon ennemis de quitter le combat.
rec-23-dup-1,20,7,Impide que el enemigo huya o sea cambiado por otro.
rec-91-dup-0,20,3,자신과 같은 타입의기술 위력이 올라간다.
rec-91-dup-0,20,4,與自身同屬性的招式威力會提高
rec-91-dup-0,20,1,じぶんと　おなじ　タイプのわざの　いりょくが　あがる
rec-91-dup-0,20,6,Erhöht die Stärke von Attacken die dem Typ desPokémon entsprechen.
rec-91-dup-0,20,7,Potencia aún más los movimientos cuyo tipo coincidacon el suyo.
rec-91-dup-0,20,5,Quand le Pokémon utilise une capacité du même typeque lui le bonus de puissance quelle reçoit est encoreplus important que normalement.
rec-91-dup-0,20,9,Powers up moves of the same type as the Pokémon.
rec-91-dup-0,20,11,自分と　おなじ　タイプの技の　威力が　上がる
rec-91-dup-0,20,12,与自身同属性的招式威力会提高
